# t0 (BJD_TBD - 2450000), Variation (ppm), Duration (hours)
11194.960025, 466.523927, 61.800618
11197.535050, 324.377334, 63.720637
11207.300148, 307.142961, 54.240542
11217.085246, 386.264017, 58.560586
11219.525270, 409.576160, 60.480605
11231.470390, 477.827268, 62.640626
11243.760513, 318.502497, 55.200552
11253.570611, 413.367052, 59.520595
11256.050636, 377.106441, 59.640596
11265.720732, 302.208828, 54.480545
11267.990755, 478.170562, 63.120631
11280.230877, 325.358877, 55.800558
11290.065976, 434.493875, 60.240602
11292.576001, 336.982287, 58.320583
11302.156097, 345.259523, 56.640566
11304.516120, 467.083032, 63.600636
11316.706242, 326.641152, 56.400564
11326.571341, 448.017682, 60.720607
11338.611461, 385.903980, 58.440584
11341.046485, 444.583804, 63.840638
11353.191607, 321.777362, 56.520565
11363.081706, 452.615377, 61.080611
11375.081826, 421.627937, 60.000600
11377.581851, 411.166579, 63.840638
11389.681972, 310.736924, 56.400564
11397.242047, 326.364081, 56.520565
11399.597071, 447.395595, 61.200612
11411.572191, 450.235135, 61.080611
11414.117216, 367.789557, 63.840638
11433.712412, 360.710640, 57.720577
11436.117436, 432.005098, 61.080611
11448.072556, 469.935121, 62.040620
11450.657582, 315.845207, 63.240632
11460.407679, 310.363930, 54.480545
11470.192777, 392.248786, 58.800588
11472.642801, 406.707159, 60.480605
11484.587921, 479.396640, 62.640626
11496.873044, 320.510836, 55.200552
11506.678142, 419.131837, 59.760598
11509.168167, 372.428926, 59.520595
11518.818263, 309.647494, 54.960550
11521.108286, 477.765886, 63.240632
11533.343408, 325.924751, 55.920559
11543.178507, 439.557525, 60.480605
11545.698532, 330.800740, 57.960580
11555.258628, 352.746946, 57.000570
11557.633651, 464.676531, 63.600636
11569.823773, 325.680775, 56.280563
11579.683872, 451.930126, 60.960610
11591.718992, 392.914918, 58.680587
11594.164017, 440.247949, 63.840638
11606.309138, 319.366643, 56.400564
11616.194237, 454.993147, 61.320613
11628.194357, 427.685857, 60.120601
11630.699382, 405.077736, 63.840638
11642.799503, 307.096539, 56.280563
11650.344578, 331.789718, 56.880569
11652.714602, 447.961986, 61.200612
11664.684722, 454.936084, 61.320613
11667.239747, 360.217651, 63.600636
11677.059846, 300.666608, 53.640536
11686.814943, 366.695847, 58.080581
11689.234967, 430.617695, 61.080611
