Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.913946643518749624e+03,1.957103578813933495e+02
9.913946661622412648e+03,1.957335806044021069e+02
9.913946679726073853e+03,1.957568041480415673e+02
9.913946697829736877e+03,1.957800285168470111e+02
9.913946715933398082e+03,1.958032537060196319e+02
9.913946734037061105e+03,1.958264797200950795e+02
9.913946752140722310e+03,1.958497065542743201e+02
9.913946770244385334e+03,1.958729342130931741e+02
9.913946788348046539e+03,1.958961626917524939e+02
9.913946806451709563e+03,1.959193919947882705e+02
9.913946824555372586e+03,1.959426221197349776e+02
9.913946842659033791e+03,1.959658530641267760e+02
9.913946860762696815e+03,1.959890848325003958e+02
9.913946878866358020e+03,1.960123174200555525e+02
9.913946896970021044e+03,1.960355508313292319e+02
9.913946915073682248e+03,1.960587850615210925e+02
9.913946933177345272e+03,1.960820201151682340e+02
9.913946951281006477e+03,1.961052559874697749e+02
9.913946969384669501e+03,1.961284926829635253e+02
9.913946987488332525e+03,1.961517301991831062e+02
9.913947005591993729e+03,1.961749685336617404e+02
9.913947023695656753e+03,1.961982076909375792e+02
9.913947041799317958e+03,1.962214476662090874e+02
9.913947059902980982e+03,1.962446884640143878e+02
9.913947078006642187e+03,1.962679300795516610e+02
9.913947096110305210e+03,1.962911725173596267e+02
9.913947114213966415e+03,1.963144157726358401e+02
9.913947132317629439e+03,1.963376598499194188e+02
9.913947150421292463e+03,1.963609047467431310e+02
9.913947168524953668e+03,1.963841504606397450e+02
9.913947186628616691e+03,1.964073969961486341e+02
9.913947204732277896e+03,1.964306443484667000e+02
9.913947222835940920e+03,1.964538925221336569e+02
9.913947240939602125e+03,1.964771415123460088e+02
9.913947259043265149e+03,1.965003913236439814e+02
9.913947277146926353e+03,1.965236419512235386e+02
9.913947295250589377e+03,1.965468933996253611e+02
9.913947313354252401e+03,1.965701456663815065e+02
9.913947331457913606e+03,1.965933987490236916e+02
9.913947349561576630e+03,1.966166526520928812e+02
9.913947367665237834e+03,1.966399073707844423e+02
9.913947385768900858e+03,1.966631629096396239e+02
9.913947403872562063e+03,1.966864192638532529e+02
9.913947421976225087e+03,1.967096764379670333e+02
9.913947440079888111e+03,1.967329344295124542e+02
9.913947458183549315e+03,1.967561932360206640e+02
9.913947476287212339e+03,1.967794528620337644e+02
9.913947494390873544e+03,1.968027133027459570e+02
9.913947512494536568e+03,1.968259745626993720e+02
9.913947530598197773e+03,1.968492366370881257e+02
9.913947548701860796e+03,1.968724995304545473e+02
9.913947566805522001e+03,1.968957632379922700e+02
9.913947584909185025e+03,1.969190277642443618e+02
9.913947603012848049e+03,1.969422931067414595e+02
9.913947621116509254e+03,1.969655592630138869e+02
9.913947639220172277e+03,1.969888262376053945e+02
9.913947657323833482e+03,1.970120940257084499e+02
9.913947675427496506e+03,1.970353626318666898e+02
9.913947693531157711e+03,1.970586320512726104e+02
9.913947711634820735e+03,1.970819022884702747e+02
9.913947729738481939e+03,1.971051733386515536e+02
9.913947747842144963e+03,1.971284452063609081e+02
9.913947765945807987e+03,1.971517178891284061e+02
9.913947784049469192e+03,1.971749913844835476e+02
9.913947802153132216e+03,1.971982656969712480e+02
9.913947820256793420e+03,1.972215408217826393e+02
9.913947838360456444e+03,1.972448167634630352e+02
9.913947856464117649e+03,1.972680935172030274e+02
9.913947874567780673e+03,1.972913710875482423e+02
9.913947892671441878e+03,1.973146494696891580e+02
9.913947910775104901e+03,1.973379286681715428e+02
9.913947928878767925e+03,1.973612086805246690e+02
9.913947946982429130e+03,1.973844895042772976e+02
9.913947965086092154e+03,1.974077711439759355e+02
9.913947983189753359e+03,1.974310535948099528e+02
9.913948001293416382e+03,1.974543368613261407e+02
9.913948019397077587e+03,1.974776209387136703e+02
9.913948037500740611e+03,1.975009058315195887e+02
9.913948055604401816e+03,1.975241915349328110e+02
9.913948073708064840e+03,1.975474780535005550e+02
9.913948091811727863e+03,1.975707653847512688e+02
9.913948109915389068e+03,1.975940535262130879e+02
9.913948128019052092e+03,1.976173424824337133e+02
9.913948146122713297e+03,1.976406322486011220e+02
9.913948164226376321e+03,1.976639228292636687e+02
9.913948182330037525e+03,1.976872142196088191e+02
9.913948200433700549e+03,1.977105064241851835e+02
9.913948218537361754e+03,1.977337994381800002e+02
9.913948236641024778e+03,1.977570932661421068e+02
9.913948254744687802e+03,1.977803879055990137e+02
9.913948272848349006e+03,1.978036833540781458e+02
9.913948290952012030e+03,1.978269796161286251e+02
9.913948309055673235e+03,1.978502766869370362e+02
9.913948327159336259e+03,1.978735745710529841e+02
9.913948345262997464e+03,1.978968732636624850e+02
9.913948363366660487e+03,1.979201727693155135e+02
9.913948381470321692e+03,1.979434730831980005e+02
9.913948399573984716e+03,1.979667742098600343e+02
9.913948417677647740e+03,1.979900761468284145e+02
9.913948435781308945e+03,1.980133788916297135e+02
9.913948453884971968e+03,1.980366824488146165e+02
9.913948471988633173e+03,1.980599868135681163e+02
9.913948490092296197e+03,1.980832919904410971e+02
9.913948508195957402e+03,1.981065979746184098e+02
9.913948526299620426e+03,1.981299047706512795e+02
9.913948544403281630e+03,1.981532123737238749e+02
9.913948562506944654e+03,1.981765207883880748e+02
9.913948580610607678e+03,1.981998300121698833e+02
9.913948598714268883e+03,1.982231400425948493e+02
9.913948616817931907e+03,1.982464508842152497e+02
9.913948634921593111e+03,1.982697625322145996e+02
9.913948653025256135e+03,1.982930749911451471e+02
9.913948671128917340e+03,1.983163882561902653e+02
9.913948689232580364e+03,1.983397023319024584e+02
9.913948707336243388e+03,1.983630172158073321e+02
9.913948725439904592e+03,1.983863329054299811e+02
9.913948743543567616e+03,1.984096494053235631e+02
9.913948761647228821e+03,1.984329667106704278e+02
9.913948779750891845e+03,1.984562848260241879e+02
9.913948797854553050e+03,1.984796037465667951e+02
9.913948815958216073e+03,1.985029234768519473e+02
9.913948834061877278e+03,1.985262440120614258e+02
9.913948852165540302e+03,1.985495653567494116e+02
9.913948870269203326e+03,1.985728875084404876e+02
9.913948888372864531e+03,1.985962104646590092e+02
9.913948906476527554e+03,1.986195342299597542e+02
9.913948924580188759e+03,1.986428587995233670e+02
9.913948942683851783e+03,1.986661841779047961e+02
9.913948960787512988e+03,1.986895103602847996e+02
9.913948978891176012e+03,1.987128373512182975e+02
9.913948996994837216e+03,1.987361651458855931e+02
9.913949015098500240e+03,1.987594937488422033e+02
9.913949033202163264e+03,1.987828231576121141e+02
9.913949051305824469e+03,1.988061533697188281e+02
9.913949069409487493e+03,1.988294843897185160e+02
9.913949087513148697e+03,1.988528162127903443e+02
9.913949105616811721e+03,1.988761488434907676e+02
9.913949123720472926e+03,1.988994822769987820e+02
9.913949141824135950e+03,1.989228165178709560e+02
9.913949159927797155e+03,1.989461515612860296e+02
9.913949178031460178e+03,1.989694874118009977e+02
9.913949196135123202e+03,1.989928240669390505e+02
9.913949214238784407e+03,1.990161615242228663e+02
9.913949232342447431e+03,1.990394997882099517e+02
9.913949250446108636e+03,1.990628388540781941e+02
9.913949268549771659e+03,1.990861787263853842e+02
9.913949286653432864e+03,1.991095194003087840e+02
9.913949304757095888e+03,1.991328608804067812e+02
9.913949322860757093e+03,1.991562031618563822e+02
9.913949340964420117e+03,1.991795462492159743e+02
9.913949359068083140e+03,1.992028901400079803e+02
9.913949377171744345e+03,1.992262348317545104e+02
9.913949395275407369e+03,1.992495803290142931e+02
9.913949413379068574e+03,1.992729266269637378e+02
9.913949431482731597e+03,1.992962737301620564e+02
9.913949449586392802e+03,1.993196216337851752e+02
9.913949467690055826e+03,1.993429703423926753e+02
9.913949485793717031e+03,1.993663198511601138e+02
9.913949503897380055e+03,1.993896701646473559e+02
9.913949522001043078e+03,1.994130212803760855e+02
9.913949540104704283e+03,1.994363731958674748e+02
9.913949558208367307e+03,1.994597259156818438e+02
9.913949576312028512e+03,1.994830794349940106e+02
9.913949594415691536e+03,1.995064337583646648e+02
9.913949612519352740e+03,1.995297888809681410e+02
9.913949630623015764e+03,1.995531448073655270e+02
9.913949648726676969e+03,1.995765015327309300e+02
9.913949666830339993e+03,1.995998590616254660e+02
9.913949684934003017e+03,1.996232173915700798e+02
9.913949703037664221e+03,1.996465765200853753e+02
9.913949721141327245e+03,1.996699364517329514e+02
