Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062594821759266779e+04,3.450101391835613818e+00
1.062594823627046208e+04,3.450101431671943608e+00
1.062594825494825454e+04,3.450101471501340278e+00
1.062594827362604883e+04,3.450101511323812709e+00
1.062594829230384312e+04,3.450101551139356015e+00
1.062594831098163559e+04,3.450101590947965757e+00
1.062594832965942987e+04,3.450101630749650372e+00
1.062594834833722416e+04,3.450101670544404531e+00
1.062594836701501663e+04,3.450101710332226013e+00
1.062594838569281092e+04,3.450101750113120147e+00
1.062594840437060520e+04,3.450101789887084269e+00
1.062594842304839767e+04,3.450101829654113939e+00
1.062594844172619196e+04,3.450101869414216704e+00
1.062594846040398625e+04,3.450101909167388126e+00
1.062594847908178053e+04,3.450101948913628203e+00
1.062594849775957300e+04,3.450101988652932938e+00
1.062594851643736729e+04,3.450102028385308994e+00
1.062594853511516158e+04,3.450102068110753706e+00
1.062594855379295404e+04,3.450102107829261300e+00
1.062594857247074833e+04,3.450102147540840658e+00
1.062594859114854262e+04,3.450102187245487784e+00
1.062594860982633509e+04,3.450102226943197348e+00
1.062594862850412937e+04,3.450102266633977788e+00
1.062594864718192366e+04,3.450102306317824219e+00
1.062594866585971613e+04,3.450102345994733088e+00
1.062594868453751042e+04,3.450102385664712390e+00
1.062594870321530470e+04,3.450102425327756794e+00
1.062594872189309717e+04,3.450102464983863637e+00
1.062594874057089146e+04,3.450102504633038247e+00
1.062594875924868575e+04,3.450102544275278849e+00
1.062594877792647821e+04,3.450102583910580112e+00
1.062594879660427250e+04,3.450102623538949587e+00
1.062594881528206679e+04,3.450102663160383720e+00
1.062594883395985926e+04,3.450102702774878072e+00
1.062594885263765354e+04,3.450102742382440191e+00
1.062594887131544783e+04,3.450102781983065192e+00
1.062594888999324030e+04,3.450102821576750856e+00
1.062594890867103459e+04,3.450102861163502510e+00
1.062594892734882887e+04,3.450102900743317047e+00
1.062594894602662316e+04,3.450102940316194022e+00
1.062594896470441563e+04,3.450102979882130327e+00
1.062594898338220992e+04,3.450103019441132624e+00
1.062594900206000420e+04,3.450103058993196026e+00
1.062594902073779667e+04,3.450103098538317870e+00
1.062594903941559096e+04,3.450103138076504372e+00
1.062594905809338525e+04,3.450103177607752869e+00
1.062594907677117772e+04,3.450103217132058031e+00
1.062594909544897200e+04,3.450103256649427852e+00
1.062594911412676629e+04,3.450103296159858335e+00
1.062594913280455876e+04,3.450103335663345039e+00
1.062594915148235305e+04,3.450103375159895513e+00
1.062594917016014733e+04,3.450103414649506206e+00
1.062594918883793980e+04,3.450103454132171787e+00
1.062594920751573409e+04,3.450103493607900695e+00
1.062594922619352838e+04,3.450103533076688933e+00
1.062594924487132084e+04,3.450103572538532504e+00
1.062594926354911513e+04,3.450103611993438069e+00
1.062594928222690942e+04,3.450103651441401631e+00
1.062594930090470189e+04,3.450103690882419638e+00
1.062594931958249617e+04,3.450103730316499195e+00
1.062594933826029046e+04,3.450103769743637194e+00
1.062594935693808293e+04,3.450103809163827417e+00
1.062594937561587722e+04,3.450103848577080079e+00
1.062594939429367150e+04,3.450103887983388962e+00
1.062594941297146579e+04,3.450103927382754510e+00
1.062594943164925826e+04,3.450103966775172726e+00
1.062594945032705255e+04,3.450104006160650272e+00
1.062594946900484683e+04,3.450104045539184927e+00
1.062594948768263930e+04,3.450104084910770919e+00
1.062594950636043359e+04,3.450104124275416240e+00
1.062594952503822788e+04,3.450104163633116894e+00
1.062594954371602034e+04,3.450104202983868884e+00
1.062594956239381463e+04,3.450104242327678872e+00
1.062594958107160892e+04,3.450104281664544192e+00
1.062594959974940139e+04,3.450104320994459073e+00
1.062594961842719567e+04,3.450104360317432395e+00
1.062594963710498996e+04,3.450104399633459273e+00
1.062594965578278243e+04,3.450104438942536156e+00
1.062594967446057672e+04,3.450104478244670148e+00
1.062594969313837100e+04,3.450104517539857696e+00
1.062594971181616347e+04,3.450104556828093916e+00
1.062594973049395776e+04,3.450104596109385913e+00
1.062594974917175205e+04,3.450104635383731466e+00
1.062594976784954451e+04,3.450104674651124359e+00
1.062594978652733880e+04,3.450104713911573917e+00
1.062594980520513309e+04,3.450104753165074367e+00
1.062594982388292556e+04,3.450104792411622601e+00
1.062594984256071984e+04,3.450104831651226167e+00
1.062594986123851413e+04,3.450104870883880182e+00
1.062594987991630842e+04,3.450104910109585532e+00
1.062594989859410089e+04,3.450104949328337334e+00
1.062594991727189517e+04,3.450104988540143580e+00
1.062594993594968946e+04,3.450105027744999386e+00
1.062594995462748193e+04,3.450105066942901644e+00
1.062594997330527622e+04,3.450105106133857014e+00
1.062594999198307050e+04,3.450105145317861499e+00
1.062595001066086297e+04,3.450105184494911104e+00
1.062595002933865726e+04,3.450105223665013821e+00
1.062595004801645155e+04,3.450105262828165209e+00
1.062595006669424401e+04,3.450105301984360828e+00
1.062595008537203830e+04,3.450105341133608228e+00
1.062595010404983259e+04,3.450105380275903855e+00
1.062595012272762506e+04,3.450105419411243712e+00
1.062595014140541934e+04,3.450105458539634018e+00
1.062595016008321363e+04,3.450105497661072107e+00
1.062595017876100610e+04,3.450105536775553094e+00
1.062595019743880039e+04,3.450105575883084974e+00
1.062595021611659467e+04,3.450105614983662861e+00
1.062595023479438714e+04,3.450105654077283202e+00
1.062595025347218143e+04,3.450105693163953990e+00
1.062595027214997572e+04,3.450105732243669454e+00
1.062595029082776819e+04,3.450105771316427816e+00
1.062595030950556247e+04,3.450105810382234406e+00
1.062595032818335676e+04,3.450105849441086558e+00
1.062595034686115105e+04,3.450105888492983386e+00
1.062595036553894352e+04,3.450105927537921335e+00
1.062595038421673780e+04,3.450105966575907068e+00
1.062595040289453209e+04,3.450106005606936588e+00
1.062595042157232456e+04,3.450106044631006341e+00
1.062595044025011885e+04,3.450106083648124766e+00
1.062595045892791313e+04,3.450106122658285202e+00
1.062595047760570560e+04,3.450106161661484983e+00
1.062595049628349989e+04,3.450106200657732103e+00
1.062595051496129418e+04,3.450106239647022122e+00
1.062595053363908664e+04,3.450106278629350598e+00
1.062595055231688093e+04,3.450106317604725081e+00
1.062595057099467522e+04,3.450106356573142019e+00
1.062595058967246769e+04,3.450106395534596526e+00
1.062595060835026197e+04,3.450106434489096152e+00
1.062595062702805626e+04,3.450106473436637344e+00
1.062595064570584873e+04,3.450106512377215662e+00
1.062595066438364302e+04,3.450106551310839098e+00
1.062595068306143730e+04,3.450106590237502324e+00
1.062595070173922977e+04,3.450106629157202676e+00
1.062595072041702406e+04,3.450106668069946814e+00
1.062595073909481835e+04,3.450106706975730297e+00
1.062595075777261081e+04,3.450106745874550906e+00
1.062595077645040510e+04,3.450106784766413970e+00
1.062595079512819939e+04,3.450106823651315935e+00
1.062595081380599368e+04,3.450106862529257690e+00
1.062595083248378614e+04,3.450106901400233461e+00
1.062595085116158043e+04,3.450106940264252575e+00
1.062595086983937472e+04,3.450106979121308814e+00
1.062595088851716719e+04,3.450107017971399959e+00
1.062595090719496147e+04,3.450107056814532669e+00
1.062595092587275576e+04,3.450107095650702504e+00
1.062595094455054823e+04,3.450107134479906801e+00
1.062595096322834252e+04,3.450107173302150443e+00
1.062595098190613680e+04,3.450107212117431654e+00
1.062595100058392927e+04,3.450107250925745994e+00
1.062595101926172356e+04,3.450107289727100568e+00
1.062595103793951785e+04,3.450107328521490935e+00
1.062595105661731031e+04,3.450107367308913542e+00
1.062595107529510460e+04,3.450107406089375495e+00
1.062595109397289889e+04,3.450107444862873685e+00
1.062595111265069136e+04,3.450107483629402338e+00
1.062595113132848564e+04,3.450107522388970338e+00
1.062595115000627993e+04,3.450107561141572354e+00
1.062595116868407240e+04,3.450107599887206167e+00
1.062595118736186669e+04,3.450107638625877104e+00
1.062595120603966097e+04,3.450107677357582059e+00
1.062595122471745344e+04,3.450107716082317477e+00
1.062595124339524773e+04,3.450107754800090021e+00
1.062595126207304202e+04,3.450107793510896137e+00
1.062595128075083630e+04,3.450107832214735382e+00
1.062595129942862877e+04,3.450107870911603314e+00
1.062595131810642306e+04,3.450107909601507927e+00
1.062595133678421735e+04,3.450107948284445669e+00
1.062595135546200981e+04,3.450107986960410322e+00
1.062595137413980410e+04,3.450108025629412101e+00
1.062595139281759839e+04,3.450108064291444787e+00
1.062595141149539086e+04,3.450108102946504829e+00
1.062595143017318514e+04,3.450108141594601108e+00
1.062595144885097943e+04,3.450108180235727851e+00
1.062595146752877190e+04,3.450108218869881060e+00
1.062595148620656619e+04,3.450108257497068731e+00
1.062595150488436047e+04,3.450108296117287310e+00
1.062595152356215294e+04,3.450108334730531467e+00
1.062595154223994723e+04,3.450108373336809642e+00
1.062595156091774152e+04,3.450108411936117392e+00
1.062595157959553399e+04,3.450108450528451165e+00
1.062595159827332827e+04,3.450108489113817178e+00
1.062595161695112256e+04,3.450108527692212324e+00
1.062595163562891503e+04,3.450108566263632603e+00
1.062595165430670932e+04,3.450108604828084680e+00
1.062595167298450360e+04,3.450108643385564999e+00
1.062595169166229607e+04,3.450108681936070010e+00
1.062595171034009036e+04,3.450108720479605928e+00
1.062595172901788465e+04,3.450108759016169202e+00
1.062595174769567893e+04,3.450108797545761163e+00
1.062595176637347140e+04,3.450108836068374707e+00
1.062595178505126569e+04,3.450108874584020047e+00
1.062595180372905998e+04,3.450108913092691854e+00
1.062595182240685244e+04,3.450108951594385687e+00
1.062595184108464673e+04,3.450108990089109096e+00
1.062595185976244102e+04,3.450109028576859416e+00
1.062595187844023349e+04,3.450109067057630874e+00
1.062595189711802777e+04,3.450109105531432352e+00
1.062595191579582206e+04,3.450109143998258077e+00
1.062595193447361453e+04,3.450109182458104939e+00
1.062595195315140882e+04,3.450109220910980934e+00
1.062595197182920310e+04,3.450109259356881175e+00
1.062595199050699557e+04,3.450109297795802110e+00
1.062595200918478986e+04,3.450109336227750401e+00
1.062595202786258415e+04,3.450109374652722938e+00
1.062595204654037661e+04,3.450109413070714837e+00
1.062595206521817090e+04,3.450109451481734979e+00
1.062595208389596519e+04,3.450109489885776703e+00
1.062595210257375766e+04,3.450109528282838678e+00
1.062595212125155194e+04,3.450109566672926231e+00
1.062595213992934623e+04,3.450109605056036255e+00
1.062595215860713870e+04,3.450109643432165196e+00
1.062595217728493299e+04,3.450109681801319716e+00
1.062595219596272727e+04,3.450109720163495819e+00
1.062595221464052156e+04,3.450109758518693059e+00
1.062595223331831403e+04,3.450109796866908773e+00
1.062595225199610832e+04,3.450109835208148290e+00
1.062595227067390260e+04,3.450109873542409389e+00
1.062595228935169507e+04,3.450109911869686741e+00
1.062595230802948936e+04,3.450109950189988339e+00
1.062595232670728365e+04,3.450109988503309744e+00
1.062595234538507611e+04,3.450110026809647401e+00
1.062595236406287040e+04,3.450110065109009305e+00
1.062595238274066469e+04,3.450110103401389239e+00
1.062595240141845716e+04,3.450110141686784981e+00
1.062595242009625144e+04,3.450110179965204082e+00
1.062595243877404573e+04,3.450110218236641213e+00
1.062595245745183820e+04,3.450110256501093264e+00
1.062595247612963249e+04,3.450110294758567786e+00
1.062595249480742677e+04,3.450110333009059893e+00
1.062595251348521924e+04,3.450110371252566033e+00
1.062595253216301353e+04,3.450110409489093755e+00
1.062595255084080782e+04,3.450110447718638174e+00
1.062595256951860028e+04,3.450110485941196181e+00
1.062595258819639457e+04,3.450110524156775327e+00
1.062595260687418886e+04,3.450110562365370726e+00
1.062595262555198133e+04,3.450110600566978825e+00
1.062595264422977561e+04,3.450110638761605841e+00
1.062595266290756990e+04,3.450110676949249999e+00
1.062595268158536419e+04,3.450110715129909966e+00
1.062595270026315666e+04,3.450110753303581301e+00
1.062595271894095094e+04,3.450110791470271554e+00
1.062595273761874523e+04,3.450110829629976728e+00
1.062595275629653770e+04,3.450110867782693713e+00
1.062595277497433199e+04,3.450110905928428284e+00
1.062595279365212627e+04,3.450110944067176888e+00
1.062595281232991874e+04,3.450110982198936416e+00
1.062595283100771303e+04,3.450111020323713973e+00
1.062595284968550732e+04,3.450111058441504230e+00
1.062595286836329979e+04,3.450111096552304524e+00
1.062595288704109407e+04,3.450111134656121958e+00
1.062595290571888836e+04,3.450111172752951649e+00
1.062595292439668083e+04,3.450111210842790932e+00
1.062595294307447512e+04,3.450111248925646468e+00
1.062595296175226940e+04,3.450111287001514260e+00
1.062595298043006187e+04,3.450111325070389867e+00
1.062595299910785616e+04,3.450111363132281284e+00
1.062595301778565045e+04,3.450111401187184512e+00
1.062595303646344291e+04,3.450111439235095112e+00
1.062595305514123720e+04,3.450111477276020633e+00
1.062595307381903149e+04,3.450111515309957522e+00
1.062595309249682396e+04,3.450111553336900005e+00
1.062595311117461824e+04,3.450111591356857410e+00
1.062595312985241253e+04,3.450111629369825295e+00
1.062595314853020682e+04,3.450111667375803215e+00
1.062595316720799929e+04,3.450111705374786730e+00
1.062595318588579357e+04,3.450111743366783390e+00
1.062595320456358786e+04,3.450111781351790086e+00
1.062595322324138033e+04,3.450111819329801044e+00
1.062595324191917462e+04,3.450111857300825591e+00
1.062595326059696890e+04,3.450111895264857509e+00
1.062595327927476137e+04,3.450111933221895022e+00
1.062595329795255566e+04,3.450111971171943903e+00
1.062595331663034995e+04,3.450112009115000600e+00
1.062595333530814241e+04,3.450112047051061559e+00
1.062595335398593670e+04,3.450112084980133442e+00
1.062595337266373099e+04,3.450112122902213141e+00
1.062595339134152346e+04,3.450112160817295770e+00
1.062595341001931774e+04,3.450112198725389323e+00
1.062595342869711203e+04,3.450112236626488471e+00
1.062595344737490450e+04,3.450112274520590550e+00
1.062595346605269879e+04,3.450112312407702664e+00
1.062595348473049307e+04,3.450112350287820373e+00
1.062595350340828554e+04,3.450112388160939680e+00
1.062595352208607983e+04,3.450112426027069024e+00
1.062595354076387412e+04,3.450112463886203074e+00
1.062595355944166658e+04,3.450112501738337834e+00
1.062595357811946087e+04,3.450112539583481297e+00
1.062595359679725516e+04,3.450112577421629911e+00
1.062595361547504945e+04,3.450112615252781900e+00
1.062595363415284191e+04,3.450112653076934599e+00
1.062595365283063620e+04,3.450112690894094669e+00
1.062595367150843049e+04,3.450112728704258114e+00
1.062595369018622296e+04,3.450112766507421380e+00
1.062595370886401724e+04,3.450112804303591574e+00
1.062595372754181153e+04,3.450112842092764698e+00
1.062595374621960400e+04,3.450112879874937200e+00
1.062595376489739829e+04,3.450112917650114408e+00
1.062595378357519257e+04,3.450112955418294991e+00
1.062595380225298504e+04,3.450112993179473619e+00
1.062595382093077933e+04,3.450113030933657843e+00
1.062595383960857362e+04,3.450113068680843220e+00
1.062595385828636608e+04,3.450113106421026199e+00
1.062595387696416037e+04,3.450113144154213884e+00
1.062595389564195466e+04,3.450113181880402724e+00
1.062595391431974713e+04,3.450113219599587389e+00
1.062595393299754141e+04,3.450113257311777648e+00
1.062595395167533570e+04,3.450113295016967285e+00
1.062595397035312817e+04,3.450113332715153192e+00
1.062595398903092246e+04,3.450113370406342472e+00
1.062595400770871674e+04,3.450113408090531131e+00
1.062595402638651103e+04,3.450113445767719167e+00
1.062595404506430350e+04,3.450113483437902584e+00
1.062595406374209779e+04,3.450113521101088487e+00
1.062595408241989207e+04,3.450113558757272880e+00
1.062595410109768454e+04,3.450113596406452210e+00
1.062595411977547883e+04,3.450113634048632694e+00
1.062595413845327312e+04,3.450113671683810779e+00
1.062595415713106559e+04,3.450113709311983801e+00
1.062595417580885987e+04,3.450113746933157977e+00
1.062595419448665416e+04,3.450113784547328866e+00
1.062595421316444663e+04,3.450113822154492915e+00
1.062595423184224092e+04,3.450113859754657231e+00
1.062595425052003520e+04,3.450113897347817815e+00
1.062595426919782767e+04,3.450113934933971560e+00
1.062595428787562196e+04,3.450113972513125127e+00
1.062595430655341625e+04,3.450114010085274519e+00
1.062595432523120871e+04,3.450114047650415738e+00
1.062595434390900300e+04,3.450114085208555892e+00
1.062595436258679729e+04,3.450114122759691426e+00
1.062595438126458976e+04,3.450114160303818345e+00
1.062595439994238404e+04,3.450114197840942865e+00
1.062595441862017833e+04,3.450114235371062321e+00
1.062595443729797080e+04,3.450114272894172274e+00
1.062595445597576509e+04,3.450114310410280272e+00
1.062595447465355937e+04,3.450114347919382318e+00
1.062595449333135366e+04,3.450114385421477081e+00
1.062595451200914613e+04,3.450114422916561896e+00
1.062595453068694042e+04,3.450114460404643424e+00
1.062595454936473470e+04,3.450114497885717668e+00
1.062595456804252717e+04,3.450114535359780632e+00
1.062595458672032146e+04,3.450114572826840753e+00
1.062595460539811575e+04,3.450114610286891814e+00
1.062595462407590821e+04,3.450114647739932039e+00
1.062595464275370250e+04,3.450114685185968089e+00
1.062595466143149679e+04,3.450114722624994190e+00
1.062595468010928926e+04,3.450114760057009011e+00
1.062595469878708354e+04,3.450114797482018325e+00
1.062595471746487783e+04,3.450114834900018579e+00
1.062595473614267030e+04,3.450114872311006220e+00
1.062595475482046459e+04,3.450114909714986577e+00
1.062595477349825887e+04,3.450114947111958763e+00
1.062595479217605134e+04,3.450114984501916116e+00
1.062595481085384563e+04,3.450115021884867517e+00
1.062595482953163992e+04,3.450115059260807637e+00
1.062595484820943238e+04,3.450115096629734257e+00
1.062595486688722667e+04,3.450115133991653149e+00
1.062595488556502096e+04,3.450115171346560761e+00
1.062595490424281343e+04,3.450115208694453095e+00
1.062595492292060771e+04,3.450115246035337702e+00
1.062595494159840200e+04,3.450115283369211028e+00
1.062595496027619629e+04,3.450115320696071741e+00
1.062595497895398876e+04,3.450115358015916289e+00
1.062595499763178304e+04,3.450115395328752221e+00
1.062595501630957733e+04,3.450115432634575097e+00
1.062595503498736980e+04,3.450115469933381362e+00
1.062595505366516409e+04,3.450115507225179012e+00
1.062595507234295837e+04,3.450115544509962273e+00
1.062595509102075084e+04,3.450115581787728036e+00
1.062595510969854513e+04,3.450115619058484295e+00
1.062595512837633942e+04,3.450115656322226165e+00
1.062595514705413188e+04,3.450115693578950093e+00
1.062595516573192617e+04,3.450115730828663185e+00
1.062595518440972046e+04,3.450115768071361000e+00
1.062595520308751293e+04,3.450115805307040429e+00
1.062595522176530721e+04,3.450115842535708577e+00
1.062595524044310150e+04,3.450115879757361004e+00
1.062595525912089397e+04,3.450115916971994601e+00
1.062595527779868826e+04,3.450115954179615141e+00
1.062595529647648254e+04,3.450115991380219516e+00
1.062595531515427501e+04,3.450116028573805060e+00
1.062595533383206930e+04,3.450116065760377104e+00
1.062595535250986359e+04,3.450116102939932095e+00
