Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.882460428240709007e+03,3.862179695794505818e+00
9.882460446256400246e+03,3.862179778836695387e+00
9.882460464272089666e+03,3.862179861874905473e+00
9.882460482287780906e+03,3.862179944909154283e+00
9.882460500303470326e+03,3.862180027939424498e+00
9.882460518319161565e+03,3.862180110965731217e+00
9.882460536334850985e+03,3.862180193988058452e+00
9.882460554350542225e+03,3.862180277006421747e+00
9.882460572366233464e+03,3.862180360020811776e+00
9.882460590381922884e+03,3.862180443031221433e+00
9.882460608397614124e+03,3.862180526037664929e+00
9.882460626413303544e+03,3.862180609040127166e+00
9.882460644428994783e+03,3.862180692038622798e+00
9.882460662444684203e+03,3.862180775033134505e+00
9.882460680460375443e+03,3.862180858023680052e+00
9.882460698476066682e+03,3.862180941010249224e+00
9.882460716491756102e+03,3.862181023992834028e+00
9.882460734507447341e+03,3.862181106971450006e+00
9.882460752523136762e+03,3.862181189946080728e+00
9.882460770538828001e+03,3.862181272916742625e+00
9.882460788554517421e+03,3.862181355883417044e+00
9.882460806570208661e+03,3.862181438846121750e+00
9.882460824585899900e+03,3.862181521804846529e+00
9.882460842601589320e+03,3.862181604759583831e+00
9.882460860617280559e+03,3.862181687710350086e+00
9.882460878632969980e+03,3.862181770657126645e+00
9.882460896648661219e+03,3.862181853599931269e+00
9.882460914664350639e+03,3.862181936538744864e+00
9.882460932680041878e+03,3.862182019473585637e+00
9.882460950695733118e+03,3.862182102404444262e+00
9.882460968711422538e+03,3.862182185331311413e+00
9.882460986727113777e+03,3.862182268254203965e+00
9.882461004742803198e+03,3.862182351173104156e+00
9.882461022758494437e+03,3.862182434088028860e+00
9.882461040774183857e+03,3.862182516998959425e+00
9.882461058789875096e+03,3.862182599905914504e+00
9.882461076805566336e+03,3.862182682808882994e+00
9.882461094821255756e+03,3.862182765707857790e+00
9.882461112836946995e+03,3.862182848602853102e+00
9.882461130852636416e+03,3.862182931493853832e+00
9.882461148868327655e+03,3.862183014380875523e+00
9.882461166884017075e+03,3.862183097263901743e+00
9.882461184899708314e+03,3.862183180142946259e+00
9.882461202915399554e+03,3.862183263018002410e+00
9.882461220931088974e+03,3.862183345889060870e+00
9.882461238946780213e+03,3.862183428756138515e+00
9.882461256962469633e+03,3.862183511619217136e+00
9.882461274978160873e+03,3.862183594478312720e+00
9.882461292993850293e+03,3.862183677333409282e+00
9.882461311009541532e+03,3.862183760184522363e+00
9.882461329025232772e+03,3.862183843031644415e+00
9.882461347040922192e+03,3.862183925874763890e+00
9.882461365056613431e+03,3.862184008713899885e+00
9.882461383072302851e+03,3.862184091549032861e+00
9.882461401087994091e+03,3.862184174380181023e+00
9.882461419103683511e+03,3.862184257207325722e+00
9.882461437119374750e+03,3.862184340030483831e+00
9.882461455135065989e+03,3.862184422849646914e+00
9.882461473150755410e+03,3.862184505664806089e+00
9.882461491166446649e+03,3.862184588475976454e+00
9.882461509182136069e+03,3.862184671283142468e+00
9.882461527197827309e+03,3.862184754086319227e+00
9.882461545213516729e+03,3.862184836885489858e+00
9.882461563229207968e+03,3.862184919680670347e+00
9.882461581244899207e+03,3.862185002471853146e+00
9.882461599260588628e+03,3.862185085259027595e+00
9.882461617276279867e+03,3.862185168042211014e+00
9.882461635291969287e+03,3.862185250821386528e+00
9.882461653307660526e+03,3.862185333596569237e+00
9.882461671323349947e+03,3.862185416367742707e+00
9.882461689339041186e+03,3.862185499134923372e+00
9.882461707354732425e+03,3.862185581898101461e+00
9.882461725370421846e+03,3.862185664657269868e+00
9.882461743386113085e+03,3.862185747412443249e+00
9.882461761401802505e+03,3.862185830163604283e+00
9.882461779417493744e+03,3.862185912910771179e+00
9.882461797433183165e+03,3.862185995653924397e+00
9.882461815448874404e+03,3.862186078393082145e+00
9.882461833464563824e+03,3.862186161128226214e+00
9.882461851480255064e+03,3.862186243859372592e+00
9.882461869495946303e+03,3.862186326586512841e+00
9.882461887511635723e+03,3.862186409309638968e+00
9.882461905527326962e+03,3.862186492028766072e+00
9.882461923543016383e+03,3.862186574743877276e+00
9.882461941558707622e+03,3.862186657454988126e+00
9.882461959574397042e+03,3.862186740162082632e+00
9.882461977590088281e+03,3.862186822865176783e+00
9.882461995605779521e+03,3.862186905564262585e+00
9.882462013621468941e+03,3.862186988259328935e+00
9.882462031637160180e+03,3.862187070950393597e+00
9.882462049652849601e+03,3.862187153637439696e+00
9.882462067668540840e+03,3.862187236320482331e+00
9.882462085684230260e+03,3.862187318999505070e+00
9.882462103699921499e+03,3.862187401674524345e+00
9.882462121715612739e+03,3.862187484345531274e+00
9.882462139731302159e+03,3.862187567012516531e+00
9.882462157746993398e+03,3.862187649675496104e+00
9.882462175762682818e+03,3.862187732334453560e+00
9.882462193778374058e+03,3.862187814989404888e+00
9.882462211794063478e+03,3.862187897640333656e+00
9.882462229809754717e+03,3.862187980287254963e+00
9.882462247825445957e+03,3.862188062930160370e+00
9.882462265841135377e+03,3.862188145569040998e+00
9.882462283856826616e+03,3.862188228203913276e+00
9.882462301872516036e+03,3.862188310834760330e+00
9.882462319888207276e+03,3.862188393461597702e+00
9.882462337903896696e+03,3.862188476084408517e+00
9.882462355919587935e+03,3.862188558703209207e+00
9.882462373935279174e+03,3.862188641317991333e+00
9.882462391950968595e+03,3.862188723928744682e+00
9.882462409966659834e+03,3.862188806535486574e+00
9.882462427982349254e+03,3.862188889138200132e+00
9.882462445998040494e+03,3.862188971736900900e+00
9.882462464013729914e+03,3.862189054331571114e+00
9.882462482029421153e+03,3.862189136922228982e+00
9.882462500045112392e+03,3.862189219508863847e+00
9.882462518060801813e+03,3.862189302091467269e+00
9.882462536076493052e+03,3.862189384670057013e+00
9.882462554092182472e+03,3.862189467244613983e+00
9.882462572107873712e+03,3.862189549815154610e+00
9.882462590123563132e+03,3.862189632381662907e+00
9.882462608139254371e+03,3.862189714944154417e+00
9.882462626154945610e+03,3.862189797502620259e+00
9.882462644170635031e+03,3.862189880057051994e+00
9.882462662186326270e+03,3.862189962607464278e+00
9.882462680202015690e+03,3.862190045153842455e+00
9.882462698217706929e+03,3.862190127696201181e+00
9.882462716233396350e+03,3.862190210234524024e+00
9.882462734249087589e+03,3.862190292768826971e+00
9.882462752264778828e+03,3.862190375299100253e+00
9.882462770280468249e+03,3.862190457825336765e+00
9.882462788296159488e+03,3.862190540347551604e+00
9.882462806311848908e+03,3.862190622865727452e+00
9.882462824327540147e+03,3.862190705379881628e+00
9.882462842343229568e+03,3.862190787889996368e+00
9.882462860358920807e+03,3.862190870396086773e+00
9.882462878374612046e+03,3.862190952898146179e+00
9.882462896390301466e+03,3.862191035396164374e+00
9.882462914405992706e+03,3.862191117890158232e+00
9.882462932421682126e+03,3.862191200380109990e+00
9.882462950437373365e+03,3.862191282866036524e+00
9.882462968453062786e+03,3.862191365347920069e+00
9.882462986468754025e+03,3.862191447825777502e+00
9.882463004484445264e+03,3.862191530299598607e+00
9.882463022500134684e+03,3.862191612769376281e+00
9.882463040515825924e+03,3.862191695235126065e+00
9.882463058531515344e+03,3.862191777696831085e+00
9.882463076547206583e+03,3.862191860154506440e+00
9.882463094562896003e+03,3.862191942608136586e+00
9.882463112578587243e+03,3.862192025057737510e+00
9.882463130594278482e+03,3.862192107503298999e+00
9.882463148609967902e+03,3.862192189944813503e+00
9.882463166625659142e+03,3.862192272382296121e+00
9.882463184641348562e+03,3.862192354815731310e+00
9.882463202657039801e+03,3.862192437245134613e+00
9.882463220672729221e+03,3.862192519670488267e+00
9.882463238688420461e+03,3.862192602091808702e+00
9.882463256704111700e+03,3.862192684509087925e+00
9.882463274719801120e+03,3.862192766922316611e+00
9.882463292735492359e+03,3.862192849331510303e+00
9.882463310751181780e+03,3.862192931736653456e+00
9.882463328766873019e+03,3.862193014137760727e+00
9.882463346782562439e+03,3.862193096534814796e+00
9.882463364798253679e+03,3.862193178927833870e+00
9.882463382813944918e+03,3.862193261316807735e+00
9.882463400829634338e+03,3.862193343701727510e+00
9.882463418845325577e+03,3.862193426082609626e+00
9.882463436861014998e+03,3.862193508459436764e+00
9.882463454876706237e+03,3.862193590832226242e+00
9.882463472892395657e+03,3.862193673200959410e+00
9.882463490908086897e+03,3.862193755565653142e+00
9.882463508923778136e+03,3.862193837926298556e+00
9.882463526939467556e+03,3.862193920282887216e+00
9.882463544955158795e+03,3.862194002635434220e+00
9.882463562970848216e+03,3.862194084983924025e+00
9.882463580986539455e+03,3.862194167328372174e+00
9.882463599002228875e+03,3.862194249668761348e+00
9.882463617017920114e+03,3.862194332005107977e+00
9.882463635033611354e+03,3.862194414337402293e+00
9.882463653049300774e+03,3.862194496665637189e+00
9.882463671064992013e+03,3.862194578989826876e+00
9.882463689080681434e+03,3.862194661309957144e+00
9.882463707096372673e+03,3.862194743626041316e+00
9.882463725112062093e+03,3.862194825938063403e+00
9.882463743127753332e+03,3.862194908246039393e+00
9.882463761143444572e+03,3.862194990549960849e+00
