Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.891595520833507180e+03,6.407059358084043197e+02
9.891595543725843527e+03,6.407286526304636709e+02
9.891595566618178054e+03,6.407513669498835043e+02
9.891595589510514401e+03,6.407740787700677174e+02
9.891595612402848928e+03,6.407967880872012074e+02
9.891595635295185275e+03,6.408194949046869624e+02
9.891595658187519803e+03,6.408421992187107890e+02
9.891595681079856149e+03,6.408649010326749931e+02
9.891595703972190677e+03,6.408876003427659498e+02
9.891595726864527023e+03,6.409102971523852830e+02
9.891595749756863370e+03,6.409329914595239188e+02
9.891595772649197897e+03,6.409556832621726699e+02
9.891595795541534244e+03,6.409783725637323641e+02
9.891595818433868772e+03,6.410010593603915368e+02
9.891595841326205118e+03,6.410237436555498789e+02
9.891595864218539646e+03,6.410464254453968351e+02
9.891595887110875992e+03,6.410691047333315282e+02
9.891595910003210520e+03,6.410917815155440849e+02
9.891595932895546866e+03,6.411144557954330594e+02
9.891595955787881394e+03,6.411371275691890332e+02
9.891595978680217740e+03,6.411597968402099923e+02
9.891596001572554087e+03,6.411824636064885681e+02
9.891596024464888615e+03,6.412051278660187563e+02
9.891596047357224961e+03,6.412277896221968376e+02
9.891596070249559489e+03,6.412504488712160082e+02
9.891596093141895835e+03,6.412731056164722077e+02
9.891596116034230363e+03,6.412957598541590869e+02
9.891596138926566709e+03,6.413184115876716760e+02
9.891596161818901237e+03,6.413410608132049902e+02
9.891596184711237584e+03,6.413637075341528089e+02
9.891596207603573930e+03,6.413863517485103785e+02
9.891596230495908458e+03,6.414089934542735136e+02
9.891596253388244804e+03,6.414316326548353118e+02
9.891596276280579332e+03,6.414542693463923797e+02
9.891596299172915678e+03,6.414769035323371327e+02
9.891596322065250206e+03,6.414995352088676555e+02
9.891596344957586552e+03,6.415221643793749990e+02
9.891596367849921080e+03,6.415447910400583851e+02
9.891596390742257427e+03,6.415674151943080687e+02
9.891596413634591954e+03,6.415900368383239538e+02
9.891596436526928301e+03,6.416126559754958407e+02
9.891596459419264647e+03,6.416352726038211358e+02
9.891596482311599175e+03,6.416578867212983823e+02
9.891596505203935521e+03,6.416804983313157891e+02
9.891596528096270049e+03,6.417031074300756472e+02
9.891596550988606396e+03,6.417257140209657109e+02
9.891596573880940923e+03,6.417483181001884986e+02
9.891596596773277270e+03,6.417709196711314235e+02
9.891596619665611797e+03,6.417935187299977997e+02
9.891596642557948144e+03,6.418161152801744720e+02
9.891596665450284490e+03,6.418387093196603246e+02
9.891596688342619018e+03,6.418613008464560608e+02
9.891596711234955364e+03,6.418838898639470472e+02
9.891596734127289892e+03,6.419064763683384172e+02
9.891596757019626239e+03,6.419290603630153100e+02
9.891596779911960766e+03,6.419516418441835413e+02
9.891596802804297113e+03,6.419742208152277954e+02
9.891596825696631640e+03,6.419967972723544563e+02
9.891596848588967987e+03,6.420193712189471853e+02
9.891596871481304333e+03,6.420419426530072542e+02
9.891596894373638861e+03,6.420645115725368441e+02
9.891596917265975208e+03,6.420870779809182523e+02
9.891596940158309735e+03,6.421096418743603635e+02
9.891596963050646082e+03,6.421322032562447930e+02
9.891596985942980609e+03,6.421547621227814489e+02
9.891597008835316956e+03,6.421773184773509229e+02
9.891597031727651483e+03,6.421998723161643738e+02
9.891597054619987830e+03,6.422224236426014841e+02
9.891597077512322358e+03,6.422449724528742081e+02
9.891597100404658704e+03,6.422675187503612051e+02
9.891597123296995051e+03,6.422900625330665889e+02
9.891597146189329578e+03,6.423126037989949282e+02
9.891597169081665925e+03,6.423351425515243136e+02
9.891597191974000452e+03,6.423576787868685187e+02
9.891597214866336799e+03,6.423802125084048384e+02
9.891597237758671326e+03,6.424027437123479558e+02
9.891597260651007673e+03,6.424252724020741425e+02
9.891597283543342201e+03,6.424477985737993322e+02
9.891597306435678547e+03,6.424703222308988870e+02
9.891597329328014894e+03,6.424928433713786262e+02
9.891597352220349421e+03,6.425153619932455058e+02
9.891597375112685768e+03,6.425378780998739785e+02
9.891597398005020295e+03,6.425603916874815695e+02
9.891597420897356642e+03,6.425829027594422769e+02
9.891597443789691170e+03,6.426054113119745352e+02
9.891597466682027516e+03,6.426279173484513194e+02
9.891597489574362044e+03,6.426504208650923147e+02
9.891597512466698390e+03,6.426729218652693589e+02
9.891597535359032918e+03,6.426954203452030470e+02
9.891597558251369264e+03,6.427179163082648756e+02
9.891597581143705611e+03,6.427404097524629378e+02
9.891597604036040138e+03,6.427629006758065771e+02
9.891597626928376485e+03,6.427853890816658122e+02
9.891597649820711013e+03,6.428078749662635119e+02
9.891597672713047359e+03,6.428303583329690127e+02
9.891597695605381887e+03,6.428528391780055244e+02
9.891597718497718233e+03,6.428753175047419290e+02
9.891597741390052761e+03,6.428977933094024593e+02
9.891597764282389107e+03,6.429202665953552014e+02
9.891597787174725454e+03,6.429427373606100673e+02
9.891597810067059982e+03,6.429652056031787879e+02
9.891597832959396328e+03,6.429876713264278578e+02
9.891597855851730856e+03,6.430101345265836699e+02
9.891597878744067202e+03,6.430325952070123776e+02
9.891597901636401730e+03,6.430550533639412834e+02
9.891597924528738076e+03,6.430775090007355175e+02
9.891597947421072604e+03,6.430999621136230644e+02
9.891597970313408950e+03,6.431224127059685998e+02
9.891597993205745297e+03,6.431448607757845366e+02
9.891598016098079825e+03,6.431673063210838563e+02
9.891598038990416171e+03,6.431897493452304388e+02
9.891598061882750699e+03,6.432121898444538601e+02
9.891598084775087045e+03,6.432346278221174316e+02
9.891598107667421573e+03,6.432570632744516388e+02
9.891598130559757919e+03,6.432794962048185425e+02
9.891598153452092447e+03,6.433019266094501063e+02
9.891598176344428794e+03,6.433243544917072541e+02
9.891598199236763321e+03,6.433467798478228588e+02
9.891598222129099668e+03,6.433692026811572759e+02
9.891598245021436014e+03,6.433916229897255334e+02
9.891598267913770542e+03,6.434140407715428864e+02
9.891598290806106888e+03,6.434364560299690083e+02
9.891598313698441416e+03,6.434588687612385911e+02
9.891598336590777762e+03,6.434812789687098302e+02
9.891598359483112290e+03,6.435036866486190092e+02
9.891598382375448637e+03,6.435260918043233005e+02
9.891598405267783164e+03,6.435484944320594423e+02
9.891598428160119511e+03,6.435708945351844932e+02
9.891598451052455857e+03,6.435932921117153001e+02
9.891598473944790385e+03,6.436156871596695055e+02
9.891598496837126731e+03,6.436380796824028039e+02
9.891598519729461259e+03,6.436604696761542073e+02
9.891598542621797606e+03,6.436828571442785005e+02
9.891598565514132133e+03,6.437052420830151505e+02
9.891598588406468480e+03,6.437276244957187146e+02
9.891598611298803007e+03,6.437500043786295691e+02
9.891598634191139354e+03,6.437723817351010211e+02
9.891598657083473881e+03,6.437947565613742427e+02
9.891598679975810228e+03,6.438171288608023133e+02
9.891598702868146574e+03,6.438394986314044672e+02
9.891598725760481102e+03,6.438618658712007345e+02
9.891598748652817449e+03,6.438842305835429443e+02
9.891598771545151976e+03,6.439065927646745422e+02
9.891598794437488323e+03,6.439289524179461068e+02
9.891598817329822850e+03,6.439513095396019935e+02
9.891598840222159197e+03,6.439736641329923259e+02
9.891598863114493724e+03,6.439960161943620278e+02
