Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062594821759266779e+04,2.559622996884934221e+00
1.062594823627046208e+04,2.559623031735552612e+00
1.062594825494825454e+04,2.559623066580105633e+00
1.062594827362604883e+04,2.559623101418600832e+00
1.062594829230384312e+04,2.559623136251034214e+00
1.062594831098163559e+04,2.559623171077402226e+00
1.062594832965942987e+04,2.559623205897711085e+00
1.062594834833722416e+04,2.559623240711957681e+00
1.062594836701501663e+04,2.559623275520138019e+00
1.062594838569281092e+04,2.559623310322259204e+00
1.062594840437060520e+04,2.559623345118317239e+00
1.062594842304839767e+04,2.559623379908309015e+00
1.062594844172619196e+04,2.559623414692240306e+00
1.062594846040398625e+04,2.559623449470107559e+00
1.062594847908178053e+04,2.559623484241911218e+00
1.062594849775957300e+04,2.559623519007647729e+00
1.062594851643736729e+04,2.559623553767322868e+00
1.062594853511516158e+04,2.559623588520933968e+00
1.062594855379295404e+04,2.559623623268476589e+00
1.062594857247074833e+04,2.559623658009957836e+00
1.062594859114854262e+04,2.559623692745373713e+00
1.062594860982633509e+04,2.559623727474720667e+00
1.062594862850412937e+04,2.559623762198006247e+00
1.062594864718192366e+04,2.559623796915225569e+00
1.062594866585971613e+04,2.559623831626375079e+00
1.062594868453751042e+04,2.559623866331462327e+00
1.062594870321530470e+04,2.559623901030483317e+00
1.062594872189309717e+04,2.559623935723433164e+00
1.062594874057089146e+04,2.559623970410320748e+00
1.062594875924868575e+04,2.559624005091141186e+00
1.062594877792647821e+04,2.559624039765890480e+00
1.062594879660427250e+04,2.559624074434575736e+00
1.062594881528206679e+04,2.559624109097193845e+00
1.062594883395985926e+04,2.559624143753740366e+00
1.062594885263765354e+04,2.559624178404222405e+00
1.062594887131544783e+04,2.559624213048635522e+00
1.062594888999324030e+04,2.559624247686977938e+00
1.062594890867103459e+04,2.559624282319254096e+00
1.062594892734882887e+04,2.559624316945460887e+00
1.062594894602662316e+04,2.559624351565599643e+00
1.062594896470441563e+04,2.559624386179665034e+00
1.062594898338220992e+04,2.559624420787664612e+00
1.062594900206000420e+04,2.559624455389594377e+00
1.062594902073779667e+04,2.559624489985450779e+00
1.062594903941559096e+04,2.559624524575240034e+00
1.062594905809338525e+04,2.559624559158959478e+00
1.062594907677117772e+04,2.559624593736604670e+00
1.062594909544897200e+04,2.559624628308182270e+00
1.062594911412676629e+04,2.559624662873689172e+00
1.062594913280455876e+04,2.559624697433120932e+00
1.062594915148235305e+04,2.559624731986485546e+00
1.062594917016014733e+04,2.559624766533777684e+00
1.062594918883793980e+04,2.559624801074995570e+00
1.062594920751573409e+04,2.559624835610144089e+00
1.062594922619352838e+04,2.559624870139220132e+00
1.062594924487132084e+04,2.559624904662220590e+00
1.062594926354911513e+04,2.559624939179152125e+00
1.062594928222690942e+04,2.559624973690010297e+00
1.062594930090470189e+04,2.559625008194791995e+00
1.062594931958249617e+04,2.559625042693504327e+00
1.062594933826029046e+04,2.559625077186142850e+00
1.062594935693808293e+04,2.559625111672703568e+00
1.062594937561587722e+04,2.559625146153194475e+00
1.062594939429367150e+04,2.559625180627611574e+00
1.062594941297146579e+04,2.559625215095953532e+00
1.062594943164925826e+04,2.559625249558218130e+00
1.062594945032705255e+04,2.559625284014411584e+00
1.062594946900484683e+04,2.559625318464529009e+00
1.062594948768263930e+04,2.559625352908568630e+00
1.062594950636043359e+04,2.559625387346536218e+00
1.062594952503822788e+04,2.559625421778428223e+00
1.062594954371602034e+04,2.559625456204241090e+00
1.062594956239381463e+04,2.559625490623981037e+00
1.062594958107160892e+04,2.559625525037645399e+00
1.062594959974940139e+04,2.559625559445229293e+00
1.062594961842719567e+04,2.559625593846739822e+00
1.062594963710498996e+04,2.559625628242174322e+00
1.062594965578278243e+04,2.559625662631528353e+00
1.062594967446057672e+04,2.559625697014807688e+00
1.062594969313837100e+04,2.559625731392010106e+00
1.062594971181616347e+04,2.559625765763131167e+00
1.062594973049395776e+04,2.559625800128178419e+00
1.062594974917175205e+04,2.559625834487146534e+00
1.062594976784954451e+04,2.559625868840033736e+00
1.062594978652733880e+04,2.559625903186845797e+00
1.062594980520513309e+04,2.559625937527578721e+00
1.062594982388292556e+04,2.559625971862229843e+00
1.062594984256071984e+04,2.559626006190805381e+00
1.062594986123851413e+04,2.559626040513300893e+00
1.062594987991630842e+04,2.559626074829717712e+00
1.062594989859410089e+04,2.559626109140050954e+00
1.062594991727189517e+04,2.559626143444307722e+00
1.062594993594968946e+04,2.559626177742484465e+00
1.062594995462748193e+04,2.559626212034577186e+00
1.062594997330527622e+04,2.559626246320592546e+00
1.062594999198307050e+04,2.559626280600527881e+00
1.062595001066086297e+04,2.559626314874377861e+00
1.062595002933865726e+04,2.559626349142150925e+00
1.062595004801645155e+04,2.559626383403842187e+00
1.062595006669424401e+04,2.559626417659448538e+00
1.062595008537203830e+04,2.559626451908976641e+00
1.062595010404983259e+04,2.559626486152422498e+00
1.062595012272762506e+04,2.559626520389783000e+00
1.062595014140541934e+04,2.559626554621063921e+00
1.062595016008321363e+04,2.559626588846262596e+00
1.062595017876100610e+04,2.559626623065375028e+00
1.062595019743880039e+04,2.559626657278407880e+00
1.062595021611659467e+04,2.559626691485357597e+00
1.062595023479438714e+04,2.559626725686220627e+00
1.062595025347218143e+04,2.559626759881002744e+00
1.062595027214997572e+04,2.559626794069701283e+00
1.062595029082776819e+04,2.559626828252312247e+00
1.062595030950556247e+04,2.559626862428842742e+00
1.062595032818335676e+04,2.559626896599288326e+00
1.062595034686115105e+04,2.559626930763649444e+00
1.062595036553894352e+04,2.559626964921922543e+00
1.062595038421673780e+04,2.559626999074113396e+00
1.062595040289453209e+04,2.559627033220218895e+00
1.062595042157232456e+04,2.559627067360235930e+00
1.062595044025011885e+04,2.559627101494170276e+00
1.062595045892791313e+04,2.559627135622018823e+00
1.062595047760570560e+04,2.559627169743778019e+00
1.062595049628349989e+04,2.559627203859454081e+00
1.062595051496129418e+04,2.559627237969043456e+00
1.062595053363908664e+04,2.559627272072543036e+00
1.062595055231688093e+04,2.559627306169958594e+00
1.062595057099467522e+04,2.559627340261287465e+00
1.062595058967246769e+04,2.559627374346525208e+00
1.062595060835026197e+04,2.559627408425679373e+00
1.062595062702805626e+04,2.559627442498745076e+00
1.062595064570584873e+04,2.559627476565719650e+00
1.062595066438364302e+04,2.559627510626609759e+00
1.062595068306143730e+04,2.559627544681410960e+00
1.062595070173922977e+04,2.559627578730120590e+00
1.062595072041702406e+04,2.559627612772744865e+00
1.062595073909481835e+04,2.559627646809279344e+00
1.062595075777261081e+04,2.559627680839721808e+00
1.062595077645040510e+04,2.559627714864078474e+00
1.062595079512819939e+04,2.559627748882344900e+00
1.062595081380599368e+04,2.559627782894521975e+00
1.062595083248378614e+04,2.559627816900604813e+00
1.062595085116158043e+04,2.559627850900601409e+00
1.062595086983937472e+04,2.559627884894508210e+00
1.062595088851716719e+04,2.559627918882320330e+00
1.062595090719496147e+04,2.559627952864044431e+00
1.062595092587275576e+04,2.559627986839678293e+00
1.062595094455054823e+04,2.559628020809217031e+00
1.062595096322834252e+04,2.559628054772668193e+00
1.062595098190613680e+04,2.559628088730027340e+00
1.062595100058392927e+04,2.559628122681290918e+00
1.062595101926172356e+04,2.559628156626466478e+00
1.062595103793951785e+04,2.559628190565549133e+00
1.062595105661731031e+04,2.559628224498536220e+00
1.062595107529510460e+04,2.559628258425433955e+00
1.062595109397289889e+04,2.559628292346238787e+00
1.062595111265069136e+04,2.559628326260947162e+00
1.062595113132848564e+04,2.559628360169564854e+00
1.062595115000627993e+04,2.559628394072090085e+00
1.062595116868407240e+04,2.559628427968517972e+00
1.062595118736186669e+04,2.559628461858855175e+00
1.062595120603966097e+04,2.559628495743097698e+00
1.062595122471745344e+04,2.559628529621243320e+00
1.062595124339524773e+04,2.559628563493297371e+00
1.062595126207304202e+04,2.559628597359256741e+00
1.062595128075083630e+04,2.559628631219121431e+00
1.062595129942862877e+04,2.559628665072886999e+00
1.062595131810642306e+04,2.559628698920561440e+00
1.062595133678421735e+04,2.559628732762139425e+00
1.062595135546200981e+04,2.559628766597618732e+00
1.062595137413980410e+04,2.559628800427005579e+00
1.062595139281759839e+04,2.559628834250295526e+00
1.062595141149539086e+04,2.559628868067486351e+00
1.062595143017318514e+04,2.559628901878584273e+00
1.062595144885097943e+04,2.559628935683584405e+00
1.062595146752877190e+04,2.559628969482484973e+00
1.062595148620656619e+04,2.559629003275291748e+00
1.062595150488436047e+04,2.559629037062000290e+00
1.062595152356215294e+04,2.559629070842608378e+00
1.062595154223994723e+04,2.559629104617122675e+00
1.062595156091774152e+04,2.559629138385537850e+00
1.062595157959553399e+04,2.559629172147852127e+00
1.062595159827332827e+04,2.559629205904071281e+00
1.062595161695112256e+04,2.559629239654191313e+00
1.062595163562891503e+04,2.559629273398210003e+00
1.062595165430670932e+04,2.559629307136132681e+00
1.062595167298450360e+04,2.559629340867955793e+00
1.062595169166229607e+04,2.559629374593676232e+00
1.062595171034009036e+04,2.559629408313300658e+00
