Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905193796296138316e+03,7.229790583855176465e+02
9.905193817625817246e+03,7.230028628855308170e+02
9.905193838955496176e+03,7.230266649330752671e+02
9.905193860285176925e+03,7.230504645299932918e+02
9.905193881614855854e+03,7.230742616720385740e+02
9.905193902944534784e+03,7.230980563610536365e+02
9.905193924274213714e+03,7.231218485968510095e+02
9.905193945603892644e+03,7.231456383792436782e+02
9.905193966933571573e+03,7.231694257080446278e+02
9.905193988263252322e+03,7.231932105850945618e+02
9.905194009592931252e+03,7.232169930061498917e+02
9.905194030922610182e+03,7.232407729730516621e+02
9.905194052252289111e+03,7.232645504856129719e+02
9.905194073581968041e+03,7.232883255436470336e+02
9.905194094911648790e+03,7.233120981489936412e+02
9.905194116241327720e+03,7.233358682974107978e+02
9.905194137571006650e+03,7.233596359907397755e+02
9.905194158900685579e+03,7.233834012287928772e+02
9.905194180230364509e+03,7.234071640113835429e+02
9.905194201560043439e+03,7.234309243383243029e+02
9.905194222889724188e+03,7.234546822114544966e+02
9.905194244219403117e+03,7.234784376265350829e+02
9.905194265549082047e+03,7.235021905854051738e+02
9.905194286878760977e+03,7.235259410878782091e+02
9.905194308208439907e+03,7.235496891337668330e+02
9.905194329538120655e+03,7.235734347249097027e+02
9.905194350867799585e+03,7.235971778570693687e+02
9.905194372197478515e+03,7.236209185320841470e+02
9.905194393527157445e+03,7.236446567497680462e+02
9.905194414856836374e+03,7.236683925099333692e+02
9.905194436186517123e+03,7.236921258144175226e+02
9.905194457516196053e+03,7.237158566589860129e+02
9.905194478845874983e+03,7.237395850454760193e+02
9.905194500175553912e+03,7.237633109737009818e+02
9.905194521505232842e+03,7.237870344434741128e+02
9.905194542834911772e+03,7.238107554546087385e+02
9.905194564164592521e+03,7.238344740089410152e+02
9.905194585494271450e+03,7.238581901022387228e+02
9.905194606823950380e+03,7.238819037363380176e+02
9.905194628153629310e+03,7.239056149110525666e+02
9.905194649483308240e+03,7.239293236261955826e+02
9.905194670812988988e+03,7.239530298836023121e+02
9.905194692142667918e+03,7.239767336790425816e+02
9.905194713472346848e+03,7.240004350143519787e+02
9.905194734802025778e+03,7.240241338893438297e+02
9.905194756131704708e+03,7.240478303038318018e+02
