Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.913946643518749624e+03,3.605593155435800945e+00
9.913946661622412648e+03,3.605593169641577500e+00
9.913946679726073853e+03,3.605593183845750449e+00
9.913946697829736877e+03,3.605593198048325565e+00
9.913946715933398082e+03,3.605593212249296631e+00
9.913946734037061105e+03,3.605593226448668975e+00
9.913946752140722310e+03,3.605593240646438158e+00
9.913946770244385334e+03,3.605593254842608619e+00
9.913946788348046539e+03,3.605593269037175030e+00
9.913946806451709563e+03,3.605593283230142720e+00
9.913946824555372586e+03,3.605593297421509025e+00
9.913946842659033791e+03,3.605593311611272611e+00
9.913946860762696815e+03,3.605593325799436144e+00
9.913946878866358020e+03,3.605593339985996959e+00
9.913946896970021044e+03,3.605593354170957721e+00
9.913946915073682248e+03,3.605593368354316208e+00
9.913946933177345272e+03,3.605593382536074198e+00
9.913946951281006477e+03,3.605593396716229027e+00
9.913946969384669501e+03,3.605593410894784689e+00
9.913946987488332525e+03,3.605593425071738078e+00
9.913947005591993729e+03,3.605593439247088750e+00
9.913947023695656753e+03,3.605593453420839811e+00
9.913947041799317958e+03,3.605593467592986823e+00
9.913947059902980982e+03,3.605593481763534225e+00
9.913947078006642187e+03,3.605593495932478465e+00
9.913947096110305210e+03,3.605593510099822652e+00
9.913947114213966415e+03,3.605593524265563676e+00
9.913947132317629439e+03,3.605593538429704203e+00
9.913947150421292463e+03,3.605593552592242457e+00
9.913947168524953668e+03,3.605593566753177992e+00
9.913947186628616691e+03,3.605593580912512586e+00
9.913947204732277896e+03,3.605593595070244461e+00
9.913947222835940920e+03,3.605593609226375840e+00
9.913947240939602125e+03,3.605593623380903612e+00
9.913947259043265149e+03,3.605593637533830886e+00
9.913947277146926353e+03,3.605593651685154999e+00
9.913947295250589377e+03,3.605593665834877726e+00
9.913947313354252401e+03,3.605593679982998623e+00
9.913947331457913606e+03,3.605593694129516358e+00
9.913947349561576630e+03,3.605593708274433595e+00
9.913947367665237834e+03,3.605593722417746338e+00
9.913947385768900858e+03,3.605593736559459472e+00
9.913947403872562063e+03,3.605593750699567668e+00
9.913947421976225087e+03,3.605593764838075810e+00
9.913947440079888111e+03,3.605593778974981678e+00
9.913947458183549315e+03,3.605593793110283496e+00
9.913947476287212339e+03,3.605593807243985260e+00
9.913947494390873544e+03,3.605593821376082087e+00
9.913947512494536568e+03,3.605593835506578415e+00
9.913947530598197773e+03,3.605593849635470693e+00
9.913947548701860796e+03,3.605593863762762030e+00
9.913947566805522001e+03,3.605593877888449761e+00
9.913947584909185025e+03,3.605593892012535662e+00
9.913947603012848049e+03,3.605593906135019289e+00
9.913947621116509254e+03,3.605593920255898865e+00
9.913947639220172277e+03,3.605593934375177056e+00
9.913947657323833482e+03,3.605593948492851641e+00
9.913947675427496506e+03,3.605593962608924841e+00
9.913947693531157711e+03,3.605593976723393546e+00
9.913947711634820735e+03,3.605593990836261309e+00
9.913947729738481939e+03,3.605594004947524578e+00
9.913947747842144963e+03,3.605594019057186461e+00
9.913947765945807987e+03,3.605594033165245627e+00
9.913947784049469192e+03,3.605594047271700298e+00
9.913947802153132216e+03,3.605594061376554027e+00
9.913947820256793420e+03,3.605594075479802818e+00
9.913947838360456444e+03,3.605594089581449779e+00
9.913947856464117649e+03,3.605594103681492690e+00
9.913947874567780673e+03,3.605594117779934660e+00
9.913947892671441878e+03,3.605594131876771247e+00
9.913947910775104901e+03,3.605594145972006004e+00
9.913947928878767925e+03,3.605594160065638487e+00
9.913947946982429130e+03,3.605594174157666032e+00
9.913947965086092154e+03,3.605594188248091303e+00
9.913947983189753359e+03,3.605594202336912524e+00
9.913948001293416382e+03,3.605594216424131471e+00
9.913948019397077587e+03,3.605594230509746367e+00
9.913948037500740611e+03,3.605594244593758546e+00
9.913948055604401816e+03,3.605594258676166231e+00
9.913948073708064840e+03,3.605594272756972529e+00
9.913948091811727863e+03,3.605594286836174778e+00
9.913948109915389068e+03,3.605594300913772088e+00
9.913948128019052092e+03,3.605594314989767124e+00
9.913948146122713297e+03,3.605594329064157666e+00
9.913948164226376321e+03,3.605594343136946378e+00
9.913948182330037525e+03,3.605594357208130152e+00
9.913948200433700549e+03,3.605594371277711208e+00
9.913948218537361754e+03,3.605594385345687325e+00
9.913948236641024778e+03,3.605594399412061613e+00
9.913948254744687802e+03,3.605594413476831406e+00
9.913948272848349006e+03,3.605594427539996705e+00
9.913948290952012030e+03,3.605594441601559730e+00
9.913948309055673235e+03,3.605594455661517372e+00
9.913948327159336259e+03,3.605594469719872297e+00
9.913948345262997464e+03,3.605594483776622727e+00
9.913948363366660487e+03,3.605594497831769996e+00
9.913948381470321692e+03,3.605594511885311881e+00
9.913948399573984716e+03,3.605594525937251937e+00
9.913948417677647740e+03,3.605594539987587055e+00
9.913948435781308945e+03,3.605594554036318122e+00
9.913948453884971968e+03,3.605594568083445139e+00
9.913948471988633173e+03,3.605594582128967662e+00
9.913948490092296197e+03,3.605594596172887023e+00
9.913948508195957402e+03,3.605594610215200557e+00
9.913948526299620426e+03,3.605594624255911818e+00
9.913948544403281630e+03,3.605594638295017251e+00
