Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.917309675925876945e+03,3.448131555574522444e+00
9.917309697571559809e+03,3.448131515399283753e+00
9.917309719217242673e+03,3.448131475225206355e+00
9.917309740862925537e+03,3.448131435052292915e+00
9.917309762508608401e+03,3.448131394880541212e+00
9.917309784154293084e+03,3.448131354709949470e+00
9.917309805799975948e+03,3.448131314540523462e+00
9.917309827445658811e+03,3.448131274372260524e+00
9.917309849091341675e+03,3.448131234205160656e+00
9.917309870737024539e+03,3.448131194039224745e+00
9.917309892382707403e+03,3.448131153874451016e+00
9.917309914028390267e+03,3.448131113710841689e+00
9.917309935674073131e+03,3.448131073548396319e+00
9.917309957319757814e+03,3.448131033387110467e+00
9.917309978965440678e+03,3.448130993226992569e+00
9.917310000611123542e+03,3.448130953068038629e+00
9.917310022256806405e+03,3.448130912910248203e+00
9.917310043902489269e+03,3.448130872753623066e+00
9.917310065548172133e+03,3.448130832598161444e+00
9.917310087193854997e+03,3.448130792443865111e+00
9.917310108839537861e+03,3.448130752290732737e+00
9.917310130485222544e+03,3.448130712138762100e+00
9.917310152130905408e+03,3.448130671987959417e+00
9.917310173776588272e+03,3.448130631838322468e+00
9.917310195422271136e+03,3.448130591689849922e+00
9.917310217067954000e+03,3.448130551542543110e+00
9.917310238713636863e+03,3.448130511396402031e+00
9.917310260359319727e+03,3.448130471251425799e+00
9.917310282005002591e+03,3.448130431107615745e+00
9.917310303650687274e+03,3.448130390964967873e+00
9.917310325296370138e+03,3.448130350823489731e+00
9.917310346942053002e+03,3.448130310683177324e+00
9.917310368587735866e+03,3.448130270544031095e+00
9.917310390233418730e+03,3.448130230406051489e+00
9.917310411879101594e+03,3.448130190269237616e+00
9.917310433524784457e+03,3.448130150133590366e+00
9.917310455170467321e+03,3.448130109999110182e+00
9.917310476816152004e+03,3.448130069865793068e+00
9.917310498461834868e+03,3.448130029733647017e+00
9.917310520107517732e+03,3.448129989602667589e+00
9.917310541753200596e+03,3.448129949472855227e+00
9.917310563398883460e+03,3.448129909344210819e+00
9.917310585044566324e+03,3.448129869216732590e+00
9.917310606690249188e+03,3.448129829090422760e+00
9.917310628335932051e+03,3.448129788965281328e+00
9.917310649981616734e+03,3.448129748841303410e+00
9.917310671627299598e+03,3.448129708718496556e+00
9.917310693272982462e+03,3.448129668596858544e+00
9.917310714918665326e+03,3.448129628476388042e+00
9.917310736564348190e+03,3.448129588357086828e+00
9.917310758210031054e+03,3.448129548238953124e+00
9.917310779855713918e+03,3.448129508121989151e+00
9.917310801501396782e+03,3.448129468006192688e+00
9.917310823147079645e+03,3.448129427891565513e+00
9.917310844792764328e+03,3.448129387778104071e+00
9.917310866438447192e+03,3.448129347665815025e+00
9.917310888084130056e+03,3.448129307554695266e+00
9.917310909729812920e+03,3.448129267444744350e+00
9.917310931375495784e+03,3.448129227335963165e+00
9.917310953021178648e+03,3.448129187228351711e+00
9.917310974666861512e+03,3.448129147121909988e+00
9.917310996312544376e+03,3.448129107016638439e+00
9.917311017958229058e+03,3.448129066912533069e+00
9.917311039603911922e+03,3.448129026809601427e+00
9.917311061249594786e+03,3.448128986707839516e+00
9.917311082895277650e+03,3.448128946607248224e+00
9.917311104540960514e+03,3.448128906507827995e+00
9.917311126186643378e+03,3.448128866409577498e+00
9.917311147832326242e+03,3.448128826312498507e+00
9.917311169478009106e+03,3.448128786216590136e+00
9.917311191123693789e+03,3.448128746121848831e+00
9.917311212769376652e+03,3.448128706028282142e+00
9.917311234415059516e+03,3.448128665935887405e+00
9.917311256060742380e+03,3.448128625844663286e+00
9.917311277706425244e+03,3.448128585754611120e+00
9.917311299352108108e+03,3.448128545665730460e+00
9.917311320997790972e+03,3.448128505578021308e+00
9.917311342643473836e+03,3.448128465491484551e+00
9.917311364289158519e+03,3.448128425406116193e+00
9.917311385934841383e+03,3.448128385321923339e+00
9.917311407580524246e+03,3.448128345238902881e+00
9.917311429226207110e+03,3.448128305157053930e+00
9.917311450871889974e+03,3.448128265076378263e+00
9.917311472517572838e+03,3.448128224996875435e+00
9.917311494163255702e+03,3.448128184918545003e+00
9.917311515808938566e+03,3.448128144841387854e+00
9.917311537454623249e+03,3.448128104765399993e+00
9.917311559100306113e+03,3.448128064690588523e+00
9.917311580745988977e+03,3.448128024616950338e+00
9.917311602391671840e+03,3.448127984544485880e+00
9.917311624037354704e+03,3.448127944473194706e+00
9.917311645683037568e+03,3.448127904403077260e+00
9.917311667328720432e+03,3.448127864334133541e+00
9.917311688974403296e+03,3.448127824266363994e+00
9.917311710620087979e+03,3.448127784199764179e+00
9.917311732265770843e+03,3.448127744134342532e+00
9.917311753911453707e+03,3.448127704070095056e+00
9.917311775557136571e+03,3.448127664007022197e+00
9.917311797202819434e+03,3.448127623945123510e+00
9.917311818848502298e+03,3.448127583884400327e+00
9.917311840494185162e+03,3.448127543824850871e+00
9.917311862139868026e+03,3.448127503766476920e+00
9.917311883785550890e+03,3.448127463709278029e+00
9.917311905431235573e+03,3.448127423653250645e+00
9.917311927076918437e+03,3.448127383598401874e+00
9.917311948722601301e+03,3.448127343544729051e+00
9.917311970368284165e+03,3.448127303492231288e+00
9.917311992013967028e+03,3.448127263440909474e+00
9.917312013659649892e+03,3.448127223390762719e+00
9.917312035305332756e+03,3.448127183341792357e+00
9.917312056951015620e+03,3.448127143293998387e+00
9.917312078596700303e+03,3.448127103247376812e+00
9.917312100242383167e+03,3.448127063201935183e+00
9.917312121888066031e+03,3.448127023157669946e+00
9.917312143533748895e+03,3.448126983114580657e+00
9.917312165179431759e+03,3.448126943072669093e+00
9.917312186825114622e+03,3.448126903031933921e+00
9.917312208470797486e+03,3.448126862992375585e+00
9.917312230116480350e+03,3.448126822953994086e+00
9.917312251762165033e+03,3.448126782916786759e+00
9.917312273407847897e+03,3.448126742880759821e+00
9.917312295053530761e+03,3.448126702845909719e+00
9.917312316699213625e+03,3.448126662812238230e+00
9.917312338344896489e+03,3.448126622779744466e+00
9.917312359990579353e+03,3.448126582748427538e+00
9.917312381636262216e+03,3.448126542718289222e+00
9.917312403281945080e+03,3.448126502689328632e+00
9.917312424927629763e+03,3.448126462661543545e+00
9.917312446573312627e+03,3.448126422634939292e+00
9.917312468218995491e+03,3.448126382609514540e+00
9.917312489864678355e+03,3.448126342585267512e+00
9.917312511510361219e+03,3.448126302562199541e+00
9.917312533156044083e+03,3.448126262540310183e+00
9.917312554801726947e+03,3.448126222519599438e+00
9.917312576447409810e+03,3.448126182500068193e+00
9.917312598093094493e+03,3.448126142481712897e+00
9.917312619738777357e+03,3.448126102464540654e+00
9.917312641384460221e+03,3.448126062448547025e+00
9.917312663030143085e+03,3.448126022433733784e+00
9.917312684675825949e+03,3.448125982420099600e+00
9.917312706321508813e+03,3.448125942407644917e+00
9.917312727967191677e+03,3.448125902396371067e+00
9.917312749612874541e+03,3.448125862386276719e+00
9.917312771258559223e+03,3.448125822377359651e+00
9.917312792904242087e+03,3.448125782369626080e+00
9.917312814549924951e+03,3.448125742363073343e+00
9.917312836195607815e+03,3.448125702357700995e+00
9.917312857841290679e+03,3.448125662353509036e+00
9.917312879486973543e+03,3.448125622350497910e+00
9.917312901132656407e+03,3.448125582348667617e+00
9.917312922778339271e+03,3.448125542348018602e+00
9.917312944424022135e+03,3.448125502348551752e+00
9.917312966069706818e+03,3.448125462350261738e+00
9.917312987715389681e+03,3.448125422353156555e+00
9.917313009361072545e+03,3.448125382357233981e+00
9.917313031006755409e+03,3.448125342362491796e+00
9.917313052652438273e+03,3.448125302368932221e+00
9.917313074298121137e+03,3.448125262376554812e+00
9.917313095943804001e+03,3.448125222385358679e+00
9.917313117589486865e+03,3.448125182395346044e+00
9.917313139235171548e+03,3.448125142406511578e+00
9.917313160880854412e+03,3.448125102418862831e+00
9.917313182526537275e+03,3.448125062432397137e+00
9.917313204172220139e+03,3.448125022447114052e+00
9.917313225817903003e+03,3.448124982463013577e+00
9.917313247463585867e+03,3.448124942480096156e+00
9.917313269109268731e+03,3.448124902498361788e+00
9.917313290754951595e+03,3.448124862517810474e+00
9.917313312400636278e+03,3.448124822538439993e+00
9.917313334046319142e+03,3.448124782560255674e+00
9.917313355692002006e+03,3.448124742583255742e+00
9.917313377337684869e+03,3.448124702607438419e+00
9.917313398983367733e+03,3.448124662632805482e+00
9.917313420629050597e+03,3.448124622659356930e+00
9.917313442274733461e+03,3.448124582687091877e+00
9.917313463920416325e+03,3.448124542716011653e+00
9.917313485566101008e+03,3.448124502746112263e+00
9.917313507211783872e+03,3.448124462777400812e+00
9.917313528857466736e+03,3.448124422809873746e+00
9.917313550503149600e+03,3.448124382843530622e+00
9.917313572148832463e+03,3.448124342878373660e+00
9.917313593794515327e+03,3.448124302914401085e+00
9.917313615440198191e+03,3.448124262951614227e+00
9.917313637085881055e+03,3.448124222990012200e+00
9.917313658731565738e+03,3.448124183029592338e+00
9.917313680377248602e+03,3.448124143070360859e+00
9.917313702022931466e+03,3.448124103112315542e+00
9.917313723668614330e+03,3.448124063155455499e+00
9.917313745314297194e+03,3.448124023199782062e+00
9.917313766959980057e+03,3.448123983245294344e+00
9.917313788605662921e+03,3.448123943291992788e+00
9.917313810251345785e+03,3.448123903339877394e+00
9.917313831897030468e+03,3.448123863388945054e+00
9.917313853542713332e+03,3.448123823439201985e+00
9.917313875188396196e+03,3.448123783490646410e+00
9.917313896834079060e+03,3.448123743543276998e+00
9.917313918479761924e+03,3.448123703597094636e+00
9.917313940125444788e+03,3.448123663652099768e+00
9.917313961771127651e+03,3.448123623708291952e+00
9.917313983416810515e+03,3.448123583765671185e+00
9.917314005062495198e+03,3.448123543824234360e+00
9.917314026708178062e+03,3.448123503883988139e+00
9.917314048353860926e+03,3.448123463944929856e+00
9.917314069999543790e+03,3.448123424007059956e+00
9.917314091645226654e+03,3.448123384070377107e+00
9.917314113290909518e+03,3.448123344134882640e+00
9.917314134936592382e+03,3.448123304200576111e+00
9.917314156582275245e+03,3.448123264267458854e+00
9.917314178227958109e+03,3.448123224335528647e+00
9.917314199873642792e+03,3.448123184404784158e+00
9.917314221519325656e+03,3.448123144475231605e+00
9.917314243165008520e+03,3.448123104546868323e+00
9.917314264810691384e+03,3.448123064619693423e+00
9.917314286456374248e+03,3.448123024693707794e+00
9.917314308102057112e+03,3.448122984768910992e+00
9.917314329747739976e+03,3.448122944845303905e+00
9.917314351393422839e+03,3.448122904922886089e+00
9.917314373039107522e+03,3.448122865001654436e+00
9.917314394684790386e+03,3.448122825081615606e+00
9.917314416330473250e+03,3.448122785162766935e+00
9.917314437976156114e+03,3.448122745245107978e+00
9.917314459621838978e+03,3.448122705328638737e+00
9.917314481267521842e+03,3.448122665413359655e+00
9.917314502913204706e+03,3.448122625499271177e+00
