Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.891595520833507180e+03,3.860779463127896438e+00
9.891595543725843527e+03,3.860779511362892435e+00
9.891595566618178054e+03,3.860779559598658928e+00
9.891595589510514401e+03,3.860779607835202576e+00
9.891595612402848928e+03,3.860779656072517163e+00
9.891595635295185275e+03,3.860779704310609350e+00
9.891595658187519803e+03,3.860779752549470700e+00
9.891595681079856149e+03,3.860779800789109650e+00
9.891595703972190677e+03,3.860779849029518651e+00
9.891595726864527023e+03,3.860779897270703920e+00
9.891595749756863370e+03,3.860779945512662348e+00
9.891595772649197897e+03,3.860779993755389494e+00
9.891595795541534244e+03,3.860780041998893353e+00
9.891595818433868772e+03,3.860780090243165930e+00
9.891595841326205118e+03,3.860780138488214330e+00
9.891595864218539646e+03,3.860780186734031449e+00
9.891595887110875992e+03,3.860780234980623504e+00
9.891595910003210520e+03,3.860780283227984278e+00
9.891595932895546866e+03,3.860780331476119986e+00
9.891595955787881394e+03,3.860780379725023970e+00
9.891595978680217740e+03,3.860780427974702445e+00
9.891596001572554087e+03,3.860780476225151414e+00
9.891596024464888615e+03,3.860780524476368658e+00
9.891596047357224961e+03,3.860780572728359950e+00
9.891596070249559489e+03,3.860780620981118183e+00
9.891596093141895835e+03,3.860780669234650020e+00
9.891596116034230363e+03,3.860780717488948799e+00
9.891596138926566709e+03,3.860780765744021181e+00
9.891596161818901237e+03,3.860780813999860062e+00
9.891596184711237584e+03,3.860780862256471657e+00
9.891596207603573930e+03,3.860780910513853303e+00
9.891596230495908458e+03,3.860780958772000115e+00
9.891596253388244804e+03,3.860781007030921419e+00
9.891596276280579332e+03,3.860781055290606112e+00
9.891596299172915678e+03,3.860781103551064408e+00
9.891596322065250206e+03,3.860781151812287870e+00
9.891596344957586552e+03,3.860781200074282271e+00
9.891596367849921080e+03,3.860781248337042282e+00
9.891596390742257427e+03,3.860781296600574564e+00
9.891596413634591954e+03,3.860781344864870679e+00
9.891596436526928301e+03,3.860781393129938177e+00
9.891596459419264647e+03,3.860781441395773506e+00
9.891596482311599175e+03,3.860781489662372667e+00
9.891596505203935521e+03,3.860781537929743212e+00
9.891596528096270049e+03,3.860781586197876702e+00
9.891596550988606396e+03,3.860781634466781576e+00
9.891596573880940923e+03,3.860781682736448062e+00
9.891596596773277270e+03,3.860781731006886375e+00
9.891596619665611797e+03,3.860781779278087189e+00
9.891596642557948144e+03,3.860781827550057166e+00
9.891596665450284490e+03,3.860781875822794085e+00
9.891596688342619018e+03,3.860781924096293061e+00
9.891596711234955364e+03,3.860781972370562087e+00
9.891596734127289892e+03,3.860782020645592727e+00
9.891596757019626239e+03,3.860782068921392085e+00
9.891596779911960766e+03,3.860782117197952612e+00
9.891596802804297113e+03,3.860782165475283190e+00
9.891596825696631640e+03,3.860782213753374492e+00
9.891596848588967987e+03,3.860782262032234069e+00
9.891596871481304333e+03,3.860782310311858812e+00
9.891596894373638861e+03,3.860782358592243835e+00
9.891596917265975208e+03,3.860782406873397132e+00
9.891596940158309735e+03,3.860782455155309822e+00
9.891596963050646082e+03,3.860782503437991231e+00
9.891596985942980609e+03,3.860782551721432032e+00
9.891597008835316956e+03,3.860782600005640663e+00
9.891597031727651483e+03,3.860782648290608687e+00
9.891597054619987830e+03,3.860782696576344097e+00
9.891597077512322358e+03,3.860782744862838012e+00
9.891597100404658704e+03,3.860782793150099312e+00
9.891597123296995051e+03,3.860782841438123114e+00
9.891597146189329578e+03,3.860782889726906308e+00
9.891597169081665925e+03,3.860782938016455113e+00
9.891597191974000452e+03,3.860782986306761977e+00
9.891597214866336799e+03,3.860783034597834895e+00
9.891597237758671326e+03,3.860783082889665874e+00
9.891597260651007673e+03,3.860783131182262906e+00
9.891597283543342201e+03,3.860783179475617111e+00
9.891597306435678547e+03,3.860783227769736925e+00
9.891597329328014894e+03,3.860783276064617464e+00
9.891597352220349421e+03,3.860783324360255175e+00
9.891597375112685768e+03,3.860783372656658496e+00
9.891597398005020295e+03,3.860783420953817657e+00
9.891597420897356642e+03,3.860783469251741096e+00
9.891597443789691170e+03,3.860783517550421706e+00
9.891597466682027516e+03,3.860783565849866150e+00
9.891597489574362044e+03,3.860783614150067322e+00
9.891597512466698390e+03,3.860783662451030995e+00
9.891597535359032918e+03,3.860783710752750952e+00
9.891597558251369264e+03,3.860783759055234743e+00
9.891597581143705611e+03,3.860783807358477482e+00
9.891597604036040138e+03,3.860783855662475617e+00
9.891597626928376485e+03,3.860783903967236697e+00
9.891597649820711013e+03,3.860783952272751840e+00
9.891597672713047359e+03,3.860784000579030817e+00
9.891597695605381887e+03,3.860784048886063413e+00
9.891597718497718233e+03,3.860784097193858511e+00
9.891597741390052761e+03,3.860784145502408116e+00
9.891597764282389107e+03,3.860784193811719334e+00
9.891597787174725454e+03,3.860784242121788612e+00
9.891597810067059982e+03,3.860784290432611066e+00
9.891597832959396328e+03,3.860784338744195576e+00
9.891597855851730856e+03,3.860784387056532818e+00
9.891597878744067202e+03,3.860784435369631229e+00
9.891597901636401730e+03,3.860784483683482815e+00
9.891597924528738076e+03,3.860784531998095570e+00
9.891597947421072604e+03,3.860784580313460168e+00
9.891597970313408950e+03,3.860784628629585935e+00
9.891597993205745297e+03,3.860784676946466654e+00
9.891598016098079825e+03,3.860784725264100548e+00
9.891598038990416171e+03,3.860784773582494278e+00
9.891598061882750699e+03,3.860784821901639408e+00
9.891598084775087045e+03,3.860784870221544374e+00
9.891598107667421573e+03,3.860784918542200739e+00
9.891598130559757919e+03,3.860784966863616496e+00
9.891598153452092447e+03,3.860785015185783209e+00
9.891598176344428794e+03,3.860785063508708426e+00
9.891598199236763321e+03,3.860785111832384597e+00
9.891598222129099668e+03,3.860785160156819273e+00
9.891598245021436014e+03,3.860785208482008901e+00
9.891598267913770542e+03,3.860785256807947707e+00
9.891598290806106888e+03,3.860785305134645018e+00
9.891598313698441416e+03,3.860785353462092395e+00
9.891598336590777762e+03,3.860785401790297833e+00
9.891598359483112290e+03,3.860785450119252005e+00
9.891598382375448637e+03,3.860785498448963793e+00
9.891598405267783164e+03,3.860785546779425204e+00
9.891598428160119511e+03,3.860785595110642898e+00
9.891598451052455857e+03,3.860785643442614212e+00
9.891598473944790385e+03,3.860785691775333817e+00
9.891598496837126731e+03,3.860785740108809705e+00
9.891598519729461259e+03,3.860785788443034328e+00
9.891598542621797606e+03,3.860785836778014790e+00
9.891598565514132133e+03,3.860785885113743987e+00
9.891598588406468480e+03,3.860785933450228136e+00
9.891598611298803007e+03,3.860785981787460575e+00
9.891598634191139354e+03,3.860786030125447965e+00
9.891598657083473881e+03,3.860786078464182758e+00
9.891598679975810228e+03,3.860786126803672946e+00
9.891598702868146574e+03,3.860786175143914090e+00
9.891598725760481102e+03,3.860786223484902191e+00
9.891598748652817449e+03,3.860786271826643912e+00
9.891598771545151976e+03,3.860786320169133035e+00
9.891598794437488323e+03,3.860786368512376665e+00
9.891598817329822850e+03,3.860786416856365477e+00
9.891598840222159197e+03,3.860786465201109241e+00
9.891598863114493724e+03,3.860786513546598187e+00
9.891598886006830071e+03,3.860786561892840751e+00
9.891598908899166418e+03,3.860786610239833383e+00
9.891598931791500945e+03,3.860786658587570308e+00
9.891598954683837292e+03,3.860786706936061297e+00
9.891598977576171819e+03,3.860786755285297023e+00
9.891599000468508166e+03,3.860786803635285036e+00
9.891599023360842693e+03,3.860786851986017343e+00
9.891599046253179040e+03,3.860786900337502825e+00
9.891599069145513567e+03,3.860786948689732156e+00
9.891599092037849914e+03,3.860786997042713331e+00
9.891599114930186261e+03,3.860787045396443240e+00
9.891599137822520788e+03,3.860787093750916554e+00
9.891599160714857135e+03,3.860787142106140823e+00
9.891599183607191662e+03,3.860787190462109386e+00
9.891599206499528009e+03,3.860787238818828460e+00
9.891599229391862536e+03,3.860787287176290494e+00
9.891599252284198883e+03,3.860787335534503928e+00
9.891599275176533411e+03,3.860787383893460323e+00
9.891599298068869757e+03,3.860787432253166340e+00
9.891599320961204285e+03,3.860787480613615763e+00
9.891599343853540631e+03,3.860787528974814364e+00
9.891599366745876978e+03,3.860787577336759480e+00
9.891599389638211505e+03,3.860787625699446668e+00
9.891599412530547852e+03,3.860787674062883035e+00
9.891599435422882379e+03,3.860787722427061031e+00
9.891599458315218726e+03,3.860787770791989093e+00
9.891599481207553254e+03,3.860787819157657452e+00
9.891599504099889600e+03,3.860787867524074990e+00
9.891599526992224128e+03,3.860787915891234157e+00
9.891599549884560474e+03,3.860787964259141170e+00
9.891599572776896821e+03,3.860788012627792476e+00
9.891599595669231348e+03,3.860788060997184967e+00
9.891599618561567695e+03,3.860788109367325305e+00
9.891599641453902223e+03,3.860788157738205051e+00
9.891599664346238569e+03,3.860788206109833087e+00
9.891599687238573097e+03,3.860788254482200976e+00
9.891599710130909443e+03,3.860788302855315823e+00
9.891599733023243971e+03,3.860788351229170079e+00
9.891599755915580317e+03,3.860788399603771293e+00
9.891599778807914845e+03,3.860788447979112359e+00
9.891599801700251192e+03,3.860788496355199495e+00
9.891599824592587538e+03,3.860788544732029148e+00
9.891599847484922066e+03,3.860788593109597322e+00
9.891599870377258412e+03,3.860788641487911566e+00
9.891599893269592940e+03,3.860788689866965218e+00
9.891599916161929286e+03,3.860788738246763163e+00
9.891599939054263814e+03,3.860788786627299629e+00
9.891599961946600160e+03,3.860788835008581277e+00
9.891599984838934688e+03,3.860788883390601001e+00
9.891600007731271035e+03,3.860788931773365906e+00
9.891600030623607381e+03,3.860788980156871109e+00
9.891600053515941909e+03,3.860789028541114387e+00
9.891600076408278255e+03,3.860789076926101515e+00
9.891600099300612783e+03,3.860789125311824943e+00
9.891600122192949129e+03,3.860789173698293553e+00
9.891600145085283657e+03,3.860789222085498018e+00
9.891600167977620004e+03,3.860789270473446777e+00
9.891600190869954531e+03,3.860789318862131392e+00
9.891600213762290878e+03,3.860789367251559412e+00
9.891600236654627224e+03,3.860789415641727285e+00
9.891600259546961752e+03,3.860789464032630569e+00
9.891600282439298098e+03,3.860789512424276815e+00
9.891600305331632626e+03,3.860789560816658472e+00
9.891600328223968972e+03,3.860789609209782203e+00
9.891600351116303500e+03,3.860789657603641789e+00
9.891600374008639847e+03,3.860789705998242560e+00
9.891600396900974374e+03,3.860789754393578743e+00
9.891600419793310721e+03,3.860789802789656111e+00
9.891600442685645248e+03,3.860789851186468447e+00
9.891600465577981595e+03,3.860789899584021967e+00
9.891600488470317941e+03,3.860789947982313564e+00
9.891600511362652469e+03,3.860789996381338796e+00
9.891600534254988816e+03,3.860790044781104768e+00
9.891600557147323343e+03,3.860790093181603932e+00
9.891600580039659690e+03,3.860790141582845170e+00
9.891600602931994217e+03,3.860790189984817822e+00
9.891600625824330564e+03,3.860790238387532103e+00
9.891600648716665091e+03,3.860790286790978687e+00
9.891600671609001438e+03,3.860790335195164680e+00
9.891600694501337784e+03,3.860790383600087861e+00
9.891600717393672312e+03,3.860790432005742900e+00
9.891600740286008659e+03,3.860790480412136905e+00
9.891600763178343186e+03,3.860790528819262768e+00
9.891600786070679533e+03,3.860790577227128484e+00
9.891600808963014060e+03,3.860790625635725171e+00
9.891600831855350407e+03,3.860790674045061710e+00
9.891600854747684934e+03,3.860790722455128776e+00
9.891600877640021281e+03,3.860790770865934363e+00
9.891600900532355809e+03,3.860790819277470032e+00
9.891600923424692155e+03,3.860790867689745109e+00
9.891600946317028502e+03,3.860790916102754267e+00
9.891600969209363029e+03,3.860790964516493062e+00
9.891600992101699376e+03,3.860791012930969490e+00
9.891601014994033903e+03,3.860791061346176445e+00
9.891601037886370250e+03,3.860791109762120588e+00
9.891601060778704777e+03,3.860791158178794813e+00
9.891601083671041124e+03,3.860791206596205782e+00
9.891601106563375652e+03,3.860791255014345502e+00
9.891601129455711998e+03,3.860791303433221966e+00
9.891601152348048345e+03,3.860791351852831177e+00
9.891601175240382872e+03,3.860791400273170026e+00
9.891601198132719219e+03,3.860791448694243844e+00
9.891601221025053746e+03,3.860791497116046411e+00
9.891601243917390093e+03,3.860791545538585279e+00
9.891601266809724621e+03,3.860791593961851564e+00
9.891601289702060967e+03,3.860791642385854594e+00
9.891601312594395495e+03,3.860791690810584154e+00
9.891601335486731841e+03,3.860791739236049125e+00
9.891601358379068188e+03,3.860791787662245511e+00
9.891601381271402715e+03,3.860791836089168427e+00
9.891601404163739062e+03,3.860791884516825867e+00
9.891601427056073589e+03,3.860791932945211169e+00
9.891601449948409936e+03,3.860791981374330550e+00
9.891601472840744464e+03,3.860792029804176018e+00
9.891601495733080810e+03,3.860792078234755564e+00
9.891601518625415338e+03,3.860792126666061197e+00
9.891601541517751684e+03,3.860792175098101353e+00
9.891601564410086212e+03,3.860792223530866707e+00
9.891601587302422558e+03,3.860792271964364808e+00
9.891601610194758905e+03,3.860792320398592992e+00
9.891601633087093433e+03,3.860792368833545485e+00
9.891601655979429779e+03,3.860792417269232057e+00
9.891601678871764307e+03,3.860792465705642496e+00
9.891601701764100653e+03,3.860792514142786125e+00
9.891601724656435181e+03,3.860792562580653620e+00
9.891601747548771527e+03,3.860792611019254306e+00
9.891601770441106055e+03,3.860792659458577969e+00
9.891601793333442401e+03,3.860792707898633935e+00
9.891601816225778748e+03,3.860792756339417764e+00
9.891601839118113276e+03,3.860792804780925458e+00
9.891601862010449622e+03,3.860792853223164567e+00
9.891601884902784150e+03,3.860792901666127097e+00
9.891601907795120496e+03,3.860792950109819710e+00
9.891601930687455024e+03,3.860792998554236188e+00
9.891601953579791370e+03,3.860793046999383193e+00
9.891601976472125898e+03,3.860793095445252288e+00
9.891601999364462245e+03,3.860793143891852353e+00
9.891602022256796772e+03,3.860793192339174063e+00
9.891602045149133119e+03,3.860793240787226299e+00
9.891602068041469465e+03,3.860793289236004178e+00
9.891602090933803993e+03,3.860793337685504145e+00
9.891602113826140339e+03,3.860793386135733307e+00
9.891602136718474867e+03,3.860793434586684114e+00
9.891602159610811213e+03,3.860793483038363672e+00
9.891602182503145741e+03,3.860793531490764874e+00
9.891602205395482088e+03,3.860793579943894382e+00
9.891602228287816615e+03,3.860793628397745092e+00
9.891602251180152962e+03,3.860793676852323220e+00
9.891602274072489308e+03,3.860793725307626545e+00
9.891602296964823836e+03,3.860793773763649739e+00
9.891602319857160182e+03,3.860793822220400795e+00
9.891602342749494710e+03,3.860793870677873052e+00
9.891602365641831057e+03,3.860793919136071839e+00
9.891602388534165584e+03,3.860793967594989606e+00
9.891602411426501931e+03,3.860794016054635236e+00
9.891602434318836458e+03,3.860794064515000734e+00
9.891602457211172805e+03,3.860794112976092318e+00
9.891602480103509151e+03,3.860794161437906435e+00
9.891602502995843679e+03,3.860794209900439533e+00
9.891602525888180026e+03,3.860794258363699605e+00
9.891602548780514553e+03,3.860794306827677325e+00
9.891602571672850900e+03,3.860794355292381574e+00
9.891602594565185427e+03,3.860794403757803472e+00
9.891602617457521774e+03,3.860794452223951012e+00
9.891602640349856301e+03,3.860794500690817088e+00
9.891602663242192648e+03,3.860794549158407474e+00
9.891602686134527175e+03,3.860794597626715952e+00
9.891602709026863522e+03,3.860794646095748739e+00
9.891602731919199869e+03,3.860794694565503171e+00
9.891602754811534396e+03,3.860794743035974363e+00
9.891602777703870743e+03,3.860794791507169865e+00
9.891602800596205270e+03,3.860794839979081683e+00
9.891602823488541617e+03,3.860794888451717810e+00
9.891602846380876144e+03,3.860794936925069809e+00
9.891602869273212491e+03,3.860794985399146118e+00
9.891602892165547019e+03,3.860795033873937854e+00
9.891602915057883365e+03,3.860795082349453011e+00
9.891602937950219712e+03,3.860795130825687593e+00
9.891602960842554239e+03,3.860795179302637603e+00
9.891602983734890586e+03,3.860795227780310590e+00
9.891603006627225113e+03,3.860795276258699005e+00
9.891603029519561460e+03,3.860795324737809064e+00
9.891603052411895987e+03,3.860795373217634552e+00
9.891603075304232334e+03,3.860795421698182128e+00
9.891603098196566862e+03,3.860795470179443800e+00
9.891603121088903208e+03,3.860795518661426673e+00
9.891603143981239555e+03,3.860795567144128082e+00
9.891603166873574082e+03,3.860795615627543587e+00
9.891603189765910429e+03,3.860795664111680736e+00
9.891603212658244956e+03,3.860795712596530205e+00
9.891603235550581303e+03,3.860795761082101318e+00
9.891603258442915831e+03,3.860795809568385639e+00
9.891603281335252177e+03,3.860795858055390717e+00
9.891603304227586705e+03,3.860795906543109002e+00
9.891603327119923051e+03,3.860795955031547155e+00
9.891603350012257579e+03,3.860796003520697628e+00
9.891603372904593925e+03,3.860796052010567969e+00
9.891603395796930272e+03,3.860796100501154182e+00
9.891603418689264799e+03,3.860796148992452714e+00
9.891603441581601146e+03,3.860796197484470227e+00
9.891603464473935674e+03,3.860796245977200059e+00
9.891603487366272020e+03,3.860796294470647982e+00
9.891603510258606548e+03,3.860796342964808670e+00
9.891603533150942894e+03,3.860796391459687005e+00
9.891603556043277422e+03,3.860796439955276327e+00
9.891603578935613768e+03,3.860796488451584629e+00
9.891603601827950115e+03,3.860796536948607027e+00
9.891603624720284643e+03,3.860796585446339968e+00
9.891603647612620989e+03,3.860796633944790113e+00
9.891603670504955517e+03,3.860796682443951244e+00
9.891603693397291863e+03,3.860796730943829580e+00
9.891603716289626391e+03,3.860796779444418014e+00
9.891603739181962737e+03,3.860796827945723653e+00
9.891603762074297265e+03,3.860796876447738057e+00
9.891603784966633611e+03,3.860796924950469666e+00
9.891603807858968139e+03,3.860796973453910041e+00
9.891603830751304486e+03,3.860797021958068065e+00
9.891603853643640832e+03,3.860797070462937075e+00
9.891603876535975360e+03,3.860797118968515296e+00
9.891603899428311706e+03,3.860797167474810276e+00
9.891603922320646234e+03,3.860797215981812691e+00
9.891603945212982580e+03,3.860797264489530534e+00
9.891603968105317108e+03,3.860797312997956698e+00
9.891603990997653455e+03,3.860797361507097847e+00
9.891604013889987982e+03,3.860797410016947318e+00
9.891604036782324329e+03,3.860797458527511328e+00
9.891604059674660675e+03,3.860797507038785881e+00
9.891604082566995203e+03,3.860797555550767868e+00
9.891604105459331549e+03,3.860797604063464394e+00
9.891604128351666077e+03,3.860797652576868355e+00
9.891604151244002423e+03,3.860797701090985079e+00
9.891604174136336951e+03,3.860797749605808349e+00
9.891604197028673298e+03,3.860797798121346158e+00
9.891604219921007825e+03,3.860797846637589625e+00
9.891604242813344172e+03,3.860797895154546300e+00
9.891604265705680518e+03,3.860797943672212185e+00
9.891604288598015046e+03,3.860797992190584171e+00
9.891604311490351392e+03,3.860798040709668921e+00
9.891604334382685920e+03,3.860798089229458885e+00
9.891604357275022267e+03,3.860798137749961612e+00
9.891604380167356794e+03,3.860798186271168664e+00
9.891604403059693141e+03,3.860798234793087591e+00
9.891604425952027668e+03,3.860798283315711732e+00
9.891604448844364015e+03,3.860798331839047748e+00
9.891604471736698542e+03,3.860798380363087645e+00
9.891604494629034889e+03,3.860798428887838973e+00
9.891604517521371235e+03,3.860798477413298180e+00
9.891604540413705763e+03,3.860798525939460379e+00
9.891604563306042110e+03,3.860798574466334454e+00
9.891604586198376637e+03,3.860798622993911078e+00
9.891604609090712984e+03,3.860798671522198688e+00
9.891604631983047511e+03,3.860798720051189292e+00
9.891604654875383858e+03,3.860798768580890439e+00
9.891604677767718385e+03,3.860798817111293690e+00
9.891604700660054732e+03,3.860798865642407041e+00
9.891604723552391079e+03,3.860798914174227381e+00
9.891604746444725606e+03,3.860798962706748494e+00
9.891604769337061953e+03,3.860799011239980150e+00
9.891604792229396480e+03,3.860799059773913022e+00
9.891604815121732827e+03,3.860799108308554661e+00
9.891604838014067354e+03,3.860799156843897961e+00
9.891604860906403701e+03,3.860799205379949584e+00
9.891604883798738229e+03,3.860799253916703311e+00
9.891604906691074575e+03,3.860799302454164916e+00
9.891604929583409103e+03,3.860799350992327739e+00
9.891604952475745449e+03,3.860799399531197551e+00
9.891604975368081796e+03,3.860799448070772577e+00
9.891604998260416323e+03,3.860799496611047488e+00
9.891605021152752670e+03,3.860799545152030277e+00
9.891605044045087197e+03,3.860799593693712062e+00
9.891605066937423544e+03,3.860799642236101281e+00
9.891605089829758072e+03,3.860799690779190829e+00
9.891605112722094418e+03,3.860799739322986479e+00
9.891605135614428946e+03,3.860799787867482014e+00
9.891605158506765292e+03,3.860799836412684094e+00
9.891605181399101639e+03,3.860799884958588279e+00
9.891605204291436166e+03,3.860799933505191461e+00
9.891605227183772513e+03,3.860799982052500301e+00
9.891605250076107041e+03,3.860800030600507249e+00
9.891605272968443387e+03,3.860800079149220299e+00
9.891605295860777915e+03,3.860800127698631901e+00
9.891605318753114261e+03,3.860800176248748272e+00
9.891605341645448789e+03,3.860800224799561864e+00
9.891605364537785135e+03,3.860800273351081557e+00
9.891605387430121482e+03,3.860800321903302024e+00
9.891605410322456009e+03,3.860800370456219266e+00
9.891605433214792356e+03,3.860800419009841278e+00
9.891605456107126884e+03,3.860800467564158733e+00
9.891605478999463230e+03,3.860800516119182291e+00
9.891605501891797758e+03,3.860800564674901292e+00
9.891605524784134104e+03,3.860800613231324174e+00
9.891605547676468632e+03,3.860800661788443389e+00
9.891605570568804978e+03,3.860800710346266040e+00
9.891605593461139506e+03,3.860800758904783692e+00
9.891605616353475853e+03,3.860800807464005224e+00
9.891605639245812199e+03,3.860800856023926197e+00
9.891605662138146727e+03,3.860800904584542170e+00
9.891605685030483073e+03,3.860800953145861136e+00
9.891605707922817601e+03,3.860801001707874214e+00
9.891605730815153947e+03,3.860801050270590284e+00
9.891605753707488475e+03,3.860801098834000467e+00
9.891605776599824821e+03,3.860801147398112754e+00
9.891605799492159349e+03,3.860801195962918264e+00
9.891605822384495696e+03,3.860801244528426768e+00
9.891605845276832042e+03,3.860801293094632047e+00
9.891605868169166570e+03,3.860801341661531882e+00
9.891605891061502916e+03,3.860801390229132490e+00
9.891605913953837444e+03,3.860801438797425877e+00
9.891605936846173790e+03,3.860801487366420481e+00
9.891605959738508318e+03,3.860801535936108309e+00
9.891605982630844665e+03,3.860801584506496464e+00
9.891606005523179192e+03,3.860801633077576955e+00
9.891606028415515539e+03,3.860801681649356887e+00
9.891606051307850066e+03,3.860801730221830486e+00
9.891606074200186413e+03,3.860801778795002637e+00
9.891606097092522759e+03,3.860801827368871564e+00
9.891606119984857287e+03,3.860801875943431494e+00
9.891606142877193633e+03,3.860801924518691308e+00
9.891606165769528161e+03,3.860801973094642126e+00
9.891606188661864508e+03,3.860802021671291939e+00
9.891606211554199035e+03,3.860802070248632756e+00
9.891606234446535382e+03,3.860802118826672569e+00
9.891606257338869909e+03,3.860802167405402496e+00
9.891606280231206256e+03,3.860802215984830532e+00
9.891606303123542602e+03,3.860802264564954012e+00
9.891606326015877130e+03,3.860802313145766274e+00
9.891606348908213477e+03,3.860802361727276644e+00
9.891606371800548004e+03,3.860802410309477573e+00
9.891606394692884351e+03,3.860802458892374833e+00
9.891606417585218878e+03,3.860802507475962653e+00
9.891606440477555225e+03,3.860802556060246360e+00
9.891606463369889752e+03,3.860802604645220626e+00
9.891606486262226099e+03,3.860802653230890336e+00
9.891606509154562445e+03,3.860802701817253713e+00
9.891606532046896973e+03,3.860802750404304984e+00
9.891606554939233320e+03,3.860802798992052587e+00
9.891606577831567847e+03,3.860802847580489416e+00
9.891606600723904194e+03,3.860802896169621246e+00
9.891606623616238721e+03,3.860802944759440969e+00
9.891606646508575068e+03,3.860802993349956136e+00
9.891606669400909595e+03,3.860803041941158753e+00
9.891606692293245942e+03,3.860803090533057702e+00
9.891606715185580470e+03,3.860803139125642769e+00
9.891606738077916816e+03,3.860803187718922835e+00
9.891606760970253163e+03,3.860803236312893905e+00
9.891606783862587690e+03,3.860803284907551980e+00
9.891606806754924037e+03,3.860803333502903723e+00
9.891606829647258564e+03,3.860803382098942027e+00
9.891606852539594911e+03,3.860803430695674887e+00
9.891606875431929438e+03,3.860803479293093421e+00
9.891606898324265785e+03,3.860803527891205622e+00
9.891606921216600313e+03,3.860803576490003941e+00
9.891606944108936659e+03,3.860803625089495039e+00
9.891606967001273006e+03,3.860803673689674920e+00
9.891606989893607533e+03,3.860803722290540918e+00
9.891607012785943880e+03,3.860803770892099251e+00
9.891607035678278407e+03,3.860803819494342815e+00
9.891607058570614754e+03,3.860803868097278269e+00
9.891607081462949282e+03,3.860803916700898952e+00
9.891607104355285628e+03,3.860803965305211527e+00
9.891607127247620156e+03,3.860804013910207999e+00
9.891607150139956502e+03,3.860804062515895918e+00
9.891607173032291030e+03,3.860804111122268178e+00
9.891607195924627376e+03,3.860804159729331886e+00
9.891607218816963723e+03,3.860804208337083043e+00
9.891607241709298250e+03,3.860804256945517210e+00
9.891607264601634597e+03,3.860804305554642379e+00
9.891607287493969125e+03,3.860804354164450558e+00
9.891607310386305471e+03,3.860804402774948851e+00
9.891607333278639999e+03,3.860804451386130154e+00
9.891607356170976345e+03,3.860804499998001571e+00
9.891607379063310873e+03,3.860804548610555109e+00
9.891607401955647219e+03,3.860804597223798762e+00
9.891607424847983566e+03,3.860804645837728089e+00
9.891607447740318094e+03,3.860804694452339980e+00
9.891607470632654440e+03,3.860804743067640654e+00
9.891607493524988968e+03,3.860804791683622561e+00
9.891607516417325314e+03,3.860804840300293250e+00
9.891607539309659842e+03,3.860804888917646061e+00
9.891607562201996188e+03,3.860804937535685877e+00
9.891607585094330716e+03,3.860804986154407370e+00
9.891607607986667063e+03,3.860805034773817201e+00
9.891607630879003409e+03,3.860805083393911818e+00
9.891607653771337937e+03,3.860805132014686336e+00
9.891607676663674283e+03,3.860805180636147860e+00
9.891607699556008811e+03,3.860805229258290616e+00
9.891607722448345157e+03,3.860805277881119935e+00
9.891607745340679685e+03,3.860805326504628709e+00
9.891607768233016031e+03,3.860805375128825823e+00
9.891607791125350559e+03,3.860805423753700616e+00
9.891607814017686906e+03,3.860805472379262859e+00
9.891607836910021433e+03,3.860805521005503671e+00
9.891607859802357780e+03,3.860805569632431489e+00
9.891607882694694126e+03,3.860805618260041427e+00
9.891607905587028654e+03,3.860805666888329490e+00
9.891607928479365000e+03,3.860805715517303227e+00
9.891607951371699528e+03,3.860805764146955532e+00
9.891607974264035875e+03,3.860805812777292623e+00
9.891607997156370402e+03,3.860805861408309170e+00
9.891608020048706749e+03,3.860805910040009170e+00
9.891608042941041276e+03,3.860805958672387295e+00
9.891608065833377623e+03,3.860806007305450205e+00
9.891608088725713969e+03,3.860806055939193904e+00
9.891608111618048497e+03,3.860806104573613506e+00
9.891608134510384843e+03,3.860806153208719227e+00
9.891608157402719371e+03,3.860806201844499963e+00
9.891608180295055718e+03,3.860806250480965041e+00
9.891608203187390245e+03,3.860806299118106910e+00
9.891608226079726592e+03,3.860806347755932233e+00
9.891608248972061119e+03,3.860806396394433015e+00
9.891608271864397466e+03,3.860806445033617251e+00
9.891608294756731993e+03,3.860806493673476503e+00
9.891608317649068340e+03,3.860806542314019651e+00
9.891608340541404687e+03,3.860806590955240925e+00
9.891608363433739214e+03,3.860806639597137213e+00
9.891608386326075561e+03,3.860806688239716067e+00
9.891608409218410088e+03,3.860806736882970380e+00
9.891608432110746435e+03,3.860806785526905927e+00
9.891608455003080962e+03,3.860806834171516488e+00
9.891608477895417309e+03,3.860806882816807839e+00
9.891608500787751836e+03,3.860806931462773317e+00
9.891608523680088183e+03,3.860806980109420916e+00
9.891608546572424530e+03,3.860807028756744863e+00
9.891608569464759057e+03,3.860807077404742937e+00
9.891608592357095404e+03,3.860807126053422245e+00
9.891608615249429931e+03,3.860807174702773903e+00
9.891608638141766278e+03,3.860807223352806350e+00
