Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.063802708333311602e+04,4.374639698010845450e+02
1.063802710516863226e+04,4.374703905829720156e+02
1.063802712700415032e+04,4.374768107105182935e+02
1.063802714883966655e+04,4.374832301826330649e+02
1.063802717067518279e+04,4.374896489998305924e+02
1.063802719251070084e+04,4.374960671626249678e+02
1.063802721434621708e+04,4.375024846699262753e+02
1.063802723618173331e+04,4.375089015222484932e+02
1.063802725801725137e+04,4.375153177201056565e+02
1.063802727985276761e+04,4.375217332624080768e+02
1.063802730168828566e+04,4.375281481502040037e+02
1.063802732352380190e+04,4.375345623824042036e+02
1.063802734535931813e+04,4.375409759595224273e+02
1.063802736719483619e+04,4.375473888820723687e+02
1.063802738903035242e+04,4.375538011489648511e+02
1.063802741086586866e+04,4.375602127607136254e+02
1.063802743270138672e+04,4.375666237178321580e+02
1.063802745453690295e+04,4.375730340192317840e+02
1.063802747637241919e+04,4.375794436654259130e+02
1.063802749820793724e+04,4.375858526569280116e+02
1.063802752004345348e+04,4.375922609926495284e+02
1.063802754187896971e+04,4.375986686731039299e+02
1.063802756371448777e+04,4.376050756988043986e+02
1.063802758555000401e+04,4.376114820686627809e+02
1.063802760738552206e+04,4.376178877837260188e+02
1.063802762922103830e+04,4.376242928429061294e+02
1.063802765105655453e+04,4.376306972467163519e+02
1.063802767289207259e+04,4.376371009956694706e+02
1.063802769472758882e+04,4.376435040886781280e+02
1.063802771656310506e+04,4.376499065262551653e+02
1.063802773839862311e+04,4.376563083089133670e+02
1.063802776023413935e+04,4.376627094355655458e+02
1.063802778206965559e+04,4.376691099067244863e+02
1.063802780390517364e+04,4.376755097229027456e+02
1.063802782574068988e+04,4.376819088830135343e+02
1.063802784757620611e+04,4.376883073875694663e+02
1.063802786941172417e+04,4.376947052370830988e+02
1.063802789124724040e+04,4.377011024304677562e+02
1.063802791308275846e+04,4.377074989687686752e+02
1.063802793491827470e+04,4.377138948508999192e+02
1.063802795675379093e+04,4.377202900773735905e+02
1.063802797858930899e+04,4.377266846487018483e+02
1.063802800042482522e+04,4.377330785637989266e+02
1.063802802226034146e+04,4.377394718231769275e+02
1.063802804409585951e+04,4.377458644273478399e+02
1.063802806593137575e+04,4.377522563752260680e+02
1.063802808776689199e+04,4.377586476673237144e+02
1.063802810960241004e+04,4.377650383041525970e+02
1.063802813143792628e+04,4.377714282846274614e+02
1.063802815327344251e+04,4.377778176092601825e+02
1.063802817510896057e+04,4.377842062785624080e+02
1.063802819694447680e+04,4.377905942914492243e+02
1.063802821877999486e+04,4.377969816489645609e+02
1.063802824061551109e+04,4.378033683500235611e+02
1.063802826245102733e+04,4.378097543951378725e+02
1.063802828428654539e+04,4.378161397848190859e+02
1.063802830612206162e+04,4.378225245179825720e+02
1.063802832795757786e+04,4.378289085951399784e+02
1.063802834979309591e+04,4.378352920168026117e+02
1.063802837162861215e+04,4.378416747818861836e+02
1.063802839346412838e+04,4.378480568909022281e+02
1.063802841529964644e+04,4.378544383443618244e+02
1.063802843713516268e+04,4.378608191411812527e+02
1.063802845897067891e+04,4.378671992818715921e+02
1.063802848080619697e+04,4.378735787669439219e+02
1.063802850264171320e+04,4.378799575953148633e+02
1.063802852447723126e+04,4.378863357680265267e+02
1.063802854631274749e+04,4.378927132839959313e+02
1.063802856814826373e+04,4.378990901437340426e+02
1.063802858998378179e+04,4.379054663477514850e+02
1.063802861181929802e+04,4.379118418949652778e+02
1.063802863365481426e+04,4.379182167858863295e+02
1.063802865549033231e+04,4.379245910210251509e+02
1.063802867732584855e+04,4.379309645992992728e+02
1.063802869916136478e+04,4.379373375212192627e+02
1.063802872099688284e+04,4.379437097872955178e+02
1.063802874283239908e+04,4.379500813964457961e+02
