Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.065014266203716397e+04,5.420208659880731830e+02
1.065014268332748725e+04,5.420283555895837253e+02
1.065014270461781052e+04,5.420358444159542159e+02
1.065014272590813380e+04,5.420433324671620312e+02
1.065014274719845707e+04,5.420508197431843200e+02
1.065014276848878217e+04,5.420583062446377198e+02
1.065014278977910544e+04,5.420657919702201752e+02
1.065014281106942872e+04,5.420732769205485511e+02
1.065014283235975199e+04,5.420807610955999962e+02
1.065014285365007527e+04,5.420882444953516597e+02
1.065014287494039854e+04,5.420957271197806904e+02
1.065014289623072182e+04,5.421032089688643509e+02
1.065014291752104509e+04,5.421106900425796766e+02
1.065014293881136837e+04,5.421181703409039301e+02
1.065014296010169346e+04,5.421256498644531803e+02
1.065014298139201674e+04,5.421331286119267361e+02
1.065014300268234001e+04,5.421406065839407802e+02
1.065014302397266329e+04,5.421480837804723478e+02
1.065014304526298656e+04,5.421555602014987016e+02
1.065014306655330984e+04,5.421630358469972180e+02
1.065014308784363311e+04,5.421705107169447047e+02
1.065014310913395639e+04,5.421779848113187654e+02
1.065014313042427966e+04,5.421854581300964355e+02
1.065014315171460476e+04,5.421929306738932155e+02
1.065014317300492803e+04,5.422004024414094374e+02
1.065014319429525131e+04,5.422078734332609429e+02
1.065014321558557458e+04,5.422153436494248808e+02
1.065014323687589786e+04,5.422228130898784002e+02
1.065014325816622113e+04,5.422302817545986500e+02
1.065014327945654441e+04,5.422377496435630064e+02
1.065014330074686768e+04,5.422452167567486185e+02
1.065014332203719096e+04,5.422526830941326352e+02
1.065014334332751605e+04,5.422601486563301023e+02
1.065014336461783932e+04,5.422676134420426024e+02
1.065014338590816260e+04,5.422750774518854087e+02
1.065014340719848587e+04,5.422825406858353290e+02
1.065014342848880915e+04,5.422900031438699671e+02
1.065014344977913242e+04,5.422974648259663581e+02
1.065014347106945570e+04,5.423049257321018786e+02
1.065014349235977897e+04,5.423123858622536773e+02
1.065014351365010225e+04,5.423198452163989032e+02
1.065014353494042734e+04,5.423273037951520337e+02
1.065014355623075062e+04,5.423347615972160156e+02
1.065014357752107389e+04,5.423422186232053264e+02
1.065014359881139717e+04,5.423496748730970012e+02
1.065014362010172044e+04,5.423571303468685301e+02
1.065014364139204372e+04,5.423645850444969483e+02
1.065014366268236699e+04,5.423720389659597458e+02
1.065014368397269027e+04,5.423794921112339580e+02
1.065014370526301354e+04,5.423869444802969610e+02
1.065014372655333864e+04,5.423943960737627776e+02
1.065014374784366191e+04,5.424018468903350367e+02
1.065014376913398519e+04,5.424092969306278746e+02
1.065014379042430846e+04,5.424167461946186677e+02
1.065014381171463174e+04,5.424241946822844511e+02
1.065014383300495501e+04,5.424316423936027149e+02
1.065014385429527829e+04,5.424390893285506081e+02
1.065014387558560156e+04,5.424465354871053933e+02
1.065014389687592484e+04,5.424539808692445604e+02
1.065014391816624993e+04,5.424614254755809952e+02
1.065014393945657321e+04,5.424688693048203731e+02
1.065014396074689648e+04,5.424763123575756936e+02
1.065014398203721976e+04,5.424837546338244465e+02
1.065014400332754303e+04,5.424911961335437809e+02
1.065014402461786631e+04,5.424986368567113004e+02
1.065014404590818958e+04,5.425060768033039267e+02
1.065014406719851286e+04,5.425135159732990360e+02
1.065014408848883613e+04,5.425209543666741183e+02
1.065014410977916123e+04,5.425283919840418321e+02
1.065014413106948450e+04,5.425358288241084210e+02
1.065014415235980778e+04,5.425432648874868846e+02
1.065014417365013105e+04,5.425507001741543718e+02
1.065014419494045433e+04,5.425581346840882588e+02
1.065014421623077760e+04,5.425655684172659221e+02
1.065014423752110088e+04,5.425730013736646242e+02
1.065014425881142415e+04,5.425804335532617415e+02
1.065014428010174743e+04,5.425878649560345366e+02
1.065014430139207252e+04,5.425952955825949857e+02
1.065014432268239580e+04,5.426027254316512654e+02
1.065014434397271907e+04,5.426101545038148970e+02
1.065014436526304235e+04,5.426175827990637117e+02
1.065014438655336562e+04,5.426250103173748585e+02
1.065014440784368890e+04,5.426324370587255999e+02
1.065014442913401217e+04,5.426398630230934259e+02
