Time (BJD_TBD - 2450000), L_c/L_star (ppm)
1.014846018518507481e+04,2.484364573393623346e+02
1.014846020605984813e+04,2.484482269233413092e+02
1.014846022693461964e+04,2.484599964207058065e+02
1.014846024780939297e+04,2.484717658334723751e+02
1.014846026868416629e+04,2.484835351605806864e+02
1.014846028955893780e+04,2.484953044009710652e+02
1.014846031043371113e+04,2.485070735566598046e+02
1.014846033130848264e+04,2.485188426255614331e+02
1.014846035218325596e+04,2.485306116096924711e+02
1.014846037305802929e+04,2.485423805079928172e+02
1.014846039393280080e+04,2.485541493194024838e+02
1.014846041480757413e+04,2.485659180459379627e+02
1.014846043568234745e+04,2.485776866865392662e+02
1.014846045655711896e+04,2.485894552401462647e+02
1.014846047743189229e+04,2.486012237087756773e+02
1.014846049830666561e+04,2.486129920913671185e+02
1.014846051918143712e+04,2.486247603868609133e+02
1.014846054005621045e+04,2.486365285972733830e+02
1.014846056093098196e+04,2.486482967205189993e+02
1.014846058180575528e+04,2.486600647586143111e+02
1.014846060268052861e+04,2.486718327104992454e+02
1.014846062355530012e+04,2.486836005751139282e+02
1.014846064443007344e+04,2.486953683544745388e+02
1.014846066530484677e+04,2.487071360475213737e+02
1.014846068617961828e+04,2.487189036531942463e+02
1.014846070705439161e+04,2.487306711735096769e+02
1.014846072792916493e+04,2.487424386074075926e+02
1.014846074880393644e+04,2.487542059538282331e+02
1.014846076967870977e+04,2.487659732147876923e+02
1.014846079055348127e+04,2.487777403882008969e+02
1.014846081142825460e+04,2.487895074760839123e+02
1.014846083230302793e+04,2.488012744773769214e+02
1.014846085317779944e+04,2.488130413910199081e+02
1.014846087405257276e+04,2.488248082190293360e+02
1.014846089492734609e+04,2.488365749603451889e+02
1.014846091580211760e+04,2.488483416139074791e+02
1.014846093667689092e+04,2.488601081817326701e+02
1.014846095755166243e+04,2.488718746617354611e+02
1.014846097842643576e+04,2.488836410559318892e+02
1.014846099930120909e+04,2.488954073632621089e+02
1.014846102017598059e+04,2.489071735826665019e+02
1.014846104105075392e+04,2.489189397161610486e+02
1.014846106192552725e+04,2.489307057626858182e+02
1.014846108280029875e+04,2.489424717211811924e+02
1.014846110367507208e+04,2.489542375936631800e+02
1.014846112454984541e+04,2.489660033790719638e+02
1.014846114542461692e+04,2.489777690763477835e+02
1.014846116629939024e+04,2.489895346875065911e+02
1.014846118717416175e+04,2.490013002104635405e+02
1.014846120804893508e+04,2.490130656472343560e+02
1.014846122892370840e+04,2.490248309967595048e+02
1.014846124979847991e+04,2.490365962579791415e+02
1.014846127067325324e+04,2.490483614329093598e+02
1.014846129154802657e+04,2.490601265204900585e+02
1.014846131242279807e+04,2.490718915196619889e+02
1.014846133329757140e+04,2.490836564324407334e+02
1.014846135417234473e+04,2.490954212577667022e+02
1.014846137504711623e+04,2.491071859945802487e+02
1.014846139592188956e+04,2.491189506448970405e+02
1.014846141679666107e+04,2.491307152066324306e+02
1.014846143767143440e+04,2.491424796818020866e+02
1.014846145854620772e+04,2.491542440693464471e+02
