Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.878538437500130385e+03,2.740046078564392307e+00
9.878546170748528311e+03,2.740046078564392307e+00
9.878553903996924419e+03,2.740046078564392307e+00
9.878561637245322345e+03,2.740046078564392307e+00
9.878569370493720271e+03,2.740046078564392307e+00
9.878577103742116378e+03,2.740046078564392307e+00
9.878584836990514304e+03,2.740046078564392307e+00
9.878592570238912231e+03,2.740046078564392307e+00
9.878600303487308338e+03,2.740046078564392307e+00
9.878608036735706264e+03,2.740046078564392307e+00
9.878615769984104190e+03,2.740046078564392307e+00
9.878623503232500298e+03,2.740046078564392307e+00
9.878631236480898224e+03,2.740046078564392307e+00
9.878638969729294331e+03,2.740046078564392307e+00
9.878646702977692257e+03,2.740046078564392307e+00
9.878654436226090183e+03,2.740046078564392307e+00
9.878662169474486291e+03,2.740046078564392307e+00
9.878669902722884217e+03,2.740046078564392307e+00
9.878677635971282143e+03,2.740046078564392307e+00
9.878685369219678250e+03,2.740046078564392307e+00
9.878693102468076177e+03,2.740046078564392307e+00
9.878700835716474103e+03,2.740046078564392307e+00
9.878708568964870210e+03,2.740046078564392307e+00
9.878716302213268136e+03,2.740046078564392307e+00
9.878724035461666062e+03,2.740046078564392307e+00
9.878731768710062170e+03,2.740046078564392307e+00
9.878739501958460096e+03,2.740046078564392307e+00
9.878747235206858022e+03,2.740046078564392307e+00
9.878754968455254129e+03,2.740046078564392307e+00
9.878762701703652056e+03,2.740046078564392307e+00
9.878770434952049982e+03,2.740046078564392307e+00
9.878778168200446089e+03,2.740046078564392307e+00
9.878785901448844015e+03,2.740046078564392307e+00
9.878793634697241941e+03,2.740046078564392307e+00
9.878801367945638049e+03,2.740046078564392307e+00
9.878809101194035975e+03,2.740046078564392307e+00
9.878816834442433901e+03,2.740046078564392307e+00
9.878824567690830008e+03,2.740046078564392307e+00
9.878832300939227935e+03,2.740046078564392307e+00
9.878840034187624042e+03,2.740046078564392307e+00
9.878847767436021968e+03,2.740046078564392307e+00
9.878855500684419894e+03,2.740046078564392307e+00
9.878863233932816001e+03,2.740046078564392307e+00
9.878870967181213928e+03,2.740046078564392307e+00
9.878878700429611854e+03,2.740046078564392307e+00
9.878886433678007961e+03,2.740046078564392307e+00
9.878894166926405887e+03,2.740046078564392307e+00
9.878901900174803814e+03,2.740046078564392307e+00
9.878909633423199921e+03,2.740046078564392307e+00
9.878917366671597847e+03,2.740046078564392307e+00
9.878925099919995773e+03,2.740046078564392307e+00
9.878932833168391880e+03,2.740046078564392307e+00
9.878940566416789807e+03,2.740046078564392307e+00
9.878948299665187733e+03,2.740046078564392307e+00
9.878956032913583840e+03,2.740046078564392307e+00
9.878963766161981766e+03,2.740046078564392307e+00
9.878971499410379693e+03,2.740046078564392307e+00
9.878979232658775800e+03,2.740046078564392307e+00
9.878986965907173726e+03,2.740046078564392307e+00
9.878994699155571652e+03,2.740046078564392307e+00
9.879002432403967759e+03,2.740046078564392307e+00
9.879010165652365686e+03,2.740046078564392307e+00
9.879017898900763612e+03,2.740046078564392307e+00
9.879025632149159719e+03,2.740046078564392307e+00
9.879033365397557645e+03,2.740046078564392307e+00
9.879041098645953753e+03,2.740046078564392307e+00
9.879048831894351679e+03,2.740046078564392307e+00
9.879056565142749605e+03,2.740046078564392307e+00
9.879064298391145712e+03,2.740046078564392307e+00
9.879072031639543638e+03,2.740046078564392307e+00
9.879079764887941565e+03,2.740046078564392307e+00
9.879087498136337672e+03,2.740046078564392307e+00
9.879095231384735598e+03,2.740046078564392307e+00
9.879102964633133524e+03,2.740046078564392307e+00
9.879110697881529632e+03,2.740046078564392307e+00
9.879118431129927558e+03,2.740046078564392307e+00
9.879126164378325484e+03,2.740046078564392307e+00
9.879133897626721591e+03,2.740046078564392307e+00
9.879141630875119517e+03,2.740046078564392307e+00
9.879149364123517444e+03,2.740046078564392307e+00
9.879157097371913551e+03,2.740046078564392307e+00
9.879164830620311477e+03,2.740046078564392307e+00
9.879172563868709403e+03,2.740046078564392307e+00
9.879180297117105511e+03,2.740046078564392307e+00
9.879188030365503437e+03,2.740046078564392307e+00
9.879195763613901363e+03,2.740046078564392307e+00
9.879203496862297470e+03,2.740046078564392307e+00
9.879211230110695396e+03,2.740046078564392307e+00
9.879218963359091504e+03,2.740046078564392307e+00
9.879226696607489430e+03,2.740046078564392307e+00
9.879234429855887356e+03,2.740046078564392307e+00
9.879242163104283463e+03,2.740046078564392307e+00
9.879249896352681390e+03,2.740046078564392307e+00
9.879257629601079316e+03,2.740046078564392307e+00
9.879265362849475423e+03,2.740046078564392307e+00
9.879273096097873349e+03,2.740046078564392307e+00
9.879280829346271275e+03,2.740046078564392307e+00
9.879288562594667383e+03,2.740046078564392307e+00
9.879296295843065309e+03,2.740046078564392307e+00
9.879304029091463235e+03,2.740046078564392307e+00
9.879311762339859342e+03,2.740046078564392307e+00
9.879319495588257269e+03,2.740046078564392307e+00
9.879327228836655195e+03,2.740046078564392307e+00
9.879334962085051302e+03,2.740046078564392307e+00
9.879342695333449228e+03,2.740046078564392307e+00
9.879350428581847154e+03,2.740046078564392307e+00
9.879358161830243262e+03,2.740046078564392307e+00
9.879365895078641188e+03,2.740046078564392307e+00
9.879373628327039114e+03,2.740046078564392307e+00
9.879381361575435221e+03,2.740046078564392307e+00
9.879389094823833148e+03,2.740046078564392307e+00
9.879396828072231074e+03,2.740046078564392307e+00
9.879404561320627181e+03,2.740046078564392307e+00
9.879412294569025107e+03,2.740046078564392307e+00
9.879420027817421214e+03,2.740046078564392307e+00
9.879427761065819141e+03,2.740046078564392307e+00
9.879435494314217067e+03,2.740046078564392307e+00
9.879443227562613174e+03,2.740046078564392307e+00
9.879450960811011100e+03,2.740046078564392307e+00
9.879458694059409027e+03,2.740046078564392307e+00
9.879466427307805134e+03,2.740046078564392307e+00
9.879474160556203060e+03,2.740046078564392307e+00
9.879481893804600986e+03,2.740046078564392307e+00
9.879489627052997093e+03,2.740046078564392307e+00
9.879497360301395020e+03,2.740046078564392307e+00
9.879505093549792946e+03,2.740046078564392307e+00
