Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.063802708333311602e+04,1.245359299346696069e+01
1.063802710516863226e+04,1.245226948173049308e+01
1.063802712700415032e+04,1.245094603307067338e+01
1.063802714883966655e+04,1.244962264770952665e+01
1.063802717067518279e+04,1.244829932553829543e+01
1.063802719251070084e+04,1.244697606644827559e+01
1.063802721434621708e+04,1.244565287066145665e+01
1.063802723618173331e+04,1.244432973806914156e+01
1.063802725801725137e+04,1.244300666856259241e+01
1.063802727985276761e+04,1.244168366236378631e+01
1.063802730168828566e+04,1.244036071925382103e+01
1.063802732352380190e+04,1.243903783945461861e+01
1.063802734535931813e+04,1.243771502285750508e+01
1.063802736719483619e+04,1.243639226935378694e+01
1.063802738903035242e+04,1.243506957916536848e+01
1.063802741086586866e+04,1.243374695218358639e+01
1.063802743270138672e+04,1.243242438829977381e+01
1.063802745453690295e+04,1.243110188773582259e+01
1.063802747637241919e+04,1.242977945038304277e+01
1.063802749820793724e+04,1.242845707613280481e+01
1.063802752004345348e+04,1.242713476520694904e+01
1.063802754187896971e+04,1.242581251749684235e+01
1.063802756371448777e+04,1.242449033289384275e+01
1.063802758555000401e+04,1.242316821161974971e+01
1.063802760738552206e+04,1.242184615345582088e+01
1.063802762922103830e+04,1.242052415862383619e+01
1.063802765105655453e+04,1.241920222701518917e+01
1.063802767289207259e+04,1.241788035852125205e+01
1.063802769472758882e+04,1.241655855336379410e+01
1.063802771656310506e+04,1.241523681143420710e+01
1.063802773839862311e+04,1.241391513262392010e+01
1.063802776023413935e+04,1.241259351715465975e+01
1.063802778206965559e+04,1.241127196491780360e+01
1.063802780390517364e+04,1.240995047580481270e+01
1.063802782574068988e+04,1.240862905003736749e+01
1.063802784757620611e+04,1.240730768750691659e+01
1.063802786941172417e+04,1.240598638810486953e+01
1.063802789124724040e+04,1.240466515205290321e+01
1.063802791308275846e+04,1.240334397913241027e+01
1.063802793491827470e+04,1.240202286956501787e+01
1.063802795675379093e+04,1.240070182324219594e+01
1.063802797858930899e+04,1.239938084005539309e+01
1.063802800042482522e+04,1.239805992022622760e+01
1.063802802226034146e+04,1.239673906364616585e+01
1.063802804409585951e+04,1.239541827020670262e+01
1.063802806593137575e+04,1.239409754012942599e+01
1.063802808776689199e+04,1.239277687330578104e+01
1.063802810960241004e+04,1.239145626962729807e+01
1.063802813143792628e+04,1.239013572931551543e+01
1.063802815327344251e+04,1.238881525226194746e+01
1.063802817510896057e+04,1.238749483835808007e+01
1.063802819694447680e+04,1.238617448782545161e+01
1.063802821877999486e+04,1.238485420044558083e+01
1.063802824061551109e+04,1.238353397643996168e+01
1.063802826245102733e+04,1.238221381570013868e+01
1.063802828428654539e+04,1.238089371811762085e+01
1.063802830612206162e+04,1.237957368391388258e+01
1.063802832795757786e+04,1.237825371298047195e+01
1.063802834979309591e+04,1.237693380520894060e+01
1.063802837162861215e+04,1.237561396082073983e+01
1.063802839346412838e+04,1.237429417970738577e+01
1.063802841529964644e+04,1.237297446176047444e+01
1.063802843713516268e+04,1.237165480720140387e+01
1.063802845897067891e+04,1.237033521592176122e+01
1.063802848080619697e+04,1.236901568781310168e+01
1.063802850264171320e+04,1.236769622309681260e+01
1.063802852447723126e+04,1.236637682155457796e+01
1.063802854631274749e+04,1.236505748340769628e+01
1.063802856814826373e+04,1.236373820854783467e+01
1.063802858998378179e+04,1.236241899686655543e+01
1.063802861181929802e+04,1.236109984858518551e+01
1.063802863365481426e+04,1.235978076359534050e+01
1.063802865549033231e+04,1.235846174178866619e+01
1.063802867732584855e+04,1.235714278338641847e+01
1.063802869916136478e+04,1.235582388828023070e+01
1.063802872099688284e+04,1.235450505636178420e+01
1.063802874283239908e+04,1.235318628785225492e+01
1.063802876466791531e+04,1.235186758264337215e+01
1.063802878650343337e+04,1.235054894062675146e+01
1.063802880833894960e+04,1.234923036202360436e+01
1.063802883017446766e+04,1.234791184661579244e+01
1.063802885200998389e+04,1.234659339462445971e+01
1.063802887384550013e+04,1.234527500594130522e+01
1.063802889568101818e+04,1.234395668045802097e+01
1.063802891751653442e+04,1.234263841839577225e+01
1.063802893935205066e+04,1.234132021964619774e+01
1.063802896118756871e+04,1.234000208410108002e+01
1.063802898302308495e+04,1.233868401198149556e+01
1.063802900485860118e+04,1.233736600317916654e+01
1.063802902669411924e+04,1.233604805758582046e+01
1.063802904852963547e+04,1.233473017542253380e+01
1.063802907036515171e+04,1.233341235658102875e+01
