Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.896128576389048249e+03,3.604408735530689523e+00
9.896128599245501391e+03,3.604408727435719495e+00
9.896128622101952715e+03,3.604408719340644662e+00
9.896128644958405857e+03,3.604408711245463692e+00
9.896128667814857181e+03,3.604408703150177029e+00
9.896128690671310324e+03,3.604408695054784229e+00
9.896128713527761647e+03,3.604408686959285291e+00
9.896128736384214790e+03,3.604408678863681104e+00
9.896128759240666113e+03,3.604408670767971667e+00
9.896128782097119256e+03,3.604408662672155206e+00
9.896128804953570580e+03,3.604408654576233495e+00
9.896128827810023722e+03,3.604408646480205647e+00
9.896128850666476865e+03,3.604408638384072106e+00
9.896128873522928188e+03,3.604408630287833759e+00
9.896128896379381331e+03,3.604408622191489275e+00
9.896128919235832655e+03,3.604408614095038654e+00
9.896128942092285797e+03,3.604408605998481896e+00
9.896128964948737121e+03,3.604408597901820777e+00
9.896128987805190263e+03,3.604408589805052632e+00
9.896129010661641587e+03,3.604408581708179682e+00
9.896129033518094730e+03,3.604408573611200595e+00
9.896129056374546053e+03,3.604408565514116258e+00
9.896129079230999196e+03,3.604408557416925785e+00
9.896129102087450519e+03,3.604408549319630062e+00
9.896129124943903662e+03,3.604408541222228202e+00
9.896129147800356805e+03,3.604408533124720648e+00
9.896129170656808128e+03,3.604408525027108290e+00
9.896129193513261271e+03,3.604408516929389350e+00
9.896129216369712594e+03,3.604408508831565605e+00
9.896129239226165737e+03,3.604408500733635723e+00
9.896129262082617061e+03,3.604408492635600592e+00
9.896129284939070203e+03,3.604408484537459323e+00
9.896129307795521527e+03,3.604408476439213249e+00
9.896129330651974669e+03,3.604408468340861038e+00
9.896129353508425993e+03,3.604408460242403578e+00
9.896129376364879136e+03,3.604408452143840424e+00
9.896129399221332278e+03,3.604408444045172022e+00
9.896129422077783602e+03,3.604408435946398370e+00
9.896129444934236744e+03,3.604408427847518137e+00
9.896129467790688068e+03,3.604408419748534431e+00
9.896129490647141211e+03,3.604408411649442812e+00
9.896129513503592534e+03,3.604408403550247719e+00
9.896129536360045677e+03,3.604408395450946045e+00
9.896129559216497000e+03,3.604408387351539123e+00
9.896129582072950143e+03,3.604408379252026950e+00
9.896129604929401467e+03,3.604408371152409085e+00
9.896129627785854609e+03,3.604408363052686415e+00
9.896129650642307752e+03,3.604408354952857163e+00
9.896129673498759075e+03,3.604408346852923994e+00
9.896129696355212218e+03,3.604408338752884688e+00
9.896129719211663542e+03,3.604408330652740133e+00
9.896129742068116684e+03,3.604408322552488997e+00
9.896129764924568008e+03,3.604408314452134388e+00
9.896129787781021150e+03,3.604408306351673641e+00
9.896129810637472474e+03,3.604408298251107645e+00
9.896129833493925616e+03,3.604408290150435956e+00
9.896129856350376940e+03,3.604408282049659906e+00
9.896129879206830083e+03,3.604408273948777719e+00
9.896129902063283225e+03,3.604408265847789838e+00
9.896129924919734549e+03,3.604408257746697597e+00
9.896129947776187691e+03,3.604408249645499218e+00
9.896129970632639015e+03,3.604408241544196922e+00
9.896129993489092158e+03,3.604408233442788045e+00
9.896130016345543481e+03,3.604408225341274363e+00
9.896130039201996624e+03,3.604408217239654988e+00
9.896130062058447947e+03,3.604408209137931696e+00
9.896130084914901090e+03,3.604408201036101822e+00
9.896130107771352414e+03,3.604408192934168031e+00
9.896130130627805556e+03,3.604408184832127660e+00
