Time (BJD_TBD - 2450000), F_star + F_d (mJy)
1.013184277777792886e+04,3.860206272931399951e+00
1.013184279854968190e+04,3.860206268052736700e+00
1.013184281932143494e+04,3.860206263174292829e+00
1.013184284009318799e+04,3.860206258296068782e+00
1.013184286086494103e+04,3.860206253418064559e+00
1.013184288163669407e+04,3.860206248540281493e+00
1.013184290240844712e+04,3.860206243662717807e+00
1.013184292318020016e+04,3.860206238785373500e+00
1.013184294395195320e+04,3.860206233908250351e+00
1.013184296472370625e+04,3.860206229031346581e+00
1.013184298549545929e+04,3.860206224154662191e+00
1.013184300626721233e+04,3.860206219278198958e+00
1.013184302703896537e+04,3.860206214401955105e+00
1.013184304781071842e+04,3.860206209525931520e+00
1.013184306858247146e+04,3.860206204650127315e+00
1.013184308935422450e+04,3.860206199774543823e+00
1.013184311012597936e+04,3.860206194899180154e+00
1.013184313089773241e+04,3.860206190024037198e+00
1.013184315166948545e+04,3.860206185149113178e+00
1.013184317244123849e+04,3.860206180274409871e+00
1.013184319321299154e+04,3.860206175399927275e+00
1.013184321398474458e+04,3.860206170525663616e+00
1.013184323475649762e+04,3.860206165651620669e+00
1.013184325552825067e+04,3.860206160777797546e+00
1.013184327630000371e+04,3.860206155904194691e+00
1.013184329707175675e+04,3.860206151030812105e+00
1.013184331784350979e+04,3.860206146157649343e+00
1.013184333861526284e+04,3.860206141284707293e+00
1.013184335938701588e+04,3.860206136411984623e+00
1.013184338015876892e+04,3.860206131539482222e+00
1.013184340093052197e+04,3.860206126667200088e+00
1.013184342170227501e+04,3.860206121795138223e+00
1.013184344247402805e+04,3.860206116923296626e+00
1.013184346324578109e+04,3.860206112051674410e+00
1.013184348401753414e+04,3.860206107180272905e+00
1.013184350478928718e+04,3.860206102309091225e+00
1.013184352556104022e+04,3.860206097438130701e+00
1.013184354633279327e+04,3.860206092567388669e+00
1.013184356710454631e+04,3.860206087696868238e+00
1.013184358787629935e+04,3.860206082826567631e+00
1.013184360864805240e+04,3.860206077956486403e+00
1.013184362941980544e+04,3.860206073086626777e+00
1.013184365019155848e+04,3.860206068216986086e+00
1.013184367096331152e+04,3.860206063347566108e+00
1.013184369173506457e+04,3.860206058478365954e+00
1.013184371250681761e+04,3.860206053609386512e+00
1.013184373327857065e+04,3.860206048740627338e+00
1.013184375405032551e+04,3.860206043872087101e+00
1.013184377482207856e+04,3.860206039003768463e+00
1.013184379559383160e+04,3.860206034135670095e+00
1.013184381636558464e+04,3.860206029267791550e+00
1.013184383713733769e+04,3.860206024400132829e+00
1.013184385790909073e+04,3.860206019532695265e+00
1.013184387868084377e+04,3.860206014665477081e+00
1.013184389945259682e+04,3.860206009798480054e+00
1.013184392022434986e+04,3.860206004931702406e+00
1.013184394099610290e+04,3.860206000065145027e+00
1.013184396176785594e+04,3.860205995198808804e+00
1.013184398253960899e+04,3.860205990332691961e+00
1.013184400331136203e+04,3.860205985466795386e+00
1.013184402408311507e+04,3.860205980601119968e+00
1.013184404485486812e+04,3.860205975735663930e+00
1.013184406562662116e+04,3.860205970870428160e+00
1.013184408639837420e+04,3.860205966005413547e+00
1.013184410717012724e+04,3.860205961140618758e+00
1.013184412794188029e+04,3.860205956276044681e+00
1.013184414871363333e+04,3.860205951411689984e+00
1.013184416948538637e+04,3.860205946547555556e+00
1.013184419025713942e+04,3.860205941683642727e+00
1.013184421102889246e+04,3.860205936819949724e+00
1.013184423180064550e+04,3.860205931956476100e+00
1.013184425257239855e+04,3.860205927093224076e+00
1.013184427334415159e+04,3.860205922230191877e+00
1.013184429411590463e+04,3.860205917367380390e+00
1.013184431488765767e+04,3.860205912504787840e+00
1.013184433565941072e+04,3.860205907642416889e+00
1.013184435643116376e+04,3.860205902780266651e+00
1.013184437720291680e+04,3.860205897918336237e+00
1.013184439797466985e+04,3.860205893056625648e+00
1.013184441874642471e+04,3.860205888195135771e+00
1.013184443951817775e+04,3.860205883333866161e+00
1.013184446028993079e+04,3.860205878472817265e+00
1.013184448106168384e+04,3.860205873611989080e+00
1.013184450183343688e+04,3.860205868751381164e+00
1.013184452260518992e+04,3.860205863890993072e+00
1.013184454337694297e+04,3.860205859030825692e+00
1.013184456414869601e+04,3.860205854170878581e+00
1.013184458492044905e+04,3.860205849311152182e+00
1.013184460569220209e+04,3.860205844451646495e+00
1.013184462646395514e+04,3.860205839592360189e+00
1.013184464723570818e+04,3.860205834733295038e+00
1.013184466800746122e+04,3.860205829874451045e+00
1.013184468877921427e+04,3.860205825015826431e+00
1.013184470955096731e+04,3.860205820157421641e+00
1.013184473032272035e+04,3.860205815299238452e+00
1.013184475109447339e+04,3.860205810441275531e+00
1.013184477186622644e+04,3.860205805583532879e+00
1.013184479263797948e+04,3.860205800726011383e+00
1.013184481340973252e+04,3.860205795868709266e+00
1.013184483418148557e+04,3.860205791011628307e+00
1.013184485495323861e+04,3.860205786154767615e+00
1.013184487572499165e+04,3.860205781298128080e+00
1.013184489649674470e+04,3.860205776441707926e+00
1.013184491726849774e+04,3.860205771585508927e+00
1.013184493804025078e+04,3.860205766729530197e+00
1.013184495881200382e+04,3.860205761873771735e+00
1.013184497958375687e+04,3.860205757018234429e+00
1.013184500035550991e+04,3.860205752162917392e+00
1.013184502112726295e+04,3.860205747307820623e+00
1.013184504189901600e+04,3.860205742452944122e+00
1.013184506267077086e+04,3.860205737598288778e+00
1.013184508344252390e+04,3.860205732743853702e+00
1.013184510421427694e+04,3.860205727889638894e+00
1.013184512498602999e+04,3.860205723035644798e+00
1.013184514575778303e+04,3.860205718181871415e+00
1.013184516652953607e+04,3.860205713328319188e+00
1.013184518730128912e+04,3.860205708474986341e+00
1.013184520807304216e+04,3.860205703621874651e+00
1.013184522884479520e+04,3.860205698768984117e+00
1.013184524961654824e+04,3.860205693916312963e+00
1.013184527038830129e+04,3.860205689063863410e+00
1.013184529116005433e+04,3.860205684211633681e+00
1.013184531193180737e+04,3.860205679359625108e+00
1.013184533270356042e+04,3.860205674507836804e+00
1.013184535347531346e+04,3.860205669656269656e+00
1.013184537424706650e+04,3.860205664804922332e+00
1.013184539501881954e+04,3.860205659953796609e+00
1.013184541579057259e+04,3.860205655102890265e+00
1.013184543656232563e+04,3.860205650252205078e+00
1.013184545733407867e+04,3.860205645401741048e+00
1.013184547810583172e+04,3.860205640551496842e+00
1.013184549887758476e+04,3.860205635701474236e+00
1.013184551964933780e+04,3.860205630851671010e+00
1.013184554042109085e+04,3.860205626002088941e+00
1.013184556119284389e+04,3.860205621152728028e+00
1.013184558196459693e+04,3.860205616303587384e+00
1.013184560273634997e+04,3.860205611454667451e+00
1.013184562350810302e+04,3.860205606605968232e+00
1.013184564427985606e+04,3.860205601757489280e+00
1.013184566505160910e+04,3.860205596909231485e+00
1.013184568582336215e+04,3.860205592061194402e+00
1.013184570659511701e+04,3.860205587213377143e+00
1.013184572736687005e+04,3.860205582365781041e+00
1.013184574813862309e+04,3.860205577518406095e+00
1.013184576891037614e+04,3.860205572671251417e+00
1.013184578968212918e+04,3.860205567824317896e+00
1.013184581045388222e+04,3.860205562977605087e+00
1.013184583122563527e+04,3.860205558131112991e+00
1.013184585199738831e+04,3.860205553284841162e+00
1.013184587276914135e+04,3.860205548438790490e+00
1.013184589354089439e+04,3.860205543592960087e+00
1.013184591431264744e+04,3.860205538747350840e+00
1.013184593508440048e+04,3.860205533901961861e+00
1.013184595585615352e+04,3.860205529056794482e+00
1.013184597662790657e+04,3.860205524211846928e+00
1.013184599739965961e+04,3.860205519367120530e+00
1.013184601817141265e+04,3.860205514522614401e+00
1.013184603894316569e+04,3.860205509678330316e+00
1.013184605971491874e+04,3.860205504834265611e+00
1.013184608048667178e+04,3.860205499990422062e+00
1.013184610125842482e+04,3.860205495146799670e+00
1.013184612203017787e+04,3.860205490303398435e+00
1.013184614280193091e+04,3.860205485460217467e+00
1.013184616357368395e+04,3.860205480617256768e+00
1.013184618434543700e+04,3.860205475774517225e+00
1.013184620511719004e+04,3.860205470931998839e+00
1.013184622588894308e+04,3.860205466089701609e+00
1.013184624666069612e+04,3.860205461247624648e+00
1.013184626743244917e+04,3.860205456405768842e+00
1.013184628820420221e+04,3.860205451564133305e+00
1.013184630897595525e+04,3.860205446722718925e+00
1.013184632974770830e+04,3.860205441881525701e+00
1.013184635051946316e+04,3.860205437040551857e+00
1.013184637129121620e+04,3.860205432199800057e+00
1.013184639206296924e+04,3.860205427359269414e+00
1.013184641283472229e+04,3.860205422518959040e+00
1.013184643360647533e+04,3.860205417678869377e+00
1.013184645437822837e+04,3.860205412839001315e+00
1.013184647514998142e+04,3.860205407999353522e+00
1.013184649592173446e+04,3.860205403159926885e+00
1.013184651669348750e+04,3.860205398320721404e+00
1.013184653746524054e+04,3.860205393481736635e+00
1.013184655823699359e+04,3.860205388642972579e+00
1.013184657900874663e+04,3.860205383804429680e+00
1.013184659978049967e+04,3.860205378966106604e+00
1.013184662055225272e+04,3.860205374128006017e+00
1.013184664132400576e+04,3.860205369290125699e+00
1.013184666209575880e+04,3.860205364452466092e+00
1.013184668286751184e+04,3.860205359615027199e+00
1.013184670363926489e+04,3.860205354777809905e+00
1.013184672441101793e+04,3.860205349940813324e+00
1.013184674518277097e+04,3.860205345104037455e+00
1.013184676595452402e+04,3.860205340267482299e+00
1.013184678672627706e+04,3.860205335431148743e+00
1.013184680749803010e+04,3.860205330595035900e+00
1.013184682826978315e+04,3.860205325759143768e+00
1.013184684904153619e+04,3.860205320923473238e+00
1.013184686981328923e+04,3.860205316088022531e+00
1.013184689058504227e+04,3.860205311252793869e+00
1.013184691135679532e+04,3.860205306417785920e+00
1.013184693212854836e+04,3.860205301582998683e+00
1.013184695290030140e+04,3.860205296748432602e+00
1.013184697367205445e+04,3.860205291914088122e+00
1.013184699444380749e+04,3.860205287079963465e+00
1.013184701521556235e+04,3.860205282246059966e+00
1.013184703598731539e+04,3.860205277412377622e+00
1.013184705675906844e+04,3.860205272578916436e+00
1.013184707753082148e+04,3.860205267745676405e+00
1.013184709830257452e+04,3.860205262912657531e+00
1.013184711907432757e+04,3.860205258079859814e+00
1.013184713984608061e+04,3.860205253247282364e+00
1.013184716061783365e+04,3.860205248414926960e+00
1.013184718138958669e+04,3.860205243582791823e+00
1.013184720216133974e+04,3.860205238750877843e+00
1.013184722293309278e+04,3.860205233919185908e+00
1.013184724370484582e+04,3.860205229087714240e+00
1.013184726447659887e+04,3.860205224256463730e+00
1.013184728524835191e+04,3.860205219425434375e+00
1.013184730602010495e+04,3.860205214594624845e+00
1.013184732679185799e+04,3.860205209764037804e+00
1.013184734756361104e+04,3.860205204933671919e+00
1.013184736833536408e+04,3.860205200103525858e+00
1.013184738910711712e+04,3.860205195273602286e+00
1.013184740987887017e+04,3.860205190443899426e+00
1.013184743065062321e+04,3.860205185614417278e+00
1.013184745142237625e+04,3.860205180785156731e+00
1.013184747219412930e+04,3.860205175956116896e+00
1.013184749296588234e+04,3.860205171127297774e+00
1.013184751373763538e+04,3.860205166298701140e+00
1.013184753450938842e+04,3.860205161470324331e+00
1.013184755528114147e+04,3.860205156642169566e+00
1.013184757605289451e+04,3.860205151814235514e+00
1.013184759682464755e+04,3.860205146986522173e+00
1.013184761759640060e+04,3.860205142159030878e+00
1.013184763836815364e+04,3.860205137331759850e+00
1.013184765913990850e+04,3.860205132504709979e+00
1.013184767991166154e+04,3.860205127677882153e+00
1.013184770068341459e+04,3.860205122851274595e+00
1.013184772145516763e+04,3.860205118024889082e+00
1.013184774222692067e+04,3.860205113198723836e+00
1.013184776299867372e+04,3.860205108372780636e+00
1.013184778377042676e+04,3.860205103547058592e+00
1.013184780454217980e+04,3.860205098721556816e+00
1.013184782531393284e+04,3.860205093896276640e+00
1.013184784608568589e+04,3.860205089071218065e+00
1.013184786685743893e+04,3.860205084246380647e+00
