Time (BJD_TBD - 2450000), F_star + F_d (mJy)
9.903683680555783212e+03,2.653371938537439245e+00
9.903683703452748887e+03,2.653371935283738381e+00
9.903683726349714561e+03,2.653371932029742197e+00
9.903683749246680236e+03,2.653371928775451583e+00
9.903683772143645911e+03,2.653371925520865648e+00
9.903683795040611585e+03,2.653371922265985283e+00
9.903683817937577260e+03,2.653371919010810043e+00
9.903683840834542934e+03,2.653371915755339927e+00
9.903683863731508609e+03,2.653371912499575380e+00
9.903683886628474283e+03,2.653371909243515958e+00
9.903683909525439958e+03,2.653371905987161217e+00
9.903683932422405633e+03,2.653371902730512044e+00
9.903683955319371307e+03,2.653371899473567996e+00
9.903683978216336982e+03,2.653371896216329073e+00
9.903684001113302656e+03,2.653371892958795719e+00
9.903684024010268331e+03,2.653371889700967490e+00
9.903684046907234006e+03,2.653371886442844385e+00
9.903684069804199680e+03,2.653371883184426849e+00
9.903684092701163536e+03,2.653371879925713994e+00
9.903684115598129210e+03,2.653371876666706708e+00
9.903684138495094885e+03,2.653371873407404991e+00
9.903684161392060560e+03,2.653371870147807954e+00
9.903684184289026234e+03,2.653371866887916486e+00
9.903684207185991909e+03,2.653371863627730587e+00
9.903684230082957583e+03,2.653371860367249813e+00
9.903684252979923258e+03,2.653371857106474163e+00
9.903684275876888933e+03,2.653371853845403638e+00
9.903684298773854607e+03,2.653371850584038683e+00
9.903684321670820282e+03,2.653371847322378851e+00
9.903684344567785956e+03,2.653371844060424145e+00
9.903684367464751631e+03,2.653371840798175008e+00
9.903684390361717305e+03,2.653371837535630995e+00
9.903684413258682980e+03,2.653371834272792551e+00
9.903684436155648655e+03,2.653371831009659232e+00
9.903684459052614329e+03,2.653371827746231038e+00
9.903684481949580004e+03,2.653371824482508412e+00
9.903684504846545678e+03,2.653371821218491355e+00
9.903684527743511353e+03,2.653371817954179424e+00
9.903684550640477028e+03,2.653371814689572616e+00
9.903684573537442702e+03,2.653371811424670934e+00
9.903684596434408377e+03,2.653371808159475265e+00
9.903684619331374051e+03,2.653371804893984720e+00
9.903684642228339726e+03,2.653371801628199300e+00
9.903684665125305401e+03,2.653371798362119005e+00
