Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.065014266203716397e+04,2.036375222235547966e+01
1.065014268332748725e+04,2.036181455995111378e+01
1.065014270461781052e+04,2.035987697863011192e+01
1.065014272590813380e+04,2.035793947839453821e+01
1.065014274719845707e+04,2.035600205924654560e+01
1.065014276848878217e+04,2.035406472102270925e+01
1.065014278977910544e+04,2.035212746405619555e+01
1.065014281106942872e+04,2.035019028818362585e+01
1.065014283235975199e+04,2.034825319340705718e+01
1.065014285365007527e+04,2.034631617972862472e+01
1.065014287494039854e+04,2.034437924715044588e+01
1.065014289623072182e+04,2.034244239567466295e+01
1.065014291752104509e+04,2.034050562530333295e+01
1.065014293881136837e+04,2.033856893603859817e+01
1.065014296010169346e+04,2.033663232771710483e+01
1.065014298139201674e+04,2.033469580067190208e+01
1.065014300268234001e+04,2.033275935473966101e+01
1.065014302397266329e+04,2.033082298992243153e+01
1.065014304526298656e+04,2.032888670622235949e+01
1.065014306655330984e+04,2.032695050364155875e+01
1.065014308784363311e+04,2.032501438218214318e+01
1.065014310913395639e+04,2.032307834184623019e+01
1.065014313042427966e+04,2.032114238263593364e+01
1.065014315171460476e+04,2.031920650438795306e+01
1.065014317300492803e+04,2.031727070743519548e+01
1.065014319429525131e+04,2.031533499161439238e+01
1.065014321558557458e+04,2.031339935692763632e+01
1.065014323687589786e+04,2.031146380337708024e+01
1.065014325816622113e+04,2.030952833096477761e+01
1.065014327945654441e+04,2.030759293969286361e+01
1.065014330074686768e+04,2.030565762956348763e+01
1.065014332203719096e+04,2.030372240057869249e+01
1.065014334332751605e+04,2.030178725257529493e+01
1.065014336461783932e+04,2.029985218588608120e+01
1.065014338590816260e+04,2.029791720034780766e+01
1.065014340719848587e+04,2.029598229596262016e+01
1.065014342848880915e+04,2.029404747273258280e+01
1.065014344977913242e+04,2.029211273065983789e+01
1.065014347106945570e+04,2.029017806974647442e+01
1.065014349235977897e+04,2.028824348999462757e+01
1.065014351365010225e+04,2.028630899140638988e+01
1.065014353494042734e+04,2.028437457381862785e+01
1.065014355623075062e+04,2.028244023756396786e+01
1.065014357752107389e+04,2.028050598247924441e+01
1.065014359881139717e+04,2.027857180856657848e+01
1.065014362010172044e+04,2.027663771582808749e+01
1.065014364139204372e+04,2.027470370426589952e+01
1.065014366268236699e+04,2.027276977388208223e+01
1.065014368397269027e+04,2.027083592467875306e+01
1.065014370526301354e+04,2.026890215665803296e+01
1.065014372655333864e+04,2.026696846965685950e+01
1.065014374784366191e+04,2.026503486400769916e+01
1.065014376913398519e+04,2.026310133954747528e+01
1.065014379042430846e+04,2.026116789627830528e+01
1.065014381171463174e+04,2.025923453420231368e+01
1.065014383300495501e+04,2.025730125332156462e+01
1.065014385429527829e+04,2.025536805363818971e+01
1.065014387558560156e+04,2.025343493515430993e+01
1.065014389687592484e+04,2.025150189787201427e+01
1.065014391816624993e+04,2.024956894162830778e+01
1.065014393945657321e+04,2.024763606675553973e+01
1.065014396074689648e+04,2.024570327309069739e+01
1.065014398203721976e+04,2.024377056063589464e+01
1.065014400332754303e+04,2.024183792939321691e+01
1.065014402461786631e+04,2.023990537936479939e+01
1.065014404590818958e+04,2.023797291055275949e+01
1.065014406719851286e+04,2.023604052295915068e+01
1.065014408848883613e+04,2.023410821658612591e+01
1.065014410977916123e+04,2.023217599127070088e+01
