Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.889738090277649462e+03,2.565866146364630751e+01
9.889738107156652404e+03,2.566042604120059423e+01
9.889738124035655346e+03,2.566219067062973380e+01
9.889738140914658288e+03,2.566395535193255384e+01
9.889738157793661230e+03,2.566572008510782865e+01
9.889738174672662353e+03,2.566748486996415224e+01
9.889738191551665295e+03,2.566924970688069507e+01
9.889738208430668237e+03,2.567101459566605115e+01
9.889738225309671179e+03,2.567277953631902676e+01
9.889738242188674121e+03,2.567454452883840332e+01
9.889738259067677063e+03,2.567630957322297647e+01
9.889738275946680005e+03,2.567807466947152051e+01
9.889738292825682947e+03,2.567983981758283818e+01
9.889738309704684070e+03,2.568160501736549506e+01
9.889738326583687012e+03,2.568337026919871491e+01
9.889738343462689954e+03,2.568513557289108107e+01
9.889738360341692896e+03,2.568690092844137496e+01
9.889738377220695838e+03,2.568866633584839221e+01
9.889738394099698780e+03,2.569043179511091068e+01
9.889738410978701722e+03,2.569219730622771536e+01
9.889738427857704664e+03,2.569396286919762673e+01
9.889738444736705787e+03,2.569572848382911801e+01
9.889738461615708729e+03,2.569749415050155505e+01
9.889738478494711671e+03,2.569925986902344306e+01
9.889738495373714613e+03,2.570102563939356699e+01
9.889738512252717555e+03,2.570279146161073669e+01
9.889738529131720497e+03,2.570455733567371936e+01
9.889738546010723439e+03,2.570632326158130709e+01
9.889738562889726381e+03,2.570808923933229195e+01
9.889738579768727504e+03,2.570985526873514715e+01
9.889738596647730446e+03,2.571162135016929895e+01
9.889738613526733388e+03,2.571338748344320990e+01
9.889738630405736330e+03,2.571515366855567919e+01
9.889738647284739272e+03,2.571691990550547757e+01
9.889738664163742214e+03,2.571868619429142910e+01
9.889738681042745156e+03,2.572045253491227257e+01
9.889738697921748098e+03,2.572221892736685689e+01
9.889738714800749221e+03,2.572398537146355224e+01
9.889738731679752163e+03,2.572575186758189147e+01
9.889738748558755105e+03,2.572751841553031227e+01
9.889738765437758047e+03,2.572928501530759249e+01
9.889738782316760989e+03,2.573105166691253132e+01
9.889738799195763931e+03,2.573281837034390307e+01
9.889738816074766873e+03,2.573458512560050693e+01
9.889738832953769816e+03,2.573635193268112431e+01
9.889738849832770939e+03,2.573811879139413605e+01
9.889738866711773881e+03,2.573988570211915317e+01
9.889738883590776823e+03,2.574165266466453872e+01
9.889738900469779765e+03,2.574341967902910611e+01
9.889738917348782707e+03,2.574518674521162609e+01
9.889738934227785649e+03,2.574695386321089785e+01
