Time (BJD_TBD - 2450000), L_d/L_star (ppm)
9.889738090277649462e+03,2.796907537388166887e+01
9.889738107156652404e+03,2.797099884142843607e+01
9.889738124035655346e+03,2.797292236552109301e+01
9.889738140914658288e+03,2.797484594615835007e+01
9.889738157793661230e+03,2.797676958333887853e+01
9.889738174672662353e+03,2.797869327685403462e+01
9.889738191551665295e+03,2.798061702711713039e+01
9.889738208430668237e+03,2.798254083391952207e+01
9.889738225309671179e+03,2.798446469725992003e+01
9.889738242188674121e+03,2.798638861713698489e+01
9.889738259067677063e+03,2.798831259354940570e+01
9.889738275946680005e+03,2.799023662649584665e+01
9.889738292825682947e+03,2.799216071597500743e+01
9.889738309704684070e+03,2.799408486177821231e+01
9.889738326583687012e+03,2.799600906431883018e+01
9.889738343462689954e+03,2.799793332338821017e+01
9.889738360341692896e+03,2.799985763898502356e+01
9.889738377220695838e+03,2.800178201110795939e+01
9.889738394099698780e+03,2.800370643975568541e+01
9.889738410978701722e+03,2.800563092492686934e+01
9.889738427857704664e+03,2.800755546662024287e+01
9.889738444736705787e+03,2.800948006462701301e+01
9.889738461615708729e+03,2.801140471936071563e+01
9.889738478494711671e+03,2.801332943061261815e+01
9.889738495373714613e+03,2.801525419838138475e+01
9.889738512252717555e+03,2.801717902266572224e+01
9.889738529131720497e+03,2.801910390346429480e+01
9.889738546010723439e+03,2.802102884077577727e+01
9.889738562889726381e+03,2.802295383459885159e+01
9.889738579768727504e+03,2.802487888472474609e+01
9.889738596647730446e+03,2.802680399156705704e+01
9.889738613526733388e+03,2.802872915491699857e+01
9.889738630405736330e+03,2.803065437477325617e+01
9.889738647284739272e+03,2.803257965113450112e+01
9.889738664163742214e+03,2.803450498399944024e+01
9.889738681042745156e+03,2.803643037336670574e+01
9.889738697921748098e+03,2.803835581923503995e+01
9.889738714800749221e+03,2.804028132139555396e+01
9.889738731679752163e+03,2.804220688026196484e+01
9.889738748558755105e+03,2.804413249562544763e+01
9.889738765437758047e+03,2.804605816748468783e+01
9.889738782316760989e+03,2.804798389583836382e+01
9.889738799195763931e+03,2.804990968068513979e+01
9.889738816074766873e+03,2.805183552202371544e+01
9.889738832953769816e+03,2.805376141985275851e+01
9.889738849832770939e+03,2.805568737396338719e+01
9.889738866711773881e+03,2.805761338476940026e+01
9.889738883590776823e+03,2.805953945206191591e+01
9.889738900469779765e+03,2.806146557583962320e+01
9.889738917348782707e+03,2.806339175610119341e+01
9.889738934227785649e+03,2.806531799284531203e+01
9.889738951106788591e+03,2.806724428607063970e+01
9.889738967985791533e+03,2.806917063577588323e+01
9.889738984864792656e+03,2.807109704175209330e+01
9.889739001743795598e+03,2.807302350441317529e+01
9.889739018622798540e+03,2.807495002355018343e+01
9.889739035501801482e+03,2.807687659916181033e+01
9.889739052380804424e+03,2.807880323124673794e+01
9.889739069259807366e+03,2.808072991980365174e+01
9.889739086138810308e+03,2.808265666483119105e+01
9.889739103017813250e+03,2.808458346632808045e+01
9.889739119896814373e+03,2.808651032408532089e+01
9.889739136775817315e+03,2.808843723851691365e+01
9.889739153654820257e+03,2.809036420941386680e+01
9.889739170533823199e+03,2.809229123677485518e+01
