Time (BJD_TBD - 2450000), F_star + F_e (mJy)
1.014846018518507481e+04,3.604109210814399500e+00
1.014846020605984813e+04,3.604109208567651379e+00
1.014846022693461964e+04,3.604109206320987191e+00
1.014846024780939297e+04,3.604109204074406048e+00
1.014846026868416629e+04,3.604109201827909281e+00
1.014846028955893780e+04,3.604109199581496448e+00
1.014846031043371113e+04,3.604109197335166659e+00
1.014846033130848264e+04,3.604109195088921691e+00
1.014846035218325596e+04,3.604109192842759324e+00
1.014846037305802929e+04,3.604109190596681778e+00
1.014846039393280080e+04,3.604109188350687276e+00
1.014846041480757413e+04,3.604109186104777152e+00
1.014846043568234745e+04,3.604109183858949628e+00
1.014846045655711896e+04,3.604109181613207369e+00
1.014846047743189229e+04,3.604109179367547711e+00
1.014846049830666561e+04,3.604109177121972429e+00
1.014846051918143712e+04,3.604109174876480637e+00
1.014846054005621045e+04,3.604109172631073221e+00
1.014846056093098196e+04,3.604109170385749294e+00
1.014846058180575528e+04,3.604109168140508856e+00
1.014846060268052861e+04,3.604109165895352351e+00
1.014846062355530012e+04,3.604109163650279779e+00
1.014846064443007344e+04,3.604109161405290696e+00
1.014846066530484677e+04,3.604109159160385545e+00
1.014846068617961828e+04,3.604109156915564327e+00
1.014846070705439161e+04,3.604109154670827042e+00
1.014846072792916493e+04,3.604109152426173246e+00
1.014846074880393644e+04,3.604109150181603383e+00
1.014846076967870977e+04,3.604109147937116564e+00
1.014846079055348127e+04,3.604109145692714566e+00
1.014846081142825460e+04,3.604109143448396058e+00
1.014846083230302793e+04,3.604109141204161482e+00
1.014846085317779944e+04,3.604109138960009950e+00
1.014846087405257276e+04,3.604109136715942796e+00
1.014846089492734609e+04,3.604109134471959575e+00
1.014846091580211760e+04,3.604109132228060286e+00
1.014846093667689092e+04,3.604109129984244042e+00
1.014846095755166243e+04,3.604109127740512175e+00
1.014846097842643576e+04,3.604109125496864241e+00
1.014846099930120909e+04,3.604109123253299352e+00
1.014846102017598059e+04,3.604109121009819283e+00
1.014846104105075392e+04,3.604109118766422704e+00
1.014846106192552725e+04,3.604109116523109169e+00
1.014846108280029875e+04,3.604109114279880455e+00
1.014846110367507208e+04,3.604109112036735230e+00
1.014846112454984541e+04,3.604109109793673049e+00
1.014846114542461692e+04,3.604109107550695690e+00
1.014846116629939024e+04,3.604109105307801375e+00
