Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.917309675925876945e+03,3.447697353602035886e+00
9.917309697571559809e+03,3.447697354254845248e+00
9.917309719217242673e+03,3.447697354907759415e+00
9.917309740862925537e+03,3.447697355560778831e+00
9.917309762508608401e+03,3.447697356213903497e+00
9.917309784154293084e+03,3.447697356867133855e+00
9.917309805799975948e+03,3.447697357520469463e+00
9.917309827445658811e+03,3.447697358173910320e+00
9.917309849091341675e+03,3.447697358827456871e+00
9.917309870737024539e+03,3.447697359481108226e+00
9.917309892382707403e+03,3.447697360134864830e+00
9.917309914028390267e+03,3.447697360788726684e+00
9.917309935674073131e+03,3.447697361442694231e+00
9.917309957319757814e+03,3.447697362096767471e+00
9.917309978965440678e+03,3.447697362750945071e+00
9.917310000611123542e+03,3.447697363405227922e+00
9.917310022256806405e+03,3.447697364059617353e+00
9.917310043902489269e+03,3.447697364714111590e+00
9.917310065548172133e+03,3.447697365368710631e+00
9.917310087193854997e+03,3.447697366023414922e+00
9.917310108839537861e+03,3.447697366678224462e+00
9.917310130485222544e+03,3.447697367333140583e+00
9.917310152130905408e+03,3.447697367988160622e+00
9.917310173776588272e+03,3.447697368643287241e+00
9.917310195422271136e+03,3.447697369298517778e+00
9.917310217067954000e+03,3.447697369953854896e+00
9.917310238713636863e+03,3.447697370609296819e+00
9.917310260359319727e+03,3.447697371264843547e+00
9.917310282005002591e+03,3.447697371920495968e+00
9.917310303650687274e+03,3.447697372576253638e+00
9.917310325296370138e+03,3.447697373232116558e+00
9.917310346942053002e+03,3.447697373888085171e+00
9.917310368587735866e+03,3.447697374544159477e+00
9.917310390233418730e+03,3.447697375200338588e+00
9.917310411879101594e+03,3.447697375856622504e+00
9.917310433524784457e+03,3.447697376513012113e+00
9.917310455170467321e+03,3.447697377169507416e+00
9.917310476816152004e+03,3.447697377826107523e+00
9.917310498461834868e+03,3.447697378482813324e+00
9.917310520107517732e+03,3.447697379139623930e+00
9.917310541753200596e+03,3.447697379796540229e+00
9.917310563398883460e+03,3.447697380453561777e+00
9.917310585044566324e+03,3.447697381110688575e+00
9.917310606690249188e+03,3.447697381767921065e+00
9.917310628335932051e+03,3.447697382425258361e+00
9.917310649981616734e+03,3.447697383082701350e+00
9.917310671627299598e+03,3.447697383740249144e+00
9.917310693272982462e+03,3.447697384397902631e+00
9.917310714918665326e+03,3.447697385055660924e+00
9.917310736564348190e+03,3.447697385713525353e+00
9.917310758210031054e+03,3.447697386371495032e+00
9.917310779855713918e+03,3.447697387029569516e+00
9.917310801501396782e+03,3.447697387687748805e+00
9.917310823147079645e+03,3.447697388346034675e+00
9.917310844792764328e+03,3.447697389004424906e+00
9.917310866438447192e+03,3.447697389662921275e+00
9.917310888084130056e+03,3.447697390321521560e+00
9.917310909729812920e+03,3.447697390980228427e+00
9.917310931375495784e+03,3.447697391639040543e+00
9.917310953021178648e+03,3.447697392297957020e+00
9.917310974666861512e+03,3.447697392956979190e+00
9.917310996312544376e+03,3.447697393616107497e+00
9.917311017958229058e+03,3.447697394275340166e+00
9.917311039603911922e+03,3.447697394934678528e+00
9.917311061249594786e+03,3.447697395594122138e+00
9.917311082895277650e+03,3.447697396253670998e+00
9.917311104540960514e+03,3.447697396913325107e+00
9.917311126186643378e+03,3.447697397573084466e+00
9.917311147832326242e+03,3.447697398232949517e+00
9.917311169478009106e+03,3.447697398892919818e+00
9.917311191123693789e+03,3.447697399552994479e+00
9.917311212769376652e+03,3.447697400213175278e+00
9.917311234415059516e+03,3.447697400873461326e+00
9.917311256060742380e+03,3.447697401533852624e+00
9.917311277706425244e+03,3.447697402194349170e+00
9.917311299352108108e+03,3.447697402854950965e+00
9.917311320997790972e+03,3.447697403515658010e+00
9.917311342643473836e+03,3.447697404176471192e+00
9.917311364289158519e+03,3.447697404837388735e+00
9.917311385934841383e+03,3.447697405498411527e+00
9.917311407580524246e+03,3.447697406159540012e+00
9.917311429226207110e+03,3.447697406820773747e+00
9.917311450871889974e+03,3.447697407482112730e+00
9.917311472517572838e+03,3.447697408143557407e+00
9.917311494163255702e+03,3.447697408805106445e+00
9.917311515808938566e+03,3.447697409466761620e+00
9.917311537454623249e+03,3.447697410128521600e+00
9.917311559100306113e+03,3.447697410790387273e+00
9.917311580745988977e+03,3.447697411452357308e+00
9.917311602391671840e+03,3.447697412114433480e+00
9.917311624037354704e+03,3.447697412776615344e+00
9.917311645683037568e+03,3.447697413438902014e+00
9.917311667328720432e+03,3.447697414101293489e+00
