Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.014093855324061587e+04,8.728563337513197951e+01
1.014093857208740883e+04,8.728453172773474478e+01
1.014093859093419996e+04,8.728343007094680672e+01
1.014093860978099292e+04,8.728232840455601149e+01
1.014093862862778406e+04,8.728122672877537980e+01
1.014093864747457701e+04,8.728012504339264410e+01
1.014093866632136815e+04,8.727902334862095302e+01
1.014093868516816110e+04,8.727792164424798216e+01
1.014093870401495224e+04,8.727681993048686593e+01
1.014093872286174519e+04,8.727571820712536521e+01
1.014093874170853633e+04,8.727461647437650072e+01
1.014093876055532928e+04,8.727351473202806176e+01
1.014093877940212042e+04,8.727241298029312588e+01
1.014093879824891337e+04,8.727131121895939714e+01
1.014093881709570451e+04,8.727020944824002413e+01
1.014093883594249746e+04,8.726910766792273932e+01
1.014093885478928860e+04,8.726800587822057764e+01
1.014093887363608155e+04,8.726690407892135681e+01
1.014093889248287269e+04,8.726580227023812597e+01
1.014093891132966564e+04,8.726470045195861758e+01
1.014093893017645678e+04,8.726359862429592340e+01
1.014093894902324973e+04,8.726249678703781854e+01
1.014093896787004269e+04,8.726139494029099808e+01
1.014093898671683382e+04,8.726029308416227082e+01
1.014093900556362678e+04,8.725919121843934079e+01
1.014093902441041791e+04,8.725808934333534239e+01
1.014093904325721087e+04,8.725698745863797967e+01
1.014093906210400201e+04,8.725588556456031597e+01
1.014093908095079496e+04,8.725478366089014060e+01
1.014093909979758610e+04,8.725368174784053110e+01
1.014093911864437905e+04,8.725257982519919153e+01
1.014093913749117019e+04,8.725147789317928471e+01
1.014093915633796314e+04,8.725037595156847203e+01
1.014093917518475428e+04,8.724927400057993054e+01
1.014093919403154723e+04,8.724817204000135007e+01
1.014093921287833837e+04,8.724707007004579395e+01
1.014093923172513132e+04,8.724596809050103730e+01
1.014093925057192246e+04,8.724486610158017186e+01
1.014093926941871541e+04,8.724376410307091589e+01
1.014093928826550655e+04,8.724266209518640380e+01
1.014093930711229950e+04,8.724156007771429699e+01
1.014093932595909064e+04,8.724045805086780092e+01
1.014093934480588359e+04,8.723935601443454857e+01
1.014093936365267473e+04,8.723825396862768855e+01
1.014093938249946768e+04,8.723715191323493912e+01
1.014093940134626064e+04,8.723604984836303800e+01
1.014093942019305177e+04,8.723494777411880818e+01
1.014093943903984473e+04,8.723384569028988267e+01
1.014093945788663586e+04,8.723274359708945269e+01
1.014093947673342882e+04,8.723164149430517966e+01
1.014093949558021995e+04,8.723053938215026903e+01
1.014093951442701291e+04,8.722943726041232537e+01
1.014093953327380405e+04,8.722833512930449729e+01
1.014093955212059700e+04,8.722723298861453145e+01
1.014093957096738814e+04,8.722613083855553384e+01
1.014093958981418109e+04,8.722502867891516587e+01
1.014093960866097223e+04,8.722392650990663299e+01
1.014093962750776518e+04,8.722282433131755397e+01
1.014093964635455632e+04,8.722172214336114848e+01
1.014093966520134927e+04,8.722061994582502109e+01
1.014093968404814041e+04,8.721951773892243409e+01
1.014093970289493336e+04,8.721841552244096363e+01
1.014093972174172450e+04,8.721731329659375831e+01
1.014093974058851745e+04,8.721621106116855060e+01
1.014093975943530859e+04,8.721510881637848911e+01
1.014093977828210154e+04,8.721400656201122104e+01
1.014093979712889450e+04,8.721290429817356937e+01
1.014093981597568563e+04,8.721180202497227185e+01
1.014093983482247859e+04,8.721069974219501830e+01
1.014093985366926972e+04,8.720959745005501418e+01
1.014093987251606268e+04,8.720849514833984983e+01
1.014093989136285381e+04,8.720739283726277336e+01
1.014093991020964677e+04,8.720629051661134667e+01
1.014093992905643790e+04,8.720518818659886051e+01
1.014093994790323086e+04,8.720408584701286259e+01
1.014093996675002199e+04,8.720298349806664362e+01
1.014093998559681495e+04,8.720188113954776554e+01
1.014094000444360609e+04,8.720077877166940539e+01
1.014094002329039904e+04,8.719967639421925298e+01
1.014094004213719018e+04,8.719857400741049958e+01
1.014094006098398313e+04,8.719747161103072131e+01
1.014094007983077427e+04,8.719636920529320889e+01
1.014094009867756722e+04,8.719526678998551006e+01
1.014094011752435836e+04,8.719416436532088710e+01
1.014094013637115131e+04,8.719306193108691616e+01
1.014094015521794245e+04,8.719195948749687375e+01
1.014094017406473540e+04,8.719085703433832180e+01
1.014094019291152654e+04,8.718975457182445155e+01
1.014094021175831949e+04,8.718865209974295283e+01
1.014094023060511245e+04,8.718754961820057758e+01
1.014094024945190358e+04,8.718644712730419144e+01
1.014094026829869654e+04,8.718534462684134212e+01
1.014094028714548767e+04,8.718424211702534876e+01
1.014094030599228063e+04,8.718313959764373067e+01
1.014094032483907176e+04,8.718203706890979277e+01
1.014094034368586472e+04,8.718093453061102593e+01
1.014094036253265585e+04,8.717983198296077774e+01
1.014094038137944881e+04,8.717872942574653905e+01
1.014094040022623994e+04,8.717762685918164323e+01
1.014094041907303290e+04,8.717652428305360957e+01
1.014094043791982403e+04,8.717542169757572879e+01
1.014094045676661699e+04,8.717431910253561966e+01
1.014094047561340813e+04,8.717321649814638818e+01
1.014094049446020108e+04,8.717211388419576679e+01
1.014094051330699222e+04,8.717101126089693253e+01
1.014094053215378517e+04,8.716990862803746154e+01
1.014094055100057631e+04,8.716880598583064454e+01
1.014094056984736926e+04,8.716770333406401505e+01
1.014094058869416040e+04,8.716660067295086378e+01
1.014094060754095335e+04,8.716549800227875267e+01
1.014094062638774631e+04,8.716439532215453312e+01
1.014094064523453744e+04,8.716329263268502814e+01
1.014094066408133040e+04,8.716218993365778545e+01
1.014094068292812153e+04,8.716108722528610997e+01
1.014094070177491449e+04,8.715998450735753522e+01
1.014094072062170562e+04,8.715888178008533771e+01
1.014094073946849858e+04,8.715777904325707937e+01
1.014094075831528971e+04,8.715667629708606512e+01
1.014094077716208267e+04,8.715557354135980006e+01
1.014094079600887380e+04,8.715447077629160333e+01
1.014094081485566676e+04,8.715336800166899422e+01
1.014094083370245789e+04,8.715226521770527768e+01
1.014094085254925085e+04,8.715116242418797299e+01
1.014094087139604198e+04,8.715005962133038508e+01
1.014094089024283494e+04,8.714895680892004748e+01
1.014094090908962608e+04,8.714785398717027931e+01
1.014094092793641903e+04,8.714675115586864251e+01
1.014094094678321017e+04,8.714564831522831412e+01
1.014094096563000312e+04,8.714454546503692711e+01
1.014094098447679426e+04,8.714344260550775800e+01
1.014094100332358721e+04,8.714233973642834030e+01
1.014094102217037835e+04,8.714123685801195052e+01
1.014094104101717130e+04,8.714013397004615058e+01
1.014094105986396426e+04,8.713903107263780612e+01
1.014094107871075539e+04,8.713792816589372592e+01
1.014094109755754835e+04,8.713682524960150033e+01
1.014094111640433948e+04,8.713572232397440587e+01
1.014094113525113244e+04,8.713461938879993340e+01
1.014094115409792357e+04,8.713351644429144471e+01
1.014094117294471653e+04,8.713241349023643068e+01
1.014094119179150766e+04,8.713131052684821043e+01
1.014094121063830062e+04,8.713020755391428906e+01
1.014094122948509175e+04,8.712910457164804257e+01
1.014094124833188471e+04,8.712800157983689076e+01
1.014094126717867584e+04,8.712689857869423804e+01
1.014094128602546880e+04,8.712579556800754688e+01
1.014094130487225993e+04,8.712469254799015062e+01
1.014094132371905289e+04,8.712358951842952592e+01
1.014094134256584402e+04,8.712248647953907721e+01
1.014094136141263698e+04,8.712138343110621008e+01
1.014094138025942812e+04,8.712028037334434316e+01
1.014094139910622107e+04,8.711917730604095311e+01
1.014094141795301221e+04,8.711807422940930223e+01
1.014094143679980516e+04,8.711697114323698088e+01
1.014094145564659811e+04,8.711586804763081204e+01
1.014094147449338925e+04,8.711476494269768978e+01
1.014094149334018221e+04,8.711366182822509074e+01
