Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.917309675925876945e+03,8.118615880250048544e-01
9.917309697571559809e+03,8.121248431196070872e-01
9.917309719217242673e+03,8.123881406870685495e-01
9.917309740862925537e+03,8.126514807272458008e-01
9.917309762508608401e+03,8.129148632400140517e-01
9.917309784154293084e+03,8.131782882473859164e-01
9.917309805799975948e+03,8.134417557049535841e-01
9.917309827445658811e+03,8.137052656347197876e-01
9.917309849091341675e+03,8.139688180365506343e-01
9.917309870737024539e+03,8.142324129103215569e-01
9.917309892382707403e+03,8.144960502558985516e-01
9.917309914028390267e+03,8.147597300731571623e-01
9.917309935674073131e+03,8.150234523619536153e-01
9.917309957319757814e+03,8.152872171443290572e-01
9.917309978965440678e+03,8.155510243758280486e-01
9.917310000611123542e+03,8.158148740784724184e-01
9.917310022256806405e+03,8.160787662521377106e-01
9.917310043902489269e+03,8.163427008966898102e-01
9.917310065548172133e+03,8.166066780120043722e-01
9.917310087193854997e+03,8.168706975979376228e-01
9.917310108839537861e+03,8.171347596543652170e-01
9.917310130485222544e+03,8.173988642033569452e-01
9.917310152130905408e+03,8.176630112003900885e-01
9.917310173776588272e+03,8.179272006675155637e-01
9.917310195422271136e+03,8.181914326046182406e-01
9.917310217067954000e+03,8.184557070115545674e-01
9.917310238713636863e+03,8.187200238881999770e-01
9.917310260359319727e+03,8.189843832344206875e-01
9.917310282005002591e+03,8.192487850500823621e-01
9.917310303650687274e+03,8.195132293572836568e-01
9.917310325296370138e+03,8.197777161114445654e-01
9.917310346942053002e+03,8.200422453346539742e-01
9.917310368587735866e+03,8.203068170267777681e-01
9.917310390233418730e+03,8.205714311876917133e-01
9.917310411879101594e+03,8.208360878172520358e-01
9.917310433524784457e+03,8.211007869153437166e-01
9.917310455170467321e+03,8.213655284818329738e-01
9.917310476816152004e+03,8.216303125388180195e-01
9.917310498461834868e+03,8.218951390416999736e-01
9.917310520107517732e+03,8.221600080125676113e-01
9.917310541753200596e+03,8.224249194513061356e-01
9.917310563398883460e+03,8.226898733577718836e-01
9.917310585044566324e+03,8.229548697318402883e-01
9.917310606690249188e+03,8.232199085733774568e-01
9.917310628335932051e+03,8.234849898822588221e-01
9.917310649981616734e+03,8.237501136806212321e-01
9.917310671627299598e+03,8.240152799237793202e-01
9.917310693272982462e+03,8.242804886338890302e-01
9.917310714918665326e+03,8.245457398107972624e-01
9.917310736564348190e+03,8.248110334543889977e-01
9.917310758210031054e+03,8.250763695645303430e-01
9.917310779855713918e+03,8.253417481410870726e-01
9.917310801501396782e+03,8.256071691839252935e-01
9.917310823147079645e+03,8.258726326929108907e-01
9.917310844792764328e+03,8.261381386902379997e-01
9.917310866438447192e+03,8.264036871311353227e-01
9.917310888084130056e+03,8.266692780377875582e-01
9.917310909729812920e+03,8.269349114100604803e-01
9.917310931375495784e+03,8.272005872478297439e-01
9.917310953021178648e+03,8.274663055509612342e-01
9.917310974666861512e+03,8.277320663193113992e-01
9.917310996312544376e+03,8.279978695527556720e-01
9.917311017958229058e+03,8.282637152735073949e-01
9.917311039603911922e+03,8.285296034367570783e-01
9.917311061249594786e+03,8.287955340646987468e-01
9.917311082895277650e+03,8.290615071571982853e-01
9.917311104540960514e+03,8.293275227141410078e-01
9.917311126186643378e+03,8.295935807353831404e-01
9.917311147832326242e+03,8.298596812208003382e-01
9.917311169478009106e+03,8.301258241702488272e-01
9.917311191123693789e+03,8.303920096059708156e-01
9.917311212769376652e+03,8.306582374830990823e-01
9.917311234415059516e+03,8.309245078238661764e-01
9.917311256060742380e+03,8.311908206281475309e-01
9.917311277706425244e+03,8.314571758957997050e-01
9.917311299352108108e+03,8.317235736266884727e-01
9.917311320997790972e+03,8.319900138206990370e-01
9.917311342643473836e+03,8.322564964776780760e-01
9.917311364289158519e+03,8.325230216199062117e-01
9.917311385934841383e+03,8.327895892024490543e-01
9.917311407580524246e+03,8.330561992475679078e-01
9.917311429226207110e+03,8.333228517551383163e-01
9.917311450871889974e+03,8.335895467250261648e-01
9.917311472517572838e+03,8.338562841570975603e-01
9.917311494163255702e+03,8.341230640512087291e-01
9.917311515808938566e+03,8.343898864072448740e-01
9.917311537454623249e+03,8.346567512474958317e-01
9.917311559100306113e+03,8.349236585269700361e-01
9.917311580745988977e+03,8.351906082679670940e-01
9.917311602391671840e+03,8.354576004703432313e-01
9.917311624037354704e+03,8.357246351339837620e-01
9.917311645683037568e+03,8.359917122587352534e-01
9.917311667328720432e+03,8.362588318444830193e-01
9.917311688974403296e+03,8.365259938910737381e-01
9.917311710620087979e+03,8.367931984208548668e-01
9.917311732265770843e+03,8.370604453887676710e-01
9.917311753911453707e+03,8.373277348171405121e-01
9.917311775557136571e+03,8.375950667058393861e-01
9.917311797202819434e+03,8.378624410547205192e-01
9.917311818848502298e+03,8.381298578636690033e-01
9.917311840494185162e+03,8.383973171325413976e-01
9.917311862139868026e+03,8.386648188612035870e-01
9.917311883785550890e+03,8.389323630495214568e-01
9.917311905431235573e+03,8.391999497198615598e-01
9.917311927076918437e+03,8.394675788270982153e-01
9.917311948722601301e+03,8.397352503936077461e-01
9.917311970368284165e+03,8.400029644192367195e-01
9.917311992013967028e+03,8.402707209038607905e-01
9.917312013659649892e+03,8.405385198473458441e-01
9.917312035305332756e+03,8.408063612495579875e-01
