Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.880038437500130385e+03,1.309217034407796199e+01
9.880038456059855889e+03,1.309129700439937949e+01
9.880038474619583212e+03,1.309042369137267414e+01
9.880038493179308716e+03,1.308955040516934076e+01
9.880038511739036039e+03,1.308867714561853468e+01
9.880038530298761543e+03,1.308780391289172051e+01
9.880038548858488866e+03,1.308693070681807669e+01
9.880038567418214370e+03,1.308605752756908736e+01
9.880038585977941693e+03,1.308518437497387055e+01
9.880038604537667197e+03,1.308431124920395838e+01
9.880038623097394520e+03,1.308343815008847955e+01
9.880038641657120024e+03,1.308256507779890043e+01
9.880038660216847347e+03,1.308169203216442433e+01
9.880038678776572851e+03,1.308081901335647679e+01
9.880038697336298355e+03,1.307994602128982642e+01
9.880038715896025678e+03,1.307907305587923830e+01
9.880038734455751182e+03,1.307820011729613618e+01
9.880038753015478505e+03,1.307732720536974824e+01
9.880038771575204009e+03,1.307645432027146981e+01
9.880038790134931332e+03,1.307558146183051662e+01
9.880038808694656836e+03,1.307470863021835150e+01
9.880038827254384159e+03,1.307383582526415466e+01
9.880038845814109663e+03,1.307296304713934099e+01
9.880038864373836986e+03,1.307209029567316527e+01
9.880038882933562491e+03,1.307121757103700510e+01
9.880038901493289814e+03,1.307034487306012238e+01
9.880038920053015318e+03,1.306947220191388581e+01
9.880038938612740822e+03,1.306859955751311198e+01
9.880038957172468145e+03,1.306772693977256417e+01
9.880038975732193649e+03,1.306685434886361108e+01
9.880038994291920972e+03,1.306598178461554660e+01
9.880039012851646476e+03,1.306510924719970745e+01
9.880039031411373799e+03,1.306423673644539818e+01
9.880039049971099303e+03,1.306336425252395550e+01
9.880039068530826626e+03,1.306249179526467508e+01
9.880039087090552130e+03,1.306161936483892383e+01
9.880039105650279453e+03,1.306074696107593525e+01
9.880039124210004957e+03,1.305987458414711888e+01
9.880039142769732280e+03,1.305900223388174552e+01
9.880039161329457784e+03,1.305812991045112703e+01
9.880039179889183288e+03,1.305725761377009597e+01
9.880039198448910611e+03,1.305638534375348492e+01
9.880039217008636115e+03,1.305551310057260572e+01
9.880039235568363438e+03,1.305464088405675049e+01
9.880039254128088942e+03,1.305376869437725773e+01
9.880039272687816265e+03,1.305289653136349592e+01
9.880039291247541769e+03,1.305202439518668278e+01
9.880039309807269092e+03,1.305115228567622410e+01
9.880039328366994596e+03,1.305028020300337310e+01
9.880039346926721919e+03,1.304940814699750895e+01
9.880039365486447423e+03,1.304853611782989375e+01
9.880039384046174746e+03,1.304766411532990666e+01
9.880039402605900250e+03,1.304679213966880980e+01
9.880039421165625754e+03,1.304592019076142684e+01
9.880039439725353077e+03,1.304504826852262056e+01
9.880039458285078581e+03,1.304417637312367262e+01
9.880039476844805904e+03,1.304330450439395150e+01
9.880039495404531408e+03,1.304243266250468203e+01
9.880039513964258731e+03,1.304156084728529841e+01
9.880039532523984235e+03,1.304068905890698993e+01
9.880039551083711558e+03,1.303981729719922100e+01
9.880039569643437062e+03,1.303894556233315605e+01
9.880039588203164385e+03,1.303807385413827369e+01
9.880039606762889889e+03,1.303720217278574545e+01
9.880039625322617212e+03,1.303633051810502153e+01
9.880039643882342716e+03,1.303545889026727700e+01
9.880039662442068220e+03,1.303458728918740128e+01
9.880039681001795543e+03,1.303371571478029622e+01
9.880039699561521047e+03,1.303284416721712624e+01
9.880039718121248370e+03,1.303197264632736818e+01
9.880039736680973874e+03,1.303110115228219890e+01
9.880039755240701197e+03,1.303022968491104372e+01
9.880039773800426701e+03,1.302935824438512569e+01
9.880039792360154024e+03,1.302848683053388434e+01
9.880039810919879528e+03,1.302761544352847523e+01
9.880039829479606851e+03,1.302674408319840005e+01
9.880039848039332355e+03,1.302587274971478237e+01
9.880039866599059678e+03,1.302500144290715944e+01
9.880039885158785182e+03,1.302413016294661396e+01
9.880039903718510686e+03,1.302325890974809397e+01
9.880039922278238009e+03,1.302238768322653684e+01
9.880039940837963513e+03,1.302151648355299507e+01
9.880039959397690836e+03,1.302064531055702012e+01
9.880039977957416340e+03,1.301977416440976043e+01
9.880039996517143663e+03,1.301890304494071771e+01
9.880040015076869167e+03,1.301803195232096400e+01
9.880040033636596490e+03,1.301716088638008806e+01
9.880040052196321994e+03,1.301628984728914240e+01
9.880040070756049317e+03,1.301541883487771756e+01
9.880040089315774821e+03,1.301454784931685538e+01
9.880040107875502144e+03,1.301367689043617304e+01
9.880040126435227648e+03,1.301280595840665555e+01
