Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.882460428240709007e+03,2.557838511316884222e+00
9.882460446256400246e+03,2.557838515406744229e+00
9.882460464272089666e+03,2.557838519496574925e+00
9.882460482287780906e+03,2.557838523586376311e+00
9.882460500303470326e+03,2.557838527676148832e+00
9.882460518319161565e+03,2.557838531765892043e+00
9.882460536334850985e+03,2.557838535855606832e+00
9.882460554350542225e+03,2.557838539945291867e+00
9.882460572366233464e+03,2.557838544034948480e+00
9.882460590381922884e+03,2.557838548124574896e+00
9.882460608397614124e+03,2.557838552214173333e+00
9.882460626413303544e+03,2.557838556303742461e+00
9.882460644428994783e+03,2.557838560393281835e+00
9.882460662444684203e+03,2.557838564482792787e+00
9.882460680460375443e+03,2.557838568572274429e+00
9.882460698476066682e+03,2.557838572661727206e+00
9.882460716491756102e+03,2.557838576751150228e+00
9.882460734507447341e+03,2.557838580840544829e+00
9.882460752523136762e+03,2.557838584929909675e+00
9.882460770538828001e+03,2.557838589019245656e+00
9.882460788554517421e+03,2.557838593108552772e+00
9.882460806570208661e+03,2.557838597197831021e+00
9.882460824585899900e+03,2.557838601287079960e+00
9.882460842601589320e+03,2.557838605376299146e+00
9.882460860617280559e+03,2.557838609465490354e+00
9.882460878632969980e+03,2.557838613554651364e+00
9.882460896648661219e+03,2.557838617643783508e+00
9.882460914664350639e+03,2.557838621732886786e+00
9.882460932680041878e+03,2.557838625821961198e+00
9.882460950695733118e+03,2.557838629911006301e+00
9.882460968711422538e+03,2.557838634000021649e+00
9.882460986727113777e+03,2.557838638089009020e+00
9.882461004742803198e+03,2.557838642177966637e+00
9.882461022758494437e+03,2.557838646266894944e+00
9.882461040774183857e+03,2.557838650355793941e+00
9.882461058789875096e+03,2.557838654444664961e+00
9.882461076805566336e+03,2.557838658533505782e+00
9.882461094821255756e+03,2.557838662622317738e+00
9.882461112836946995e+03,2.557838666711100828e+00
9.882461130852636416e+03,2.557838670799854164e+00
9.882461148868327655e+03,2.557838674888578634e+00
9.882461166884017075e+03,2.557838678977273794e+00
9.882461184899708314e+03,2.557838683065940977e+00
9.882461202915399554e+03,2.557838687154577961e+00
9.882461220931088974e+03,2.557838691243185636e+00
9.882461238946780213e+03,2.557838695331765333e+00
9.882461256962469633e+03,2.557838699420314388e+00
9.882461274978160873e+03,2.557838703508835465e+00
9.882461292993850293e+03,2.557838707597326788e+00
9.882461311009541532e+03,2.557838711685789246e+00
9.882461329025232772e+03,2.557838715774222393e+00
9.882461347040922192e+03,2.557838719862626231e+00
9.882461365056613431e+03,2.557838723951001203e+00
9.882461383072302851e+03,2.557838728039346865e+00
9.882461401087994091e+03,2.557838732127663661e+00
9.882461419103683511e+03,2.557838736215950703e+00
9.882461437119374750e+03,2.557838740304209324e+00
9.882461455135065989e+03,2.557838744392438635e+00
9.882461473150755410e+03,2.557838748480638191e+00
9.882461491166446649e+03,2.557838752568809326e+00
9.882461509182136069e+03,2.557838756656950707e+00
9.882461527197827309e+03,2.557838760745063222e+00
9.882461545213516729e+03,2.557838764833146428e+00
9.882461563229207968e+03,2.557838768921201211e+00
9.882461581244899207e+03,2.557838773009226241e+00
9.882461599260588628e+03,2.557838777097221516e+00
9.882461617276279867e+03,2.557838781185188370e+00
9.882461635291969287e+03,2.557838785273125470e+00
9.882461653307660526e+03,2.557838789361034149e+00
9.882461671323349947e+03,2.557838793448912629e+00
9.882461689339041186e+03,2.557838797536763131e+00
9.882461707354732425e+03,2.557838801624584324e+00
9.882461725370421846e+03,2.557838805712375319e+00
9.882461743386113085e+03,2.557838809800137891e+00
9.882461761401802505e+03,2.557838813887870710e+00
9.882461779417493744e+03,2.557838817975575108e+00
9.882461797433183165e+03,2.557838822063249751e+00
9.882461815448874404e+03,2.557838826150895528e+00
9.882461833464563824e+03,2.557838830238511552e+00
9.882461851480255064e+03,2.557838834326099153e+00
9.882461869495946303e+03,2.557838838413657445e+00
9.882461887511635723e+03,2.557838842501185983e+00
9.882461905527326962e+03,2.557838846588686099e+00
9.882461923543016383e+03,2.557838850676156017e+00
9.882461941558707622e+03,2.557838854763597514e+00
9.882461959574397042e+03,2.557838858851009700e+00
9.882461977590088281e+03,2.557838862938392577e+00
9.882461995605779521e+03,2.557838867025746588e+00
9.882462013621468941e+03,2.557838871113070844e+00
9.882462031637160180e+03,2.557838875200366235e+00
9.882462049652849601e+03,2.557838879287632317e+00
9.882462067668540840e+03,2.557838883374869532e+00
9.882462085684230260e+03,2.557838887462076993e+00
9.882462103699921499e+03,2.557838891549255589e+00
9.882462121715612739e+03,2.557838895636404875e+00
9.882462139731302159e+03,2.557838899723524850e+00
9.882462157746993398e+03,2.557838903810615516e+00
9.882462175762682818e+03,2.557838907897677316e+00
9.882462193778374058e+03,2.557838911984710251e+00
9.882462211794063478e+03,2.557838916071712987e+00
9.882462229809754717e+03,2.557838920158686857e+00
9.882462247825445957e+03,2.557838924245631862e+00
9.882462265841135377e+03,2.557838928332547557e+00
9.882462283856826616e+03,2.557838932419433942e+00
9.882462301872516036e+03,2.557838936506291017e+00
9.882462319888207276e+03,2.557838940593119226e+00
9.882462337903896696e+03,2.557838944679917681e+00
9.882462355919587935e+03,2.557838948766686826e+00
9.882462373935279174e+03,2.557838952853427550e+00
9.882462391950968595e+03,2.557838956940138075e+00
9.882462409966659834e+03,2.557838961026820179e+00
9.882462427982349254e+03,2.557838965113472085e+00
9.882462445998040494e+03,2.557838969200095569e+00
9.882462464013729914e+03,2.557838973286689743e+00
9.882462482029421153e+03,2.557838977373254163e+00
9.882462500045112392e+03,2.557838981459790162e+00
9.882462518060801813e+03,2.557838985546296406e+00
9.882462536076493052e+03,2.557838989632773341e+00
9.882462554092182472e+03,2.557838993719220966e+00
9.882462572107873712e+03,2.557838997805640169e+00
9.882462590123563132e+03,2.557839001892029174e+00
9.882462608139254371e+03,2.557839005978389313e+00
9.882462626154945610e+03,2.557839010064720586e+00
9.882462644170635031e+03,2.557839014151022106e+00
9.882462662186326270e+03,2.557839018237293871e+00
9.882462680202015690e+03,2.557839022323537215e+00
9.882462698217706929e+03,2.557839026409751249e+00
9.882462716233396350e+03,2.557839030495935084e+00
9.882462734249087589e+03,2.557839034582090942e+00
9.882462752264778828e+03,2.557839038668217047e+00
9.882462770280468249e+03,2.557839042754313841e+00
9.882462788296159488e+03,2.557839046840381325e+00
9.882462806311848908e+03,2.557839050926419500e+00
9.882462824327540147e+03,2.557839055012428364e+00
9.882462842343229568e+03,2.557839059098407919e+00
9.882462860358920807e+03,2.557839063184358608e+00
9.882462878374612046e+03,2.557839067270280431e+00
9.882462896390301466e+03,2.557839071356172056e+00
9.882462914405992706e+03,2.557839075442034371e+00
9.882462932421682126e+03,2.557839079527867820e+00
9.882462950437373365e+03,2.557839083613672404e+00
9.882462968453062786e+03,2.557839087699446790e+00
9.882462986468754025e+03,2.557839091785192753e+00
9.882463004484445264e+03,2.557839095870909407e+00
9.882463022500134684e+03,2.557839099956595863e+00
9.882463040515825924e+03,2.557839104042253453e+00
9.882463058531515344e+03,2.557839108127882177e+00
9.882463076547206583e+03,2.557839112213481148e+00
9.882463094562896003e+03,2.557839116299050808e+00
9.882463112578587243e+03,2.557839120384591602e+00
9.882463130594278482e+03,2.557839124470103087e+00
9.882463148609967902e+03,2.557839128555584818e+00
9.882463166625659142e+03,2.557839132641037683e+00
9.882463184641348562e+03,2.557839136726460794e+00
9.882463202657039801e+03,2.557839140811855039e+00
9.882463220672729221e+03,2.557839144897219530e+00
9.882463238688420461e+03,2.557839148982555599e+00
9.882463256704111700e+03,2.557839153067861915e+00
9.882463274719801120e+03,2.557839157153138476e+00
9.882463292735492359e+03,2.557839161238386616e+00
9.882463310751181780e+03,2.557839165323604558e+00
9.882463328766873019e+03,2.557839169408793634e+00
9.882463346782562439e+03,2.557839173493953400e+00
9.882463364798253679e+03,2.557839177579083856e+00
9.882463382813944918e+03,2.557839181664185002e+00
9.882463400829634338e+03,2.557839185749256394e+00
9.882463418845325577e+03,2.557839189834299365e+00
9.882463436861014998e+03,2.557839193919312137e+00
9.882463454876706237e+03,2.557839198004296488e+00
9.882463472892395657e+03,2.557839202089250197e+00
9.882463490908086897e+03,2.557839206174175928e+00
9.882463508923778136e+03,2.557839210259071905e+00
9.882463526939467556e+03,2.557839214343938572e+00
9.882463544955158795e+03,2.557839218428775485e+00
9.882463562970848216e+03,2.557839222513583533e+00
9.882463580986539455e+03,2.557839226598362270e+00
9.882463599002228875e+03,2.557839230683111253e+00
9.882463617017920114e+03,2.557839234767831815e+00
9.882463635033611354e+03,2.557839238852522179e+00
9.882463653049300774e+03,2.557839242937183233e+00
9.882463671064992013e+03,2.557839247021815865e+00
9.882463689080681434e+03,2.557839251106417855e+00
9.882463707096372673e+03,2.557839255190991423e+00
9.882463725112062093e+03,2.557839259275535237e+00
9.882463743127753332e+03,2.557839263360050186e+00
9.882463761143444572e+03,2.557839267444535825e+00
9.882463779159133992e+03,2.557839271528991265e+00
9.882463797174825231e+03,2.557839275613418284e+00
9.882463815190514651e+03,2.557839279697815105e+00
9.882463833206205891e+03,2.557839283782183060e+00
9.882463851221895311e+03,2.557839287866521705e+00
9.882463869237586550e+03,2.557839291950831040e+00
9.882463887253277790e+03,2.557839296035111065e+00
9.882463905268967210e+03,2.557839300119361337e+00
9.882463923284658449e+03,2.557839304203582742e+00
9.882463941300347869e+03,2.557839308287774394e+00
9.882463959316039109e+03,2.557839312371937179e+00
9.882463977331728529e+03,2.557839316456069767e+00
9.882463995347419768e+03,2.557839320540173489e+00
9.882464013363111007e+03,2.557839324624248789e+00
9.882464031378800428e+03,2.557839328708293447e+00
9.882464049394491667e+03,2.557839332792309239e+00
9.882464067410181087e+03,2.557839336876295722e+00
9.882464085425872327e+03,2.557839340960252450e+00
9.882464103441561747e+03,2.557839345044179868e+00
9.882464121457252986e+03,2.557839349128078421e+00
9.882464139472944225e+03,2.557839353211947220e+00
9.882464157488633646e+03,2.557839357295786709e+00
9.882464175504324885e+03,2.557839361379596888e+00
9.882464193520014305e+03,2.557839365463377757e+00
9.882464211535705545e+03,2.557839369547128872e+00
9.882464229551394965e+03,2.557839373630851121e+00
9.882464247567086204e+03,2.557839377714544060e+00
9.882464265582777443e+03,2.557839381798207246e+00
