Time (BJD_TBD - 2450000), L_e/L_star (ppm)
7.260000000000000000e+03,1.045919220743416247e+02
7.260003000300030180e+03,1.047451760874063353e+02
7.260006000600060361e+03,1.048980415743649104e+02
7.260009000900089632e+03,1.050505170747276651e+02
7.260012001200119812e+03,1.052026011318693861e+02
7.260015001500149992e+03,1.053542922927658054e+02
7.260018001800180173e+03,1.055055891081927371e+02
7.260021002100210353e+03,1.056564901326934773e+02
7.260024002400239624e+03,1.058069939245468447e+02
7.260027002700269804e+03,1.059570990459637585e+02
7.260030003000299985e+03,1.061068040628269955e+02
7.260033003300330165e+03,1.062561075448873567e+02
7.260036003600360345e+03,1.064050080657319626e+02
7.260039003900389616e+03,1.065535042027529471e+02
7.260042004200419797e+03,1.067015945373403696e+02
7.260045004500449977e+03,1.068492776546266043e+02
7.260048004800480157e+03,1.069965521436792528e+02
7.260051005100510338e+03,1.071434165974699795e+02
7.260054005400539609e+03,1.072898696128435319e+02
7.260057005700569789e+03,1.074359097907085641e+02
7.260060006000599969e+03,1.075815357357844846e+02
7.260063006300630150e+03,1.077267460567929476e+02
7.260066006600660330e+03,1.078715393664261200e+02
7.260069006900690511e+03,1.080159142813602386e+02
7.260072007200719781e+03,1.081598694222254267e+02
7.260075007500749962e+03,1.083034034137929069e+02
7.260078007800780142e+03,1.084465148847264828e+02
7.260081008100810323e+03,1.085892024677704057e+02
7.260084008400840503e+03,1.087314647997186512e+02
7.260087008700869774e+03,1.088733005213849339e+02
7.260090009000899954e+03,1.090147082777877898e+02
7.260093009300930134e+03,1.091556867179051693e+02
7.260096009600960315e+03,1.092962344948599025e+02
7.260099009900990495e+03,1.094363502658892173e+02
7.260102010201019766e+03,1.095760326923152519e+02
7.260105010501049946e+03,1.097152804397272519e+02
7.260108010801080127e+03,1.098540921777402701e+02
7.260111011101110307e+03,1.099924665801771511e+02
7.260114011401140488e+03,1.101304023250391282e+02
7.260117011701169758e+03,1.102678980944765073e+02
7.260120012001199939e+03,1.104049525749680924e+02
7.260123012301230119e+03,1.105415644570834530e+02
7.260126012601260300e+03,1.106777324356625911e+02
7.260129012901290480e+03,1.108134552097862127e+02
7.260132013201319751e+03,1.109487314827476894e+02
7.260135013501349931e+03,1.110835599622289465e+02
7.260138013801380112e+03,1.112179393600671631e+02
7.260141014101410292e+03,1.113518683924307027e+02
7.260144014401440472e+03,1.114853457797909755e+02
7.260147014701469743e+03,1.116183702468937611e+02
7.260150015001499924e+03,1.117509405229330071e+02
