Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.063802708333311602e+04,3.559483138542871927e+01
1.063802710516863226e+04,3.559612246916550760e+01
1.063802712700415032e+04,3.559741356741957219e+01
1.063802714883966655e+04,3.559870467997518517e+01
1.063802717067518279e+04,3.559999580693924059e+01
1.063802719251070084e+04,3.560128694841866093e+01
1.063802721434621708e+04,3.560257810419761881e+01
1.063802723618173331e+04,3.560386927438310067e+01
1.063802725801725137e+04,3.560516045908192950e+01
1.063802727985276761e+04,3.560645165807838453e+01
1.063802730168828566e+04,3.560774287158693596e+01
1.063802732352380190e+04,3.560903409939179198e+01
1.063802734535931813e+04,3.561032534159986085e+01
1.063802736719483619e+04,3.561161659831803661e+01
1.063802738903035242e+04,3.561290786933057007e+01
1.063802741086586866e+04,3.561419915474436948e+01
1.063802743270138672e+04,3.561549045466631469e+01
1.063802745453690295e+04,3.561678176888067782e+01
1.063802747637241919e+04,3.561807309749431028e+01
1.063802749820793724e+04,3.561936444061414875e+01
1.063802752004345348e+04,3.562065579802442272e+01
1.063802754187896971e+04,3.562194716983201914e+01
1.063802756371448777e+04,3.562323855614388890e+01
1.063802758555000401e+04,3.562452995674417622e+01
1.063802760738552206e+04,3.562582137184743658e+01
1.063802762922103830e+04,3.562711280123784974e+01
1.063802765105655453e+04,3.562840424502231684e+01
1.063802767289207259e+04,3.562969570330779590e+01
1.063802769472758882e+04,3.563098717587843822e+01
1.063802771656310506e+04,3.563227866284119472e+01
1.063802773839862311e+04,3.563357016430299495e+01
1.063802776023413935e+04,3.563486168004800447e+01
1.063802778206965559e+04,3.563615321018316706e+01
1.063802780390517364e+04,3.563744475481540519e+01
1.063802782574068988e+04,3.563873631372889861e+01
1.063802784757620611e+04,3.564002788703057689e+01
1.063802786941172417e+04,3.564131947482739804e+01
1.063802789124724040e+04,3.564261107690349917e+01
1.063802791308275846e+04,3.564390269347342155e+01
1.063802793491827470e+04,3.564519432432131651e+01
1.063802795675379093e+04,3.564648596955412074e+01
1.063802797858930899e+04,3.564777762927882065e+01
1.063802800042482522e+04,3.564906930327952495e+01
1.063802802226034146e+04,3.565036099166317740e+01
1.063802804409585951e+04,3.565165269453673602e+01
1.063802806593137575e+04,3.565294441168435924e+01
1.063802808776689199e+04,3.565423614321297663e+01
1.063802810960241004e+04,3.565552788922954619e+01
1.063802813143792628e+04,3.565681964951819083e+01
1.063802815327344251e+04,3.565811142418588986e+01
