Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.063802708333311602e+04,7.343001997661315272e+01
1.063802710516863226e+04,7.343001997661315272e+01
1.063802712700415032e+04,7.343001997661315272e+01
1.063802714883966655e+04,7.343001997661315272e+01
1.063802717067518279e+04,7.343001997661315272e+01
1.063802719251070084e+04,7.343001997661315272e+01
1.063802721434621708e+04,7.343001997661315272e+01
1.063802723618173331e+04,7.343001997661315272e+01
1.063802725801725137e+04,7.343001997661315272e+01
1.063802727985276761e+04,7.343001997661315272e+01
1.063802730168828566e+04,7.343001997661315272e+01
1.063802732352380190e+04,7.343001997661315272e+01
1.063802734535931813e+04,7.343001997661315272e+01
1.063802736719483619e+04,7.343001997661315272e+01
1.063802738903035242e+04,7.343001997661315272e+01
1.063802741086586866e+04,7.343001997661315272e+01
1.063802743270138672e+04,7.343001997661315272e+01
1.063802745453690295e+04,7.343001997661315272e+01
1.063802747637241919e+04,7.343001997661315272e+01
1.063802749820793724e+04,7.343001997661315272e+01
1.063802752004345348e+04,7.343001997661315272e+01
1.063802754187896971e+04,7.343001997661315272e+01
1.063802756371448777e+04,7.343001997661315272e+01
1.063802758555000401e+04,7.343001997661315272e+01
1.063802760738552206e+04,7.343001997661315272e+01
1.063802762922103830e+04,7.343001997661315272e+01
1.063802765105655453e+04,7.343001997661315272e+01
1.063802767289207259e+04,7.343001997661315272e+01
1.063802769472758882e+04,7.343001997661315272e+01
1.063802771656310506e+04,7.343001997661315272e+01
1.063802773839862311e+04,7.343001997661315272e+01
1.063802776023413935e+04,7.343001997661315272e+01
1.063802778206965559e+04,7.343001997661315272e+01
1.063802780390517364e+04,7.343001997661315272e+01
1.063802782574068988e+04,7.343001997661315272e+01
1.063802784757620611e+04,7.343001997661315272e+01
1.063802786941172417e+04,7.343001997661315272e+01
1.063802789124724040e+04,7.343001997661315272e+01
1.063802791308275846e+04,7.343001997661315272e+01
1.063802793491827470e+04,7.343001997661315272e+01
1.063802795675379093e+04,7.343001997661315272e+01
1.063802797858930899e+04,7.343001997661315272e+01
1.063802800042482522e+04,7.343001997661315272e+01
1.063802802226034146e+04,7.343001997661315272e+01
1.063802804409585951e+04,7.343001997661315272e+01
1.063802806593137575e+04,7.343001997661315272e+01
1.063802808776689199e+04,7.343001997661315272e+01
1.063802810960241004e+04,7.343001997661315272e+01
1.063802813143792628e+04,7.343001997661315272e+01
1.063802815327344251e+04,7.343001997661315272e+01
1.063802817510896057e+04,7.343001997661315272e+01
1.063802819694447680e+04,7.343001997661315272e+01
1.063802821877999486e+04,7.343001997661315272e+01
1.063802824061551109e+04,7.343001997661315272e+01
1.063802826245102733e+04,7.343001997661315272e+01
1.063802828428654539e+04,7.343001997661315272e+01
1.063802830612206162e+04,7.343001997661315272e+01
1.063802832795757786e+04,7.343001997661315272e+01
1.063802834979309591e+04,7.343001997661315272e+01
1.063802837162861215e+04,7.343001997661315272e+01
1.063802839346412838e+04,7.343001997661315272e+01
1.063802841529964644e+04,7.343001997661315272e+01
1.063802843713516268e+04,7.343001997661315272e+01
1.063802845897067891e+04,7.343001997661315272e+01
1.063802848080619697e+04,7.343001997661315272e+01
1.063802850264171320e+04,7.343001997661315272e+01
1.063802852447723126e+04,7.343001997661315272e+01
1.063802854631274749e+04,7.343001997661315272e+01
1.063802856814826373e+04,7.343001997661315272e+01
1.063802858998378179e+04,7.343001997661315272e+01
1.063802861181929802e+04,7.343001997661315272e+01
1.063802863365481426e+04,7.343001997661315272e+01
1.063802865549033231e+04,7.343001997661315272e+01
1.063802867732584855e+04,7.343001997661315272e+01
1.063802869916136478e+04,7.343001997661315272e+01
