Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.061386530092591420e+04,3.604370990684062193e+00
1.061386531688121431e+04,3.604370989673917336e+00
1.061386533283651261e+04,3.604370988663758268e+00
1.061386534879181272e+04,3.604370987653583214e+00
1.061386536474711102e+04,3.604370986643392616e+00
1.061386538070241113e+04,3.604370985633187363e+00
1.061386539665770943e+04,3.604370984622966567e+00
1.061386541261300954e+04,3.604370983612729784e+00
1.061386542856830783e+04,3.604370982602477458e+00
1.061386544452360795e+04,3.604370981592210477e+00
1.061386546047890624e+04,3.604370980581927064e+00
1.061386547643420636e+04,3.604370979571628553e+00
1.061386549238950465e+04,3.604370978561314942e+00
1.061386550834480477e+04,3.604370977550986233e+00
1.061386552430010306e+04,3.604370976540641536e+00
1.061386554025540318e+04,3.604370975530281296e+00
1.061386555621070147e+04,3.604370974519905957e+00
1.061386557216600158e+04,3.604370973509515519e+00
1.061386558812129988e+04,3.604370972499109094e+00
1.061386560407659999e+04,3.604370971488687569e+00
1.061386562003189829e+04,3.604370970478250946e+00
1.061386563598719840e+04,3.604370969467798780e+00
1.061386565194249670e+04,3.604370968457330626e+00
1.061386566789779681e+04,3.604370967446847374e+00
1.061386568385309511e+04,3.604370966436349022e+00
1.061386569980839522e+04,3.604370965425835127e+00
1.061386571576369352e+04,3.604370964415305689e+00
1.061386573171899363e+04,3.604370963404760708e+00
1.061386574767429192e+04,3.604370962394200628e+00
1.061386576362959204e+04,3.604370961383624561e+00
1.061386577958489033e+04,3.604370960373032950e+00
1.061386579554019045e+04,3.604370959362426685e+00
1.061386581149549056e+04,3.604370958351804877e+00
1.061386582745078886e+04,3.604370957341167969e+00
1.061386584340608897e+04,3.604370956330515074e+00
1.061386585936138727e+04,3.604370955319846637e+00
1.061386587531668738e+04,3.604370954309162656e+00
1.061386589127198567e+04,3.604370953298464020e+00
1.061386590722728579e+04,3.604370952287749397e+00
1.061386592318258408e+04,3.604370951277019675e+00
1.061386593913788420e+04,3.604370950266273965e+00
1.061386595509318249e+04,3.604370949255514045e+00
1.061386597104848261e+04,3.604370948244737693e+00
1.061386598700378090e+04,3.604370947233946243e+00
1.061386600295908102e+04,3.604370946223138805e+00
1.061386601891437931e+04,3.604370945212317157e+00
1.061386603486967942e+04,3.604370944201479521e+00
1.061386605082497772e+04,3.604370943190626342e+00
