Time (BJD_TBD - 2450000), F_star + F_f (mJy)
9.917309675925876945e+03,3.447706729660795055e+00
9.917309697571559809e+03,3.447706728775588036e+00
9.917309719217242673e+03,3.447706727890413880e+00
9.917309740862925537e+03,3.447706727005273031e+00
9.917309762508608401e+03,3.447706726120165488e+00
9.917309784154293084e+03,3.447706725235090808e+00
9.917309805799975948e+03,3.447706724350049878e+00
9.917309827445658811e+03,3.447706723465041367e+00
9.917309849091341675e+03,3.447706722580066607e+00
9.917309870737024539e+03,3.447706721695124710e+00
9.917309892382707403e+03,3.447706720810216119e+00
9.917309914028390267e+03,3.447706719925340391e+00
9.917309935674073131e+03,3.447706719040498413e+00
9.917309957319757814e+03,3.447706718155689298e+00
9.917309978965440678e+03,3.447706717270913490e+00
9.917310000611123542e+03,3.447706716386170100e+00
9.917310022256806405e+03,3.447706715501460462e+00
9.917310043902489269e+03,3.447706714616784129e+00
9.917310065548172133e+03,3.447706713732140216e+00
9.917310087193854997e+03,3.447706712847530497e+00
9.917310108839537861e+03,3.447706711962953197e+00
9.917310130485222544e+03,3.447706711078409203e+00
9.917310152130905408e+03,3.447706710193898516e+00
9.917310173776588272e+03,3.447706709309421136e+00
9.917310195422271136e+03,3.447706708424976618e+00
9.917310217067954000e+03,3.447706707540565407e+00
9.917310238713636863e+03,3.447706706656187503e+00
9.917310260359319727e+03,3.447706705771842461e+00
9.917310282005002591e+03,3.447706704887531171e+00
9.917310303650687274e+03,3.447706704003252742e+00
9.917310325296370138e+03,3.447706703119007177e+00
9.917310346942053002e+03,3.447706702234794918e+00
9.917310368587735866e+03,3.447706701350615965e+00
9.917310390233418730e+03,3.447706700466469876e+00
9.917310411879101594e+03,3.447706699582357093e+00
9.917310433524784457e+03,3.447706698698277616e+00
9.917310455170467321e+03,3.447706697814231003e+00
9.917310476816152004e+03,3.447706696930218140e+00
9.917310498461834868e+03,3.447706696046238140e+00
9.917310520107517732e+03,3.447706695162291002e+00
9.917310541753200596e+03,3.447706694278376727e+00
9.917310563398883460e+03,3.447706693394496646e+00
9.917310585044566324e+03,3.447706692510648985e+00
9.917310606690249188e+03,3.447706691626835074e+00
9.917310628335932051e+03,3.447706690743053581e+00
9.917310649981616734e+03,3.447706689859305396e+00
9.917310671627299598e+03,3.447706688975591405e+00
9.917310693272982462e+03,3.447706688091909832e+00
9.917310714918665326e+03,3.447706687208261567e+00
9.917310736564348190e+03,3.447706686324645720e+00
9.917310758210031054e+03,3.447706685441064067e+00
9.917310779855713918e+03,3.447706684557515278e+00
9.917310801501396782e+03,3.447706683673998906e+00
9.917310823147079645e+03,3.447706682790516730e+00
9.917310844792764328e+03,3.447706681907067416e+00
9.917310866438447192e+03,3.447706681023650965e+00
9.917310888084130056e+03,3.447706680140267821e+00
9.917310909729812920e+03,3.447706679256917983e+00
9.917310931375495784e+03,3.447706678373601008e+00
9.917310953021178648e+03,3.447706677490317784e+00
9.917310974666861512e+03,3.447706676607067422e+00
9.917310996312544376e+03,3.447706675723850811e+00
9.917311017958229058e+03,3.447706674840666174e+00
9.917311039603911922e+03,3.447706673957515289e+00
9.917311061249594786e+03,3.447706673074397266e+00
9.917311082895277650e+03,3.447706672191312993e+00
9.917311104540960514e+03,3.447706671308261583e+00
9.917311126186643378e+03,3.447706670425243480e+00
9.917311147832326242e+03,3.447706669542258684e+00
9.917311169478009106e+03,3.447706668659306750e+00
9.917311191123693789e+03,3.447706667776388123e+00
9.917311212769376652e+03,3.447706666893502803e+00
9.917311234415059516e+03,3.447706666010650345e+00
9.917311256060742380e+03,3.447706665127831194e+00
9.917311277706425244e+03,3.447706664245045349e+00
9.917311299352108108e+03,3.447706663362292367e+00
9.917311320997790972e+03,3.447706662479572692e+00
9.917311342643473836e+03,3.447706661596886324e+00
9.917311364289158519e+03,3.447706660714233262e+00
9.917311385934841383e+03,3.447706659831613063e+00
9.917311407580524246e+03,3.447706658949026171e+00
9.917311429226207110e+03,3.447706658066472585e+00
9.917311450871889974e+03,3.447706657183951862e+00
9.917311472517572838e+03,3.447706656301464445e+00
9.917311494163255702e+03,3.447706655419010335e+00
9.917311515808938566e+03,3.447706654536589088e+00
9.917311537454623249e+03,3.447706653654201592e+00
9.917311559100306113e+03,3.447706652771846958e+00
9.917311580745988977e+03,3.447706651889525187e+00
9.917311602391671840e+03,3.447706651007236722e+00
9.917311624037354704e+03,3.447706650124981564e+00
9.917311645683037568e+03,3.447706649242759269e+00
9.917311667328720432e+03,3.447706648360570725e+00
9.917311688974403296e+03,3.447706647478415043e+00
9.917311710620087979e+03,3.447706646596292668e+00
9.917311732265770843e+03,3.447706645714203599e+00
9.917311753911453707e+03,3.447706644832147393e+00
9.917311775557136571e+03,3.447706643950124050e+00
9.917311797202819434e+03,3.447706643068134458e+00
9.917311818848502298e+03,3.447706642186177728e+00
9.917311840494185162e+03,3.447706641304254305e+00
9.917311862139868026e+03,3.447706640422364188e+00
9.917311883785550890e+03,3.447706639540506934e+00
9.917311905431235573e+03,3.447706638658683875e+00
9.917311927076918437e+03,3.447706637776892347e+00
9.917311948722601301e+03,3.447706636895135013e+00
9.917311970368284165e+03,3.447706636013410986e+00
9.917311992013967028e+03,3.447706635131719821e+00
9.917312013659649892e+03,3.447706634250061963e+00
9.917312035305332756e+03,3.447706633368436968e+00
9.917312056951015620e+03,3.447706632486845280e+00
9.917312078596700303e+03,3.447706631605286898e+00
9.917312100242383167e+03,3.447706630723761823e+00
9.917312121888066031e+03,3.447706629842269166e+00
9.917312143533748895e+03,3.447706628960811148e+00
9.917312165179431759e+03,3.447706628079385105e+00
9.917312186825114622e+03,3.447706627197992368e+00
9.917312208470797486e+03,3.447706626316632939e+00
9.917312230116480350e+03,3.447706625435307259e+00
9.917312251762165033e+03,3.447706624554014443e+00
9.917312273407847897e+03,3.447706623672754489e+00
9.917312295053530761e+03,3.447706622791527398e+00
9.917312316699213625e+03,3.447706621910334057e+00
9.917312338344896489e+03,3.447706621029174467e+00
9.917312359990579353e+03,3.447706620148046852e+00
9.917312381636262216e+03,3.447706619266952988e+00
9.917312403281945080e+03,3.447706618385891986e+00
9.917312424927629763e+03,3.447706617504864735e+00
9.917312446573312627e+03,3.447706616623870346e+00
9.917312468218995491e+03,3.447706615742908820e+00
9.917312489864678355e+03,3.447706614861981489e+00
9.917312511510361219e+03,3.447706613981086576e+00
9.917312533156044083e+03,3.447706613100224526e+00
9.917312554801726947e+03,3.447706612219396227e+00
9.917312576447409810e+03,3.447706611338601235e+00
9.917312598093094493e+03,3.447706610457839549e+00
9.917312619738777357e+03,3.447706609577110282e+00
9.917312641384460221e+03,3.447706608696414321e+00
9.917312663030143085e+03,3.447706607815752111e+00
9.917312684675825949e+03,3.447706606935123208e+00
9.917312706321508813e+03,3.447706606054526723e+00
9.917312727967191677e+03,3.447706605173964434e+00
9.917312749612874541e+03,3.447706604293433674e+00
9.917312771258559223e+03,3.447706603412937998e+00
9.917312792904242087e+03,3.447706602532474296e+00
9.917312814549924951e+03,3.447706601652043901e+00
9.917312836195607815e+03,3.447706600771646812e+00
9.917312857841290679e+03,3.447706599891283030e+00
9.917312879486973543e+03,3.447706599010952555e+00
9.917312901132656407e+03,3.447706598130654942e+00
9.917312922778339271e+03,3.447706597250391081e+00
9.917312944424022135e+03,3.447706596370160081e+00
9.917312966069706818e+03,3.447706595489961501e+00
9.917312987715389681e+03,3.447706594609797115e+00
9.917313009361072545e+03,3.447706593729665592e+00
9.917313031006755409e+03,3.447706592849567819e+00
9.917313052652438273e+03,3.447706591969502021e+00
9.917313074298121137e+03,3.447706591089469974e+00
9.917313095943804001e+03,3.447706590209471678e+00
9.917313117589486865e+03,3.447706589329506244e+00
9.917313139235171548e+03,3.447706588449573673e+00
9.917313160880854412e+03,3.447706587569674852e+00
9.917313182526537275e+03,3.447706586689808006e+00
9.917313204172220139e+03,3.447706585809975799e+00
9.917313225817903003e+03,3.447706584930176010e+00
9.917313247463585867e+03,3.447706584050409528e+00
9.917313269109268731e+03,3.447706583170676797e+00
9.917313290754951595e+03,3.447706582290976041e+00
9.917313312400636278e+03,3.447706581411309479e+00
9.917313334046319142e+03,3.447706580531676224e+00
9.917313355692002006e+03,3.447706579652075831e+00
9.917313377337684869e+03,3.447706578772508301e+00
9.917313398983367733e+03,3.447706577892974078e+00
9.917313420629050597e+03,3.447706577013473161e+00
9.917313442274733461e+03,3.447706576134005552e+00
9.917313463920416325e+03,3.447706575254571248e+00
9.917313485566101008e+03,3.447706574375170252e+00
9.917313507211783872e+03,3.447706573495801674e+00
9.917313528857466736e+03,3.447706572616467291e+00
9.917313550503149600e+03,3.447706571737165326e+00
9.917313572148832463e+03,3.447706570857896669e+00
9.917313593794515327e+03,3.447706569978661317e+00
9.917313615440198191e+03,3.447706569099459273e+00
9.917313637085881055e+03,3.447706568220290091e+00
9.917313658731565738e+03,3.447706567341154660e+00
9.917313680377248602e+03,3.447706566462051647e+00
9.917313702022931466e+03,3.447706565582981941e+00
9.917313723668614330e+03,3.447706564703945986e+00
9.917313745314297194e+03,3.447706563824943782e+00
9.917313766959980057e+03,3.447706562945973552e+00
9.917313788605662921e+03,3.447706562067036629e+00
9.917313810251345785e+03,3.447706561188133900e+00
9.917313831897030468e+03,3.447706560309263146e+00
9.917313853542713332e+03,3.447706559430426143e+00
9.917313875188396196e+03,3.447706558551622891e+00
9.917313896834079060e+03,3.447706557672851613e+00
9.917313918479761924e+03,3.447706556794114086e+00
9.917313940125444788e+03,3.447706555915410309e+00
9.917313961771127651e+03,3.447706555036739395e+00
9.917313983416810515e+03,3.447706554158101344e+00
9.917314005062495198e+03,3.447706553279497044e+00
9.917314026708178062e+03,3.447706552400925606e+00
9.917314048353860926e+03,3.447706551522387475e+00
9.917314069999543790e+03,3.447706550643882650e+00
9.917314091645226654e+03,3.447706549765410688e+00
9.917314113290909518e+03,3.447706548886971589e+00
9.917314134936592382e+03,3.447706548008566241e+00
9.917314156582275245e+03,3.447706547130194199e+00
9.917314178227958109e+03,3.447706546251855464e+00
9.917314199873642792e+03,3.447706545373548703e+00
9.917314221519325656e+03,3.447706544495277026e+00
9.917314243165008520e+03,3.447706543617036878e+00
