Time (BJD_TBD - 2450000), F_star + F_f (mJy)
1.014846018518507481e+04,3.860165619625592459e+00
1.014846020605984813e+04,3.860165620356694305e+00
1.014846022693461964e+04,3.860165621087828125e+00
1.014846024780939297e+04,3.860165621818996584e+00
1.014846026868416629e+04,3.860165622550197018e+00
1.014846028955893780e+04,3.860165623281431202e+00
1.014846031043371113e+04,3.860165624012697805e+00
1.014846033130848264e+04,3.860165624743997714e+00
1.014846035218325596e+04,3.860165625475330486e+00
1.014846037305802929e+04,3.860165626206696565e+00
1.014846039393280080e+04,3.860165626938095951e+00
1.014846041480757413e+04,3.860165627669528199e+00
1.014846043568234745e+04,3.860165628400993754e+00
1.014846045655711896e+04,3.860165629132491727e+00
1.014846047743189229e+04,3.860165629864023895e+00
1.014846049830666561e+04,3.860165630595588038e+00
1.014846051918143712e+04,3.860165631327185487e+00
1.014846054005621045e+04,3.860165632058816243e+00
1.014846056093098196e+04,3.860165632790480750e+00
1.014846058180575528e+04,3.860165633522177675e+00
1.014846060268052861e+04,3.860165634253907907e+00
1.014846062355530012e+04,3.860165634985671002e+00
1.014846064443007344e+04,3.860165635717467403e+00
1.014846066530484677e+04,3.860165636449296223e+00
1.014846068617961828e+04,3.860165637181158793e+00
1.014846070705439161e+04,3.860165637913054226e+00
1.014846072792916493e+04,3.860165638644982522e+00
1.014846074880393644e+04,3.860165639376944569e+00
1.014846076967870977e+04,3.860165640108939478e+00
1.014846079055348127e+04,3.860165640840967249e+00
1.014846081142825460e+04,3.860165641573027884e+00
1.014846083230302793e+04,3.860165642305121381e+00
1.014846085317779944e+04,3.860165643037248628e+00
1.014846087405257276e+04,3.860165643769409183e+00
1.014846089492734609e+04,3.860165644501602600e+00
1.014846091580211760e+04,3.860165645233828435e+00
1.014846093667689092e+04,3.860165645966088466e+00
1.014846095755166243e+04,3.860165646698380915e+00
1.014846097842643576e+04,3.860165647430706226e+00
1.014846099930120909e+04,3.860165648163064844e+00
1.014846102017598059e+04,3.860165648895456769e+00
1.014846104105075392e+04,3.860165649627881557e+00
1.014846106192552725e+04,3.860165650360339651e+00
1.014846108280029875e+04,3.860165651092830164e+00
1.014846110367507208e+04,3.860165651825354427e+00
1.014846112454984541e+04,3.860165652557911553e+00
1.014846114542461692e+04,3.860165653290501542e+00
1.014846116629939024e+04,3.860165654023125281e+00
1.014846118717416175e+04,3.860165654755781439e+00
1.014846120804893508e+04,3.860165655488470904e+00
1.014846122892370840e+04,3.860165656221193675e+00
1.014846124979847991e+04,3.860165656953949309e+00
1.014846127067325324e+04,3.860165657686737806e+00
1.014846129154802657e+04,3.860165658419559609e+00
1.014846131242279807e+04,3.860165659152414275e+00
1.014846133329757140e+04,3.860165659885302691e+00
1.014846135417234473e+04,3.860165660618223527e+00
1.014846137504711623e+04,3.860165661351177224e+00
1.014846139592188956e+04,3.860165662084164673e+00
1.014846141679666107e+04,3.860165662817184984e+00
1.014846143767143440e+04,3.860165663550238158e+00
1.014846145854620772e+04,3.860165664283324194e+00
1.014846147942097923e+04,3.860165665016443981e+00
1.014846150029575256e+04,3.860165665749596631e+00
1.014846152117052588e+04,3.860165666482782143e+00
1.014846154204529739e+04,3.860165667216001406e+00
1.014846156292007072e+04,3.860165667949253088e+00
1.014846158379484405e+04,3.860165668682538076e+00
1.014846160466961555e+04,3.860165669415855927e+00
1.014846162554438888e+04,3.860165670149207084e+00
1.014846164641916039e+04,3.860165670882591105e+00
1.014846166729393371e+04,3.860165671616007987e+00
1.014846168816870704e+04,3.860165672349458621e+00
1.014846170904347855e+04,3.860165673082941673e+00
1.014846172991825188e+04,3.860165673816458476e+00
1.014846175079302520e+04,3.860165674550007697e+00
1.014846177166779671e+04,3.860165675283590225e+00
1.014846179254257004e+04,3.860165676017206060e+00
1.014846181341734336e+04,3.860165676750854757e+00
1.014846183429211487e+04,3.860165677484536761e+00
1.014846185516688820e+04,3.860165678218251628e+00
1.014846187604165971e+04,3.860165678951999357e+00
1.014846189691643303e+04,3.860165679685780837e+00
1.014846191779120636e+04,3.860165680419595180e+00
1.014846193866597787e+04,3.860165681153441497e+00
1.014846195954075120e+04,3.860165681887322453e+00
1.014846198041552452e+04,3.860165682621235828e+00
1.014846200129029603e+04,3.860165683355182065e+00
1.014846202216506936e+04,3.860165684089161164e+00
1.014846204303984086e+04,3.860165684823174459e+00
1.014846206391461419e+04,3.860165685557219728e+00
1.014846208478938752e+04,3.860165686291298748e+00
1.014846210566415903e+04,3.860165687025410186e+00
1.014846212653893235e+04,3.860165687759554931e+00
1.014846214741370568e+04,3.860165688493732983e+00
1.014846216828847719e+04,3.860165689227943897e+00
1.014846218916325051e+04,3.860165689962188562e+00
1.014846221003802384e+04,3.860165690696465202e+00
1.014846223091279535e+04,3.860165691430775592e+00
1.014846225178756868e+04,3.860165692165119289e+00
1.014846227266234018e+04,3.860165692899495404e+00
1.014846229353711351e+04,3.860165693633904382e+00
1.014846231441188684e+04,3.860165694368347555e+00
1.014846233528665834e+04,3.860165695102822259e+00
1.014846235616143167e+04,3.860165695837331601e+00
1.014846237703620500e+04,3.860165696571873362e+00
1.014846239791097651e+04,3.860165697306448429e+00
1.014846241878574983e+04,3.860165698041056359e+00
1.014846243966052316e+04,3.860165698775697152e+00
1.014846246053529467e+04,3.860165699510371251e+00
1.014846248141006799e+04,3.860165700245078213e+00
1.014846250228483950e+04,3.860165700979818038e+00
1.014846252315961283e+04,3.860165701714591169e+00
1.014846254403438616e+04,3.860165702449397607e+00
1.014846256490915766e+04,3.860165703184236907e+00
1.014846258578393099e+04,3.860165703919109514e+00
1.014846260665870432e+04,3.860165704654015428e+00
1.014846262753347582e+04,3.860165705388953761e+00
1.014846264840824915e+04,3.860165706123925844e+00
1.014846266928302248e+04,3.860165706858930346e+00
1.014846269015779399e+04,3.860165707593967710e+00
1.014846271103256731e+04,3.860165708329039269e+00
1.014846273190733882e+04,3.860165709064143247e+00
1.014846275278211215e+04,3.860165709799279643e+00
1.014846277365688547e+04,3.860165710534450678e+00
1.014846279453165698e+04,3.860165711269653244e+00
1.014846281540643031e+04,3.860165712004889116e+00
1.014846283628120364e+04,3.860165712740158739e+00
1.014846285715597514e+04,3.860165713475461224e+00
1.014846287803074847e+04,3.860165714210797017e+00
1.014846289890552180e+04,3.860165714946164783e+00
1.014846291978029330e+04,3.860165715681567189e+00
1.014846294065506663e+04,3.860165716417001125e+00
1.014846296152983814e+04,3.860165717152469256e+00
1.014846298240461147e+04,3.860165717887970249e+00
1.014846300327938479e+04,3.860165718623503661e+00
1.014846302415415630e+04,3.860165719359070380e+00
1.014846304502892963e+04,3.860165720094670849e+00
1.014846306590370295e+04,3.860165720830303737e+00
1.014846308677847446e+04,3.860165721565969932e+00
1.014846310765324779e+04,3.860165722301668545e+00
1.014846312852802112e+04,3.860165723037400909e+00
1.014846314940279262e+04,3.860165723773166579e+00
