Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.062594821759266779e+04,7.181490566256461427e+00
1.062594823627046208e+04,7.181170743859863315e+00
1.062594825494825454e+04,7.180850928032677771e+00
1.062594827362604883e+04,7.180531118712693228e+00
1.062594829230384312e+04,7.180211315931087412e+00
1.062594831098163559e+04,7.179891519719073578e+00
1.062594832965942987e+04,7.179571730014408182e+00
1.062594834833722416e+04,7.179251946848278720e+00
1.062594836701501663e+04,7.178932170251889566e+00
1.062594838569281092e+04,7.178612400163006058e+00
1.062594840437060520e+04,7.178292636612817468e+00
1.062594842304839767e+04,7.177972879632521064e+00
1.062594844172619196e+04,7.177653129159883072e+00
1.062594846040398625e+04,7.177333385226107865e+00
1.062594847908178053e+04,7.177013647831242515e+00
1.062594849775957300e+04,7.176693917006464751e+00
1.062594851643736729e+04,7.176374192689556786e+00
1.062594853511516158e+04,7.176054474911710557e+00
1.062594855379295404e+04,7.175734763704121555e+00
1.062594857247074833e+04,7.175415059004569329e+00
1.062594859114854262e+04,7.175095360844232495e+00
1.062594860982633509e+04,7.174775669254288779e+00
1.062594862850412937e+04,7.174455984172540823e+00
1.062594864718192366e+04,7.174136305630160138e+00
1.062594866585971613e+04,7.173816633658347541e+00
1.062594868453751042e+04,7.173496968194871926e+00
1.062594870321530470e+04,7.173177309270932334e+00
1.062594872189309717e+04,7.172857656917707381e+00
1.062594874057089146e+04,7.172538011072988162e+00
1.062594875924868575e+04,7.172218371767942635e+00
1.062594877792647821e+04,7.171898739033769843e+00
1.062594879660427250e+04,7.171579112808250223e+00
1.062594881528206679e+04,7.171259493122588147e+00
1.062594883395985926e+04,7.170939880007940026e+00
1.062594885263765354e+04,7.170620273402097844e+00
1.062594887131544783e+04,7.170300673336272190e+00
1.062594888999324030e+04,7.169981079841613258e+00
1.062594890867103459e+04,7.169661492855923690e+00
1.062594892734882887e+04,7.169341912410396311e+00
1.062594894602662316e+04,7.169022338505064873e+00
1.062594896470441563e+04,7.168702771171120425e+00
1.062594898338220992e+04,7.168383210346367385e+00
1.062594900206000420e+04,7.168063656061965716e+00
1.062594902073779667e+04,7.167744108349100252e+00
1.062594903941559096e+04,7.167424567145572745e+00
1.062594905809338525e+04,7.167105032482571580e+00
1.062594907677117772e+04,7.166785504391258499e+00
1.062594909544897200e+04,7.166465982809446800e+00
1.062594911412676629e+04,7.166146467768298223e+00
1.062594913280455876e+04,7.165826959299000265e+00
1.062594915148235305e+04,7.165507457339352015e+00
1.062594917016014733e+04,7.165187961920540083e+00
1.062594918883793980e+04,7.164868473073721766e+00
1.062594920751573409e+04,7.164548990736714806e+00
1.062594922619352838e+04,7.164229514940703147e+00
1.062594924487132084e+04,7.163910045716832542e+00
1.062594926354911513e+04,7.163590583002931389e+00
1.062594928222690942e+04,7.163271126830172086e+00
1.062594930090470189e+04,7.162951677229717262e+00
1.062594931958249617e+04,7.162632234139400644e+00
1.062594933826029046e+04,7.162312797590383973e+00
1.062594935693808293e+04,7.161993367613804118e+00
1.062594937561587722e+04,7.161673944147529447e+00
1.062594939429367150e+04,7.161354527222698607e+00
1.062594941297146579e+04,7.161035116839377324e+00
1.062594943164925826e+04,7.160715713028713125e+00
1.062594945032705255e+04,7.160396315728545069e+00
1.062594946900484683e+04,7.160076924970046441e+00
1.062594948768263930e+04,7.159757540784356777e+00
1.062594950636043359e+04,7.159438163109321351e+00
1.062594952503822788e+04,7.159118791976096574e+00
1.062594954371602034e+04,7.158799427415850403e+00
1.062594956239381463e+04,7.158480069366421006e+00
1.062594958107160892e+04,7.158160717858961242e+00
1.062594959974940139e+04,7.157841372924610646e+00
1.062594961842719567e+04,7.157522034501250907e+00
1.062594963710498996e+04,7.157202702620002022e+00
1.062594965578278243e+04,7.156883377312036387e+00
1.062594967446057672e+04,7.156564058515209936e+00
1.062594969313837100e+04,7.156244746260647105e+00
1.062594971181616347e+04,7.155925440579524732e+00
1.062594973049395776e+04,7.155606141409694310e+00
1.062594974917175205e+04,7.155286848782290043e+00
1.062594976784954451e+04,7.154967562728475450e+00
1.062594978652733880e+04,7.154648283186103797e+00
1.062594980520513309e+04,7.154329010186333271e+00
1.062594982388292556e+04,7.154009743760293638e+00
1.062594984256071984e+04,7.153690483845861259e+00
1.062594986123851413e+04,7.153371230474171227e+00
1.062594987991630842e+04,7.153051983645275946e+00
1.062594989859410089e+04,7.152732743390333603e+00
1.062594991727189517e+04,7.152413509647208123e+00
1.062594993594968946e+04,7.152094282447036377e+00
1.062594995462748193e+04,7.151775061820943691e+00
1.062594997330527622e+04,7.151455847706841062e+00
1.062594999198307050e+04,7.151136640135840494e+00
1.062595001066086297e+04,7.150817439139091292e+00
1.062595002933865726e+04,7.150498244654480473e+00
1.062595004801645155e+04,7.150179056713118264e+00
1.062595006669424401e+04,7.149859875346171734e+00
1.062595008537203830e+04,7.149540700491516354e+00
1.062595010404983259e+04,7.149221532180266792e+00
1.062595012272762506e+04,7.148902370443584786e+00
1.062595014140541934e+04,7.148583215219337816e+00
1.062595016008321363e+04,7.148264066538684958e+00
1.062595017876100610e+04,7.147944924432732883e+00
1.062595019743880039e+04,7.147625788839376604e+00
1.062595021611659467e+04,7.147306659789764538e+00
1.062595023479438714e+04,7.146987537315014016e+00
1.062595025347218143e+04,7.146668421353013834e+00
1.062595027214997572e+04,7.146349311934914184e+00
1.062595029082776819e+04,7.146030209091819962e+00
1.062595030950556247e+04,7.145711112761653716e+00
1.062595032818335676e+04,7.145392022975530999e+00
1.062595034686115105e+04,7.145072939733498885e+00
1.062595036553894352e+04,7.144753863066692467e+00
1.062595038421673780e+04,7.144434792913004095e+00
1.062595040289453209e+04,7.144115729303584850e+00
1.062595042157232456e+04,7.143796672269534298e+00
1.062595044025011885e+04,7.143477621748770545e+00
1.062595045892791313e+04,7.143158577772402040e+00
1.062595047760570560e+04,7.142839540371570095e+00
1.062595049628349989e+04,7.142520509484177715e+00
1.062595051496129418e+04,7.142201485141354667e+00
1.062595053363908664e+04,7.141882467374211174e+00
1.062595055231688093e+04,7.141563456120659126e+00
1.062595057099467522e+04,7.141244451411839833e+00
1.062595058967246769e+04,7.140925453278851975e+00
1.062595060835026197e+04,7.140606461659613657e+00
1.062595062702805626e+04,7.140287476585256421e+00
1.062595064570584873e+04,7.139968498086877169e+00
1.062595066438364302e+04,7.139649526102426869e+00
1.062595068306143730e+04,7.139330560663004199e+00
1.062595070173922977e+04,7.139011601799723827e+00
1.062595072041702406e+04,7.138692649450509187e+00
1.062595073909481835e+04,7.138373703646474944e+00
1.062595075777261081e+04,7.138054764418751752e+00
1.062595077645040510e+04,7.137735831705256828e+00
1.062595079512819939e+04,7.137416905537100398e+00
1.062595081380599368e+04,7.137097985914328646e+00
1.062595083248378614e+04,7.136779072868063345e+00
1.062595085116158043e+04,7.136460166336232369e+00
1.062595086983937472e+04,7.136141266349954826e+00
1.062595088851716719e+04,7.135822372940335612e+00
1.062595090719496147e+04,7.135503486045302601e+00
1.062595092587275576e+04,7.135184605695982896e+00
1.062595094455054823e+04,7.134865731923468068e+00
1.062595096322834252e+04,7.134546864665697541e+00
1.062595098190613680e+04,7.134228003953786867e+00
1.062595100058392927e+04,7.133909149818850715e+00
1.062595101926172356e+04,7.133590302198822286e+00
1.062595103793951785e+04,7.133271461124810919e+00
1.062595105661731031e+04,7.132952626627905524e+00
1.062595107529510460e+04,7.132633798646076606e+00
1.062595109397289889e+04,7.132314977210406859e+00
1.062595111265069136e+04,7.131996162352016277e+00
1.062595113132848564e+04,7.131677354008850500e+00
1.062595115000627993e+04,7.131358552212001101e+00
1.062595116868407240e+04,7.131039756992584522e+00
1.062595118736186669e+04,7.130720968288549955e+00
1.062595120603966097e+04,7.130402186130984532e+00
1.062595122471745344e+04,7.130083410551004697e+00
1.062595124339524773e+04,7.129764641486558752e+00
1.062595126207304202e+04,7.129445878968757810e+00
1.062595128075083630e+04,7.129127122997647170e+00
1.062595129942862877e+04,7.128808373604310411e+00
