Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.061386530092591420e+04,1.280314059160446618e+02
1.061386531688121431e+04,1.280309595693049403e+02
1.061386533283651261e+04,1.280305132158039214e+02
1.061386534879181272e+04,1.280300668554398271e+02
1.061386536474711102e+04,1.280296204883144924e+02
1.061386538070241113e+04,1.280291741143262527e+02
1.061386539665770943e+04,1.280287277335769147e+02
1.061386541261300954e+04,1.280282813459647286e+02
1.061386542856830783e+04,1.280278349515915011e+02
1.061386544452360795e+04,1.280273885503555960e+02
1.061386546047890624e+04,1.280269421423587346e+02
1.061386547643420636e+04,1.280264957274993094e+02
1.061386549238950465e+04,1.280260493058790416e+02
1.061386550834480477e+04,1.280256028773962669e+02
1.061386552430010306e+04,1.280251564421527917e+02
1.061386554025540318e+04,1.280247100000469231e+02
1.061386555621070147e+04,1.280242635511804963e+02
1.061386557216600158e+04,1.280238170954517329e+02
1.061386558812129988e+04,1.280233706329624965e+02
1.061386560407659999e+04,1.280229241636110089e+02
1.061386562003189829e+04,1.280224776874992187e+02
1.061386563598719840e+04,1.280220312045253195e+02
1.061386565194249670e+04,1.280215847147911745e+02
1.061386566789779681e+04,1.280211382181949773e+02
1.061386568385309511e+04,1.280206917148386481e+02
1.061386569980839522e+04,1.280202452046204655e+02
1.061386571576369352e+04,1.280197986876422362e+02
1.061386573171899363e+04,1.280193521638022105e+02
1.061386574767429192e+04,1.280189056332021948e+02
1.061386576362959204e+04,1.280184590957405248e+02
1.061386577958489033e+04,1.280180125515190355e+02
1.061386579554019045e+04,1.280175660004360054e+02
1.061386581149549056e+04,1.280171194425422811e+02
1.061386582745078886e+04,1.280166728778889365e+02
1.061386584340608897e+04,1.280162263063741079e+02
1.061386585936138727e+04,1.280157797280998011e+02
1.061386587531668738e+04,1.280153331429641241e+02
1.061386589127198567e+04,1.280148865510690257e+02
1.061386590722728579e+04,1.280144399523126708e+02
1.061386592318258408e+04,1.280139933467970081e+02
1.061386593913788420e+04,1.280135467344202311e+02
1.061386595509318249e+04,1.280131001152842316e+02
1.061386597104848261e+04,1.280126534892872030e+02
1.061386598700378090e+04,1.280122068565310371e+02
1.061386600295908102e+04,1.280117602169139843e+02
1.061386601891437931e+04,1.280113135705378795e+02
1.061386603486967942e+04,1.280108669173010014e+02
1.061386605082497772e+04,1.280104202573052135e+02
