Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.896128576389048249e+03,1.157186686000427329e+02
9.896128599245501391e+03,1.157178223070705911e+02
9.896128622101952715e+03,1.157169760031822250e+02
9.896128644958405857e+03,1.157161296882431003e+02
9.896128667814857181e+03,1.157152833623881349e+02
9.896128690671310324e+03,1.157144370254828516e+02
9.896128713527761647e+03,1.157135906776621681e+02
9.896128736384214790e+03,1.157127443187915645e+02
9.896128759240666113e+03,1.157118979490059303e+02
9.896128782097119256e+03,1.157110515681708165e+02
9.896128804953570580e+03,1.157102051764210842e+02
9.896128827810023722e+03,1.157093587736222702e+02
9.896128850666476865e+03,1.157085123598419187e+02
9.896128873522928188e+03,1.157076659351476167e+02
9.896128896379381331e+03,1.157068194994048156e+02
9.896128919235832655e+03,1.157059730527484760e+02
9.896128942092285797e+03,1.157051265950440353e+02
9.896128964948737121e+03,1.157042801264264540e+02
9.896128987805190263e+03,1.157034336467611979e+02
9.896129010661641587e+03,1.157025871561832417e+02
9.896129033518094730e+03,1.157017406545580371e+02
9.896129056374546053e+03,1.157008941420205019e+02
9.896129079230999196e+03,1.157000476184361162e+02
9.896129102087450519e+03,1.156992010839398404e+02
9.896129124943903662e+03,1.156983545383971546e+02
9.896129147800356805e+03,1.156975079818755745e+02
9.896129170656808128e+03,1.156966614144427439e+02
9.896129193513261271e+03,1.156958148359640859e+02
9.896129216369712594e+03,1.156949682465745326e+02
9.896129239226165737e+03,1.156941216461396209e+02
9.896129262082617061e+03,1.156932750347942260e+02
9.896129284939070203e+03,1.156924284124038280e+02
9.896129307795521527e+03,1.156915817791034300e+02
9.896129330651974669e+03,1.156907351347584125e+02
9.896129353508425993e+03,1.156898884795037645e+02
9.896129376364879136e+03,1.156890418132049803e+02
9.896129399221332278e+03,1.156881951359295471e+02
9.896129422077783602e+03,1.156873484477451512e+02
9.896129444934236744e+03,1.156865017485171876e+02
9.896129467790688068e+03,1.156856550383806308e+02
9.896129490647141211e+03,1.156848083172009325e+02
9.896129513503592534e+03,1.156839615851130532e+02
9.896129536360045677e+03,1.156831148419824018e+02
9.896129559216497000e+03,1.156822680879440242e+02
9.896129582072950143e+03,1.156814213228633008e+02
9.896129604929401467e+03,1.156805745468752207e+02
9.896129627785854609e+03,1.156797277598452638e+02
9.896129650642307752e+03,1.156788809618409317e+02
9.896129673498759075e+03,1.156780341529298681e+02
9.896129696355212218e+03,1.156771873329775531e+02
9.896129719211663542e+03,1.156763405021188760e+02
9.896129742068116684e+03,1.156754936602193169e+02
9.896129764924568008e+03,1.156746468074138789e+02
9.896129787781021150e+03,1.156737999435679427e+02
9.896129810637472474e+03,1.156729530688164971e+02
9.896129833493925616e+03,1.156721061830250363e+02
9.896129856350376940e+03,1.156712592863284499e+02
9.896129879206830083e+03,1.156704123785922036e+02
9.896129902063283225e+03,1.156695654598839127e+02
9.896129924919734549e+03,1.156687185302711498e+02
9.896129947776187691e+03,1.156678715896193950e+02
9.896129970632639015e+03,1.156670246380635660e+02
9.896129993489092158e+03,1.156661776754690720e+02
9.896130016345543481e+03,1.156653307019709871e+02
9.896130039201996624e+03,1.156644837174346634e+02
9.896130062058447947e+03,1.156636367219951325e+02
9.896130084914901090e+03,1.156627897155178033e+02
9.896130107771352414e+03,1.156619426981376790e+02
9.896130130627805556e+03,1.156610956697201118e+02
9.896130153484256880e+03,1.156602486304001900e+02
9.896130176340710022e+03,1.156594015800432800e+02
9.896130199197163165e+03,1.156585545187169828e+02
9.896130222053614489e+03,1.156577074464889137e+02
9.896130244910067631e+03,1.156568603632244532e+02
9.896130267766518955e+03,1.156560132690586613e+02
9.896130290622972097e+03,1.156551661638569328e+02
9.896130313479423421e+03,1.156543190477542140e+02
9.896130336335876564e+03,1.156534719206159707e+02
9.896130359192327887e+03,1.156526247825772202e+02
9.896130382048781030e+03,1.156517776335032579e+02
9.896130404905232353e+03,1.156509304735292574e+02
9.896130427761685496e+03,1.156500833025205139e+02
9.896130450618138639e+03,1.156492361205446286e+02
9.896130473474589962e+03,1.156483889276692736e+02
9.896130496331043105e+03,1.156475417237597867e+02
9.896130519187494428e+03,1.156466945089512279e+02
9.896130542043947571e+03,1.156458472831089921e+02
9.896130564900398895e+03,1.156450000463680681e+02
9.896130587756852037e+03,1.156441527985938365e+02
9.896130610613303361e+03,1.156433055399213998e+02
9.896130633469756503e+03,1.156424582702160393e+02
9.896130656326207827e+03,1.156416109896128432e+02
9.896130679182660970e+03,1.156407636979772207e+02
9.896130702039114112e+03,1.156399163953766731e+02
