Time (BJD_TBD - 2450000), L_f/L_star (ppm)
9.889738090277649462e+03,2.106469201540267733e+00
9.889738107156652404e+03,2.106327411088615875e+00
9.889738124035655346e+03,2.106185625269475281e+00
9.889738140914658288e+03,2.106043844082857497e+00
9.889738157793661230e+03,2.105902067528792720e+00
9.889738174672662353e+03,2.105760295622563394e+00
9.889738191551665295e+03,2.105618528333639716e+00
9.889738208430668237e+03,2.105476765677321005e+00
9.889738225309671179e+03,2.105335007653620139e+00
9.889738242188674121e+03,2.105193254262561986e+00
9.889738259067677063e+03,2.105051505504162979e+00
9.889738275946680005e+03,2.104909761378439104e+00
9.889738292825682947e+03,2.104768021885415674e+00
9.889738309704684070e+03,2.104626287040376464e+00
9.889738326583687012e+03,2.104484556812797447e+00
9.889738343462689954e+03,2.104342831217973053e+00
9.889738360341692896e+03,2.104201110255917495e+00
9.889738377220695838e+03,2.104059393926657417e+00
9.889738394099698780e+03,2.103917682230199482e+00
9.889738410978701722e+03,2.103775975166573442e+00
9.889738427857704664e+03,2.103634272735791733e+00
9.889738444736705787e+03,2.103492574953149674e+00
9.889738461615708729e+03,2.103350881788117022e+00
9.889738478494711671e+03,2.103209193255989984e+00
9.889738495373714613e+03,2.103067509356784992e+00
9.889738512252717555e+03,2.102925830090518478e+00
9.889738529131720497e+03,2.102784155457214865e+00
9.889738546010723439e+03,2.102642485456886590e+00
9.889738562889726381e+03,2.102500820089554079e+00
9.889738579768727504e+03,2.102359159370506436e+00
9.889738596647730446e+03,2.102217503269227183e+00
9.889738613526733388e+03,2.102075851801002315e+00
9.889738630405736330e+03,2.101934204965846931e+00
9.889738647284739272e+03,2.101792562763782346e+00
9.889738664163742214e+03,2.101650925194828545e+00
9.889738681042745156e+03,2.101509292259001960e+00
9.889738697921748098e+03,2.101367663956328347e+00
9.889738714800749221e+03,2.101226040302077713e+00
9.889738731679752163e+03,2.101084421265749125e+00
9.889738748558755105e+03,2.100942806862629908e+00
9.889738765437758047e+03,2.100801197092728945e+00
9.889738782316760989e+03,2.100659591956070216e+00
9.889738799195763931e+03,2.100517991452670152e+00
9.889738816074766873e+03,2.100376395582550071e+00
9.889738832953769816e+03,2.100234804345729955e+00
9.889738849832770939e+03,2.100093217757481590e+00
9.889738866711773881e+03,2.099951635787307147e+00
9.889738883590776823e+03,2.099810058450493955e+00
9.889738900469779765e+03,2.099668485747051339e+00
9.889738917348782707e+03,2.099526917676998838e+00
9.889738934227785649e+03,2.099385354240357326e+00
9.889738951106788591e+03,2.099243795437147231e+00
9.889738967985791533e+03,2.099102241267385427e+00
9.889738984864792656e+03,2.098960691746338814e+00
9.889739001743795598e+03,2.098819146843530881e+00
9.889739018622798540e+03,2.098677606574220089e+00
9.889739035501801482e+03,2.098536070938439302e+00
9.889739052380804424e+03,2.098394539936192960e+00
9.889739069259807366e+03,2.098253013567513925e+00
9.889739086138810308e+03,2.098111491832409747e+00
9.889739103017813250e+03,2.097969974730910625e+00
9.889739119896814373e+03,2.097828462278270578e+00
9.889739136775817315e+03,2.097686954444020646e+00
9.889739153654820257e+03,2.097545451243423731e+00
9.889739170533823199e+03,2.097403952676501593e+00
9.889739187412826141e+03,2.097262458743273772e+00
9.889739204291829083e+03,2.097120969443749150e+00
9.889739221170832025e+03,2.096979484777963254e+00
9.889739238049834967e+03,2.096838004745918305e+00
9.889739254928836090e+03,2.096696529362892747e+00
9.889739271807839032e+03,2.096555058598401189e+00
9.889739288686841974e+03,2.096413592467718967e+00
9.889739305565844916e+03,2.096272130970858960e+00
