Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.065014266203716397e+04,5.964133690490144346e+01
1.065014268332748725e+04,5.964109412001594279e+01
1.065014270461781052e+04,5.964085133212795142e+01
1.065014272590813380e+04,5.964060854123746225e+01
1.065014274719845707e+04,5.964036574734451079e+01
1.065014276848878217e+04,5.964012295042839185e+01
1.065014278977910544e+04,5.963988015053061531e+01
1.065014281106942872e+04,5.963963734763047597e+01
1.065014283235975199e+04,5.963939454172798094e+01
1.065014285365007527e+04,5.963915173282317284e+01
1.065014287494039854e+04,5.963890892091609430e+01
1.065014289623072182e+04,5.963866610600674534e+01
1.065014291752104509e+04,5.963842328809516857e+01
1.065014293881136837e+04,5.963818046718138532e+01
1.065014296010169346e+04,5.963793764324469748e+01
1.065014298139201674e+04,5.963769481632659364e+01
1.065014300268234001e+04,5.963745198640637568e+01
1.065014302397266329e+04,5.963720915348408624e+01
1.065014304526298656e+04,5.963696631755973954e+01
1.065014306655330984e+04,5.963672347863334977e+01
1.065014308784363311e+04,5.963648063670496668e+01
1.065014310913395639e+04,5.963623779177461159e+01
1.065014313042427966e+04,5.963599494384231292e+01
1.065014315171460476e+04,5.963575209288733703e+01
1.065014317300492803e+04,5.963550923895123645e+01
1.065014319429525131e+04,5.963526638201327756e+01
1.065014321558557458e+04,5.963502352207347457e+01
1.065014323687589786e+04,5.963478065913187720e+01
1.065014325816622113e+04,5.963453779318850678e+01
1.065014327945654441e+04,5.963429492424338463e+01
1.065014330074686768e+04,5.963405205229654626e+01
1.065014332203719096e+04,5.963380917734804143e+01
1.065014334332751605e+04,5.963356629937710096e+01
1.065014336461783932e+04,5.963332341842529871e+01
1.065014338590816260e+04,5.963308053447187262e+01
1.065014340719848587e+04,5.963283764751688665e+01
1.065014342848880915e+04,5.963259475756036210e+01
1.065014344977913242e+04,5.963235186460229897e+01
1.065014347106945570e+04,5.963210896864276833e+01
1.065014349235977897e+04,5.963186606968175596e+01
1.065014351365010225e+04,5.963162316771932581e+01
1.065014353494042734e+04,5.963138026273473002e+01
1.065014355623075062e+04,5.963113735476952826e+01
1.065014357752107389e+04,5.963089444380296555e+01
1.065014359881139717e+04,5.963065152983509876e+01
1.065014362010172044e+04,5.963040861286592786e+01
1.065014364139204372e+04,5.963016569289550262e+01
1.065014366268236699e+04,5.962992276992385143e+01
1.065014368397269027e+04,5.962967984395098142e+01
1.065014370526301354e+04,5.962943691497695653e+01
1.065014372655333864e+04,5.962919398298100759e+01
1.065014374784366191e+04,5.962895104800470136e+01
1.065014376913398519e+04,5.962870811002731131e+01
1.065014379042430846e+04,5.962846516904885874e+01
1.065014381171463174e+04,5.962822222506936498e+01
1.065014383300495501e+04,5.962797927808887977e+01
1.065014385429527829e+04,5.962773632810740310e+01
1.065014387558560156e+04,5.962749337512499892e+01
1.065014389687592484e+04,5.962725041914166724e+01
1.065014391816624993e+04,5.962700746013668152e+01
1.065014393945657321e+04,5.962676449815158719e+01
1.065014396074689648e+04,5.962652153316567194e+01
1.065014398203721976e+04,5.962627856517894998e+01
1.065014400332754303e+04,5.962603559419143551e+01
1.065014402461786631e+04,5.962579262020319248e+01
1.065014404590818958e+04,5.962554964321422801e+01
1.065014406719851286e+04,5.962530666322455630e+01
1.065014408848883613e+04,5.962506368023422709e+01
1.065014410977916123e+04,5.962482069422252096e+01
1.065014413106948450e+04,5.962457770523094069e+01
1.065014415235980778e+04,5.962433471323880951e+01
1.065014417365013105e+04,5.962409171824611320e+01
