Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.880038437500130385e+03,3.658149119037478858e+00
9.880038456059855889e+03,3.658149120196372728e+00
9.880038474619583212e+03,3.658149121355263933e+00
9.880038493179308716e+03,3.658149122514153806e+00
9.880038511739036039e+03,3.658149123673041903e+00
9.880038530298761543e+03,3.658149124831928223e+00
9.880038548858488866e+03,3.658149125990813211e+00
9.880038567418214370e+03,3.658149127149695534e+00
9.880038585977941693e+03,3.658149128308576969e+00
9.880038604537667197e+03,3.658149129467456184e+00
9.880038623097394520e+03,3.658149130626333623e+00
9.880038641657120024e+03,3.658149131785208841e+00
9.880038660216847347e+03,3.658149132944083171e+00
9.880038678776572851e+03,3.658149134102954836e+00
9.880038697336298355e+03,3.658149135261825169e+00
9.880038715896025678e+03,3.658149136420693726e+00
9.880038734455751182e+03,3.658149137579560950e+00
9.880038753015478505e+03,3.658149138738425510e+00
9.880038771575204009e+03,3.658149139897288293e+00
9.880038790134931332e+03,3.658149141056150633e+00
9.880038808694656836e+03,3.658149142215009419e+00
9.880038827254384159e+03,3.658149143373867318e+00
9.880038845814109663e+03,3.658149144532723884e+00
9.880038864373836986e+03,3.658149145691577786e+00
9.880038882933562491e+03,3.658149146850429911e+00
9.880038901493289814e+03,3.658149148009280704e+00
9.880038920053015318e+03,3.658149149168130165e+00
9.880038938612740822e+03,3.658149150326976518e+00
9.880038957172468145e+03,3.658149151485822426e+00
9.880038975732193649e+03,3.658149152644666113e+00
9.880038994291920972e+03,3.658149153803507581e+00
9.880039012851646476e+03,3.658149154962347716e+00
9.880039031411373799e+03,3.658149156121185630e+00
9.880039049971099303e+03,3.658149157280022656e+00
9.880039068530826626e+03,3.658149158438857018e+00
9.880039087090552130e+03,3.658149159597690048e+00
9.880039105650279453e+03,3.658149160756521301e+00
9.880039124210004957e+03,3.658149161915349890e+00
9.880039142769732280e+03,3.658149163074178034e+00
9.880039161329457784e+03,3.658149164233003514e+00
9.880039179889183288e+03,3.658149165391827662e+00
9.880039198448910611e+03,3.658149166550650033e+00
9.880039217008636115e+03,3.658149167709469740e+00
9.880039235568363438e+03,3.658149168868288559e+00
9.880039254128088942e+03,3.658149170027105157e+00
9.880039272687816265e+03,3.658149171185920423e+00
9.880039291247541769e+03,3.658149172344733913e+00
9.880039309807269092e+03,3.658149173503545626e+00
9.880039328366994596e+03,3.658149174662354675e+00
9.880039346926721919e+03,3.658149175821162391e+00
9.880039365486447423e+03,3.658149176979968775e+00
9.880039384046174746e+03,3.658149178138772939e+00
9.880039402605900250e+03,3.658149179297575770e+00
9.880039421165625754e+03,3.658149180456376381e+00
9.880039439725353077e+03,3.658149181615174772e+00
9.880039458285078581e+03,3.658149182773972274e+00
9.880039476844805904e+03,3.658149183932767556e+00
9.880039495404531408e+03,3.658149185091561506e+00
9.880039513964258731e+03,3.658149186250352791e+00
9.880039532523984235e+03,3.658149187409143632e+00
9.880039551083711558e+03,3.658149188567931809e+00
9.880039569643437062e+03,3.658149189726717321e+00
9.880039588203164385e+03,3.658149190885502389e+00
9.880039606762889889e+03,3.658149192044285680e+00
9.880039625322617212e+03,3.658149193203066751e+00
9.880039643882342716e+03,3.658149194361846046e+00
9.880039662442068220e+03,3.658149195520623564e+00
9.880039681001795543e+03,3.658149196679398862e+00
9.880039699561521047e+03,3.658149197838173272e+00
9.880039718121248370e+03,3.658149198996945017e+00
9.880039736680973874e+03,3.658149200155715430e+00
9.880039755240701197e+03,3.658149201314484067e+00
9.880039773800426701e+03,3.658149202473251371e+00
9.880039792360154024e+03,3.658149203632016011e+00
9.880039810919879528e+03,3.658149204790778874e+00
9.880039829479606851e+03,3.658149205949540406e+00
9.880039848039332355e+03,3.658149207108300160e+00
9.880039866599059678e+03,3.658149208267058139e+00
9.880039885158785182e+03,3.658149209425813897e+00
9.880039903718510686e+03,3.658149210584567879e+00
9.880039922278238009e+03,3.658149211743320528e+00
9.880039940837963513e+03,3.658149212902071401e+00
9.880039959397690836e+03,3.658149214060820498e+00
9.880039977957416340e+03,3.658149215219567374e+00
9.880039996517143663e+03,3.658149216378313362e+00
9.880040015076869167e+03,3.658149217537056686e+00
9.880040033636596490e+03,3.658149218695797789e+00
9.880040052196321994e+03,3.658149219854538003e+00
9.880040070756049317e+03,3.658149221013275998e+00
9.880040089315774821e+03,3.658149222172013104e+00
9.880040107875502144e+03,3.658149223330747546e+00
9.880040126435227648e+03,3.658149224489479767e+00
9.880040144994953152e+03,3.658149225648211100e+00
9.880040163554680475e+03,3.658149226806939769e+00
9.880040182114405980e+03,3.658149227965667993e+00
9.880040200674133303e+03,3.658149229124393553e+00
9.880040219233858807e+03,3.658149230283116893e+00
9.880040237793586130e+03,3.658149231441839344e+00
9.880040256353311634e+03,3.658149232600559131e+00
9.880040274913038957e+03,3.658149233759278474e+00
9.880040293472764461e+03,3.658149234917994264e+00
9.880040312032491784e+03,3.658149236076709609e+00
9.880040330592217288e+03,3.658149237235422735e+00
9.880040349151944611e+03,3.658149238394134084e+00
9.880040367711670115e+03,3.658149239552843213e+00
9.880040386271395619e+03,3.658149240711551009e+00
9.880040404831122942e+03,3.658149241870257473e+00
9.880040423390848446e+03,3.658149243028960829e+00
9.880040441950575769e+03,3.658149244187663740e+00
9.880040460510301273e+03,3.658149245346364431e+00
9.880040479070028596e+03,3.658149246505063346e+00
9.880040497629754100e+03,3.658149247663759596e+00
9.880040516189481423e+03,3.658149248822455402e+00
9.880040534749206927e+03,3.658149249981148543e+00
9.880040553308934250e+03,3.658149251139839908e+00
9.880040571868659754e+03,3.658149252298529941e+00
9.880040590428387077e+03,3.658149253457218197e+00
9.880040608988112581e+03,3.658149254615904233e+00
9.880040627547838085e+03,3.658149255774588937e+00
9.880040646107565408e+03,3.658149256933271865e+00
9.880040664667290912e+03,3.658149258091952571e+00
9.880040683227018235e+03,3.658149259250631058e+00
9.880040701786743739e+03,3.658149260409309100e+00
9.880040720346471062e+03,3.658149261567984034e+00
9.880040738906196566e+03,3.658149262726658080e+00
9.880040757465923889e+03,3.658149263885329905e+00
9.880040776025649393e+03,3.658149265043999510e+00
9.880040794585376716e+03,3.658149266202668226e+00
9.880040813145102220e+03,3.658149267361334722e+00
9.880040831704829543e+03,3.658149268519999442e+00
9.880040850264555047e+03,3.658149269678662385e+00
