Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.882460428240709007e+03,3.607884498864882161e+00
9.882460446256400246e+03,3.607884499077365970e+00
9.882460464272089666e+03,3.607884499289838676e+00
9.882460482287780906e+03,3.607884499502301168e+00
9.882460500303470326e+03,3.607884499714753002e+00
9.882460518319161565e+03,3.607884499927192845e+00
9.882460536334850985e+03,3.607884500139622919e+00
9.882460554350542225e+03,3.607884500352041890e+00
9.882460572366233464e+03,3.607884500564449315e+00
9.882460590381922884e+03,3.607884500776846970e+00
9.882460608397614124e+03,3.607884500989232635e+00
9.882460626413303544e+03,3.607884501201608973e+00
9.882460644428994783e+03,3.607884501413972878e+00
9.882460662444684203e+03,3.607884501626326568e+00
9.882460680460375443e+03,3.607884501838670044e+00
9.882460698476066682e+03,3.607884502051001974e+00
9.882460716491756102e+03,3.607884502263322801e+00
9.882460734507447341e+03,3.607884502475632971e+00
9.882460752523136762e+03,3.607884502687933370e+00
9.882460770538828001e+03,3.607884502900221335e+00
9.882460788554517421e+03,3.607884503112499530e+00
9.882460806570208661e+03,3.607884503324766623e+00
9.882460824585899900e+03,3.607884503537022614e+00
9.882460842601589320e+03,3.607884503749267502e+00
9.882460860617280559e+03,3.607884503961502620e+00
9.882460878632969980e+03,3.607884504173725748e+00
9.882460896648661219e+03,3.607884504385938218e+00
9.882460914664350639e+03,3.607884504598140474e+00
9.882460932680041878e+03,3.607884504810331627e+00
9.882460950695733118e+03,3.607884505022511235e+00
9.882460968711422538e+03,3.607884505234680628e+00
9.882460986727113777e+03,3.607884505446838919e+00
9.882461004742803198e+03,3.607884505658986996e+00
9.882461022758494437e+03,3.607884505871123970e+00
9.882461040774183857e+03,3.607884506083249399e+00
9.882461058789875096e+03,3.607884506295364613e+00
9.882461076805566336e+03,3.607884506507469169e+00
9.882461094821255756e+03,3.607884506719562179e+00
9.882461112836946995e+03,3.607884506931645419e+00
9.882461130852636416e+03,3.607884507143717112e+00
9.882461148868327655e+03,3.607884507355777259e+00
9.882461166884017075e+03,3.607884507567827637e+00
9.882461184899708314e+03,3.607884507779866912e+00
9.882461202915399554e+03,3.607884507991894640e+00
9.882461220931088974e+03,3.607884508203912599e+00
9.882461238946780213e+03,3.607884508415919456e+00
9.882461256962469633e+03,3.607884508627915210e+00
9.882461274978160873e+03,3.607884508839899418e+00
9.882461292993850293e+03,3.607884509051874300e+00
9.882461311009541532e+03,3.607884509263837192e+00
9.882461329025232772e+03,3.607884509475789425e+00
9.882461347040922192e+03,3.607884509687731445e+00
9.882461365056613431e+03,3.607884509899661918e+00
9.882461383072302851e+03,3.607884510111581733e+00
9.882461401087994091e+03,3.607884510323490446e+00
9.882461419103683511e+03,3.607884510535388500e+00
9.882461437119374750e+03,3.607884510747275897e+00
9.882461455135065989e+03,3.607884510959152191e+00
9.882461473150755410e+03,3.607884511171017827e+00
9.882461491166446649e+03,3.607884511382872805e+00
9.882461509182136069e+03,3.607884511594716681e+00
9.882461527197827309e+03,3.607884511806549899e+00
9.882461545213516729e+03,3.607884512018372458e+00
9.882461563229207968e+03,3.607884512230183471e+00
9.882461581244899207e+03,3.607884512441983826e+00
9.882461599260588628e+03,3.607884512653773523e+00
9.882461617276279867e+03,3.607884512865552118e+00
9.882461635291969287e+03,3.607884513077320054e+00
9.882461653307660526e+03,3.607884513289077777e+00
9.882461671323349947e+03,3.607884513500823509e+00
9.882461689339041186e+03,3.607884513712558583e+00
9.882461707354732425e+03,3.607884513924283443e+00
9.882461725370421846e+03,3.607884514135997200e+00
9.882461743386113085e+03,3.607884514347700300e+00
9.882461761401802505e+03,3.607884514559392297e+00
9.882461779417493744e+03,3.607884514771073192e+00
9.882461797433183165e+03,3.607884514982743429e+00
9.882461815448874404e+03,3.607884515194403452e+00
9.882461833464563824e+03,3.607884515406052373e+00
9.882461851480255064e+03,3.607884515617689747e+00
9.882461869495946303e+03,3.607884515829316907e+00
9.882461887511635723e+03,3.607884516040932965e+00
9.882461905527326962e+03,3.607884516252538365e+00
9.882461923543016383e+03,3.607884516464132663e+00
9.882461941558707622e+03,3.607884516675715414e+00
9.882461959574397042e+03,3.607884516887288395e+00
9.882461977590088281e+03,3.607884517098850274e+00
9.882461995605779521e+03,3.607884517310401495e+00
9.882462013621468941e+03,3.607884517521941170e+00
9.882462031637160180e+03,3.607884517733470631e+00
9.882462049652849601e+03,3.607884517944989433e+00
9.882462067668540840e+03,3.607884518156497133e+00
9.882462085684230260e+03,3.607884518367993731e+00
9.882462103699921499e+03,3.607884518579479227e+00
9.882462121715612739e+03,3.607884518790954953e+00
9.882462139731302159e+03,3.607884519002418688e+00
9.882462157746993398e+03,3.607884519213871766e+00
9.882462175762682818e+03,3.607884519425314629e+00
9.882462193778374058e+03,3.607884519636746390e+00
9.882462211794063478e+03,3.607884519848166605e+00
9.882462229809754717e+03,3.607884520059577049e+00
9.882462247825445957e+03,3.607884520270976392e+00
9.882462265841135377e+03,3.607884520482364632e+00
9.882462283856826616e+03,3.607884520693742214e+00
9.882462301872516036e+03,3.607884520905108694e+00
9.882462319888207276e+03,3.607884521116464516e+00
9.882462337903896696e+03,3.607884521327808791e+00
9.882462355919587935e+03,3.607884521539143297e+00
9.882462373935279174e+03,3.607884521750466256e+00
9.882462391950968595e+03,3.607884521961778557e+00
9.882462409966659834e+03,3.607884522173080200e+00
