Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.908226643518544734e+03,2.557801996895361807e+00
9.908226666740774817e+03,2.557801996280383072e+00
9.908226689963004901e+03,2.557801995665384798e+00
9.908226713185233166e+03,2.557801995050367427e+00
9.908226736407463250e+03,2.557801994435331405e+00
9.908226759629693333e+03,2.557801993820275843e+00
9.908226782851923417e+03,2.557801993205201185e+00
9.908226806074151682e+03,2.557801992590107876e+00
9.908226829296381766e+03,2.557801991974995026e+00
9.908226852518611850e+03,2.557801991359862637e+00
9.908226875740841933e+03,2.557801990744712040e+00
9.908226898963070198e+03,2.557801990129541903e+00
9.908226922185300282e+03,2.557801989514352226e+00
9.908226945407530366e+03,2.557801988899143453e+00
9.908226968629760449e+03,2.557801988283916028e+00
9.908226991851988714e+03,2.557801987668669064e+00
9.908227015074218798e+03,2.557801987053403003e+00
9.908227038296448882e+03,2.557801986438118291e+00
9.908227061518678966e+03,2.557801985822814039e+00
9.908227084740907230e+03,2.557801985207490691e+00
9.908227107963137314e+03,2.557801984592148248e+00
9.908227131185367398e+03,2.557801983976786708e+00
9.908227154407597482e+03,2.557801983361406073e+00
9.908227177629825746e+03,2.557801982746005898e+00
9.908227200852055830e+03,2.557801982130587071e+00
9.908227224074285914e+03,2.557801981515148704e+00
9.908227247296515998e+03,2.557801980899691241e+00
9.908227270518744263e+03,2.557801980284215126e+00
9.908227293740974346e+03,2.557801979668719472e+00
9.908227316963204430e+03,2.557801979053204722e+00
9.908227340185434514e+03,2.557801978437671320e+00
9.908227363407662779e+03,2.557801977822118378e+00
9.908227386629892862e+03,2.557801977206545896e+00
9.908227409852122946e+03,2.557801976590955206e+00
9.908227433074353030e+03,2.557801975975344089e+00
9.908227456296581295e+03,2.557801975359715208e+00
9.908227479518811379e+03,2.557801974744066342e+00
9.908227502741041462e+03,2.557801974128398825e+00
9.908227525963271546e+03,2.557801973512711768e+00
9.908227549185499811e+03,2.557801972897005616e+00
9.908227572407729895e+03,2.557801972281280811e+00
9.908227595629959978e+03,2.557801971665536467e+00
9.908227618852190062e+03,2.557801971049773027e+00
9.908227642074418327e+03,2.557801970433990491e+00
9.908227665296648411e+03,2.557801969818188415e+00
9.908227688518878495e+03,2.557801969202367687e+00
9.908227711741108578e+03,2.557801968586527863e+00
9.908227734963336843e+03,2.557801967970668500e+00
9.908227758185566927e+03,2.557801967354790484e+00
9.908227781407797011e+03,2.557801966738892929e+00
9.908227804630027094e+03,2.557801966122976278e+00
9.908227827852255359e+03,2.557801965507040975e+00
9.908227851074485443e+03,2.557801964891085689e+00
9.908227874296715527e+03,2.557801964275112194e+00
9.908227897518945610e+03,2.557801963659119160e+00
9.908227920741173875e+03,2.557801963043106586e+00
9.908227943963403959e+03,2.557801962427075804e+00
9.908227967185634043e+03,2.557801961811025482e+00
9.908227990407864127e+03,2.557801961194955620e+00
9.908228013630092391e+03,2.557801960578866662e+00
9.908228036852322475e+03,2.557801959962759053e+00
9.908228060074552559e+03,2.557801959346631904e+00
9.908228083296782643e+03,2.557801958730485659e+00
9.908228106519010908e+03,2.557801958114320318e+00
9.908228129741240991e+03,2.557801957498136325e+00
9.908228152963471075e+03,2.557801956881932792e+00
9.908228176185701159e+03,2.557801956265710164e+00
9.908228199407929424e+03,2.557801955649468439e+00
9.908228222630159507e+03,2.557801955033207175e+00
9.908228245852389591e+03,2.557801954416927259e+00
9.908228269074619675e+03,2.557801953800628247e+00
9.908228292296847940e+03,2.557801953184309696e+00
9.908228315519078023e+03,2.557801952567972048e+00
9.908228338741308107e+03,2.557801951951615749e+00
9.908228361963538191e+03,2.557801951335239909e+00
9.908228385185766456e+03,2.557801950718845418e+00
9.908228408407996540e+03,2.557801950102431832e+00
9.908228431630226623e+03,2.557801949485998705e+00
9.908228454852456707e+03,2.557801948869546038e+00
9.908228478074684972e+03,2.557801948253075164e+00
9.908228501296915056e+03,2.557801947636584305e+00
9.908228524519145139e+03,2.557801947020074795e+00
9.908228547741375223e+03,2.557801946403545745e+00
9.908228570963603488e+03,2.557801945786997599e+00
9.908228594185833572e+03,2.557801945170431246e+00
9.908228617408063656e+03,2.557801944553844908e+00
9.908228640630293739e+03,2.557801943937239475e+00
9.908228663852522004e+03,2.557801943320614946e+00
9.908228687074752088e+03,2.557801942703971765e+00
9.908228710296982172e+03,2.557801942087308600e+00
9.908228733519212255e+03,2.557801941470627227e+00
9.908228756741440520e+03,2.557801940853926315e+00
9.908228779963670604e+03,2.557801940237206306e+00
9.908228803185900688e+03,2.557801939620467202e+00
9.908228826408130772e+03,2.557801939003708558e+00
9.908228849630359036e+03,2.557801938386931262e+00
9.908228872852589120e+03,2.557801937770134870e+00
9.908228896074819204e+03,2.557801937153318939e+00
9.908228919297049288e+03,2.557801936536484355e+00
9.908228942519277552e+03,2.557801935919630232e+00
9.908228965741507636e+03,2.557801935302757013e+00
9.908228988963737720e+03,2.557801934685864698e+00
9.908229012185967804e+03,2.557801934068953287e+00
9.908229035408196069e+03,2.557801933452022780e+00
9.908229058630426152e+03,2.557801932835073622e+00
9.908229081852656236e+03,2.557801932218104923e+00
9.908229105074886320e+03,2.557801931601116685e+00
9.908229128297114585e+03,2.557801930984109795e+00
9.908229151519344668e+03,2.557801930367083809e+00
9.908229174741574752e+03,2.557801929750038283e+00
9.908229197963804836e+03,2.557801929132973662e+00
9.908229221186033101e+03,2.557801928515890388e+00
9.908229244408263185e+03,2.557801927898787575e+00
9.908229267630493268e+03,2.557801927281666554e+00
9.908229290852723352e+03,2.557801926664525105e+00
9.908229314074951617e+03,2.557801926047365004e+00
9.908229337297181701e+03,2.557801925430185808e+00
9.908229360519411784e+03,2.557801924812987515e+00
9.908229383741641868e+03,2.557801924195770127e+00
9.908229406963870133e+03,2.557801923578533643e+00
9.908229430186100217e+03,2.557801922961278063e+00
9.908229453408330301e+03,2.557801922344003387e+00
9.908229476630560384e+03,2.557801921726709615e+00
9.908229499852788649e+03,2.557801921109396304e+00
9.908229523075018733e+03,2.557801920492063896e+00
9.908229546297248817e+03,2.557801919874712837e+00
9.908229569519478900e+03,2.557801919257342682e+00
9.908229592741707165e+03,2.557801918639952987e+00
9.908229615963937249e+03,2.557801918022544196e+00
9.908229639186167333e+03,2.557801917405116310e+00
9.908229662408397417e+03,2.557801916787669327e+00
9.908229685630625681e+03,2.557801916170203249e+00
9.908229708852855765e+03,2.557801915552718075e+00
9.908229732075085849e+03,2.557801914935213805e+00
9.908229755297315933e+03,2.557801914317690439e+00
9.908229778519544197e+03,2.557801913700147534e+00
9.908229801741774281e+03,2.557801913082585976e+00
9.908229824964004365e+03,2.557801912465005323e+00
9.908229848186234449e+03,2.557801911847405130e+00
9.908229871408462714e+03,2.557801911229786285e+00
9.908229894630692797e+03,2.557801910612148344e+00
9.908229917852922881e+03,2.557801909994490863e+00
9.908229941075152965e+03,2.557801909376814731e+00
9.908229964297381230e+03,2.557801908759119058e+00
9.908229987519611313e+03,2.557801908141404290e+00
9.908230010741841397e+03,2.557801907523669982e+00
9.908230033964071481e+03,2.557801906905917022e+00
9.908230057186299746e+03,2.557801906288144966e+00
9.908230080408529830e+03,2.557801905670353815e+00
9.908230103630759913e+03,2.557801905052544011e+00
