Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.013335255787055939e+04,4.647841544540247583e+01
1.013335257878931770e+04,4.647781611917331901e+01
1.013335259970807601e+04,4.647721679417760043e+01
1.013335262062683432e+04,4.647661747041541247e+01
1.013335264154559445e+04,4.647601814783472207e+01
1.013335266246435276e+04,4.647541882653981560e+01
1.013335268338311107e+04,4.647481950647863158e+01
1.013335270430186938e+04,4.647422018765124818e+01
1.013335272522062769e+04,4.647362087005775777e+01
1.013335274613938600e+04,4.647302155369817456e+01
1.013335276705814431e+04,4.647242223857260512e+01
1.013335278797690262e+04,4.647182292468112763e+01
1.013335280889566275e+04,4.647122361197166640e+01
1.013335282981442106e+04,4.647062430054851490e+01
1.013335285073317937e+04,4.647002499035964718e+01
1.013335287165193768e+04,4.646942568140514140e+01
1.013335289257069599e+04,4.646882637368502600e+01
1.013335291348945429e+04,4.646822706719939333e+01
1.013335293440821260e+04,4.646762776194833577e+01
1.013335295532697091e+04,4.646702845793186754e+01
1.013335297624573104e+04,4.646642915509798399e+01
1.013335299716448935e+04,4.646582985355094308e+01
1.013335301808324766e+04,4.646523055323875440e+01
1.013335303900200597e+04,4.646463125416143214e+01
1.013335305992076428e+04,4.646403195631905447e+01
1.013335308083952259e+04,4.646343265971174219e+01
1.013335310175828090e+04,4.646283336433948108e+01
1.013335312267703921e+04,4.646223407020239193e+01
1.013335314359579934e+04,4.646163477724841329e+01
1.013335316451455765e+04,4.646103548558185992e+01
1.013335318543331596e+04,4.646043619515065615e+01
1.013335320635207427e+04,4.645983690595486593e+01
1.013335322727083258e+04,4.645923761799461715e+01
1.013335324818959089e+04,4.645863833126989562e+01
1.013335326910834920e+04,4.645803904578080790e+01
1.013335329002710751e+04,4.645743976152745347e+01
1.013335331094586763e+04,4.645684047845772824e+01
1.013335333186462594e+04,4.645624119667596119e+01
1.013335335278338425e+04,4.645564191613009086e+01
1.013335337370214256e+04,4.645504263682021673e+01
1.013335339462090087e+04,4.645444335874636010e+01
1.013335341553965918e+04,4.645384408190861336e+01
1.013335343645841749e+04,4.645324480630706176e+01
1.013335345737717762e+04,4.645264553188964385e+01
1.013335347829593593e+04,4.645204625876062465e+01
1.013335349921469424e+04,4.645144698686798534e+01
1.013335352013345255e+04,4.645084771621183251e+01
1.013335354105221086e+04,4.645024844679213061e+01
1.013335356197096917e+04,4.644964917860907150e+01
1.013335358288972748e+04,4.644904991166265518e+01
1.013335360380848579e+04,4.644845064595294559e+01
1.013335362472724591e+04,4.644785138142790970e+01
1.013335364564600422e+04,4.644725211819184096e+01
1.013335366656476253e+04,4.644665285619271344e+01
1.013335368748352084e+04,4.644605359543055556e+01
1.013335370840227915e+04,4.644545433590544548e+01
1.013335372932103746e+04,4.644485507761749687e+01
1.013335375023979577e+04,4.644425582056668844e+01
1.013335377115855408e+04,4.644365656475319781e+01
1.013335379207731421e+04,4.644305731012489957e+01
1.013335381299607252e+04,4.644245805678610850e+01
1.013335383391483083e+04,4.644185880468480576e+01
1.013335385483358914e+04,4.644125955382101267e+01
1.013335387575234745e+04,4.644066030419484292e+01
1.013335389667110576e+04,4.644006105580632493e+01
1.013335391758986407e+04,4.643946180865553686e+01
1.013335393850862238e+04,4.643886256274257818e+01
1.013335395942738251e+04,4.643826331801536611e+01
1.013335398034614082e+04,4.643766407457817280e+01
1.013335400126489913e+04,4.643706483237903626e+01
1.013335402218365743e+04,4.643646559141795649e+01
1.013335404310241574e+04,4.643586635169501164e+01
1.013335406402117405e+04,4.643526711321030120e+01
1.013335408493993236e+04,4.643466787596387491e+01
1.013335410585869067e+04,4.643406863995575407e+01
1.013335412677745080e+04,4.643346940513396959e+01
1.013335414769620911e+04,4.643287017160278651e+01
