Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.882460428240709007e+03,1.218148568636791111e+02
9.882460446256400246e+03,1.218149562448330698e+02
9.882460464272089666e+03,1.218150556209036921e+02
9.882460482287780906e+03,1.218151549919110437e+02
9.882460500303470326e+03,1.218152543578350162e+02
9.882460518319161565e+03,1.218153537186956896e+02
9.882460536334850985e+03,1.218154530744729698e+02
9.882460554350542225e+03,1.218155524251869224e+02
9.882460572366233464e+03,1.218156517708275146e+02
9.882460590381922884e+03,1.218157511113846994e+02
9.882460608397614124e+03,1.218158504468785424e+02
9.882460626413303544e+03,1.218159497772889353e+02
9.882460644428994783e+03,1.218160491026359864e+02
9.882460662444684203e+03,1.218161484228996017e+02
9.882460680460375443e+03,1.218162477380998325e+02
9.882460698476066682e+03,1.218163470482266177e+02
9.882460716491756102e+03,1.218164463532699671e+02
9.882460734507447341e+03,1.218165456532498894e+02
9.882460752523136762e+03,1.218166449481463331e+02
9.882460770538828001e+03,1.218167442379793499e+02
9.882460788554517421e+03,1.218168435227288882e+02
9.882460806570208661e+03,1.218169428024149710e+02
9.882460824585899900e+03,1.218170420770275655e+02
9.882460842601589320e+03,1.218171413465566530e+02
9.882460860617280559e+03,1.218172406110222425e+02
9.882460878632969980e+03,1.218173398704043251e+02
9.882460896648661219e+03,1.218174391247229096e+02
9.882460914664350639e+03,1.218175383739579587e+02
9.882460932680041878e+03,1.218176376181294813e+02
9.882460950695733118e+03,1.218177368572274730e+02
9.882460968711422538e+03,1.218178360912418867e+02
9.882460986727113777e+03,1.218179353201927597e+02
9.882461004742803198e+03,1.218180345440600547e+02
9.882461022758494437e+03,1.218181337628637948e+02
9.882461040774183857e+03,1.218182329765839285e+02
9.882461058789875096e+03,1.218183321852404930e+02
9.882461076805566336e+03,1.218184313888234556e+02
9.882461094821255756e+03,1.218185305873228117e+02
9.882461112836946995e+03,1.218186297807585561e+02
9.882461130852636416e+03,1.218187289691106656e+02
9.882461148868327655e+03,1.218188281523991350e+02
9.882461166884017075e+03,1.218189273306039695e+02
9.882461184899708314e+03,1.218190265037451780e+02
9.882461202915399554e+03,1.218191256718127136e+02
9.882461220931088974e+03,1.218192248347965858e+02
9.882461238946780213e+03,1.218193239927167753e+02
9.882461256962469633e+03,1.218194231455532872e+02
9.882461274978160873e+03,1.218195222933261164e+02
9.882461292993850293e+03,1.218196214360152254e+02
9.882461311009541532e+03,1.218197205736406517e+02
9.882461329025232772e+03,1.218198197061923622e+02
9.882461347040922192e+03,1.218199188336603243e+02
9.882461365056613431e+03,1.218200179560645608e+02
9.882461383072302851e+03,1.218201170733850773e+02
9.882461401087994091e+03,1.218202161856418400e+02
9.882461419103683511e+03,1.218203152928148398e+02
9.882461437119374750e+03,1.218204143949240716e+02
9.882461455135065989e+03,1.218205134919595309e+02
9.882461473150755410e+03,1.218206125839111991e+02
9.882461491166446649e+03,1.218207116707990849e+02
9.882461509182136069e+03,1.218208107526031796e+02
9.882461527197827309e+03,1.218209098293434636e+02
9.882461545213516729e+03,1.218210089009999137e+02
9.882461563229207968e+03,1.218211079675925674e+02
9.882461581244899207e+03,1.218212070291113776e+02
9.882461599260588628e+03,1.218213060855463539e+02
9.882461617276279867e+03,1.218214051369174769e+02
9.882461635291969287e+03,1.218215041832047518e+02
9.882461653307660526e+03,1.218216032244281450e+02
9.882461671323349947e+03,1.218217022605676618e+02
9.882461689339041186e+03,1.218218012916433111e+02
9.882461707354732425e+03,1.218219003176450599e+02
9.882461725370421846e+03,1.218219993385629039e+02
9.882461743386113085e+03,1.218220983544168803e+02
9.882461761401802505e+03,1.218221973651869092e+02
9.882461779417493744e+03,1.218222963708930138e+02
9.882461797433183165e+03,1.218223953715151850e+02
9.882461815448874404e+03,1.218224943670734319e+02
9.882461833464563824e+03,1.218225933575477313e+02
9.882461851480255064e+03,1.218226923429580637e+02
9.882461869495946303e+03,1.218227913232944246e+02
9.882461887511635723e+03,1.218228902985468238e+02
9.882461905527326962e+03,1.218229892687352276e+02
9.882461923543016383e+03,1.218230882338396697e+02
9.882461941558707622e+03,1.218231871938800737e+02
9.882461959574397042e+03,1.218232861488365160e+02
9.882461977590088281e+03,1.218233850987289060e+02
9.882461995605779521e+03,1.218234840435472819e+02
9.882462013621468941e+03,1.218235829832816393e+02
9.882462031637160180e+03,1.218236819179519443e+02
9.882462049652849601e+03,1.218237808475382167e+02
9.882462067668540840e+03,1.218238797720604083e+02
9.882462085684230260e+03,1.218239786914985672e+02
9.882462103699921499e+03,1.218240776058726311e+02
9.882462121715612739e+03,1.218241765151725957e+02
9.882462139731302159e+03,1.218242754193885133e+02
9.882462157746993398e+03,1.218243743185403076e+02
9.882462175762682818e+03,1.218244732126079981e+02
9.882462193778374058e+03,1.218245721016115795e+02
9.882462211794063478e+03,1.218246709855310570e+02
9.882462229809754717e+03,1.218247698643863686e+02
9.882462247825445957e+03,1.218248687381675239e+02
9.882462265841135377e+03,1.218249676068645897e+02
9.882462283856826616e+03,1.218250664704974611e+02
9.882462301872516036e+03,1.218251653290461860e+02
9.882462319888207276e+03,1.218252641825307307e+02
9.882462337903896696e+03,1.218253630309310864e+02
9.882462355919587935e+03,1.218254618742672619e+02
9.882462373935279174e+03,1.218255607125292386e+02
9.882462391950968595e+03,1.218256595457070262e+02
9.882462409966659834e+03,1.218257583738205625e+02
9.882462427982349254e+03,1.218258571968499240e+02
9.882462445998040494e+03,1.218259560148150058e+02
9.882462464013729914e+03,1.218260548276958843e+02
9.882462482029421153e+03,1.218261536355124974e+02
9.882462500045112392e+03,1.218262524382548406e+02
9.882462518060801813e+03,1.218263512359129521e+02
9.882462536076493052e+03,1.218264500285067697e+02
9.882462554092182472e+03,1.218265488160163272e+02
9.882462572107873712e+03,1.218266475984615766e+02
9.882462590123563132e+03,1.218267463758225517e+02
9.882462608139254371e+03,1.218268451481192045e+02
9.882462626154945610e+03,1.218269439153415306e+02
9.882462644170635031e+03,1.218270426774795538e+02
9.882462662186326270e+03,1.218271414345532264e+02
9.882462680202015690e+03,1.218272401865425962e+02
9.882462698217706929e+03,1.218273389334675869e+02
9.882462716233396350e+03,1.218274376753082606e+02
9.882462734249087589e+03,1.218275364120845268e+02
9.882462752264778828e+03,1.218276351437864236e+02
9.882462770280468249e+03,1.218277338704039749e+02
9.882462788296159488e+03,1.218278325919571046e+02
9.882462806311848908e+03,1.218279313084258746e+02
9.882462824327540147e+03,1.218280300198302086e+02
9.882462842343229568e+03,1.218281287261501404e+02
