Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.014846018518507481e+04,5.408180862150842316e-03
1.014846020605984813e+04,5.413699600444294227e-03
1.014846022693461964e+04,5.419221152291618659e-03
1.014846024780939297e+04,5.424745518657520492e-03
1.014846026868416629e+04,5.430272699059647719e-03
1.014846028955893780e+04,5.435802693012873645e-03
1.014846031043371113e+04,5.441335501484678705e-03
1.014846033130848264e+04,5.446871123504810376e-03
1.014846035218325596e+04,5.452409560043521182e-03
1.014846037305802929e+04,5.457950810612909737e-03
1.014846039393280080e+04,5.463494874730628371e-03
1.014846041480757413e+04,5.469041753364152318e-03
1.014846043568234745e+04,5.474591446025583660e-03
1.014846045655711896e+04,5.480143952235344215e-03
1.014846047743189229e+04,5.485699272958137994e-03
1.014846049830666561e+04,5.491257407708839168e-03
1.014846051918143712e+04,5.496818356002324511e-03
1.014846054005621045e+04,5.502382118808843078e-03
1.014846056093098196e+04,5.507948695158145815e-03
1.014846058180575528e+04,5.513518086017709686e-03
1.014846060268052861e+04,5.519090290902407998e-03
1.014846062355530012e+04,5.524665309327120126e-03
1.014846064443007344e+04,5.530243142259320434e-03
1.014846066530484677e+04,5.535823789216656049e-03
1.014846068617961828e+04,5.541407249711232524e-03
1.014846070705439161e+04,5.546993524716069268e-03
1.014846072792916493e+04,5.552582613740498010e-03
1.014846074880393644e+04,5.558174516299394657e-03
1.014846076967870977e+04,5.563769233365779485e-03
1.014846079055348127e+04,5.569366763963860129e-03
1.014846081142825460e+04,5.574967109069429820e-03
1.014846083230302793e+04,5.580570268191818555e-03
1.014846085317779944e+04,5.586176240845902238e-03
1.014846087405257276e+04,5.591785028004703749e-03
1.014846089492734609e+04,5.597396629183096391e-03
1.014846091580211760e+04,5.603011043884868585e-03
1.014846093667689092e+04,5.608628273091356871e-03
1.014846095755166243e+04,5.614248315823996797e-03
1.014846097842643576e+04,5.619871173061352816e-03
1.014846099930120909e+04,5.625496844312757524e-03
1.014846102017598059e+04,5.631125329084767962e-03
1.014846104105075392e+04,5.636756628358723271e-03
1.014846106192552725e+04,5.642390741646725535e-03
1.014846108280029875e+04,5.648027668452564043e-03
1.014846110367507208e+04,5.653667409760345687e-03
1.014846112454984541e+04,5.659309965079403065e-03
1.014846114542461692e+04,5.664955333913523731e-03
1.014846116629939024e+04,5.670603517249588402e-03
1.014846118717416175e+04,5.676254514100716360e-03
1.014846120804893508e+04,5.681908325451015367e-03
1.014846122892370840e+04,5.687564950809818019e-03
1.014846124979847991e+04,5.693224389678139784e-03
1.014846127067325324e+04,5.698886643045633464e-03
1.014846129154802657e+04,5.704551710418857835e-03
1.014846131242279807e+04,5.710219591301601318e-03
1.014846133329757140e+04,5.715890286683515849e-03
1.014846135417234473e+04,5.721563796065618629e-03
1.014846137504711623e+04,5.727240118957240521e-03
1.014846139592188956e+04,5.732919256342488418e-03
1.014846141679666107e+04,5.738601207234484206e-03
1.014846143767143440e+04,5.744285972622878086e-03
1.014846145854620772e+04,5.749973552008688128e-03
1.014846147942097923e+04,5.755663944898473106e-03
1.014846150029575256e+04,5.761357152281884088e-03
1.014846152117052588e+04,5.767053173665482452e-03
1.014846154204529739e+04,5.772752008547512442e-03
1.014846156292007072e+04,5.778453657920397217e-03
1.014846158379484405e+04,5.784158121290696418e-03
1.014846160466961555e+04,5.789865398159425511e-03
1.014846162554438888e+04,5.795575489519011123e-03
1.014846164641916039e+04,5.801288394377025759e-03
1.014846166729393371e+04,5.807004113723124826e-03
1.014846168816870704e+04,5.812722647061094143e-03
1.014846170904347855e+04,5.818443993894720397e-03
1.014846172991825188e+04,5.824168155216431081e-03
1.014846175079302520e+04,5.829895130527239927e-03
1.014846177166779671e+04,5.835624919330935356e-03
1.014846179254257004e+04,5.841357522622712614e-03
1.014846181341734336e+04,5.847092939903589769e-03
1.014846183429211487e+04,5.852831170671807595e-03
1.014846185516688820e+04,5.858572215928109853e-03
1.014846187604165971e+04,5.864316074668980694e-03
1.014846189691643303e+04,5.870062747895162143e-03
1.014846191779120636e+04,5.875812235110443489e-03
1.014846193866597787e+04,5.881564535807520464e-03
1.014846195954075120e+04,5.887319650989910648e-03
1.014846198041552452e+04,5.893077580153081863e-03
1.014846200129029603e+04,5.898838322800822528e-03
1.014846202216506936e+04,5.904601879931102582e-03
1.014846204303984086e+04,5.910368250540406175e-03
1.014846206391461419e+04,5.916137435632250891e-03
1.014846208478938752e+04,5.921909434704876636e-03
1.014846210566415903e+04,5.927684247253755569e-03
1.014846212653893235e+04,5.933461874285173888e-03
1.014846214741370568e+04,5.939242315294602018e-03
1.014846216828847719e+04,5.945025569777510378e-03
1.014846218916325051e+04,5.950811638740186905e-03
1.014846221003802384e+04,5.956600521680873242e-03
1.014846223091279535e+04,5.962392218089495634e-03
1.014846225178756868e+04,5.968186728980656545e-03
1.014846227266234018e+04,5.973984053339754380e-03
1.014846229353711351e+04,5.979784192178619513e-03
1.014846231441188684e+04,5.985587144989950280e-03
1.014846233528665834e+04,5.991392911266445014e-03
1.014846235616143167e+04,5.997201492022707914e-03
1.014846237703620500e+04,6.003012886748663492e-03
1.014846239791097651e+04,6.008827094937010949e-03
1.014846241878574983e+04,6.014644117605125705e-03
1.014846243966052316e+04,6.020463954240162785e-03
1.014846246053529467e+04,6.026286604334818789e-03
1.014846248141006799e+04,6.032112068906470004e-03
1.014846250228483950e+04,6.037940346937741010e-03
1.014846252315961283e+04,6.043771439443235138e-03
1.014846254403438616e+04,6.049605345912878636e-03
1.014846256490915766e+04,6.055442065839370704e-03
1.014846258578393099e+04,6.061281600240084159e-03
1.014846260665870432e+04,6.067123948604946984e-03
1.014846262753347582e+04,6.072969110421114203e-03
1.014846264840824915e+04,6.078817086711503677e-03
1.014846266928302248e+04,6.084667876963271299e-03
1.014846269015779399e+04,6.090521480663568625e-03
1.014846271103256731e+04,6.096377898838089941e-03
1.014846273190733882e+04,6.102237130458370608e-03
1.014846275278211215e+04,6.108099176550102309e-03
1.014846277365688547e+04,6.113964036600437468e-03
1.014846279453165698e+04,6.119831710099305801e-03
1.014846281540643031e+04,6.125702198064079257e-03
1.014846283628120364e+04,6.131575499984685818e-03
1.014846285715597514e+04,6.137451615351053463e-03
1.014846287803074847e+04,6.143330545183326233e-03
1.014846289890552180e+04,6.149212288971431239e-03
1.014846291978029330e+04,6.155096846199751420e-03
1.014846294065506663e+04,6.160984217893977592e-03
1.014846296152983814e+04,6.166874403028420673e-03
1.014846298240461147e+04,6.172767402625995922e-03
1.014846300327938479e+04,6.178663216176633055e-03
1.014846302415415630e+04,6.184561843164712407e-03
1.014846304502892963e+04,6.190463284613155308e-03
1.014846306590370295e+04,6.196367540014658358e-03
1.014846308677847446e+04,6.202274608848058583e-03
1.014846310765324779e+04,6.208184492144594446e-03
1.014846312852802112e+04,6.214097189385874194e-03
1.014846314940279262e+04,6.220012700061824940e-03
1.014846317027756595e+04,6.225931025198137500e-03
1.014846319115233746e+04,6.231852163763577750e-03
1.014846321202711079e+04,6.237776116789378079e-03
1.014846323290188411e+04,6.243702883757151073e-03
1.014846325377665562e+04,6.249632464154050888e-03
1.014846327465142895e+04,6.255564859008542165e-03
