Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.014093855324061587e+04,3.604083430433136837e+00
1.014093857208740883e+04,3.604083430502080798e+00
1.014093859093419996e+04,3.604083430571025204e+00
1.014093860978099292e+04,3.604083430639970498e+00
1.014093862862778406e+04,3.604083430708917568e+00
1.014093864747457701e+04,3.604083430777865527e+00
1.014093866632136815e+04,3.604083430846814817e+00
1.014093868516816110e+04,3.604083430915764108e+00
1.014093870401495224e+04,3.604083430984716063e+00
1.014093872286174519e+04,3.604083431053667574e+00
1.014093874170853633e+04,3.604083431122620418e+00
1.014093876055532928e+04,3.604083431191574594e+00
1.014093877940212042e+04,3.604083431260530102e+00
1.014093879824891337e+04,3.604083431329486054e+00
1.014093881709570451e+04,3.604083431398443338e+00
1.014093883594249746e+04,3.604083431467401510e+00
1.014093885478928860e+04,3.604083431536360571e+00
1.014093887363608155e+04,3.604083431605321408e+00
1.014093889248287269e+04,3.604083431674282689e+00
1.014093891132966564e+04,3.604083431743245747e+00
1.014093893017645678e+04,3.604083431812208804e+00
1.014093894902324973e+04,3.604083431881173194e+00
1.014093896787004269e+04,3.604083431950138472e+00
1.014093898671683382e+04,3.604083432019105526e+00
1.014093900556362678e+04,3.604083432088073469e+00
1.014093902441041791e+04,3.604083432157041855e+00
1.014093904325721087e+04,3.604083432226011574e+00
1.014093906210400201e+04,3.604083432294982181e+00
1.014093908095079496e+04,3.604083432363954120e+00
1.014093909979758610e+04,3.604083432432926948e+00
1.014093911864437905e+04,3.604083432501901108e+00
1.014093913749117019e+04,3.604083432570876155e+00
1.014093915633796314e+04,3.604083432639851647e+00
1.014093917518475428e+04,3.604083432708829360e+00
1.014093919403154723e+04,3.604083432777806628e+00
1.014093921287833837e+04,3.604083432846785673e+00
1.014093923172513132e+04,3.604083432915766050e+00
1.014093925057192246e+04,3.604083432984747759e+00
1.014093926941871541e+04,3.604083433053729912e+00
1.014093928826550655e+04,3.604083433122712954e+00
1.014093930711229950e+04,3.604083433191697328e+00
1.014093932595909064e+04,3.604083433260682146e+00
1.014093934480588359e+04,3.604083433329668740e+00
1.014093936365267473e+04,3.604083433398655778e+00
1.014093938249946768e+04,3.604083433467644593e+00
1.014093940134626064e+04,3.604083433536633851e+00
1.014093942019305177e+04,3.604083433605624887e+00
1.014093943903984473e+04,3.604083433674615922e+00
1.014093945788663586e+04,3.604083433743608733e+00
1.014093947673342882e+04,3.604083433812602877e+00
1.014093949558021995e+04,3.604083433881597021e+00
1.014093951442701291e+04,3.604083433950592941e+00
1.014093953327380405e+04,3.604083434019589305e+00
1.014093955212059700e+04,3.604083434088587445e+00
1.014093957096738814e+04,3.604083434157586474e+00
1.014093958981418109e+04,3.604083434226586391e+00
1.014093960866097223e+04,3.604083434295586752e+00
1.014093962750776518e+04,3.604083434364589333e+00
1.014093964635455632e+04,3.604083434433592359e+00
1.014093966520134927e+04,3.604083434502595829e+00
1.014093968404814041e+04,3.604083434571601519e+00
1.014093970289493336e+04,3.604083434640607653e+00
1.014093972174172450e+04,3.604083434709614675e+00
1.014093974058851745e+04,3.604083434778622586e+00
1.014093975943530859e+04,3.604083434847631828e+00
1.014093977828210154e+04,3.604083434916641959e+00
1.014093979712889450e+04,3.604083434985653867e+00
1.014093981597568563e+04,3.604083435054666218e+00
1.014093983482247859e+04,3.604083435123679902e+00
1.014093985366926972e+04,3.604083435192694029e+00
1.014093987251606268e+04,3.604083435261709045e+00
1.014093989136285381e+04,3.604083435330725838e+00
1.014093991020964677e+04,3.604083435399743962e+00
1.014093992905643790e+04,3.604083435468762087e+00
1.014093994790323086e+04,3.604083435537781988e+00
1.014093996675002199e+04,3.604083435606802333e+00
1.014093998559681495e+04,3.604083435675824010e+00
1.014094000444360609e+04,3.604083435744847019e+00
1.014094002329039904e+04,3.604083435813870917e+00
1.014094004213719018e+04,3.604083435882895259e+00
1.014094006098398313e+04,3.604083435951921377e+00
1.014094007983077427e+04,3.604083436020948383e+00
1.014094009867756722e+04,3.604083436089976278e+00
1.014094011752435836e+04,3.604083436159005949e+00
1.014094013637115131e+04,3.604083436228036064e+00
1.014094015521794245e+04,3.604083436297067067e+00
1.014094017406473540e+04,3.604083436366098958e+00
1.014094019291152654e+04,3.604083436435132182e+00
1.014094021175831949e+04,3.604083436504166293e+00
1.014094023060511245e+04,3.604083436573201293e+00
1.014094024945190358e+04,3.604083436642238070e+00
1.014094026829869654e+04,3.604083436711275290e+00
1.014094028714548767e+04,3.604083436780313843e+00
1.014094030599228063e+04,3.604083436849352839e+00
1.014094032483907176e+04,3.604083436918393168e+00
1.014094034368586472e+04,3.604083436987434830e+00
1.014094036253265585e+04,3.604083437056477823e+00
1.014094038137944881e+04,3.604083437125520817e+00
1.014094040022623994e+04,3.604083437194565587e+00
1.014094041907303290e+04,3.604083437263611689e+00
1.014094043791982403e+04,3.604083437332657791e+00
1.014094045676661699e+04,3.604083437401705670e+00
1.014094047561340813e+04,3.604083437470754436e+00
1.014094049446020108e+04,3.604083437539804535e+00
1.014094051330699222e+04,3.604083437608855522e+00
1.014094053215378517e+04,3.604083437677907398e+00
1.014094055100057631e+04,3.604083437746960161e+00
1.014094056984736926e+04,3.604083437816014257e+00
1.014094058869416040e+04,3.604083437885069241e+00
1.014094060754095335e+04,3.604083437954125113e+00
1.014094062638774631e+04,3.604083438023182318e+00
1.014094064523453744e+04,3.604083438092240854e+00
1.014094066408133040e+04,3.604083438161299835e+00
1.014094068292812153e+04,3.604083438230359704e+00
1.014094070177491449e+04,3.604083438299420905e+00
1.014094072062170562e+04,3.604083438368482994e+00
1.014094073946849858e+04,3.604083438437546860e+00
1.014094075831528971e+04,3.604083438506610726e+00
1.014094077716208267e+04,3.604083438575676368e+00
1.014094079600887380e+04,3.604083438644743342e+00
1.014094081485566676e+04,3.604083438713810317e+00
1.014094083370245789e+04,3.604083438782879067e+00
1.014094085254925085e+04,3.604083438851948262e+00
1.014094087139604198e+04,3.604083438921019233e+00
1.014094089024283494e+04,3.604083438990091093e+00
1.014094090908962608e+04,3.604083439059163840e+00
1.014094092793641903e+04,3.604083439128237476e+00
1.014094094678321017e+04,3.604083439197312444e+00
1.014094096563000312e+04,3.604083439266388300e+00
1.014094098447679426e+04,3.604083439335464600e+00
1.014094100332358721e+04,3.604083439404543121e+00
1.014094102217037835e+04,3.604083439473621198e+00
1.014094104101717130e+04,3.604083439542701939e+00
1.014094105986396426e+04,3.604083439611782680e+00
1.014094107871075539e+04,3.604083439680864753e+00
1.014094109755754835e+04,3.604083439749947715e+00
1.014094111640433948e+04,3.604083439819031565e+00
1.014094113525113244e+04,3.604083439888117191e+00
1.014094115409792357e+04,3.604083439957203261e+00
1.014094117294471653e+04,3.604083440026290219e+00
1.014094119179150766e+04,3.604083440095378954e+00
1.014094121063830062e+04,3.604083440164468133e+00
1.014094122948509175e+04,3.604083440233558644e+00
1.014094124833188471e+04,3.604083440302650487e+00
1.014094126717867584e+04,3.604083440371742331e+00
1.014094128602546880e+04,3.604083440440835506e+00
1.014094130487225993e+04,3.604083440509930902e+00
1.014094132371905289e+04,3.604083440579025854e+00
1.014094134256584402e+04,3.604083440648122583e+00
1.014094136141263698e+04,3.604083440717220643e+00
1.014094138025942812e+04,3.604083440786318704e+00
1.014094139910622107e+04,3.604083440855418541e+00
1.014094141795301221e+04,3.604083440924519266e+00
1.014094143679980516e+04,3.604083440993621767e+00
1.014094145564659811e+04,3.604083441062724713e+00
1.014094147449338925e+04,3.604083441131828547e+00
1.014094149334018221e+04,3.604083441200933269e+00
1.014094151218697334e+04,3.604083441270039323e+00
1.014094153103376630e+04,3.604083441339146265e+00
1.014094154988055743e+04,3.604083441408254096e+00
1.014094156872735039e+04,3.604083441477363703e+00
1.014094158757414152e+04,3.604083441546472866e+00
1.014094160642093448e+04,3.604083441615584693e+00
1.014094162526772561e+04,3.604083441684696965e+00
1.014094164411451857e+04,3.604083441753810124e+00
1.014094166296130970e+04,3.604083441822924616e+00
1.014094168180810266e+04,3.604083441892039552e+00
1.014094170065489379e+04,3.604083441961156264e+00
1.014094171950168675e+04,3.604083442030273421e+00
1.014094173834847788e+04,3.604083442099391910e+00
1.014094175719527084e+04,3.604083442168511731e+00
1.014094177604206197e+04,3.604083442237632440e+00
1.014094179488885493e+04,3.604083442306753593e+00
1.014094181373564606e+04,3.604083442375876079e+00
1.014094183258243902e+04,3.604083442444999896e+00
