Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.065014266203716397e+04,3.607644271842368244e+00
1.065014268332748725e+04,3.607644272046079070e+00
1.065014270461781052e+04,3.607644272249790340e+00
1.065014272590813380e+04,3.607644272453502943e+00
1.065014274719845707e+04,3.607644272657215101e+00
1.065014276848878217e+04,3.607644272860928591e+00
1.065014278977910544e+04,3.607644273064642082e+00
1.065014281106942872e+04,3.607644273268356461e+00
1.065014283235975199e+04,3.607644273472071283e+00
1.065014285365007527e+04,3.607644273675786550e+00
1.065014287494039854e+04,3.607644273879501373e+00
1.065014289623072182e+04,3.607644274083218416e+00
1.065014291752104509e+04,3.607644274286935016e+00
1.065014293881136837e+04,3.607644274490652503e+00
1.065014296010169346e+04,3.607644274694369990e+00
1.065014298139201674e+04,3.607644274898088366e+00
1.065014300268234001e+04,3.607644275101807185e+00
1.065014302397266329e+04,3.607644275305526449e+00
1.065014304526298656e+04,3.607644275509246601e+00
1.065014306655330984e+04,3.607644275712966309e+00
1.065014308784363311e+04,3.607644275916686905e+00
1.065014310913395639e+04,3.607644276120408389e+00
1.065014313042427966e+04,3.607644276324130761e+00
1.065014315171460476e+04,3.607644276527853133e+00
1.065014317300492803e+04,3.607644276731575506e+00
1.065014319429525131e+04,3.607644276935299210e+00
1.065014321558557458e+04,3.607644277139023359e+00
1.065014323687589786e+04,3.607644277342747063e+00
1.065014325816622113e+04,3.607644277546472544e+00
1.065014327945654441e+04,3.607644277750198469e+00
1.065014330074686768e+04,3.607644277953923950e+00
1.065014332203719096e+04,3.607644278157650319e+00
1.065014334332751605e+04,3.607644278361377133e+00
1.065014336461783932e+04,3.607644278565105278e+00
1.065014338590816260e+04,3.607644278768832979e+00
1.065014340719848587e+04,3.607644278972561569e+00
1.065014342848880915e+04,3.607644279176290603e+00
1.065014344977913242e+04,3.607644279380020080e+00
1.065014347106945570e+04,3.607644279583750446e+00
1.065014349235977897e+04,3.607644279787480812e+00
1.065014351365010225e+04,3.607644279991211622e+00
1.065014353494042734e+04,3.607644280194943764e+00
1.065014355623075062e+04,3.607644280398675463e+00
1.065014357752107389e+04,3.607644280602408493e+00
1.065014359881139717e+04,3.607644280806141079e+00
1.065014362010172044e+04,3.607644281009874554e+00
1.065014364139204372e+04,3.607644281213608917e+00
1.065014366268236699e+04,3.607644281417343279e+00
1.065014368397269027e+04,3.607644281621079418e+00
1.065014370526301354e+04,3.607644281824814225e+00
1.065014372655333864e+04,3.607644282028551252e+00
1.065014374784366191e+04,3.607644282232287836e+00
1.065014376913398519e+04,3.607644282436024419e+00
1.065014379042430846e+04,3.607644282639761890e+00
1.065014381171463174e+04,3.607644282843500250e+00
1.065014383300495501e+04,3.607644283047239497e+00
1.065014385429527829e+04,3.607644283250978745e+00
1.065014387558560156e+04,3.607644283454718437e+00
1.065014389687592484e+04,3.607644283658458573e+00
1.065014391816624993e+04,3.607644283862199153e+00
1.065014393945657321e+04,3.607644284065940621e+00
1.065014396074689648e+04,3.607644284269682977e+00
1.065014398203721976e+04,3.607644284473425333e+00
1.065014400332754303e+04,3.607644284677167690e+00
1.065014402461786631e+04,3.607644284880910934e+00
1.065014404590818958e+04,3.607644285084655067e+00
1.065014406719851286e+04,3.607644285288399644e+00
1.065014408848883613e+04,3.607644285492144220e+00
1.065014410977916123e+04,3.607644285695890130e+00
1.065014413106948450e+04,3.607644285899635594e+00
1.065014415235980778e+04,3.607644286103382836e+00
1.065014417365013105e+04,3.607644286307129189e+00
1.065014419494045433e+04,3.607644286510876874e+00
1.065014421623077760e+04,3.607644286714625004e+00
1.065014423752110088e+04,3.607644286918372689e+00
1.065014425881142415e+04,3.607644287122122595e+00
1.065014428010174743e+04,3.607644287325872057e+00
1.065014430139207252e+04,3.607644287529621518e+00
1.065014432268239580e+04,3.607644287733372757e+00
1.065014434397271907e+04,3.607644287937123107e+00
1.065014436526304235e+04,3.607644288140874789e+00
