Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891595520833507180e+03,1.218130786890407613e+01
9.891595543725843527e+03,1.218119800265167108e+01
9.891595566618178054e+03,1.218108813654569467e+01
9.891595589510514401e+03,1.218097827056868887e+01
9.891595612402848928e+03,1.218086840473812238e+01
9.891595635295185275e+03,1.218075853903654071e+01
9.891595658187519803e+03,1.218064867348140368e+01
9.891595681079856149e+03,1.218053880805527101e+01
9.891595703972190677e+03,1.218042894277559895e+01
9.891595726864527023e+03,1.218031907762493837e+01
9.891595749756863370e+03,1.218020921261201828e+01
9.891595772649197897e+03,1.218009934774558545e+01
9.891595795541534244e+03,1.217998948300817830e+01
9.891595818433868772e+03,1.217987961841727085e+01
9.891595841326205118e+03,1.217976975395540506e+01
9.891595864218539646e+03,1.217965988964004787e+01
9.891595887110875992e+03,1.217955002545374832e+01
9.891595910003210520e+03,1.217944016141396624e+01
9.891595932895546866e+03,1.217933029750324891e+01
9.891595955787881394e+03,1.217922043373907037e+01
9.891595978680217740e+03,1.217911057010396725e+01
9.891596001572554087e+03,1.217900070660668810e+01
9.891596024464888615e+03,1.217889084325596194e+01
9.891596047357224961e+03,1.217878098003433252e+01
9.891596070249559489e+03,1.217867111695926852e+01
9.891596093141895835e+03,1.217856125401332434e+01
9.891596116034230363e+03,1.217845139121395803e+01
9.891596138926566709e+03,1.217834152854371155e+01
9.891596161818901237e+03,1.217823166602006069e+01
9.891596184711237584e+03,1.217812180362554564e+01
9.891596207603573930e+03,1.217801194136891318e+01
9.891596230495908458e+03,1.217790207925888346e+01
9.891596253388244804e+03,1.217779221727802685e+01
9.891596276280579332e+03,1.217768235544378008e+01
9.891596299172915678e+03,1.217757249373871176e+01
9.891596322065250206e+03,1.217746263218027991e+01
9.891596344957586552e+03,1.217735277075103006e+01
9.891596367849921080e+03,1.217724290946843269e+01
9.891596390742257427e+03,1.217713304831502796e+01
9.891596413634591954e+03,1.217702318730828992e+01
9.891596436526928301e+03,1.217691332643076585e+01
9.891596459419264647e+03,1.217680346569118832e+01
9.891596482311599175e+03,1.217669360509828813e+01
9.891596505203935521e+03,1.217658374463461612e+01
9.891596528096270049e+03,1.217647388431764455e+01
9.891596550988606396e+03,1.217636402412990826e+01
9.891596573880940923e+03,1.217625416408888483e+01
9.891596596773277270e+03,1.217614430417711446e+01
9.891596619665611797e+03,1.217603444441206939e+01
9.891596642557948144e+03,1.217592458477629336e+01
9.891596665450284490e+03,1.217581472527852249e+01
9.891596688342619018e+03,1.217570486592748935e+01
9.891596711234955364e+03,1.217559500670573946e+01
9.891596734127289892e+03,1.217548514763074685e+01
9.891596757019626239e+03,1.217537528868505170e+01
9.891596779911960766e+03,1.217526542988612803e+01
9.891596802804297113e+03,1.217515557121651248e+01
9.891596825696631640e+03,1.217504571269367908e+01
9.891596848588967987e+03,1.217493585430018221e+01
9.891596871481304333e+03,1.217482599604473492e+01
9.891596894373638861e+03,1.217471613793608931e+01
9.891596917265975208e+03,1.217460627995678735e+01
9.891596940158309735e+03,1.217449642212429950e+01
9.891596963050646082e+03,1.217438656442116596e+01
9.891596985942980609e+03,1.217427670686486252e+01
9.891597008835316956e+03,1.217416684943793115e+01
9.891597031727651483e+03,1.217405699215783521e+01
9.891597054619987830e+03,1.217394713500712555e+01
9.891597077512322358e+03,1.217383727800325843e+01
9.891597100404658704e+03,1.217372742112879713e+01
9.891597123296995051e+03,1.217361756439246179e+01
9.891597146189329578e+03,1.217350770780300095e+01
9.891597169081665925e+03,1.217339785134295305e+01
9.891597191974000452e+03,1.217328799502979209e+01
9.891597214866336799e+03,1.217317813884606359e+01
9.891597237758671326e+03,1.217306828280922559e+01
9.891597260651007673e+03,1.217295842690183427e+01
9.891597283543342201e+03,1.217284857114134766e+01
9.891597306435678547e+03,1.217273871551031483e+01
9.891597329328014894e+03,1.217262886001747013e+01
9.891597352220349421e+03,1.217251900467156034e+01
9.891597375112685768e+03,1.217240914945512564e+01
