Time (BJD_TBD - 2450000), F_h/F_star (ppm)
9.896128576389048249e+03,9.211755444316682695e-02
9.896128599245501391e+03,9.213048446049734719e-02
9.896128622101952715e+03,9.214341538149220523e-02
9.896128644958405857e+03,9.215634720821166970e-02
9.896128667814857181e+03,9.216927993859549972e-02
9.896128690671310324e+03,9.218221357470220145e-02
9.896128713527761647e+03,9.219514811446981317e-02
9.896128736384214790e+03,9.220808355996031047e-02
9.896128759240666113e+03,9.222101990910996916e-02
9.896128782097119256e+03,9.223395716398080646e-02
9.896128804953570580e+03,9.224689532250907043e-02
9.896128827810023722e+03,9.225983438675679216e-02
9.896128850666476865e+03,9.227277435569208874e-02
9.896128873522928188e+03,9.228571522828482587e-02
9.896128896379381331e+03,9.229865700659181660e-02
9.896128919235832655e+03,9.231159968855454090e-02
9.896128942092285797e+03,9.232454327623325352e-02
9.896128964948737121e+03,9.233748776756421639e-02
9.896128987805190263e+03,9.235043316460946061e-02
9.896129010661641587e+03,9.236337946530696896e-02
9.896129033518094730e+03,9.237632667171528922e-02
9.896129056374546053e+03,9.238927478177413888e-02
9.896129079230999196e+03,9.240222379754381432e-02
9.896129102087450519e+03,9.241517371696229832e-02
9.896129124943903662e+03,9.242812454208815254e-02
9.896129147800356805e+03,9.244107627189468435e-02
9.896129170656808128e+03,9.245402890534484830e-02
9.896129193513261271e+03,9.246698244450408943e-02
9.896129216369712594e+03,9.247993688730526962e-02
9.896129239226165737e+03,9.249289223581379227e-02
9.896129262082617061e+03,9.250584848796596094e-02
9.896129284939070203e+03,9.251880564582203037e-02
9.896129307795521527e+03,9.253176370731830414e-02
9.896129330651974669e+03,9.254472267451847867e-02
9.896129353508425993e+03,9.255768254535712281e-02
9.896129376364879136e+03,9.257064332189794686e-02
9.896129399221332278e+03,9.258360500310736096e-02
9.896129422077783602e+03,9.259656758795525855e-02
9.896129444934236744e+03,9.260953107850186661e-02
9.896129467790688068e+03,9.262249547268522343e-02
9.896129490647141211e+03,9.263546077256386291e-02
9.896129513503592534e+03,9.264842697607925115e-02
9.896129536360045677e+03,9.266139408528990817e-02
9.896129559216497000e+03,9.267436209813212367e-02
9.896129582072950143e+03,9.268733101666963570e-02
9.896129604929401467e+03,9.270030083883869232e-02
9.896129627785854609e+03,9.271327156670131076e-02
9.896129650642307752e+03,9.272624319922563585e-02
9.896129673498759075e+03,9.273921573537634300e-02
9.896129696355212218e+03,9.275218917722059808e-02
9.896129719211663542e+03,9.276516352268951437e-02
9.896129742068116684e+03,9.277813877385025776e-02
9.896129764924568008e+03,9.279111492863394151e-02
9.896129787781021150e+03,9.280409198910946622e-02
9.896129810637472474e+03,9.281706995320618270e-02
9.896129833493925616e+03,9.283004882298956373e-02
9.896129856350376940e+03,9.284302859639587124e-02
9.896129879206830083e+03,9.285600927548884331e-02
9.896129902063283225e+03,9.286899085923315533e-02
9.896129924919734549e+03,9.288197334659693827e-02
9.896129947776187691e+03,9.289495673964566491e-02
9.896129970632639015e+03,9.290794103631042078e-02
9.896129993489092158e+03,9.292092623866009260e-02
9.896130016345543481e+03,9.293391234462408668e-02
9.896130039201996624e+03,9.294689935626783417e-02
9.896130062058447947e+03,9.295988727152759701e-02
9.896130084914901090e+03,9.297287609246712714e-02
9.896130107771352414e+03,9.298586581701923093e-02
9.896130130627805556e+03,9.299885644724936729e-02
9.896130153484256880e+03,9.301184798108862173e-02
9.896130176340710022e+03,9.302484042060764347e-02
9.896130199197163165e+03,9.303783376476765232e-02
9.896130222053614489e+03,9.305082801253677927e-02
9.896130244910067631e+03,9.306382316598221793e-02
9.896130267766518955e+03,9.307681922303333300e-02
9.896130290622972097e+03,9.308981618575730421e-02
9.896130313479423421e+03,9.310281405208693795e-02
9.896130336335876564e+03,9.311581282408770699e-02
9.896130359192327887e+03,9.312881249969243158e-02
9.896130382048781030e+03,9.314181308096827761e-02
9.896130404905232353e+03,9.315481456584635833e-02
9.896130427761685496e+03,9.316781695639382577e-02
9.896130450618138639e+03,9.318082025157539694e-02
9.896130473474589962e+03,9.319382445035573337e-02
9.896130496331043105e+03,9.320682955480374954e-02
9.896130519187494428e+03,9.321983556285053096e-02
9.896130542043947571e+03,9.323284247656155044e-02
9.896130564900398895e+03,9.324585029386787960e-02
9.896130587756852037e+03,9.325885901684190238e-02
9.896130610613303361e+03,9.327186864340777928e-02
9.896130633469756503e+03,9.328487917563617338e-02
9.896130656326207827e+03,9.329789061145815632e-02
9.896130679182660970e+03,9.331090295294262871e-02
9.896130702039114112e+03,9.332391619905429370e-02
9.896130724895565436e+03,9.333693034875266414e-02
9.896130747752018578e+03,9.334994540411352404e-02
9.896130770608469902e+03,9.336296136306108939e-02
9.896130793464923045e+03,9.337597822766768862e-02
9.896130816321374368e+03,9.338899599586099332e-02
9.896130839177827511e+03,9.340201466971162492e-02
9.896130862034278834e+03,9.341503424714721338e-02
9.896130884890731977e+03,9.342805473023840790e-02
9.896130907747183301e+03,9.344107611691285231e-02
9.896130930603636443e+03,9.345409840924288891e-02
9.896130953460089586e+03,9.346712160618803056e-02
9.896130976316540909e+03,9.348014570671642209e-02
9.896130999172994052e+03,9.349317071289522940e-02
9.896131022029445376e+03,9.350619662265383103e-02
9.896131044885898518e+03,9.351922343806458315e-02
9.896131067742349842e+03,9.353225115705167403e-02
9.896131090598802984e+03,9.354527978168745983e-02
9.896131113455254308e+03,9.355830930989958438e-02
9.896131136311707451e+03,9.357133974376041774e-02
9.896131159168158774e+03,9.358437108119413428e-02
9.896131182024611917e+03,9.359740332427654574e-02
9.896131204881063240e+03,9.361043647093011955e-02
9.896131227737516383e+03,9.362347052322894658e-02
9.896131250593969526e+03,9.363650548013596753e-02
9.896131273450420849e+03,9.364954134061244384e-02
9.896131296306873992e+03,9.366257810673242479e-02
9.896131319163325315e+03,9.367561577642186110e-02
9.896131342019778458e+03,9.368865435175134648e-02
9.896131364876229782e+03,9.370169383064856639e-02
9.896131387732682924e+03,9.371473421518583535e-02
9.896131410589134248e+03,9.372777550328738327e-02
9.896131433445587390e+03,9.374081769702899414e-02
9.896131456302038714e+03,9.375386079433487008e-02
9.896131479158491857e+03,9.376690479727735339e-02
9.896131502014944999e+03,9.377994970481942638e-02
9.896131524871396323e+03,9.379299551592058803e-02
9.896131547727849465e+03,9.380604223266007791e-02
9.896131570584300789e+03,9.381908985295694947e-02
9.896131593440753932e+03,9.383213837888869369e-02
9.896131616297205255e+03,9.384518780837780572e-02
9.896131639153658398e+03,9.385823814350008343e-02
9.896131662010109721e+03,9.387128938217627339e-02
9.896131684866562864e+03,9.388434152648736375e-02
9.896131707723014188e+03,9.389739457434889691e-02
9.896131730579467330e+03,9.391044852784360963e-02
9.896131753435920473e+03,9.392350338592754533e-02
9.896131776292371796e+03,9.393655914756365855e-02
9.896131799148824939e+03,9.394961581482776103e-02
9.896131822005276263e+03,9.396267338564059934e-02
9.896131844861729405e+03,9.397573186208142693e-02
9.896131867718180729e+03,9.398879124207100422e-02
9.896131890574633871e+03,9.400185152768510133e-02
9.896131913431085195e+03,9.401491271684449258e-02
