Time (BJD_TBD - 2450000), L_h/L_star (ppm)
9.880038437500130385e+03,6.644719382080313430e+00
9.880038456059855889e+03,6.644794486387188392e+00
9.880038474619583212e+03,6.644869590997586783e+00
9.880038493179308716e+03,6.644944695896790599e+00
9.880038511739036039e+03,6.645019801099515178e+00
9.880038530298761543e+03,6.645094906591031858e+00
9.880038548858488866e+03,6.645170012386064862e+00
9.880038567418214370e+03,6.645245118469889078e+00
9.880038585977941693e+03,6.645320224857219849e+00
9.880038604537667197e+03,6.645395331533337391e+00
9.880038623097394520e+03,6.645470438512960598e+00
9.880038641657120024e+03,6.645545545781357255e+00
9.880038660216847347e+03,6.645620653353256024e+00
9.880038678776572851e+03,6.645695761213922914e+00
9.880038697336298355e+03,6.645770869370723588e+00
9.880038715896025678e+03,6.645845977831010387e+00
9.880038734455751182e+03,6.645921086580063530e+00
9.880038753015478505e+03,6.645996195632601911e+00
9.880038771575204009e+03,6.646071304973892424e+00
9.880038790134931332e+03,6.646146414618663734e+00
9.880038808694656836e+03,6.646221524552187176e+00
9.880038827254384159e+03,6.646296634789180757e+00
9.880038845814109663e+03,6.646371745314925583e+00
9.880038864373836986e+03,6.646446856144132553e+00
9.880038882933562491e+03,6.646521967262077446e+00
9.880038901493289814e+03,6.646597078683488036e+00
9.880038920053015318e+03,6.646672190393629442e+00
9.880038938612740822e+03,6.646747302399863777e+00
9.880038957172468145e+03,6.646822414709549598e+00
9.880038975732193649e+03,6.646897527307962683e+00
9.880038994291920972e+03,6.646972640209823702e+00
9.880039012851646476e+03,6.647047753400400438e+00
9.880039031411373799e+03,6.647122866894418891e+00
9.880039049971099303e+03,6.647197980677151286e+00
9.880039068530826626e+03,6.647273094763319179e+00
9.880039087090552130e+03,6.647348209138193909e+00
9.880039105650279453e+03,6.647423323816498808e+00
9.880039124210004957e+03,6.647498438783503438e+00
9.880039142769732280e+03,6.647573554053932021e+00
9.880039161329457784e+03,6.647648669613058559e+00
9.880039179889183288e+03,6.647723785468239832e+00
9.880039198448910611e+03,6.647798901626837953e+00
9.880039217008636115e+03,6.647874018074119817e+00
9.880039235568363438e+03,6.647949134824808759e+00
9.880039254128088942e+03,6.648024251864183221e+00
9.880039272687816265e+03,6.648099369206958542e+00
9.880039291247541769e+03,6.648174486838411390e+00
9.880039309807269092e+03,6.648249604773258881e+00
9.880039328366994596e+03,6.648324722996780345e+00
9.880039346926721919e+03,6.648399841523692011e+00
9.880039365486447423e+03,6.648474960339265216e+00
9.880039384046174746e+03,6.648550079458224182e+00
9.880039402605900250e+03,6.648625198865843799e+00
9.880039421165625754e+03,6.648700318569479961e+00
9.880039439725353077e+03,6.648775438576495667e+00
9.880039458285078581e+03,6.648850558872155148e+00
9.880039476844805904e+03,6.648925679471190620e+00
9.880039495404531408e+03,6.649000800358869867e+00
9.880039513964258731e+03,6.649075921549911783e+00
9.880039532523984235e+03,6.649151043029592145e+00
9.880039551083711558e+03,6.649226164812635176e+00
9.880039569643437062e+03,6.649301286884306883e+00
9.880039588203164385e+03,6.649376409259335929e+00
9.880039606762889889e+03,6.649451531922987435e+00
9.880039625322617212e+03,6.649526654889987398e+00
9.880039643882342716e+03,6.649601778145608932e+00
9.880039662442068220e+03,6.649676901697210596e+00
9.880039681001795543e+03,6.649752025552152723e+00
9.880039699561521047e+03,6.649827149695706652e+00
9.880039718121248370e+03,6.649902274142592162e+00
9.880039736680973874e+03,6.649977398878085033e+00
9.880039755240701197e+03,6.650052523916905045e+00
9.880039773800426701e+03,6.650127649244325312e+00
9.880039792360154024e+03,6.650202774875070055e+00
9.880039810919879528e+03,6.650277900794405284e+00
9.880039829479606851e+03,6.650353027017056995e+00
9.880039848039332355e+03,6.650428153528299191e+00
9.880039866599059678e+03,6.650503280342850765e+00
9.880039885158785182e+03,6.650578407445985718e+00
9.880039903718510686e+03,6.650653534845063497e+00
9.880039922278238009e+03,6.650728662547440884e+00
9.880039940837963513e+03,6.650803790538394544e+00
9.880039959397690836e+03,6.650878918832641595e+00
9.880039977957416340e+03,6.650954047415461368e+00
9.880039996517143663e+03,6.651029176301566537e+00
9.880040015076869167e+03,6.651104305476237322e+00
9.880040033636596490e+03,6.651179434954193503e+00
9.880040052196321994e+03,6.651254564720700202e+00
9.880040070756049317e+03,6.651329694790488745e+00
9.880040089315774821e+03,6.651404825148829580e+00
9.880040107875502144e+03,6.651479955810440714e+00
9.880040126435227648e+03,6.651555086760599700e+00
9.880040144994953152e+03,6.651630218006663320e+00
9.880040163554680475e+03,6.651705349555987468e+00
9.880040182114405980e+03,6.651780481393849698e+00
9.880040200674133303e+03,6.651855613534969791e+00
9.880040219233858807e+03,6.651930745964620861e+00
9.880040237793586130e+03,6.652005878697525354e+00
9.880040256353311634e+03,6.652081011718952830e+00
9.880040274913038957e+03,6.652156145043627511e+00
9.880040293472764461e+03,6.652231278656822511e+00
9.880040312032491784e+03,6.652306412573255834e+00
9.880040330592217288e+03,6.652381546778203258e+00
9.880040349151944611e+03,6.652456681286385454e+00
9.880040367711670115e+03,6.652531816083074645e+00
9.880040386271395619e+03,6.652606951175633831e+00
9.880040404831122942e+03,6.652682086571416242e+00
9.880040423390848446e+03,6.652757222255699432e+00
9.880040441950575769e+03,6.652832358243200517e+00
9.880040460510301273e+03,6.652907494519195275e+00
9.880040479070028596e+03,6.652982631098404376e+00
9.880040497629754100e+03,6.653057767966100933e+00
9.880040516189481423e+03,6.653132905137006503e+00
9.880040534749206927e+03,6.653208042596394201e+00
9.880040553308934250e+03,6.653283180358984694e+00
9.880040571868659754e+03,6.653358318410049321e+00
9.880040590428387077e+03,6.653433456764312304e+00
9.880040608988112581e+03,6.653508595407044091e+00
9.880040627547838085e+03,6.653583734345605905e+00
9.880040646107565408e+03,6.653658873587357192e+00
9.880040664667290912e+03,6.653734013117566626e+00
9.880040683227018235e+03,6.653809152950960204e+00
9.880040701786743739e+03,6.653884293072809264e+00
9.880040720346471062e+03,6.653959433497835363e+00
9.880040738906196566e+03,6.654034574211309838e+00
9.880040757465923889e+03,6.654109715227956023e+00
9.880040776025649393e+03,6.654184856533045256e+00
9.880040794585376716e+03,6.654259998141299981e+00
9.880040813145102220e+03,6.654335140037993312e+00
9.880040831704829543e+03,6.654410282237845919e+00
9.880040850264555047e+03,6.654485424726130027e+00
9.880040868824280551e+03,6.654560567510205082e+00
9.880040887384007874e+03,6.654635710597431419e+00
9.880040905943733378e+03,6.654710853973081264e+00
9.880040924503460701e+03,6.654785997651875284e+00
9.880040943063186205e+03,6.654861141619084819e+00
9.880040961622913528e+03,6.654936285889439418e+00
9.880040980182639032e+03,6.655011430448201537e+00
9.880040998742366355e+03,6.655086575310098063e+00
9.880041017302091859e+03,6.655161720460401220e+00
9.880041035861819182e+03,6.655236865913831679e+00
9.880041054421544686e+03,6.655312011655660775e+00
9.880041072981270190e+03,6.655387157693246181e+00
9.880041091540997513e+03,6.655462304033957111e+00
9.880041110100723017e+03,6.655537450663056909e+00
9.880041128660450340e+03,6.655612597595270685e+00
9.880041147220175844e+03,6.655687744815867113e+00
9.880041165779903167e+03,6.655762892339573966e+00
9.880041184339628671e+03,6.655838040151656365e+00
9.880041202899355994e+03,6.655913188266846525e+00
9.880041221459081498e+03,6.655988336670406014e+00
9.880041240018808821e+03,6.656063485377061717e+00
9.880041258578534325e+03,6.656138634372085860e+00
9.880041277138261648e+03,6.656213783670202666e+00
9.880041295697987152e+03,6.656288933256677254e+00
9.880041314257712656e+03,6.656364083138876175e+00
9.880041332817439979e+03,6.656439233324155325e+00
9.880041351377165483e+03,6.656514383797787815e+00
9.880041369936892806e+03,6.656589534574496980e+00
9.880041388496618310e+03,6.656664685639550605e+00
9.880041407056345633e+03,6.656739837007679128e+00
9.880041425616071137e+03,6.656814988664144117e+00
9.880041444175798460e+03,6.656890140623679564e+00
9.880041462735523965e+03,6.656965292871546147e+00
9.880041481295251288e+03,6.657040445422472530e+00
9.880041499854976792e+03,6.657115598261727385e+00
9.880041518414704115e+03,6.657190751404036710e+00
9.880041536974429619e+03,6.657265904834665626e+00
9.880041555534155123e+03,6.657341058560986014e+00
9.880041574093882446e+03,6.657416212590346660e+00
9.880041592653607950e+03,6.657491366908023345e+00
9.880041611213335273e+03,6.657566521528736736e+00
9.880041629773060777e+03,6.657641676437759060e+00
9.880041648332788100e+03,6.657716831649818090e+00
9.880041666892513604e+03,6.657791987150178059e+00
9.880041685452240927e+03,6.657867142953564965e+00
9.880041704011966431e+03,6.657942299045249257e+00
9.880041722571693754e+03,6.658017455439954269e+00
9.880041741131419258e+03,6.658092612122950449e+00
9.880041759691146581e+03,6.658167769108964684e+00
9.880041778250872085e+03,6.658242926383259430e+00
9.880041796810597589e+03,6.658318083953206568e+00
9.880041815370324912e+03,6.658393241826157549e+00
9.880041833930050416e+03,6.658468399987386377e+00
9.880041852489777739e+03,6.658543558451617272e+00
9.880041871049503243e+03,6.658618717204114468e+00
9.880041889609230566e+03,6.658693876259614619e+00
9.880041908168956070e+03,6.658769035603374853e+00
9.880041926728683393e+03,6.658844195250126496e+00
9.880041945288408897e+03,6.658919355185136446e+00
9.880041963848136220e+03,6.658994515423130700e+00
9.880041982407861724e+03,6.659069675949377931e+00
9.880042000967589047e+03,6.659144836778605914e+00
9.880042019527314551e+03,6.659219997896080656e+00
9.880042038087040055e+03,6.659295159309162493e+00
9.880042056646767378e+03,6.659370321025214423e+00
9.880042075206492882e+03,6.659445483029503343e+00
9.880042093766220205e+03,6.659520645336759692e+00
9.880042112325945709e+03,6.659595807932245926e+00
9.880042130885673032e+03,6.659670970830690706e+00
9.880042149445398536e+03,6.659746134017365371e+00
9.880042168005125859e+03,6.659821297506992366e+00
9.880042186564851363e+03,6.659896461284838587e+00
9.880042205124578686e+03,6.659971625365631809e+00
9.880042223684304190e+03,6.660046789734637152e+00
9.880042242244031513e+03,6.660121954406589495e+00
9.880042260803757017e+03,6.660197119366747742e+00
9.880042279363482521e+03,6.660272284622477557e+00
9.880042297923209844e+03,6.660347450181138385e+00
