Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.013184277777792886e+04,1.309258678861934186e+03
1.013184279854968190e+04,1.309285609380738151e+03
1.013184281932143494e+04,1.309312536995657638e+03
1.013184284009318799e+04,1.309339461706517795e+03
1.013184286086494103e+04,1.309366383513144456e+03
1.013184288163669407e+04,1.309393302415362996e+03
1.013184290240844712e+04,1.309420218412999020e+03
1.013184292318020016e+04,1.309447131505878133e+03
1.013184294395195320e+04,1.309474041693826393e+03
1.013184296472370625e+04,1.309500948976668724e+03
1.013184298549545929e+04,1.309527853354231638e+03
1.013184300626721233e+04,1.309554754826340741e+03
1.013184302703896537e+04,1.309581653392821181e+03
1.013184304781071842e+04,1.309608549053498791e+03
1.013184306858247146e+04,1.309635441808200085e+03
1.013184308935422450e+04,1.309662331656749984e+03
1.013184311012597936e+04,1.309689218601329230e+03
1.013184313089773241e+04,1.309716102637054973e+03
1.013184315166948545e+04,1.309742983766106590e+03
1.013184317244123849e+04,1.309769861988310822e+03
1.013184319321299154e+04,1.309796737303493046e+03
1.013184321398474458e+04,1.309823609711479548e+03
1.013184323475649762e+04,1.309850479212096388e+03
1.013184325552825067e+04,1.309877345805168943e+03
1.013184327630000371e+04,1.309904209490523726e+03
1.013184329707175675e+04,1.309931070267986570e+03
1.013184331784350979e+04,1.309957928137383533e+03
1.013184333861526284e+04,1.309984783098540220e+03
1.013184335938701588e+04,1.310011635151283372e+03
1.013184338015876892e+04,1.310038484295438138e+03
1.013184340093052197e+04,1.310065330530831943e+03
1.013184342170227501e+04,1.310092173857289254e+03
1.013184344247402805e+04,1.310119014274637721e+03
1.013184346324578109e+04,1.310145851782702493e+03
1.013184348401753414e+04,1.310172686381310768e+03
1.013184350478928718e+04,1.310199518070287240e+03
1.013184352556104022e+04,1.310226346849459787e+03
1.013184354633279327e+04,1.310253172718653332e+03
1.013184356710454631e+04,1.310279995677694387e+03
1.013184358787629935e+04,1.310306815726409923e+03
1.013184360864805240e+04,1.310333632864625315e+03
1.013184362941980544e+04,1.310360447092167760e+03
1.013184365019155848e+04,1.310387258408862635e+03
1.013184367096331152e+04,1.310414066814537136e+03
1.013184369173506457e+04,1.310440872309016868e+03
1.013184371250681761e+04,1.310467674892128798e+03
1.013184373327857065e+04,1.310494474563699441e+03
1.013184375405032551e+04,1.310521271325901353e+03
1.013184377482207856e+04,1.310548065173867826e+03
1.013184379559383160e+04,1.310574856109771872e+03
1.013184381636558464e+04,1.310601644133440686e+03
1.013184383713733769e+04,1.310628429244700101e+03
1.013184385790909073e+04,1.310655211443376629e+03
1.013184387868084377e+04,1.310681990729297240e+03
1.013184389945259682e+04,1.310708767102288220e+03
1.013184392022434986e+04,1.310735540562176084e+03
1.013184394099610290e+04,1.310762311108787799e+03
1.013184396176785594e+04,1.310789078741949652e+03
1.013184398253960899e+04,1.310815843461488384e+03
1.013184400331136203e+04,1.310842605267230965e+03
1.013184402408311507e+04,1.310869364159003908e+03
1.013184404485486812e+04,1.310896120136633726e+03
1.013184406562662116e+04,1.310922873199946935e+03
1.013184408639837420e+04,1.310949623348771411e+03
1.013184410717012724e+04,1.310976370582932304e+03
1.013184412794188029e+04,1.311003114902257039e+03
1.013184414871363333e+04,1.311029856306573720e+03
1.013184416948538637e+04,1.311056594795707269e+03
1.013184419025713942e+04,1.311083330369485566e+03
1.013184421102889246e+04,1.311110063027735350e+03
1.013184423180064550e+04,1.311136792770283137e+03
1.013184425257239855e+04,1.311163519596956348e+03
1.013184427334415159e+04,1.311190243507581272e+03
1.013184429411590463e+04,1.311216964501985785e+03
1.013184431488765767e+04,1.311243682579996175e+03
1.013184433565941072e+04,1.311270397741439638e+03
1.013184435643116376e+04,1.311297109986142459e+03
1.013184437720291680e+04,1.311323819313933200e+03
1.013184439797466985e+04,1.311350525724637691e+03
1.013184441874642471e+04,1.311377229220421896e+03
1.013184443951817775e+04,1.311403929796435932e+03
1.013184446028993079e+04,1.311430627454844853e+03
1.013184448106168384e+04,1.311457322195476081e+03
1.013184450183343688e+04,1.311484014018157495e+03
1.013184452260518992e+04,1.311510702922715609e+03
1.013184454337694297e+04,1.311537388908977846e+03
1.013184456414869601e+04,1.311564071976770947e+03
1.013184458492044905e+04,1.311590752125922563e+03
1.013184460569220209e+04,1.311617429356260573e+03
1.013184462646395514e+04,1.311644103667610580e+03
1.013184464723570818e+04,1.311670775059801827e+03
1.013184466800746122e+04,1.311697443532659463e+03
1.013184468877921427e+04,1.311724109086012731e+03
1.013184470955096731e+04,1.311750771719688146e+03
1.013184473032272035e+04,1.311777431433512902e+03
1.013184475109447339e+04,1.311804088227314651e+03
1.013184477186622644e+04,1.311830742100921270e+03
1.013184479263797948e+04,1.311857393054159502e+03
1.013184481340973252e+04,1.311884041086856996e+03
1.013184483418148557e+04,1.311910686198841404e+03
1.013184485495323861e+04,1.311937328389939694e+03
1.013184487572499165e+04,1.311963967659980199e+03
1.013184489649674470e+04,1.311990604008789660e+03
1.013184491726849774e+04,1.312017237436195728e+03
1.013184493804025078e+04,1.312043867942026282e+03
1.013184495881200382e+04,1.312070495526109426e+03
1.013184497958375687e+04,1.312097120188271447e+03
1.013184500035550991e+04,1.312123741928340905e+03
1.013184502112726295e+04,1.312150360746145452e+03
1.013184504189901600e+04,1.312176976641512283e+03
1.013184506267077086e+04,1.312203589616599857e+03
1.013184508344252390e+04,1.312230199666574663e+03
1.013184510421427694e+04,1.312256806793594706e+03
1.013184512498602999e+04,1.312283410997488772e+03
1.013184514575778303e+04,1.312310012278083832e+03
1.013184516652953607e+04,1.312336610635207762e+03
1.013184518730128912e+04,1.312363206068688896e+03
1.013184520807304216e+04,1.312389798578353975e+03
1.013184522884479520e+04,1.312416388164031787e+03
1.013184524961654824e+04,1.312442974825549982e+03
1.013184527038830129e+04,1.312469558562736665e+03
1.013184529116005433e+04,1.312496139375418807e+03
1.013184531193180737e+04,1.312522717263425420e+03
1.013184533270356042e+04,1.312549292226583702e+03
1.013184535347531346e+04,1.312575864264721986e+03
1.013184537424706650e+04,1.312602433377668831e+03
1.013184539501881954e+04,1.312628999565250751e+03
1.013184541579057259e+04,1.312655562827297217e+03
1.013184543656232563e+04,1.312682123163635652e+03
1.013184545733407867e+04,1.312708680574094160e+03
1.013184547810583172e+04,1.312735235058500848e+03
1.013184549887758476e+04,1.312761786616683594e+03
1.013184551964933780e+04,1.312788335248471412e+03
1.013184554042109085e+04,1.312814880953691500e+03
1.013184556119284389e+04,1.312841423732172643e+03
1.013184558196459693e+04,1.312867963583742267e+03
1.013184560273634997e+04,1.312894500508229157e+03
1.013184562350810302e+04,1.312921034505461421e+03
1.013184564427985606e+04,1.312947565575267163e+03
1.013184566505160910e+04,1.312974093717474716e+03
1.013184568582336215e+04,1.313000618931912868e+03
1.013184570659511701e+04,1.313027141220731892e+03
1.013184572736687005e+04,1.313053660579114876e+03
1.013184574813862309e+04,1.313080177009213003e+03
1.013184576891037614e+04,1.313106690510855060e+03
1.013184578968212918e+04,1.313133201083868471e+03
1.013184581045388222e+04,1.313159708728082933e+03
1.013184583122563527e+04,1.313186213443325869e+03
1.013184585199738831e+04,1.313212715229426067e+03
1.013184587276914135e+04,1.313239214086211177e+03
1.013184589354089439e+04,1.313265710013511125e+03
1.013184591431264744e+04,1.313292203011153788e+03
1.013184593508440048e+04,1.313318693078967499e+03
1.013184595585615352e+04,1.313345180216781500e+03
1.013184597662790657e+04,1.313371664424423443e+03
1.013184599739965961e+04,1.313398145701722797e+03
1.013184601817141265e+04,1.313424624048506757e+03
1.013184603894316569e+04,1.313451099464605704e+03
1.013184605971491874e+04,1.313477571949846606e+03
1.013184608048667178e+04,1.313504041504060069e+03
1.013184610125842482e+04,1.313530508127073062e+03
1.013184612203017787e+04,1.313556971818715056e+03
1.013184614280193091e+04,1.313583432578814836e+03
1.013184616357368395e+04,1.313609890407200510e+03
1.013184618434543700e+04,1.313636345303702228e+03
1.013184620511719004e+04,1.313662797268147415e+03
1.013184622588894308e+04,1.313689246300364857e+03
1.013184624666069612e+04,1.313715692400184707e+03
1.013184626743244917e+04,1.313742135567434616e+03
