Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.903683680555783212e+03,3.864199189829101044e+00
9.903683703452748887e+03,3.864199312422812227e+00
9.903683726349714561e+03,3.864199435008082162e+00
9.903683749246680236e+03,3.864199557584910849e+00
9.903683772143645911e+03,3.864199680153298289e+00
9.903683795040611585e+03,3.864199802713248033e+00
9.903683817937577260e+03,3.864199925264752977e+00
9.903683840834542934e+03,3.864200047807820226e+00
9.903683863731508609e+03,3.864200170342446228e+00
9.903683886628474283e+03,3.864200292868623876e+00
9.903683909525439958e+03,3.864200415386356724e+00
9.903683932422405633e+03,3.864200537895641219e+00
9.903683955319371307e+03,3.864200660396484466e+00
9.903683978216336982e+03,3.864200782888868702e+00
9.903684001113302656e+03,3.864200905372815242e+00
9.903684024010268331e+03,3.864201027848306325e+00
9.903684046907234006e+03,3.864201150315349054e+00
9.903684069804199680e+03,3.864201272773943430e+00
9.903684092701163536e+03,3.864201395224071689e+00
9.903684115598129210e+03,3.864201517665758701e+00
9.903684138495094885e+03,3.864201640098990254e+00
9.903684161392060560e+03,3.864201762523766348e+00
9.903684184289026234e+03,3.864201884940083431e+00
9.903684207185991909e+03,3.864202007347945056e+00
9.903684230082957583e+03,3.864202129747354775e+00
9.903684252979923258e+03,3.864202252138298377e+00
9.903684275876888933e+03,3.864202374520782968e+00
9.903684298773854607e+03,3.864202496894815653e+00
9.903684321670820282e+03,3.864202619260378668e+00
9.903684344567785956e+03,3.864202741617479120e+00
9.903684367464751631e+03,3.864202863966120560e+00
9.903684390361717305e+03,3.864202986306295884e+00
9.903684413258682980e+03,3.864203108638012196e+00
9.903684436155648655e+03,3.864203230961255287e+00
9.903684459052614329e+03,3.864203353276032260e+00
9.903684481949580004e+03,3.864203475582343117e+00
9.903684504846545678e+03,3.864203597880187857e+00
9.903684527743511353e+03,3.864203720169559375e+00
9.903684550640477028e+03,3.864203842450461224e+00
9.903684573537442702e+03,3.864203964722889850e+00
9.903684596434408377e+03,3.864204086986848807e+00
9.903684619331374051e+03,3.864204209242334542e+00
9.903684642228339726e+03,3.864204331489347055e+00
9.903684665125305401e+03,3.864204453727886346e+00
9.903684688022271075e+03,3.864204575957948862e+00
9.903684710919236750e+03,3.864204698179531050e+00
9.903684733816202424e+03,3.864204820392640016e+00
9.903684756713168099e+03,3.864204942597265102e+00
9.903684779610133774e+03,3.864205064793413413e+00
9.903684802507099448e+03,3.864205186981084950e+00
9.903684825404065123e+03,3.864205309160272606e+00
9.903684848301030797e+03,3.864205431330979934e+00
9.903684871197996472e+03,3.864205553493199830e+00
9.903684894094960327e+03,3.864205675646925187e+00
9.903684916991926002e+03,3.864205797792187980e+00
9.903684939888891677e+03,3.864205919928956234e+00
9.903684962785857351e+03,3.864206042057237056e+00
9.903684985682823026e+03,3.864206164177033997e+00
9.903685008579788700e+03,3.864206286288339953e+00
9.903685031476754375e+03,3.864206408391154923e+00
9.903685054373720050e+03,3.864206530485482460e+00
9.903685077270685724e+03,3.864206652571322564e+00
9.903685100167651399e+03,3.864206774648668130e+00
9.903685123064617073e+03,3.864206896717519157e+00
9.903685145961582748e+03,3.864207018777879199e+00
9.903685168858548423e+03,3.864207140829741149e+00
9.903685191755514097e+03,3.864207262873108562e+00
9.903685214652479772e+03,3.864207384907988541e+00
9.903685237549445446e+03,3.864207506934359770e+00
9.903685260446411121e+03,3.864207628952232909e+00
9.903685283343376796e+03,3.864207750961615062e+00
9.903685306240342470e+03,3.864207872962488466e+00
9.903685329137308145e+03,3.864207994954870884e+00
9.903685352034273819e+03,3.864208116938748105e+00
9.903685374931239494e+03,3.864208238914120130e+00
9.903685397828205168e+03,3.864208360880990512e+00
9.903685420725170843e+03,3.864208482839355696e+00
9.903685443622136518e+03,3.864208604789215684e+00
9.903685466519102192e+03,3.864208726730566923e+00
9.903685489416067867e+03,3.864208848663412965e+00
9.903685512313033541e+03,3.864208970587757364e+00
9.903685535209999216e+03,3.864209092503585907e+00
9.903685558106964891e+03,3.864209214410909254e+00
9.903685581003930565e+03,3.864209336309713194e+00
9.903685603900896240e+03,3.864209458200015490e+00
9.903685626797861914e+03,3.864209580081801931e+00
9.903685649694827589e+03,3.864209701955076071e+00
9.903685672591793264e+03,3.864209823819834355e+00
9.903685695488757119e+03,3.864209945676069680e+00
9.903685718385722794e+03,3.864210067523792702e+00
9.903685741282688468e+03,3.864210189363006975e+00
9.903685764179654143e+03,3.864210311193698288e+00
9.903685787076619818e+03,3.864210433015877300e+00
9.903685809973585492e+03,3.864210554829529798e+00
9.903685832870551167e+03,3.864210676634666441e+00
9.903685855767516841e+03,3.864210798431276572e+00
9.903685878664482516e+03,3.864210920219367296e+00
9.903685901561448190e+03,3.864211041998938612e+00
9.903685924458413865e+03,3.864211163769979862e+00
9.903685947355379540e+03,3.864211285532498152e+00
9.903685970252345214e+03,3.864211407286493483e+00
9.903685993149310889e+03,3.864211529031962300e+00
9.903686016046276563e+03,3.864211650768897499e+00
9.903686038943242238e+03,3.864211772497309738e+00
9.903686061840207913e+03,3.864211894217195464e+00
9.903686084737173587e+03,3.864212015928544020e+00
9.903686107634139262e+03,3.864212137631362509e+00
9.903686130531104936e+03,3.864212259325650933e+00
9.903686153428070611e+03,3.864212381011409292e+00
9.903686176325036286e+03,3.864212502688626927e+00
9.903686199222001960e+03,3.864212624357310943e+00
9.903686222118967635e+03,3.864212746017468447e+00
9.903686245015933309e+03,3.864212867669081675e+00
9.903686267912898984e+03,3.864212989312161284e+00
9.903686290809864659e+03,3.864213110946696617e+00
9.903686313706830333e+03,3.864213232572698331e+00
9.903686336603796008e+03,3.864213354190159322e+00
9.903686359500761682e+03,3.864213475799076036e+00
9.903686382397727357e+03,3.864213597399452027e+00
9.903686405294693031e+03,3.864213718991290847e+00
9.903686428191658706e+03,3.864213840574578285e+00
9.903686451088624381e+03,3.864213962149328552e+00
9.903686473985590055e+03,3.864214083715527437e+00
9.903686496882553911e+03,3.864214205273171387e+00
9.903686519779519585e+03,3.864214326822281720e+00
9.903686542676485260e+03,3.864214448362840670e+00
9.903686565573450935e+03,3.864214569894851792e+00
9.903686588470416609e+03,3.864214691418318637e+00
9.903686611367382284e+03,3.864214812933223442e+00
9.903686634264347958e+03,3.864214934439583971e+00
9.903686657161313633e+03,3.864215055937389565e+00
9.903686680058279308e+03,3.864215177426643777e+00
9.903686702955244982e+03,3.864215298907343055e+00
9.903686725852210657e+03,3.864215420379483845e+00
9.903686748749176331e+03,3.864215541843069701e+00
9.903686771646142006e+03,3.864215663298104175e+00
9.903686794543107681e+03,3.864215784744576609e+00
9.903686817440073355e+03,3.864215906182490556e+00
9.903686840337039030e+03,3.864216027611846016e+00
9.903686863234004704e+03,3.864216149032639436e+00
9.903686886130970379e+03,3.864216270444874368e+00
9.903686909027936053e+03,3.864216391848543708e+00
9.903686931924901728e+03,3.864216513243651008e+00
9.903686954821867403e+03,3.864216634630192715e+00
9.903686977718833077e+03,3.864216756008175935e+00
9.903687000615798752e+03,3.864216877377590009e+00
9.903687023512764426e+03,3.864216998738434938e+00
9.903687046409730101e+03,3.864217120090710722e+00
9.903687069306695776e+03,3.864217241434420913e+00
9.903687092203661450e+03,3.864217362769565511e+00
9.903687115100627125e+03,3.864217484096133859e+00
9.903687137997592799e+03,3.864217605414136614e+00
9.903687160894558474e+03,3.864217726723563118e+00
9.903687183791524149e+03,3.864217848024413371e+00
9.903687206688489823e+03,3.864217969316698031e+00
9.903687229585455498e+03,3.864218090600399336e+00
9.903687252482421172e+03,3.864218211875535047e+00
9.903687275379386847e+03,3.864218333142087403e+00
9.903687298276350703e+03,3.864218454400056402e+00
9.903687321173316377e+03,3.864218575649459808e+00
9.903687344070282052e+03,3.864218696890272753e+00
9.903687366967247726e+03,3.864218818122512999e+00
9.903687389864213401e+03,3.864218939346173443e+00
9.903687412761179075e+03,3.864219060561250529e+00
9.903687435658144750e+03,3.864219181767744260e+00
9.903687458555110425e+03,3.864219302965658187e+00
9.903687481452076099e+03,3.864219424154985205e+00
9.903687504349041774e+03,3.864219545335725314e+00
9.903687527246007448e+03,3.864219666507878514e+00
9.903687550142973123e+03,3.864219787671448358e+00
9.903687573039938798e+03,3.864219908826427741e+00
9.903687595936904472e+03,3.864220029972816661e+00
9.903687618833870147e+03,3.864220151110618673e+00
9.903687641730835821e+03,3.864220272239830223e+00
9.903687664627801496e+03,3.864220393360447758e+00
9.903687687524767171e+03,3.864220514472474832e+00
9.903687710421732845e+03,3.864220635575907892e+00
9.903687733318698520e+03,3.864220756670750490e+00
9.903687756215664194e+03,3.864220877756995520e+00
9.903687779112629869e+03,3.864220998834642984e+00
9.903687802009595543e+03,3.864221119903692880e+00
9.903687824906561218e+03,3.864221240964145210e+00
9.903687847803526893e+03,3.864221362016010630e+00
9.903687870700492567e+03,3.864221483059260720e+00
9.903687893597458242e+03,3.864221604093916795e+00
9.903687916494423916e+03,3.864221725119975304e+00
9.903687939391389591e+03,3.864221846137422034e+00
9.903687962288355266e+03,3.864221967146274750e+00
9.903687985185320940e+03,3.864222088146515688e+00
9.903688008082286615e+03,3.864222209138159059e+00
9.903688030979252289e+03,3.864222330121194204e+00
9.903688053876217964e+03,3.864222451095628230e+00
9.903688076773183639e+03,3.864222572061443373e+00
9.903688099670147494e+03,3.864222693018646737e+00
9.903688122567113169e+03,3.864222813967248982e+00
9.903688145464078843e+03,3.864222934907239448e+00
9.903688168361044518e+03,3.864223055838621690e+00
9.903688191258010193e+03,3.864223176761395706e+00
9.903688214154975867e+03,3.864223297675554392e+00
9.903688237051941542e+03,3.864223418581097746e+00
9.903688259948907216e+03,3.864223539478029323e+00
9.903688282845872891e+03,3.864223660366342017e+00
9.903688305742838565e+03,3.864223781246042932e+00
9.903688328639804240e+03,3.864223902117124965e+00
9.903688351536769915e+03,3.864224022979588113e+00
9.903688374433735589e+03,3.864224143833428826e+00
9.903688397330701264e+03,3.864224264678657761e+00
9.903688420227666938e+03,3.864224385515257154e+00
9.903688443124632613e+03,3.864224506343241217e+00
9.903688466021598288e+03,3.864224627162599290e+00
9.903688488918563962e+03,3.864224747973338481e+00
9.903688511815529637e+03,3.864224868775448130e+00
9.903688534712495311e+03,3.864224989568935342e+00
9.903688557609460986e+03,3.864225110353800119e+00
9.903688580506426661e+03,3.864225231130031801e+00
9.903688603403392335e+03,3.864225351897637495e+00
9.903688626300358010e+03,3.864225472656617200e+00
9.903688649197323684e+03,3.864225593406967363e+00
9.903688672094289359e+03,3.864225714148680879e+00
9.903688694991255034e+03,3.864225834881768407e+00
9.903688717888220708e+03,3.864225955606222840e+00
9.903688740785186383e+03,3.864226076322047732e+00
9.903688763682152057e+03,3.864226197029239529e+00
9.903688786579117732e+03,3.864226317727787574e+00
9.903688809476083406e+03,3.864226438417706078e+00
9.903688832373049081e+03,3.864226559098987934e+00
9.903688855270014756e+03,3.864226679771629591e+00
9.903688878166980430e+03,3.864226800435634601e+00
9.903688901063944286e+03,3.864226921090988753e+00
9.903688923960909960e+03,3.864227041737716917e+00
9.903688946857875635e+03,3.864227162375801328e+00
9.903688969754841310e+03,3.864227283005245539e+00
9.903688992651806984e+03,3.864227403626045998e+00
9.903689015548772659e+03,3.864227524238202705e+00
9.903689038445738333e+03,3.864227644841712106e+00
9.903689061342704008e+03,3.864227765436581308e+00
9.903689084239669683e+03,3.864227886022803204e+00
9.903689107136635357e+03,3.864228006600377796e+00
9.903689130033601032e+03,3.864228127169301530e+00
9.903689152930566706e+03,3.864228247729577959e+00
