Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027127336805546656e+04,7.105017595115991753e+02
1.027127353332662278e+04,7.102833912501512259e+02
1.027127369859778082e+04,7.100649952469860864e+02
1.027127386386893704e+04,7.098465716161084629e+02
1.027127402914009326e+04,7.096281204643379397e+02
1.027127419441124948e+04,7.094096419009216561e+02
1.027127435968240752e+04,7.091911360327275133e+02
1.027127452495356374e+04,7.089726029738627631e+02
1.027127469022471996e+04,7.087540428312449876e+02
1.027127485549587800e+04,7.085354557118154162e+02
1.027127502076703422e+04,7.083168417297579253e+02
1.027127518603819044e+04,7.080982009920637665e+02
1.027127535130934666e+04,7.078795336081537926e+02
1.027127551658050470e+04,7.076608396850671170e+02
1.027127568185166092e+04,7.074421193370885703e+02
1.027127584712281714e+04,7.072233726713061515e+02
1.027127601239397518e+04,7.070045997948312788e+02
1.027127617766513140e+04,7.067858008220241572e+02
1.027127634293628762e+04,7.065669758600445221e+02
1.027127650820744384e+04,7.063481250184858027e+02
1.027127667347860188e+04,7.061292484045555966e+02
1.027127683874975810e+04,7.059103461327121067e+02
1.027127700402091432e+04,7.056914183102127254e+02
1.027127716929207236e+04,7.054724650443366727e+02
1.027127733456322858e+04,7.052534864496166165e+02
1.027127749983438480e+04,7.050344826333799801e+02
1.027127766510554284e+04,7.048154537029779476e+02
1.027127783037669906e+04,7.045963997730165147e+02
1.027127799564785528e+04,7.043773209508943864e+02
1.027127816091901150e+04,7.041582173464445304e+02
1.027127832619016954e+04,7.039390890671114676e+02
1.027127849146132576e+04,7.037199362275986232e+02
1.027127865673248198e+04,7.035007589353988351e+02
1.027127882200364002e+04,7.032815572980265415e+02
1.027127898727479624e+04,7.030623314302574727e+02
1.027127915254595246e+04,7.028430814396543838e+02
1.027127931781710868e+04,7.026238074362141788e+02
1.027127948308826672e+04,7.024045095275449739e+02
1.027127964835942294e+04,7.021851878285189059e+02
1.027127981363057916e+04,7.019658424467896793e+02
1.027127997890173719e+04,7.017464734900338499e+02
1.027128014417289342e+04,7.015270810731947222e+02
1.027128030944404964e+04,7.013076653039951225e+02
1.027128047471520586e+04,7.010882262925954365e+02
1.027128063998636389e+04,7.008687641467635103e+02
1.027128080525752011e+04,7.006492789815366677e+02
1.027128097052867633e+04,7.004297709047284570e+02
1.027128113579983437e+04,7.002102400241755049e+02
1.027128130107099059e+04,6.999906864549840293e+02
1.027128146634214681e+04,6.997711103050359043e+02
1.027128163161330303e+04,6.995515116846518140e+02
1.027128179688446107e+04,6.993318907017572883e+02
1.027128196215561729e+04,6.991122474715518820e+02
1.027128212742677351e+04,6.988925821020070543e+02
1.027128229269793155e+04,6.986728947011152968e+02
1.027128245796908777e+04,6.984531853841452858e+02
1.027128262324024399e+04,6.982334542591347599e+02
1.027128278851140021e+04,6.980137014365615187e+02
1.027128295378255825e+04,6.977939270245062744e+02
1.027128311905371447e+04,6.975741311383291077e+02
1.027128328432487069e+04,6.973543138861559783e+02
1.027128344959602873e+04,6.971344753761334232e+02
1.027128361486718495e+04,6.969146157236892805e+02
1.027128378013834117e+04,6.966947350370145386e+02
1.027128394540949739e+04,6.964748334267419523e+02
1.027128411068065543e+04,6.962549110011054836e+02
1.027128427595181165e+04,6.960349678756221010e+02
1.027128444122296787e+04,6.958150041585697636e+02
1.027128460649412591e+04,6.955950199582473488e+02
1.027128477176528213e+04,6.953750153902385591e+02
