Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.913946643518749624e+03,1.121983702009855733e+03
9.913946661622412648e+03,1.122019638267405071e+03
9.913946679726073853e+03,1.122055575001812485e+03
9.913946697829736877e+03,1.122091512220119967e+03
9.913946715933398082e+03,1.122127449914926956e+03
9.913946734037061105e+03,1.122163388093276581e+03
9.913946752140722310e+03,1.122199326747768055e+03
9.913946770244385334e+03,1.122235265885444505e+03
9.913946788348046539e+03,1.122271205498905601e+03
9.913946806451709563e+03,1.122307145595193788e+03
9.913946824555372586e+03,1.122343086170519655e+03
9.913946842659033791e+03,1.122379027221093111e+03
9.913946860762696815e+03,1.122414968753957510e+03
9.913946878866358020e+03,1.122450910761712294e+03
9.913946896970021044e+03,1.122486853251400134e+03
9.913946915073682248e+03,1.122522796215620247e+03
9.913946933177345272e+03,1.122558739661416439e+03
9.913946951281006477e+03,1.122594683581386334e+03
9.913946969384669501e+03,1.122630627982574879e+03
9.913946987488332525e+03,1.122666572861191298e+03
9.913947005591993729e+03,1.122702518213445273e+03
9.913947023695656753e+03,1.122738464046381068e+03
9.913947041799317958e+03,1.122774410352596306e+03
9.913947059902980982e+03,1.122810357139135931e+03
9.913947078006642187e+03,1.122846304398597113e+03
9.913947096110305210e+03,1.122882252138024796e+03
9.913947114213966415e+03,1.122918200350016377e+03
9.913947132317629439e+03,1.122954149041616574e+03
9.913947150421292463e+03,1.122990098209034613e+03
9.913947168524953668e+03,1.123026047848479720e+03
9.913947186628616691e+03,1.123061997966997069e+03
9.913947204732277896e+03,1.123097948557183827e+03
9.913947222835940920e+03,1.123133899626084258e+03
9.913947240939602125e+03,1.123169851166295985e+03
9.913947259043265149e+03,1.123205803184864180e+03
9.913947277146926353e+03,1.123241755674385331e+03
9.913947295250589377e+03,1.123277708641905747e+03
9.913947313354252401e+03,1.123313662083633517e+03
9.913947331457913606e+03,1.123349615995777185e+03
9.913947349561576630e+03,1.123385570385382835e+03
9.913947367665237834e+03,1.123421525245046951e+03
9.913947385768900858e+03,1.123457480581815162e+03
9.913947403872562063e+03,1.123493436388283499e+03
9.913947421976225087e+03,1.123529392671497817e+03
9.913947440079888111e+03,1.123565349427666888e+03
9.913947458183549315e+03,1.123601306652999256e+03
9.913947476287212339e+03,1.123637264354541003e+03
9.913947494390873544e+03,1.123673222524887478e+03
9.913947512494536568e+03,1.123709181171085220e+03
9.913947530598197773e+03,1.123745140285730486e+03
9.913947548701860796e+03,1.123781099875868676e+03
9.913947566805522001e+03,1.123817059934095823e+03
9.913947584909185025e+03,1.123853020467458919e+03
9.913947603012848049e+03,1.123888981472165597e+03
9.913947621116509254e+03,1.123924942944423265e+03
9.913947639220172277e+03,1.123960904891279824e+03
9.913947657323833482e+03,1.123996867305329943e+03
9.913947675427496506e+03,1.124032830193620612e+03
9.913947693531157711e+03,1.124068793548746498e+03
9.913947711634820735e+03,1.124104757377755050e+03
9.913947729738481939e+03,1.124140721673240478e+03
9.913947747842144963e+03,1.124176686442250684e+03
9.913947765945807987e+03,1.124212651680993076e+03
9.913947784049469192e+03,1.124248617385675061e+03
9.913947802153132216e+03,1.124284583563344540e+03
9.913947820256793420e+03,1.124320550206595271e+03
9.913947838360456444e+03,1.124356517322475838e+03
9.913947856464117649e+03,1.124392484903579088e+03
9.913947874567780673e+03,1.124428452956954061e+03
9.913947892671441878e+03,1.124464421475193603e+03
9.913947910775104901e+03,1.124500390465346527e+03
9.913947928878767925e+03,1.124536359923619784e+03
9.913947946982429130e+03,1.124572329846220327e+03
9.913947965086092154e+03,1.124608300240197423e+03
9.913947983189753359e+03,1.124644271098143008e+03
9.913948001293416382e+03,1.124680242427106805e+03
9.913948019397077587e+03,1.124716214219680978e+03
9.913948037500740611e+03,1.124752186482915022e+03
9.913948055604401816e+03,1.124788159209401556e+03
9.913948073708064840e+03,1.124824132406189619e+03
9.913948091811727863e+03,1.124860106069485710e+03
9.913948109915389068e+03,1.124896080195496324e+03
9.913948128019052092e+03,1.124932054791271639e+03
9.913948146122713297e+03,1.124968029849402910e+03
9.913948164226376321e+03,1.125004005376940313e+03
9.913948182330037525e+03,1.125039981366475558e+03
9.913948200433700549e+03,1.125075957825058367e+03
9.913948218537361754e+03,1.125111934745280905e+03
9.913948236641024778e+03,1.125147912134192666e+03
9.913948254744687802e+03,1.125183889988000374e+03
9.913948272848349006e+03,1.125219868302909390e+03
9.913948290952012030e+03,1.125255847085970800e+03
9.913948309055673235e+03,1.125291826329774722e+03
9.913948327159336259e+03,1.125327806041373378e+03
9.913948345262997464e+03,1.125363786213355752e+03
9.913948363366660487e+03,1.125399766852774064e+03
9.913948381470321692e+03,1.125435747952218208e+03
9.913948399573984716e+03,1.125471729518739721e+03
9.913948417677647740e+03,1.125507711548543739e+03
9.913948435781308945e+03,1.125543694037836076e+03
9.913948453884971968e+03,1.125579676993667817e+03
9.913948471988633173e+03,1.125615660408629310e+03
9.913948490092296197e+03,1.125651644289772094e+03
9.913948508195957402e+03,1.125687628629685605e+03
9.913948526299620426e+03,1.125723613435422067e+03
9.913948544403281630e+03,1.125759598699570461e+03
9.913948562506944654e+03,1.125795584429183691e+03
9.913948580610607678e+03,1.125831570620466437e+03
9.913948598714268883e+03,1.125867557269623376e+03
9.913948616817931907e+03,1.125903544383706958e+03
9.913948634921593111e+03,1.125939531955306165e+03
9.913948653025256135e+03,1.125975519991473902e+03
9.913948671128917340e+03,1.126011508484798469e+03
9.913948689232580364e+03,1.126047497442332542e+03
9.913948707336243388e+03,1.126083486860281255e+03
9.913948725439904592e+03,1.126119476734849059e+03
9.913948743543567616e+03,1.126155467073088630e+03
9.913948761647228821e+03,1.126191457867588269e+03
9.913948779750891845e+03,1.126227449125401336e+03
9.913948797854553050e+03,1.126263440839116356e+03
9.913948815958216073e+03,1.126299433015785553e+03
9.913948834061877278e+03,1.126335425647997681e+03
9.913948852165540302e+03,1.126371418742806554e+03
9.913948870269203326e+03,1.126407412296415259e+03
9.913948888372864531e+03,1.126443406305028930e+03
9.913948906476527554e+03,1.126479400775700924e+03
9.913948924580188759e+03,1.126515395701018178e+03
9.913948942683851783e+03,1.126551391088035643e+03
9.913948960787512988e+03,1.126587386929340255e+03
9.913948978891176012e+03,1.126623383231985372e+03
9.913948996994837216e+03,1.126659379988559067e+03
9.913949015098500240e+03,1.126695377206114472e+03
9.913949033202163264e+03,1.126731374880856720e+03
9.913949051305824469e+03,1.126767373008988216e+03
9.913949069409487493e+03,1.126803371597564592e+03
9.913949087513148697e+03,1.126839370639171648e+03
9.913949105616811721e+03,1.126875370140864106e+03
9.913949123720472926e+03,1.126911370095229131e+03
9.913949141824135950e+03,1.126947370509320535e+03
9.913949159927797155e+03,1.126983371375725710e+03
9.913949178031460178e+03,1.127019372701498241e+03
9.913949196135123202e+03,1.127055374482843035e+03
9.913949214238784407e+03,1.127091376715962042e+03
9.913949232342447431e+03,1.127127379407911121e+03
9.913949250446108636e+03,1.127163382551275845e+03
9.913949268549771659e+03,1.127199386153112073e+03
9.913949286653432864e+03,1.127235390206004695e+03
9.913949304757095888e+03,1.127271394717010253e+03
9.913949322860757093e+03,1.127307399678713182e+03
9.913949340964420117e+03,1.127343405098169569e+03
9.913949359068083140e+03,1.127379410971582502e+03
9.913949377171744345e+03,1.127415417295155066e+03
9.913949395275407369e+03,1.127451424075942668e+03
9.913949413379068574e+03,1.127487431306530425e+03
9.913949431482731597e+03,1.127523438993974196e+03
9.913949449586392802e+03,1.127559447130859553e+03
9.913949467690055826e+03,1.127595455724242356e+03
9.913949485793717031e+03,1.127631464766707268e+03
9.913949503897380055e+03,1.127667474265310830e+03
