Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.013335255787055939e+04,2.560727268925424127e+00
1.013335257878931770e+04,2.560727343688016688e+00
1.013335259970807601e+04,2.560727418445901904e+00
1.013335262062683432e+04,2.560727493199072669e+00
1.013335264154559445e+04,2.560727567947543193e+00
1.013335266246435276e+04,2.560727642691292161e+00
1.013335268338311107e+04,2.560727717430333783e+00
1.013335270430186938e+04,2.560727792164660954e+00
1.013335272522062769e+04,2.560727866894277227e+00
1.013335274613938600e+04,2.560727941619179049e+00
1.013335276705814431e+04,2.560728016339366420e+00
1.013335278797690262e+04,2.560728091054842892e+00
1.013335280889566275e+04,2.560728165765608466e+00
1.013335282981442106e+04,2.560728240471656036e+00
1.013335285073317937e+04,2.560728315172985603e+00
1.013335287165193768e+04,2.560728389869604271e+00
1.013335289257069599e+04,2.560728464561501383e+00
1.013335291348945429e+04,2.560728539248680491e+00
1.013335293440821260e+04,2.560728613931148701e+00
1.013335295532697091e+04,2.560728688608895354e+00
1.013335297624573104e+04,2.560728763281931109e+00
1.013335299716448935e+04,2.560728837950245307e+00
1.013335301808324766e+04,2.560728912613834396e+00
1.013335303900200597e+04,2.560728987272709034e+00
1.013335305992076428e+04,2.560729061926862116e+00
1.013335308083952259e+04,2.560729136576293641e+00
1.013335310175828090e+04,2.560729211221003609e+00
1.013335312267703921e+04,2.560729285860995574e+00
1.013335314359579934e+04,2.560729360496273088e+00
1.013335316451455765e+04,2.560729435126818387e+00
1.013335318543331596e+04,2.560729509752642130e+00
1.013335320635207427e+04,2.560729584373744316e+00
1.013335322727083258e+04,2.560729658990117841e+00
1.013335324818959089e+04,2.560729733601773361e+00
1.013335326910834920e+04,2.560729808208700220e+00
1.013335329002710751e+04,2.560729882810901969e+00
1.013335331094586763e+04,2.560729957408389268e+00
1.013335333186462594e+04,2.560730032001140799e+00
1.013335335278338425e+04,2.560730106589163668e+00
1.013335337370214256e+04,2.560730181172464981e+00
1.013335339462090087e+04,2.560730255751034079e+00
1.013335341553965918e+04,2.560730330324878068e+00
1.013335343645841749e+04,2.560730404893993395e+00
1.013335345737717762e+04,2.560730479458387165e+00
1.013335347829593593e+04,2.560730554018045169e+00
1.013335349921469424e+04,2.560730628572970957e+00
1.013335352013345255e+04,2.560730703123168084e+00
1.013335354105221086e+04,2.560730777668636549e+00
1.013335356197096917e+04,2.560730852209369246e+00
1.013335358288972748e+04,2.560730926745373282e+00
1.013335360380848579e+04,2.560731001276645102e+00
1.013335362472724591e+04,2.560731075803195367e+00
1.013335364564600422e+04,2.560731150325002758e+00
1.013335366656476253e+04,2.560731224842074383e+00
1.013335368748352084e+04,2.560731299354413792e+00
1.013335370840227915e+04,2.560731373862017435e+00
1.013335372932103746e+04,2.560731448364888863e+00
1.013335375023979577e+04,2.560731522863020970e+00
1.013335377115855408e+04,2.560731597356424416e+00
1.013335379207731421e+04,2.560731671845092094e+00
1.013335381299607252e+04,2.560731746329020453e+00
1.013335383391483083e+04,2.560731820808209491e+00
1.013335385483358914e+04,2.560731895282662762e+00
1.013335387575234745e+04,2.560731969752373161e+00
1.013335389667110576e+04,2.560732044217347791e+00
1.013335391758986407e+04,2.560732118677586655e+00
1.013335393850862238e+04,2.560732193133082646e+00
1.013335395942738251e+04,2.560732267583846422e+00
1.013335398034614082e+04,2.560732342029863773e+00
1.013335400126489913e+04,2.560732416471141804e+00
1.013335402218365743e+04,2.560732490907676961e+00
1.013335404310241574e+04,2.560732565339469247e+00
1.013335406402117405e+04,2.560732639766518659e+00
1.013335408493993236e+04,2.560732714188825199e+00
1.013335410585869067e+04,2.560732788606395971e+00
1.013335412677745080e+04,2.560732863019216765e+00
1.013335414769620911e+04,2.560732937427294686e+00
1.013335416861496742e+04,2.560733011830633288e+00
1.013335418953372573e+04,2.560733086229214805e+00
1.013335421045248404e+04,2.560733160623057003e+00
1.013335423137124235e+04,2.560733235012156328e+00
1.013335425229000066e+04,2.560733309396505675e+00
1.013335427320876079e+04,2.560733383776112149e+00
1.013335429412751910e+04,2.560733458150972197e+00
1.013335431504627741e+04,2.560733532521075162e+00
1.013335433596503572e+04,2.560733606886438807e+00
1.013335435688379403e+04,2.560733681247048921e+00
1.013335437780255234e+04,2.560733755602912609e+00
1.013335439872131064e+04,2.560733829954019214e+00
1.013335441964006895e+04,2.560733904300382946e+00
1.013335444055882908e+04,2.560733978642000253e+00
1.013335446147758739e+04,2.560734052978860475e+00
1.013335448239634570e+04,2.560734127310970720e+00
1.013335450331510401e+04,2.560734201638327434e+00
1.013335452423386232e+04,2.560734275960934170e+00
1.013335454515262063e+04,2.560734350278783822e+00
1.013335456607137894e+04,2.560734424591883496e+00
1.013335458699013725e+04,2.560734498900226086e+00
1.013335460790889738e+04,2.560734573203822251e+00
1.013335462882765569e+04,2.560734647502657779e+00
1.013335464974641400e+04,2.560734721796743329e+00
1.013335467066517231e+04,2.560734796086064691e+00
1.013335469158393062e+04,2.560734870370632521e+00
1.013335471250268893e+04,2.560734944650443268e+00
1.013335473342144724e+04,2.560735018925500484e+00
1.013335475434020555e+04,2.560735093195797063e+00
1.013335477525896567e+04,2.560735167461343664e+00
