Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.889738090277649462e+03,2.595469856996345470e+00
9.889738107156652404e+03,2.595469943699118431e+00
9.889738124035655346e+03,2.595470030403873807e+00
9.889738140914658288e+03,2.595470117110615149e+00
9.889738157793661230e+03,2.595470203819338906e+00
9.889738174672662353e+03,2.595470290530030866e+00
9.889738191551665295e+03,2.595470377242712345e+00
9.889738208430668237e+03,2.595470463957376239e+00
9.889738225309671179e+03,2.595470550674022547e+00
9.889738242188674121e+03,2.595470637392647717e+00
9.889738259067677063e+03,2.595470724113251748e+00
9.889738275946680005e+03,2.595470810835834641e+00
9.889738292825682947e+03,2.595470897560396395e+00
9.889738309704684070e+03,2.595470984286929905e+00
9.889738326583687012e+03,2.595471071015445830e+00
9.889738343462689954e+03,2.595471157745944168e+00
9.889738360341692896e+03,2.595471244478421369e+00
9.889738377220695838e+03,2.595471331212873878e+00
9.889738394099698780e+03,2.595471417949301696e+00
9.889738410978701722e+03,2.595471504687704822e+00
9.889738427857704664e+03,2.595471591428090363e+00
9.889738444736705787e+03,2.595471678170437002e+00
9.889738461615708729e+03,2.595471764914766055e+00
9.889738478494711671e+03,2.595471851661073970e+00
9.889738495373714613e+03,2.595471938409353641e+00
9.889738512252717555e+03,2.595472025159608620e+00
9.889738529131720497e+03,2.595472111911838908e+00
9.889738546010723439e+03,2.595472198666040953e+00
9.889738562889726381e+03,2.595472285422218306e+00
9.889738579768727504e+03,2.595472372180356757e+00
9.889738596647730446e+03,2.595472458940474070e+00
9.889738613526733388e+03,2.595472545702566691e+00
9.889738630405736330e+03,2.595472632466631069e+00
9.889738647284739272e+03,2.595472719232663650e+00
9.889738664163742214e+03,2.595472806000671540e+00
9.889738681042745156e+03,2.595472892770647633e+00
9.889738697921748098e+03,2.595472979542591929e+00
9.889738714800749221e+03,2.595473066316497324e+00
9.889738731679752163e+03,2.595473153092381580e+00
9.889738748558755105e+03,2.595473239870234039e+00
9.889738765437758047e+03,2.595473326650054702e+00
9.889738782316760989e+03,2.595473413431847121e+00
9.889738799195763931e+03,2.595473500215607743e+00
9.889738816074766873e+03,2.595473587001329463e+00
9.889738832953769816e+03,2.595473673789022939e+00
9.889738849832770939e+03,2.595473760578670408e+00
9.889738866711773881e+03,2.595473847370296738e+00
9.889738883590776823e+03,2.595473934163884167e+00
9.889738900469779765e+03,2.595474020959443351e+00
9.889738917348782707e+03,2.595474107756967186e+00
9.889738934227785649e+03,2.595474194556452119e+00
9.889738951106788591e+03,2.595474281357905255e+00
9.889738967985791533e+03,2.595474368161319489e+00
9.889738984864792656e+03,2.595474454966687716e+00
9.889739001743795598e+03,2.595474541774031252e+00
9.889739018622798540e+03,2.595474628583332333e+00
9.889739035501801482e+03,2.595474715394601617e+00
9.889739052380804424e+03,2.595474802207831999e+00
9.889739069259807366e+03,2.595474889023023479e+00
9.889739086138810308e+03,2.595474975840176057e+00
9.889739103017813250e+03,2.595475062659289733e+00
9.889739119896814373e+03,2.595475149480353849e+00
9.889739136775817315e+03,2.595475236303393274e+00
9.889739153654820257e+03,2.595475323128386691e+00
9.889739170533823199e+03,2.595475409955341206e+00
9.889739187412826141e+03,2.595475496784253266e+00
9.889739204291829083e+03,2.595475583615126425e+00
9.889739221170832025e+03,2.595475670447957128e+00
9.889739238049834967e+03,2.595475757282745377e+00
9.889739254928836090e+03,2.595475844119484066e+00
9.889739271807839032e+03,2.595475930958187405e+00
