Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.880038437500130385e+03,3.658522179821943610e+00
9.880038456059855889e+03,3.658522170716615562e+00
9.880038474619583212e+03,3.658522161611326595e+00
9.880038493179308716e+03,3.658522152506090919e+00
9.880038511739036039e+03,3.658522143400901427e+00
9.880038530298761543e+03,3.658522134295761674e+00
9.880038548858488866e+03,3.658522125190664553e+00
9.880038567418214370e+03,3.658522116085617171e+00
9.880038585977941693e+03,3.658522106980615973e+00
9.880038604537667197e+03,3.658522097875660961e+00
9.880038623097394520e+03,3.658522088770759240e+00
9.880038641657120024e+03,3.658522079665900151e+00
9.880038660216847347e+03,3.658522070561087247e+00
9.880038678776572851e+03,3.658522061456324082e+00
9.880038697336298355e+03,3.658522052351607101e+00
9.880038715896025678e+03,3.658522043246939859e+00
9.880038734455751182e+03,3.658522034142322354e+00
9.880038753015478505e+03,3.658522025037747483e+00
9.880038771575204009e+03,3.658522015933222349e+00
9.880038790134931332e+03,3.658522006828743400e+00
9.880038808694656836e+03,3.658521997724314190e+00
9.880038827254384159e+03,3.658521988619927612e+00
9.880038845814109663e+03,3.658521979515594325e+00
9.880038864373836986e+03,3.658521970411300117e+00
9.880038882933562491e+03,3.658521961307062753e+00
9.880038901493289814e+03,3.658521952202868022e+00
9.880038920053015318e+03,3.658521943098723028e+00
9.880038938612740822e+03,3.658521933994620667e+00
9.880038957172468145e+03,3.658521924890571597e+00
9.880038975732193649e+03,3.658521915786568712e+00
9.880038994291920972e+03,3.658521906682612013e+00
9.880039012851646476e+03,3.658521897578705051e+00
9.880039031411373799e+03,3.658521888474844275e+00
9.880039049971099303e+03,3.658521879371029684e+00
9.880039068530826626e+03,3.658521870267264831e+00
9.880039087090552130e+03,3.658521861163546163e+00
9.880039105650279453e+03,3.658521852059873680e+00
9.880039124210004957e+03,3.658521842956250936e+00
9.880039142769732280e+03,3.658521833852674376e+00
9.880039161329457784e+03,3.658521824749147555e+00
9.880039179889183288e+03,3.658521815645666919e+00
9.880039198448910611e+03,3.658521806542236021e+00
9.880039217008636115e+03,3.658521797438851308e+00
9.880039235568363438e+03,3.658521788335512781e+00
9.880039254128088942e+03,3.658521779232223992e+00
9.880039272687816265e+03,3.658521770128977835e+00
9.880039291247541769e+03,3.658521761025784969e+00
9.880039309807269092e+03,3.658521751922638288e+00
9.880039328366994596e+03,3.658521742819537792e+00
9.880039346926721919e+03,3.658521733716487034e+00
9.880039365486447423e+03,3.658521724613482462e+00
9.880039384046174746e+03,3.658521715510527628e+00
9.880039402605900250e+03,3.658521706407622531e+00
9.880039421165625754e+03,3.658521697304760067e+00
9.880039439725353077e+03,3.658521688201943789e+00
9.880039458285078581e+03,3.658521679099177248e+00
9.880039476844805904e+03,3.658521669996460446e+00
9.880039495404531408e+03,3.658521660893793381e+00
9.880039513964258731e+03,3.658521651791168949e+00
9.880039532523984235e+03,3.658521642688597808e+00
9.880039551083711558e+03,3.658521633586069299e+00
9.880039569643437062e+03,3.658521624483586976e+00
9.880039588203164385e+03,3.658521615381157943e+00
9.880039606762889889e+03,3.658521606278775096e+00
9.880039625322617212e+03,3.658521597176438434e+00
9.880039643882342716e+03,3.658521588074151509e+00
9.880039662442068220e+03,3.658521578971914323e+00
9.880039681001795543e+03,3.658521569869719769e+00
9.880039699561521047e+03,3.658521560767574954e+00
9.880039718121248370e+03,3.658521551665476323e+00
9.880039736680973874e+03,3.658521542563427431e+00
9.880039755240701197e+03,3.658521533461428277e+00
9.880039773800426701e+03,3.658521524359471755e+00
9.880039792360154024e+03,3.658521515257568524e+00
9.880039810919879528e+03,3.658521506155707925e+00
9.880039829479606851e+03,3.658521497053897065e+00
9.880039848039332355e+03,3.658521487952135942e+00
9.880039866599059678e+03,3.658521478850424558e+00
9.880039885158785182e+03,3.658521469748755806e+00
9.880039903718510686e+03,3.658521460647136792e+00
9.880039922278238009e+03,3.658521451545567515e+00
9.880039940837963513e+03,3.658521442444044425e+00
9.880039959397690836e+03,3.658521433342567519e+00
9.880039977957416340e+03,3.658521424241140352e+00
9.880039996517143663e+03,3.658521415139766475e+00
9.880040015076869167e+03,3.658521406038435231e+00
9.880040033636596490e+03,3.658521396937150172e+00
9.880040052196321994e+03,3.658521387835911298e+00
9.880040070756049317e+03,3.658521378734725715e+00
9.880040089315774821e+03,3.658521369633586318e+00
9.880040107875502144e+03,3.658521360532493105e+00
9.880040126435227648e+03,3.658521351431449631e+00
9.880040144994953152e+03,3.658521342330455894e+00
9.880040163554680475e+03,3.658521333229508343e+00
9.880040182114405980e+03,3.658521324128610530e+00
9.880040200674133303e+03,3.658521315027758902e+00
9.880040219233858807e+03,3.658521305926953460e+00
9.880040237793586130e+03,3.658521296826197755e+00
9.880040256353311634e+03,3.658521287725491788e+00
9.880040274913038957e+03,3.658521278624832007e+00
9.880040293472764461e+03,3.658521269524214858e+00
9.880040312032491784e+03,3.658521260423654553e+00
9.880040330592217288e+03,3.658521251323136880e+00
9.880040349151944611e+03,3.658521242222672498e+00
9.880040367711670115e+03,3.658521233122250749e+00
9.880040386271395619e+03,3.658521224021882290e+00
9.880040404831122942e+03,3.658521214921556464e+00
9.880040423390848446e+03,3.658521205821280375e+00
9.880040441950575769e+03,3.658521196721054025e+00
9.880040460510301273e+03,3.658521187620873860e+00
9.880040479070028596e+03,3.658521178520743433e+00
9.880040497629754100e+03,3.658521169420659191e+00
9.880040516189481423e+03,3.658521160320624688e+00
9.880040534749206927e+03,3.658521151220636369e+00
9.880040553308934250e+03,3.658521142120694236e+00
9.880040571868659754e+03,3.658521133020805394e+00
9.880040590428387077e+03,3.658521123920962737e+00
9.880040608988112581e+03,3.658521114821166265e+00
9.880040627547838085e+03,3.658521105721423083e+00
9.880040646107565408e+03,3.658521096621726088e+00
9.880040664667290912e+03,3.658521087522075277e+00
9.880040683227018235e+03,3.658521078422470652e+00
9.880040701786743739e+03,3.658521069322919317e+00
9.880040720346471062e+03,3.658521060223410615e+00
9.880040738906196566e+03,3.658521051123955203e+00
9.880040757465923889e+03,3.658521042024545977e+00
9.880040776025649393e+03,3.658521032925182936e+00
9.880040794585376716e+03,3.658521023825869634e+00
9.880040813145102220e+03,3.658521014726602516e+00
9.880040831704829543e+03,3.658521005627385136e+00
9.880040850264555047e+03,3.658520996528217495e+00
9.880040868824280551e+03,3.658520987429099591e+00
9.880040887384007874e+03,3.658520978330027873e+00
9.880040905943733378e+03,3.658520969231002340e+00
9.880040924503460701e+03,3.658520960132026545e+00
9.880040943063186205e+03,3.658520951033096935e+00
9.880040961622913528e+03,3.658520941934220616e+00
9.880040980182639032e+03,3.658520932835390482e+00
9.880040998742366355e+03,3.658520923736606534e+00
9.880041017302091859e+03,3.658520914637872323e+00
9.880041035861819182e+03,3.658520905539184298e+00
9.880041054421544686e+03,3.658520896440549564e+00
9.880041072981270190e+03,3.658520887341957462e+00
9.880041091540997513e+03,3.658520878243418650e+00
9.880041110100723017e+03,3.658520869144926024e+00
9.880041128660450340e+03,3.658520860046479584e+00
9.880041147220175844e+03,3.658520850948082881e+00
9.880041165779903167e+03,3.658520841849735916e+00
9.880041184339628671e+03,3.658520832751435137e+00
9.880041202899355994e+03,3.658520823653184095e+00
9.880041221459081498e+03,3.658520814554979239e+00
9.880041240018808821e+03,3.658520805456827674e+00
9.880041258578534325e+03,3.658520796358722293e+00
9.880041277138261648e+03,3.658520787260659546e+00
9.880041295697987152e+03,3.658520778162653642e+00
9.880041314257712656e+03,3.658520769064693923e+00
9.880041332817439979e+03,3.658520759966776836e+00
9.880041351377165483e+03,3.658520750868916593e+00
9.880041369936892806e+03,3.658520741771098983e+00
9.880041388496618310e+03,3.658520732673331111e+00
9.880041407056345633e+03,3.658520723575609424e+00
9.880041425616071137e+03,3.658520714477941027e+00
9.880041444175798460e+03,3.658520705380318816e+00
9.880041462735523965e+03,3.658520696282742790e+00
9.880041481295251288e+03,3.658520687185216502e+00
9.880041499854976792e+03,3.658520678087739952e+00
9.880041518414704115e+03,3.658520668990309588e+00
9.880041536974429619e+03,3.658520659892932514e+00
9.880041555534155123e+03,3.658520650795601625e+00
9.880041574093882446e+03,3.658520641698316922e+00
9.880041592653607950e+03,3.658520632601081957e+00
9.880041611213335273e+03,3.658520623503896729e+00
9.880041629773060777e+03,3.658520614406757687e+00
9.880041648332788100e+03,3.658520605309668383e+00
9.880041666892513604e+03,3.658520596212625264e+00
9.880041685452240927e+03,3.658520587115635436e+00
9.880041704011966431e+03,3.658520578018691793e+00
9.880041722571693754e+03,3.658520568921797889e+00
9.880041741131419258e+03,3.658520559824946616e+00
9.880041759691146581e+03,3.658520550728148635e+00
9.880041778250872085e+03,3.658520541631400391e+00
9.880041796810597589e+03,3.658520532534701886e+00
9.880041815370324912e+03,3.658520523438046013e+00
9.880041833930050416e+03,3.658520514341443430e+00
9.880041852489777739e+03,3.658520505244887033e+00
9.880041871049503243e+03,3.658520496148380374e+00
9.880041889609230566e+03,3.658520487051919901e+00
9.880041908168956070e+03,3.658520477955512717e+00
9.880041926728683393e+03,3.658520468859151720e+00
9.880041945288408897e+03,3.658520459762840460e+00
9.880041963848136220e+03,3.658520450666571833e+00
9.880041982407861724e+03,3.658520441570356496e+00
9.880042000967589047e+03,3.658520432474190898e+00
9.880042019527314551e+03,3.658520423378071484e+00
9.880042038087040055e+03,3.658520414282005362e+00
9.880042056646767378e+03,3.658520405185981872e+00
9.880042075206492882e+03,3.658520396090011673e+00
9.880042093766220205e+03,3.658520386994087659e+00
9.880042112325945709e+03,3.658520377898209830e+00
9.880042130885673032e+03,3.658520368802385292e+00
9.880042149445398536e+03,3.658520359706610492e+00
9.880042168005125859e+03,3.658520350610878324e+00
9.880042186564851363e+03,3.658520341515199448e+00
9.880042205124578686e+03,3.658520332419570309e+00
9.880042223684304190e+03,3.658520323323983803e+00
9.880042242244031513e+03,3.658520314228450587e+00
9.880042260803757017e+03,3.658520305132967110e+00
9.880042279363482521e+03,3.658520296037529818e+00
9.880042297923209844e+03,3.658520286942142263e+00
9.880042316482935348e+03,3.658520277846804447e+00
9.880042335042662671e+03,3.658520268751512816e+00
9.880042353602388175e+03,3.658520259656270923e+00
9.880042372162115498e+03,3.658520250561078768e+00
9.880042390721841002e+03,3.658520241465932799e+00
9.880042409281568325e+03,3.658520232370836567e+00
9.880042427841293829e+03,3.658520223275790073e+00
9.880042446401021152e+03,3.658520214180789765e+00
9.880042464960746656e+03,3.658520205085842747e+00
9.880042483520473979e+03,3.658520195990941914e+00
9.880042502080199483e+03,3.658520186896090820e+00
9.880042520639924987e+03,3.658520177801293016e+00
9.880042539199652310e+03,3.658520168706534292e+00
9.880042557759377814e+03,3.658520159611828859e+00
