Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.905193796296138316e+03,1.393814333852182301e+02
9.905193817625817246e+03,1.393806291122249661e+02
9.905193838955496176e+03,1.393798249317558771e+02
9.905193860285176925e+03,1.393790208437434330e+02
9.905193881614855854e+03,1.393782168483256498e+02
9.905193902944534784e+03,1.393774129454350827e+02
9.905193924274213714e+03,1.393766091350726413e+02
9.905193945603892644e+03,1.393758054172393201e+02
9.905193966933571573e+03,1.393750017919361426e+02
9.905193988263252322e+03,1.393741982590955786e+02
9.905194009592931252e+03,1.393733948188556155e+02
9.905194030922610182e+03,1.393725914711488088e+02
9.905194052252289111e+03,1.393717882159760961e+02
9.905194073581968041e+03,1.393709850533384724e+02
9.905194094911648790e+03,1.393701819831684645e+02
9.905194116241327720e+03,1.393693790056040029e+02
9.905194137571006650e+03,1.393685761205776430e+02
9.905194158900685579e+03,1.393677733280903226e+02
9.905194180230364509e+03,1.393669706281430649e+02
9.905194201560043439e+03,1.393661680207368647e+02
9.905194222889724188e+03,1.393653655058042489e+02
9.905194244219403117e+03,1.393645630834831479e+02
9.905194265549082047e+03,1.393637607537060603e+02
9.905194286878760977e+03,1.393629585164739808e+02
9.905194308208439907e+03,1.393621563717879042e+02
9.905194329538120655e+03,1.393613543195804141e+02
9.905194350867799585e+03,1.393605523599893559e+02
9.905194372197478515e+03,1.393597504929472279e+02
9.905194393527157445e+03,1.393589487184551388e+02
9.905194414856836374e+03,1.393581470365139694e+02
9.905194436186517123e+03,1.393573454470563888e+02
9.905194457516196053e+03,1.393565439502201571e+02
9.905194478845874983e+03,1.393557425459378578e+02
9.905194500175553912e+03,1.393549412342104574e+02
9.905194521505232842e+03,1.393541400150390075e+02
9.905194542834911772e+03,1.393533388884244459e+02
9.905194564164592521e+03,1.393525378542994986e+02
9.905194585494271450e+03,1.393517369128017549e+02
9.905194606823950380e+03,1.393509360638638555e+02
9.905194628153629310e+03,1.393501353074868234e+02
9.905194649483308240e+03,1.393493346436716820e+02
9.905194670812988988e+03,1.393485340723511285e+02
9.905194692142667918e+03,1.393477335936627242e+02
9.905194713472346848e+03,1.393469332075390810e+02
9.905194734802025778e+03,1.393461329139813074e+02
9.905194756131704708e+03,1.393453327129903130e+02
9.905194777461383637e+03,1.393445326045671209e+02
9.905194798791064386e+03,1.393437325886445137e+02
9.905194820120743316e+03,1.393429326653599105e+02
9.905194841450422246e+03,1.393421328346460939e+02
9.905194862780101175e+03,1.393413330965040018e+02
9.905194884109780105e+03,1.393405334509346574e+02
9.905194905439460854e+03,1.393397338978708717e+02
9.905194926769139784e+03,1.393389344374500070e+02
9.905194948098818713e+03,1.393381350696048457e+02
9.905194969428497643e+03,1.393373357943364113e+02
9.905194990758176573e+03,1.393365366116456698e+02
9.905195012087855503e+03,1.393357375215335594e+02
9.905195033417536251e+03,1.393349385239330331e+02
9.905195054747215181e+03,1.393341396189812826e+02
9.905195076076894111e+03,1.393333408066111758e+02
9.905195097406573041e+03,1.393325420868237075e+02
9.905195118736251970e+03,1.393317434596198439e+02
9.905195140065932719e+03,1.393309449249325667e+02
9.905195161395611649e+03,1.393301464828988969e+02
9.905195182725290579e+03,1.393293481334518447e+02
9.905195204054969508e+03,1.393285498765923762e+02
9.905195225384648438e+03,1.393277517123214579e+02
9.905195246714329187e+03,1.393269536405720146e+02
9.905195268044008117e+03,1.393261556614812093e+02
9.905195289373687046e+03,1.393253577749819101e+02
9.905195310703365976e+03,1.393245599810751116e+02
9.905195332033044906e+03,1.393237622797618087e+02
9.905195353362723836e+03,1.393229646710430245e+02
9.905195374692404584e+03,1.393221671548516554e+02
9.905195396022083514e+03,1.393213697313248076e+02
9.905195417351762444e+03,1.393205724003953776e+02
9.905195438681441374e+03,1.393197751620643885e+02
9.905195460011120304e+03,1.393189780163327782e+02
9.905195481340801052e+03,1.393181809631336705e+02
9.905195502670479982e+03,1.393173840026038874e+02
9.905195524000158912e+03,1.393165871346764959e+02
9.905195545329837842e+03,1.393157903593524622e+02
9.905195566659516771e+03,1.393149936766327812e+02
9.905195587989195701e+03,1.393141970865184476e+02
9.905195609318876450e+03,1.393134005889424998e+02
9.905195630648555380e+03,1.393126041840418168e+02
9.905195651978234309e+03,1.393118078717494086e+02
9.905195673307913239e+03,1.393110116520662984e+02
9.905195694637592169e+03,1.393102155249934526e+02
9.905195715967272918e+03,1.393094194904639380e+02
9.905195737296951847e+03,1.393086235486145767e+02
