Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.027292596064833924e+04,3.699029646636587927e+02
1.027292604692779969e+04,3.698969050305054225e+02
1.027292613320726196e+04,3.698908448682152539e+02
1.027292621948672240e+04,3.698847841772193874e+02
1.027292630576618467e+04,3.698787229574382991e+02
1.027292639204564512e+04,3.698726612093033737e+02
1.027292647832510738e+04,3.698665989327348598e+02
1.027292656460456783e+04,3.698605361281643127e+02
1.027292665088403010e+04,3.698544727955119811e+02
1.027292673716349054e+04,3.698484089352095339e+02
1.027292682344295281e+04,3.698423445471768787e+02
1.027292690972241326e+04,3.698362796318459118e+02
1.027292699600187370e+04,3.698302141892646091e+02
1.027292708228133597e+04,3.698241482194808896e+02
1.027292716856079642e+04,3.698180817229266495e+02
1.027292725484025868e+04,3.698120146995217965e+02
1.027292734111971913e+04,3.698059471496982837e+02
1.027292742739918140e+04,3.697998790733760188e+02
1.027292751367864184e+04,3.697938104709869549e+02
1.027292759995810411e+04,3.697877413424509996e+02
1.027292768623756456e+04,3.697816716882001060e+02
1.027292777251702682e+04,3.697756015081543524e+02
1.027292785879648727e+04,3.697695308027454644e+02
1.027292794507594954e+04,3.697634595718936907e+02
1.027292803135540998e+04,3.697573878160306435e+02
1.027292811763487043e+04,3.697513155352046397e+02
1.027292820391433270e+04,3.697452427294634276e+02
1.027292829019379315e+04,3.697391693992391879e+02
1.027292837647325541e+04,3.697330955444516007e+02
1.027292846275271586e+04,3.697270211655329604e+02
1.027292854903217813e+04,3.697209462624030607e+02
1.027292863531163857e+04,3.697148708354941391e+02
1.027292872159110084e+04,3.697087948847258758e+02
1.027292880787056129e+04,3.697027184105305082e+02
1.027292889415002355e+04,3.696966414128280007e+02
1.027292898042948400e+04,3.696905638920505908e+02
1.027292906670894445e+04,3.696844858482458562e+02
1.027292915298840671e+04,3.696784072814621140e+02
1.027292923926786716e+04,3.696723281921313742e+02
1.027292932554732943e+04,3.696662485801734306e+02
1.027292941182678987e+04,3.696601684460208617e+02
1.027292949810625214e+04,3.696540877895931771e+02
1.027292958438571259e+04,3.696480066113227849e+02
1.027292967066517485e+04,3.696419249111293652e+02
1.027292975694463530e+04,3.696358426894454396e+02
1.027292984322409757e+04,3.696297599461907453e+02
1.027292992950355801e+04,3.696236766817976331e+02
1.027293001578302028e+04,3.696175928961857267e+02
1.027293010206248073e+04,3.696115085897876611e+02
1.027293018834194118e+04,3.696054237626512986e+02
1.027293027462140344e+04,3.695993384148244445e+02
1.027293036090086389e+04,3.695932525467397340e+02
1.027293044718032615e+04,3.695871661583166770e+02
1.027293053345978660e+04,3.695810792499879085e+02
1.027293061973924887e+04,3.695749918216730521e+02
1.027293070601870932e+04,3.695689038738048566e+02
1.027293079229817158e+04,3.695628154063026614e+02
1.027293087857763203e+04,3.695567264195993289e+02
1.027293096485709430e+04,3.695506369136143690e+02
1.027293105113655474e+04,3.695445468887805305e+02
1.027293113741601519e+04,3.695384563451456188e+02
1.027293122369547746e+04,3.695323652827574392e+02
