Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.896128576389048249e+03,2.558846842020868095e+00
9.896128599245501391e+03,2.558846829443870874e+00
9.896128622101952715e+03,2.558846816866608975e+00
9.896128644958405857e+03,2.558846804289084176e+00
9.896128667814857181e+03,2.558846791711291146e+00
9.896128690671310324e+03,2.558846779133231664e+00
9.896128713527761647e+03,2.558846766554909280e+00
9.896128736384214790e+03,2.558846753976322219e+00
9.896128759240666113e+03,2.558846741397470481e+00
9.896128782097119256e+03,2.558846728818352290e+00
9.896128804953570580e+03,2.558846716238967645e+00
9.896128827810023722e+03,2.558846703659320099e+00
9.896128850666476865e+03,2.558846691079406099e+00
9.896128873522928188e+03,2.558846678499227423e+00
9.896128896379381331e+03,2.558846665918784069e+00
9.896128919235832655e+03,2.558846653338076038e+00
9.896128942092285797e+03,2.558846640757101554e+00
9.896128964948737121e+03,2.558846628175864168e+00
9.896128987805190263e+03,2.558846615594358553e+00
9.896129010661641587e+03,2.558846603012590037e+00
9.896129033518094730e+03,2.558846590430555068e+00
9.896129056374546053e+03,2.558846577848257198e+00
9.896129079230999196e+03,2.558846565265692874e+00
9.896129102087450519e+03,2.558846552682863873e+00
9.896129124943903662e+03,2.558846540099770195e+00
9.896129147800356805e+03,2.558846527516411840e+00
9.896129170656808128e+03,2.558846514932788807e+00
9.896129193513261271e+03,2.558846502348901097e+00
9.896129216369712594e+03,2.558846489764746934e+00
9.896129239226165737e+03,2.558846477180328094e+00
9.896129262082617061e+03,2.558846464595646353e+00
9.896129284939070203e+03,2.558846452010698158e+00
9.896129307795521527e+03,2.558846439425483510e+00
9.896129330651974669e+03,2.558846426840005961e+00
9.896129353508425993e+03,2.558846414254263735e+00
9.896129376364879136e+03,2.558846401668255055e+00
9.896129399221332278e+03,2.558846389081981698e+00
9.896129422077783602e+03,2.558846376495445440e+00
9.896129444934236744e+03,2.558846363908642729e+00
9.896129467790688068e+03,2.558846351321575341e+00
9.896129490647141211e+03,2.558846338734243275e+00
9.896129513503592534e+03,2.558846326146646533e+00
9.896129536360045677e+03,2.558846313558785113e+00
9.896129559216497000e+03,2.558846300970660792e+00
9.896129582072950143e+03,2.558846288382270018e+00
9.896129604929401467e+03,2.558846275793612790e+00
9.896129627785854609e+03,2.558846263204694438e+00
9.896129650642307752e+03,2.558846250615509632e+00
9.896129673498759075e+03,2.558846238026061926e+00
9.896129696355212218e+03,2.558846225436345989e+00
9.896129719211663542e+03,2.558846212846367152e+00
9.896129742068116684e+03,2.558846200256123637e+00
9.896129764924568008e+03,2.558846187665615446e+00
9.896129787781021150e+03,2.558846175074842577e+00
9.896129810637472474e+03,2.558846162483806808e+00
9.896129833493925616e+03,2.558846149892502808e+00
9.896129856350376940e+03,2.558846137300937684e+00
9.896129879206830083e+03,2.558846124709106107e+00
9.896129902063283225e+03,2.558846112117009852e+00
9.896129924919734549e+03,2.558846099524648920e+00
9.896129947776187691e+03,2.558846086932023312e+00
9.896129970632639015e+03,2.558846074339136578e+00
9.896129993489092158e+03,2.558846061745981615e+00
9.896130016345543481e+03,2.558846049152563751e+00
9.896130039201996624e+03,2.558846036558879433e+00
9.896130062058447947e+03,2.558846023964933991e+00
9.896130084914901090e+03,2.558846011370720319e+00
9.896130107771352414e+03,2.558845998776245523e+00
9.896130130627805556e+03,2.558845986181504273e+00
9.896130153484256880e+03,2.558845973586498346e+00
9.896130176340710022e+03,2.558845960991229518e+00
9.896130199197163165e+03,2.558845948395692460e+00
9.896130222053614489e+03,2.558845935799896054e+00
9.896130244910067631e+03,2.558845923203831418e+00
9.896130267766518955e+03,2.558845910607507435e+00
9.896130290622972097e+03,2.558845898010911668e+00
9.896130313479423421e+03,2.558845885414058330e+00
9.896130336335876564e+03,2.558845872816938538e+00
9.896130359192327887e+03,2.558845860219552293e+00
9.896130382048781030e+03,2.558845847621903147e+00
9.896130404905232353e+03,2.558845835023991100e+00
9.896130427761685496e+03,2.558845822425812599e+00
9.896130450618138639e+03,2.558845809827369422e+00
9.896130473474589962e+03,2.558845797228666896e+00
9.896130496331043105e+03,2.558845784629692588e+00
9.896130519187494428e+03,2.558845772030460708e+00
9.896130542043947571e+03,2.558845759430962374e+00
9.896130564900398895e+03,2.558845746831195811e+00
9.896130587756852037e+03,2.558845734231169899e+00
9.896130610613303361e+03,2.558845721630879311e+00
9.896130633469756503e+03,2.558845709030322269e+00
9.896130656326207827e+03,2.558845696429502325e+00
9.896130679182660970e+03,2.558845683828419482e+00
9.896130702039114112e+03,2.558845671227070184e+00
9.896130724895565436e+03,2.558845658625457986e+00
9.896130747752018578e+03,2.558845646023581111e+00
9.896130770608469902e+03,2.558845633421443111e+00
9.896130793464923045e+03,2.558845620819035105e+00
9.896130816321374368e+03,2.558845608216365974e+00
9.896130839177827511e+03,2.558845595613433943e+00
9.896130862034278834e+03,2.558845583010237235e+00
9.896130884890731977e+03,2.558845570406774073e+00
9.896130907747183301e+03,2.558845557803053339e+00
9.896130930603636443e+03,2.558845545199060822e+00
9.896130953460089586e+03,2.558845532594808958e+00
9.896130976316540909e+03,2.558845519990288864e+00
9.896130999172994052e+03,2.558845507385507645e+00
9.896131022029445376e+03,2.558845494780463525e+00
9.896131044885898518e+03,2.558845482175154729e+00
9.896131067742349842e+03,2.558845469569579478e+00
9.896131090598802984e+03,2.558845456963741327e+00
9.896131113455254308e+03,2.558845444357642052e+00
9.896131136311707451e+03,2.558845431751278099e+00
9.896131159168158774e+03,2.558845419144647693e+00
9.896131182024611917e+03,2.558845406537756162e+00
9.896131204881063240e+03,2.558845393930598178e+00
9.896131227737516383e+03,2.558845381323177293e+00
9.896131250593969526e+03,2.558845368715491730e+00
9.896131273450420849e+03,2.558845356107543267e+00
9.896131296306873992e+03,2.558845343499330127e+00
9.896131319163325315e+03,2.558845330890854086e+00
9.896131342019778458e+03,2.558845318282113368e+00
9.896131364876229782e+03,2.558845305673109749e+00
9.896131387732682924e+03,2.558845293063841453e+00
9.896131410589134248e+03,2.558845280454310256e+00
9.896131433445587390e+03,2.558845267844517934e+00
9.896131456302038714e+03,2.558845255234457383e+00
9.896131479158491857e+03,2.558845242624133931e+00
9.896131502014944999e+03,2.558845230013547578e+00
9.896131524871396323e+03,2.558845217402698324e+00
9.896131547727849465e+03,2.558845204791580841e+00
9.896131570584300789e+03,2.558845192180204009e+00
9.896131593440753932e+03,2.558845179568562500e+00
9.896131616297205255e+03,2.558845166956656314e+00
9.896131639153658398e+03,2.558845154344489004e+00
9.896131662010109721e+03,2.558845141732055239e+00
9.896131684866562864e+03,2.558845129119358575e+00
9.896131707723014188e+03,2.558845116506400785e+00
9.896131730579467330e+03,2.558845103893172990e+00
9.896131753435920473e+03,2.558845091279689399e+00
9.896131776292371796e+03,2.558845078665937578e+00
9.896131799148824939e+03,2.558845066051922856e+00
9.896131822005276263e+03,2.558845053437647010e+00
9.896131844861729405e+03,2.558845040823104711e+00
9.896131867718180729e+03,2.558845028208297734e+00
9.896131890574633871e+03,2.558845015593231409e+00
9.896131913431085195e+03,2.558845002977898631e+00
9.896131936287538338e+03,2.558844990362301175e+00
9.896131959143989661e+03,2.558844977746442595e+00
9.896131982000442804e+03,2.558844965130319338e+00
9.896132004856895946e+03,2.558844952513934956e+00
9.896132027713347270e+03,2.558844939897284121e+00
9.896132050569800413e+03,2.558844927280368609e+00
9.896132073426251736e+03,2.558844914663195524e+00
9.896132096282704879e+03,2.558844902045754210e+00
9.896132119139156202e+03,2.558844889428049996e+00
9.896132141995609345e+03,2.558844876810082880e+00
9.896132164852060669e+03,2.558844864191852864e+00
9.896132187708513811e+03,2.558844851573356394e+00
9.896132210564965135e+03,2.558844838954602352e+00
9.896132233421418277e+03,2.558844826335580080e+00
9.896132256277869601e+03,2.558844813716296684e+00
9.896132279134322744e+03,2.558844801096750388e+00
9.896132301990775886e+03,2.558844788476939414e+00
9.896132324847227210e+03,2.558844775856863762e+00
9.896132347703680352e+03,2.558844763236525210e+00
9.896132370560131676e+03,2.558844750615925534e+00
9.896132393416584819e+03,2.558844737995062957e+00
9.896132416273036142e+03,2.558844725373935702e+00
9.896132439129489285e+03,2.558844712752545547e+00
9.896132461985940608e+03,2.558844700130890715e+00
9.896132484842393751e+03,2.558844687508972982e+00
9.896132507698845075e+03,2.558844674886794124e+00
9.896132530555298217e+03,2.558844662264348813e+00
9.896132553411751360e+03,2.558844649641642377e+00
9.896132576268202683e+03,2.558844637018673041e+00
9.896132599124655826e+03,2.558844624395437251e+00
9.896132621981107150e+03,2.558844611771945665e+00
9.896132644837560292e+03,2.558844599148184074e+00
9.896132667694011616e+03,2.558844586524163134e+00
9.896132690550464758e+03,2.558844573899875741e+00
9.896132713406916082e+03,2.558844561275327223e+00
9.896132736263369225e+03,2.558844548650514028e+00
9.896132759119820548e+03,2.558844536025441485e+00
9.896132781976273691e+03,2.558844523400100712e+00
9.896132804832726833e+03,2.558844510774498815e+00
9.896132827689178157e+03,2.558844498148635793e+00
9.896132850545631300e+03,2.558844485522506318e+00
9.896132873402082623e+03,2.558844472896119271e+00
9.896132896258535766e+03,2.558844460269463994e+00
9.896132919114987089e+03,2.558844447642547593e+00
9.896132941971440232e+03,2.558844435015366514e+00
9.896132964827891556e+03,2.558844422387926087e+00
9.896132987684344698e+03,2.558844409760219207e+00
9.896133010540796022e+03,2.558844397132251203e+00
9.896133033397249164e+03,2.558844384504020297e+00
9.896133056253700488e+03,2.558844371875522938e+00
9.896133079110153631e+03,2.558844359246766231e+00
9.896133101966606773e+03,2.558844346617744847e+00
9.896133124823058097e+03,2.558844333988464115e+00
9.896133147679511239e+03,2.558844321358915153e+00
9.896133170535962563e+03,2.558844308729106842e+00
9.896133193392415706e+03,2.558844296099035631e+00
9.896133216248867029e+03,2.558844283468701519e+00
9.896133239105320172e+03,2.558844270838100954e+00
9.896133261961771495e+03,2.558844258207241040e+00
9.896133284818224638e+03,2.558844245576118226e+00
9.896133307674675962e+03,2.558844232944730734e+00
9.896133330531129104e+03,2.558844220313083895e+00
9.896133353387582247e+03,2.558844207681170602e+00
9.896133376244033570e+03,2.558844195048996184e+00
9.896133399100486713e+03,2.558844182416557089e+00
9.896133421956938037e+03,2.558844169783856870e+00
9.896133444813391179e+03,2.558844157150893750e+00
9.896133467669842503e+03,2.558844144517671282e+00
9.896133490526295645e+03,2.558844131884178807e+00
9.896133513382746969e+03,2.558844119250428761e+00
9.896133536239200112e+03,2.558844106616415814e+00
9.896133559095651435e+03,2.558844093982138190e+00
9.896133581952104578e+03,2.558844081347597665e+00
9.896133604808557720e+03,2.558844068712796016e+00
9.896133627665009044e+03,2.558844056077731466e+00
9.896133650521462187e+03,2.558844043442404015e+00
9.896133673377913510e+03,2.558844030806815439e+00
9.896133696234366653e+03,2.558844018170960410e+00
9.896133719090817976e+03,2.558844005534846033e+00
9.896133741947271119e+03,2.558843992898466979e+00
9.896133764803722443e+03,2.558843980261826800e+00
9.896133787660175585e+03,2.558843967624923721e+00
9.896133810516626909e+03,2.558843954987759517e+00
9.896133833373080051e+03,2.558843942350332412e+00
9.896133856229533194e+03,2.558843929712638854e+00
9.896133879085984518e+03,2.558843917074685947e+00
9.896133901942437660e+03,2.558843904436470140e+00
9.896133924798888984e+03,2.558843891797991432e+00
9.896133947655342126e+03,2.558843879159251600e+00
9.896133970511793450e+03,2.558843866520248866e+00
9.896133993368246593e+03,2.558843853880981456e+00
9.896134016224697916e+03,2.558843841241454697e+00
9.896134039081151059e+03,2.558843828601663262e+00
9.896134061937602382e+03,2.558843815961608925e+00
9.896134084794055525e+03,2.558843803321293464e+00
9.896134107650506849e+03,2.558843790680715102e+00
9.896134130506959991e+03,2.558843778039873840e+00
9.896134153363413134e+03,2.558843765398771453e+00
9.896134176219864457e+03,2.558843752757407941e+00
9.896134199076317600e+03,2.558843740115779752e+00
9.896134221932768924e+03,2.558843727473888663e+00
9.896134244789222066e+03,2.558843714831736449e+00
9.896134267645673390e+03,2.558843702189321334e+00
9.896134290502126532e+03,2.558843689546645095e+00
9.896134313358577856e+03,2.558843676903705955e+00
9.896134336215030999e+03,2.558843664260503914e+00
9.896134359071482322e+03,2.558843651617038972e+00
9.896134381927935465e+03,2.558843638973312906e+00
9.896134404784388607e+03,2.558843626329323939e+00
9.896134427640839931e+03,2.558843613685075624e+00
9.896134450497293074e+03,2.558843601040559079e+00
9.896134473353744397e+03,2.558843588395784963e+00
9.896134496210197540e+03,2.558843575750746169e+00
9.896134519066648863e+03,2.558843563105449803e+00
9.896134541923102006e+03,2.558843550459886984e+00
9.896134564779553330e+03,2.558843537814063041e+00
9.896134587636006472e+03,2.558843525167976196e+00
9.896134610492457796e+03,2.558843512521630004e+00
9.896134633348910938e+03,2.558843499875017358e+00
9.896134656205364081e+03,2.558843487228145364e+00
9.896134679061815405e+03,2.558843474581008692e+00
9.896134701918268547e+03,2.558843461933610897e+00
9.896134724774719871e+03,2.558843449285951976e+00
9.896134747631173013e+03,2.558843436638030155e+00
9.896134770487624337e+03,2.558843423989848986e+00
9.896134793344077480e+03,2.558843411341403140e+00
9.896134816200528803e+03,2.558843398692694393e+00
9.896134839056981946e+03,2.558843386043726298e+00
9.896134861913433269e+03,2.558843373394495302e+00
9.896134884769886412e+03,2.558843360745003181e+00
9.896134907626339555e+03,2.558843348095244608e+00
9.896134930482790878e+03,2.558843335445228462e+00
9.896134953339244021e+03,2.558843322794949415e+00
9.896134976195695344e+03,2.558843310144407468e+00
9.896134999052148487e+03,2.558843297493602620e+00
9.896135021908599811e+03,2.558843284842538424e+00
9.896135044765052953e+03,2.558843272191209550e+00
9.896135067621504277e+03,2.558843259539621329e+00
9.896135090477957419e+03,2.558843246887771983e+00
9.896135113334408743e+03,2.558843234235656183e+00
9.896135136190861886e+03,2.558843221583282812e+00
9.896135159047313209e+03,2.558843208930646540e+00
9.896135181903766352e+03,2.558843196277745591e+00
9.896135204760219494e+03,2.558843183624585294e+00
9.896135227616670818e+03,2.558843170971162095e+00
9.896135250473123961e+03,2.558843158317475996e+00
9.896135273329575284e+03,2.558843145663532326e+00
9.896135296186028427e+03,2.558843133009323978e+00
9.896135319042479750e+03,2.558843120354854506e+00
9.896135341898932893e+03,2.558843107700123909e+00
9.896135364755384217e+03,2.558843095045130411e+00
9.896135387611837359e+03,2.558843082389874013e+00
9.896135410468288683e+03,2.558843069734356490e+00
9.896135433324741825e+03,2.558843057078577843e+00
9.896135456181194968e+03,2.558843044422538071e+00
9.896135479037646292e+03,2.558843031766235399e+00
9.896135501894099434e+03,2.558843019109673378e+00
9.896135524750550758e+03,2.558843006452848456e+00
9.896135547607003900e+03,2.558842993795760634e+00
9.896135570463455224e+03,2.558842981138411687e+00
9.896135593319908367e+03,2.558842968480799840e+00
9.896135616176359690e+03,2.558842955822928644e+00
9.896135639032812833e+03,2.558842943164794548e+00
9.896135661889264156e+03,2.558842930506399327e+00
9.896135684745717299e+03,2.558842917847742982e+00
9.896135707602170442e+03,2.558842905188823735e+00
9.896135730458621765e+03,2.558842892529643365e+00
9.896135753315074908e+03,2.558842879870201870e+00
9.896135776171526231e+03,2.558842867210497474e+00
9.896135799027979374e+03,2.558842854550533730e+00
9.896135821884430698e+03,2.558842841890307085e+00
