Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.882460428240709007e+03,4.143792480129742444e+02
9.882460446256400246e+03,4.143840429632919609e+02
9.882460464272089666e+03,4.143888378726405222e+02
9.882460482287780906e+03,4.143936327419853569e+02
9.882460500303470326e+03,4.143984275703558637e+02
9.882460518319161565e+03,4.144032223587176418e+02
9.882460536334850985e+03,4.144080171061000897e+02
9.882460554350542225e+03,4.144128118134688634e+02
9.882460572366233464e+03,4.144176064803372697e+02
9.882460590381922884e+03,4.144224011062188424e+02
9.882460608397614124e+03,4.144271956920790672e+02
9.882460626413303544e+03,4.144319902369473994e+02
9.882460644428994783e+03,4.144367847417896087e+02
9.882460662444684203e+03,4.144415792056347527e+02
9.882460680460375443e+03,4.144463736294487148e+02
9.882460698476066682e+03,4.144511680127446311e+02
9.882460716491756102e+03,4.144559623550360925e+02
9.882460734507447341e+03,4.144607566572887549e+02
9.882460752523136762e+03,4.144655509185320170e+02
9.882460770538828001e+03,4.144703451397313074e+02
9.882460788554517421e+03,4.144751393199160816e+02
9.882460806570208661e+03,4.144799334600521092e+02
9.882460824585899900e+03,4.144847275596525265e+02
9.882460842601589320e+03,4.144895216182309241e+02
9.882460860617280559e+03,4.144943156367529582e+02
9.882460878632969980e+03,4.144991096142477431e+02
9.882460896648661219e+03,4.145039035516813328e+02
9.882460914664350639e+03,4.145086974480827280e+02
9.882460932680041878e+03,4.145134913044175846e+02
9.882460950695733118e+03,4.145182851201994936e+02
9.882460968711422538e+03,4.145230788949418184e+02
9.882460986727113777e+03,4.145278726296099876e+02
9.882461004742803198e+03,4.145326663232337410e+02
9.882461022758494437e+03,4.145374599767782229e+02
9.882461040774183857e+03,4.145422535892732299e+02
9.882461058789875096e+03,4.145470471616840769e+02
9.882461076805566336e+03,4.145518406935242979e+02
9.882461094821255756e+03,4.145566341843073133e+02
9.882461112836946995e+03,4.145614276349988359e+02
9.882461130852636416e+03,4.145662210446280938e+02
9.882461148868327655e+03,4.145710144141606861e+02
9.882461166884017075e+03,4.145758077426261821e+02
9.882461184899708314e+03,4.145806010309898397e+02
9.882461202915399554e+03,4.145853942787653637e+02
9.882461220931088974e+03,4.145901874854663447e+02
9.882461238946780213e+03,4.145949806520579841e+02
9.882461256962469633e+03,4.145997737775698511e+02
9.882461274978160873e+03,4.146045668629675447e+02
9.882461292993850293e+03,4.146093599072804068e+02
9.882461311009541532e+03,4.146141529114740365e+02
9.882461329025232772e+03,4.146189458750618542e+02
9.882461347040922192e+03,4.146237387975573938e+02
9.882461365056613431e+03,4.146285316799262546e+02
9.882461383072302851e+03,4.146333245211977214e+02
9.882461401087994091e+03,4.146381173223373366e+02
9.882461419103683511e+03,4.146429100823746126e+02
9.882461437119374750e+03,4.146477028022750915e+02
9.882461455135065989e+03,4.146524954815520800e+02
9.882461473150755410e+03,4.146572881197195102e+02
9.882461491166446649e+03,4.146620807177424126e+02
9.882461509182136069e+03,4.146668732746504134e+02
9.882461527197827309e+03,4.146716657914090547e+02
9.882461545213516729e+03,4.146764582670478489e+02
9.882461563229207968e+03,4.146812507025321111e+02
9.882461581244899207e+03,4.146860430973754319e+02
9.882461599260588628e+03,4.146908354510914592e+02
9.882461617276279867e+03,4.146956277646454510e+02
9.882461635291969287e+03,4.147004200370670901e+02
9.882461653307660526e+03,4.147052122693216347e+02
9.882461671323349947e+03,4.147100044604388813e+02
9.882461689339041186e+03,4.147147966113839175e+02
9.882461707354732425e+03,4.147195887216705046e+02
9.882461725370421846e+03,4.147243807908122903e+02
9.882461743386113085e+03,4.147291728197743623e+02
9.882461761401802505e+03,4.147339648075865739e+02
9.882461779417493744e+03,4.147387567552140126e+02
9.882461797433183165e+03,4.147435486616867593e+02
9.882461815448874404e+03,4.147483405279696740e+02
9.882461833464563824e+03,4.147531323530926102e+02
9.882461851480255064e+03,4.147579241380209396e+02
9.882461869495946303e+03,4.147627158822681395e+02
9.882461887511635723e+03,4.147675075853478575e+02
9.882461905527326962e+03,4.147722992482254085e+02
9.882461923543016383e+03,4.147770908699305323e+02
9.882461941558707622e+03,4.147818824514282596e+02
9.882461959574397042e+03,4.147866739917486143e+02
9.882461977590088281e+03,4.147914654918565702e+02
9.882461995605779521e+03,4.147962569512658888e+02
9.882462013621468941e+03,4.148010483694902746e+02
9.882462031637160180e+03,4.148058397474947014e+02
9.882462049652849601e+03,4.148106310843093070e+02
9.882462067668540840e+03,4.148154223808989514e+02
9.882462085684230260e+03,4.148202136362935448e+02
9.882462103699921499e+03,4.148250048514582318e+02
9.882462121715612739e+03,4.148297960259067736e+02
9.882462139731302159e+03,4.148345871591527612e+02
9.882462157746993398e+03,4.148393782521612820e+02
9.882462175762682818e+03,4.148441693039623033e+02
9.882462193778374058e+03,4.148489603155207988e+02
9.882462211794063478e+03,4.148537512858669061e+02
9.882462229809754717e+03,4.148585422159653717e+02
9.882462247825445957e+03,4.148633331053300140e+02
9.882462265841135377e+03,4.148681239534747078e+02
9.882462283856826616e+03,4.148729147613642567e+02
9.882462301872516036e+03,4.148777055280288550e+02
9.882462319888207276e+03,4.148824962544333061e+02
9.882462337903896696e+03,4.148872869396077476e+02
9.882462355919587935e+03,4.148920775845170397e+02
9.882462373935279174e+03,4.148968681886749437e+02
9.882462391950968595e+03,4.149016587515953347e+02
9.882462409966659834e+03,4.149064492742430161e+02
9.882462427982349254e+03,4.149112397556481824e+02
9.882462445998040494e+03,4.149160301967756368e+02
9.882462464013729914e+03,4.149208205966555738e+02
9.882462482029421153e+03,4.149256109562526831e+02
9.882462500045112392e+03,4.149304012750808397e+02
9.882462518060801813e+03,4.149351915526540324e+02
9.882462536076493052e+03,4.149399817899369509e+02
9.882462554092182472e+03,4.149447719859597896e+02
9.882462572107873712e+03,4.149495621416872382e+02
9.882462590123563132e+03,4.149543522561496047e+02
9.882462608139254371e+03,4.149591423303116926e+02
9.882462626154945610e+03,4.149639323636873200e+02
9.882462644170635031e+03,4.149687223557903053e+02
9.882462662186326270e+03,4.149735123075854517e+02
9.882462680202015690e+03,4.149783022181029537e+02
9.882462698217706929e+03,4.149830920883075578e+02
9.882462716233396350e+03,4.149878819172296289e+02
9.882462734249087589e+03,4.149926717058336862e+02
9.882462752264778828e+03,4.149974614536337185e+02
9.882462770280468249e+03,4.150022511601437145e+02
9.882462788296159488e+03,4.150070408263281365e+02
9.882462806311848908e+03,4.150118304512174063e+02
9.882462824327540147e+03,4.150166200357762136e+02
9.882462842343229568e+03,4.150214095790348665e+02
9.882462860358920807e+03,4.150261990819580546e+02
9.882462878374612046e+03,4.150309885440595963e+02
9.882462896390301466e+03,4.150357779648535939e+02
9.882462914405992706e+03,4.150405673453043960e+02
9.882462932421682126e+03,4.150453566844425950e+02
9.882462950437373365e+03,4.150501459832327100e+02
9.882462968453062786e+03,4.150549352407051629e+02
9.882462986468754025e+03,4.150597244578244727e+02
9.882463004484445264e+03,4.150645136341046850e+02
9.882463022500134684e+03,4.150693027690596750e+02
9.882463040515825924e+03,4.150740918636540755e+02
9.882463058531515344e+03,4.150788809169181945e+02
9.882463076547206583e+03,4.150836699298167787e+02
9.882463094562896003e+03,4.150884589013800792e+02
9.882463112578587243e+03,4.150932478325727288e+02
9.882463130594278482e+03,4.150980367229086028e+02
9.882463148609967902e+03,4.151028255719018603e+02
9.882463166625659142e+03,4.151076143805167931e+02
9.882463184641348562e+03,4.151124031477841072e+02
9.882463202657039801e+03,4.151171918746680944e+02
9.882463220672729221e+03,4.151219805601994040e+02
9.882463238688420461e+03,4.151267692053424412e+02
9.882463256704111700e+03,4.151315578096111381e+02
9.882463274719801120e+03,4.151363463725197107e+02
9.882463292735492359e+03,4.151411348950323372e+02
9.882463310751181780e+03,4.151459233761798941e+02
9.882463328766873019e+03,4.151507118169264459e+02
9.882463346782562439e+03,4.151555002163028689e+02
9.882463364798253679e+03,4.151602885752734551e+02
9.882463382813944918e+03,4.151650768933521931e+02
9.882463400829634338e+03,4.151698651700531286e+02
9.882463418845325577e+03,4.151746534063406671e+02
9.882463436861014998e+03,4.151794416012454008e+02
9.882463454876706237e+03,4.151842297557319057e+02
9.882463472892395657e+03,4.151890178688304331e+02
9.882463490908086897e+03,4.151938059415056728e+02
9.882463508923778136e+03,4.151985939732714428e+02
9.882463526939467556e+03,4.152033819636420731e+02
9.882463544955158795e+03,4.152081699135815143e+02
9.882463562970848216e+03,4.152129578221208135e+02
9.882463580986539455e+03,4.152177456902240920e+02
9.882463599002228875e+03,4.152225335169220557e+02
9.882463617017920114e+03,4.152273213031790533e+02
9.882463635033611354e+03,4.152321090485091304e+02
9.882463653049300774e+03,4.152368967524262189e+02
9.882463671064992013e+03,4.152416844158950084e+02
9.882463689080681434e+03,4.152464720379458640e+02
9.882463707096372673e+03,4.152512596195431911e+02
9.882463725112062093e+03,4.152560471597176956e+02
9.882463743127753332e+03,4.152608346594336126e+02
9.882463761143444572e+03,4.152656221182050444e+02
9.882463779159133992e+03,4.152704095355461504e+02
9.882463797174825231e+03,4.152751969124211655e+02
9.882463815190514651e+03,4.152799842478607388e+02
9.882463833206205891e+03,4.152847715428292759e+02
9.882463851221895311e+03,4.152895587963574826e+02
9.882463869237586550e+03,4.152943460094094235e+02
9.882463887253277790e+03,4.152991331814994282e+02
9.882463905268967210e+03,4.153039203121415426e+02
9.882463923284658449e+03,4.153087074022999445e+02
9.882463941300347869e+03,4.153134944510055107e+02
9.882463959316039109e+03,4.153182814592223622e+02
9.882463977331728529e+03,4.153230684259813756e+02
9.882463995347419768e+03,4.153278553522466154e+02
9.882464013363111007e+03,4.153326422375322977e+02
9.882464031378800428e+03,4.153374290813526386e+02
9.882464049394491667e+03,4.153422158846717025e+02
9.882464067410181087e+03,4.153470026465203659e+02
9.882464085425872327e+03,4.153517893678628070e+02
9.882464103441561747e+03,4.153565760477298454e+02
9.882464121457252986e+03,4.153613626870854887e+02
9.882464139472944225e+03,4.153661492854440667e+02
9.882464157488633646e+03,4.153709358423197955e+02
9.882464175504324885e+03,4.153757223586766258e+02
9.882464193520014305e+03,4.153805088335456048e+02
9.882464211535705545e+03,4.153852952678906831e+02
9.882464229551394965e+03,4.153900816607429078e+02
9.882464247567086204e+03,4.153948680130661728e+02
9.882464265582777443e+03,4.153996543243748647e+02
9.882464283598466864e+03,4.154044405941831428e+02
9.882464301614158103e+03,4.154092268234550147e+02
9.882464319629847523e+03,4.154140130112215274e+02
9.882464337645538762e+03,4.154187991584465180e+02
9.882464355661228183e+03,4.154235852641611473e+02
9.882464373676919422e+03,4.154283713293293090e+02
9.882464391692610661e+03,4.154331573534652762e+02
9.882464409708300082e+03,4.154379433360832081e+02
9.882464427723991321e+03,4.154427292781472829e+02
9.882464445739680741e+03,4.154475151786883771e+02
9.882464463755371980e+03,4.154523010386705550e+02
9.882464481771061401e+03,4.154570868571248639e+02
9.882464499786752640e+03,4.154618726350149700e+02
9.882464517802442060e+03,4.154666583713722048e+02
9.882464535818133299e+03,4.154714440671603484e+02
9.882464553833824539e+03,4.154762297218937874e+02
9.882464571849513959e+03,4.154810153350869655e+02
9.882464589865205198e+03,4.154858009077033785e+02
9.882464607880894619e+03,4.154905864387743577e+02
9.882464625896585858e+03,4.154953719292638539e+02
9.882464643912275278e+03,4.155001573782026867e+02
9.882464661927966517e+03,4.155049427865550911e+02
9.882464679943657757e+03,4.155097281538352831e+02
9.882464697959347177e+03,4.155145134795573654e+02
9.882464715975038416e+03,4.155192987646854021e+02
9.882464733990727836e+03,4.155240840082504405e+02
9.882464752006419076e+03,4.155288692112163744e+02
9.882464770022108496e+03,4.155336543726143077e+02
9.882464788037799735e+03,4.155384394934080206e+02
9.882464806053490975e+03,4.155432245731119565e+02
9.882464824069180395e+03,4.155480096112405022e+02
9.882464842084871634e+03,4.155527946087573241e+02
9.882464860100561054e+03,4.155575795646935831e+02
9.882464878116252294e+03,4.155623644800132297e+02
9.882464896131941714e+03,4.155671493537473680e+02
9.882464914147632953e+03,4.155719341868597212e+02
9.882464932163324193e+03,4.155767189788648466e+02
9.882464950179013613e+03,4.155815037292768466e+02
9.882464968194704852e+03,4.155862884390596719e+02
9.882464986210394272e+03,4.155910731072445401e+02
9.882465004226085512e+03,4.155958577347951177e+02
9.882465022241774932e+03,4.156006423207427360e+02
9.882465040257466171e+03,4.156054268660509479e+02
9.882465058273157410e+03,4.156102113702343672e+02
9.882465076288846831e+03,4.156149958328072671e+02
