Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.027292596064833924e+04,2.740246662392150867e+00
1.027292604692779969e+04,2.740246645808984027e+00
1.027292613320726196e+04,2.740246629224369457e+00
1.027292621948672240e+04,2.740246612638308932e+00
1.027292630576618467e+04,2.740246596050798900e+00
1.027292639204564512e+04,2.740246579461842913e+00
1.027292647832510738e+04,2.740246562871442748e+00
1.027292656460456783e+04,2.740246546279596629e+00
1.027292665088403010e+04,2.740246529686304555e+00
1.027292673716349054e+04,2.740246513091568303e+00
1.027292682344295281e+04,2.740246496495389650e+00
1.027292690972241326e+04,2.740246479897766818e+00
1.027292699600187370e+04,2.740246463298699808e+00
1.027292708228133597e+04,2.740246446698193949e+00
1.027292716856079642e+04,2.740246430096242136e+00
1.027292725484025868e+04,2.740246413492851474e+00
1.027292734111971913e+04,2.740246396888018410e+00
1.027292742739918140e+04,2.740246380281744720e+00
1.027292751367864184e+04,2.740246363674030405e+00
1.027292759995810411e+04,2.740246347064879018e+00
1.027292768623756456e+04,2.740246330454287005e+00
1.027292777251702682e+04,2.740246313842256143e+00
1.027292785879648727e+04,2.740246297228789985e+00
1.027292794507594954e+04,2.740246280613881424e+00
1.027292803135540998e+04,2.740246263997539344e+00
1.027292811763487043e+04,2.740246247379758415e+00
1.027292820391433270e+04,2.740246230760543966e+00
1.027292829019379315e+04,2.740246214139894221e+00
1.027292837647325541e+04,2.740246197517807403e+00
1.027292846275271586e+04,2.740246180894283512e+00
1.027292854903217813e+04,2.740246164269329654e+00
1.027292863531163857e+04,2.740246147642938723e+00
1.027292872159110084e+04,2.740246131015117825e+00
1.027292880787056129e+04,2.740246114385861631e+00
1.027292889415002355e+04,2.740246097755171917e+00
1.027292898042948400e+04,2.740246081123052235e+00
1.027292906670894445e+04,2.740246064489502587e+00
1.027292915298840671e+04,2.740246047854521194e+00
1.027292923926786716e+04,2.740246031218106282e+00
1.027292932554732943e+04,2.740246014580264955e+00
1.027292941182678987e+04,2.740245997940991884e+00
1.027292949810625214e+04,2.740245981300292399e+00
1.027292958438571259e+04,2.740245964658166500e+00
1.027292967066517485e+04,2.740245948014607080e+00
1.027292975694463530e+04,2.740245931369623023e+00
1.027292984322409757e+04,2.740245914723210774e+00
1.027292992950355801e+04,2.740245898075372111e+00
1.027293001578302028e+04,2.740245881426108809e+00
1.027293010206248073e+04,2.740245864775419093e+00
1.027293018834194118e+04,2.740245848123304739e+00
1.027293027462140344e+04,2.740245831469763971e+00
1.027293036090086389e+04,2.740245814814802117e+00
1.027293044718032615e+04,2.740245798158412072e+00
1.027293053345978660e+04,2.740245781500600941e+00
1.027293061973924887e+04,2.740245764841372278e+00
1.027293070601870932e+04,2.740245748180717200e+00
1.027293079229817158e+04,2.740245731518637484e+00
1.027293087857763203e+04,2.740245714855142012e+00
1.027293096485709430e+04,2.740245698190223678e+00
1.027293105113655474e+04,2.740245681523882482e+00
1.027293113741601519e+04,2.740245664856121977e+00
1.027293122369547746e+04,2.740245648186945715e+00
1.027293130997493790e+04,2.740245631516348368e+00
1.027293139625440017e+04,2.740245614844333488e+00
1.027293148253386062e+04,2.740245598170899299e+00
1.027293156881332288e+04,2.740245581496047578e+00
1.027293165509278333e+04,2.740245564819780100e+00
1.027293174137224560e+04,2.740245548142098642e+00
1.027293182765170604e+04,2.740245531462996098e+00
1.027293191393116831e+04,2.740245514782483127e+00
1.027293200021062876e+04,2.740245498100552624e+00
1.027293208649008920e+04,2.740245481417208140e+00
1.027293217276955147e+04,2.740245464732447900e+00
1.027293225904901192e+04,2.740245448046277232e+00
1.027293234532847418e+04,2.740245431358690809e+00
1.027293243160793463e+04,2.740245414669693957e+00
1.027293251788739690e+04,2.740245397979284903e+00
1.027293260416685735e+04,2.740245381287461868e+00
1.027293269044631961e+04,2.740245364594230182e+00
1.027293277672578006e+04,2.740245347899588069e+00
1.027293286300524233e+04,2.740245331203533752e+00
1.027293294928470277e+04,2.740245314506072560e+00
1.027293303556416504e+04,2.740245297807199165e+00
1.027293312184362549e+04,2.740245281106917119e+00
1.027293320812308593e+04,2.740245264405229975e+00
1.027293329440254820e+04,2.740245247702130627e+00
1.027293338068200865e+04,2.740245230997626180e+00
1.027293346696147091e+04,2.740245214291716636e+00
1.027293355324093136e+04,2.740245197584398440e+00
1.027293363952039363e+04,2.740245180875676922e+00
1.027293372579985407e+04,2.740245164165550307e+00
1.027293381207931634e+04,2.740245147454016816e+00
1.027293389835877679e+04,2.740245130741076451e+00
1.027293398463823905e+04,2.740245114026736317e+00
1.027293407091769950e+04,2.740245097310992861e+00
1.027293415719715995e+04,2.740245080593846083e+00
1.027293424347662221e+04,2.740245063875295983e+00
1.027293432975608266e+04,2.740245047155342561e+00
1.027293441603554493e+04,2.740245030433989371e+00
1.027293450231500537e+04,2.740245013711234634e+00
1.027293458859446764e+04,2.740244996987080128e+00
1.027293467487392809e+04,2.740244980261525853e+00
1.027293476115339035e+04,2.740244963534571809e+00
1.027293484743285080e+04,2.740244946806217996e+00
1.027293493371231307e+04,2.740244930076464414e+00
1.027293501999177352e+04,2.740244913345318167e+00
1.027293510627123396e+04,2.740244896612768599e+00
1.027293519255069623e+04,2.740244879878824591e+00
1.027293527883015668e+04,2.740244863143482590e+00
1.027293536510961894e+04,2.740244846406746149e+00
1.027293545138907939e+04,2.740244829668611715e+00
1.027293553766854166e+04,2.740244812929084617e+00
1.027293562394800210e+04,2.740244796188161303e+00
1.027293571022746437e+04,2.740244779445843548e+00
1.027293579650692482e+04,2.740244762702129577e+00
1.027293588278638708e+04,2.740244745957028272e+00
1.027293596906584753e+04,2.740244729210530750e+00
1.027293605534530980e+04,2.740244712462640564e+00
1.027293614162477024e+04,2.740244695713361267e+00
1.027293622790423069e+04,2.740244678962689306e+00
