Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.013184277777792886e+04,1.629853126636744207e+02
1.013184279854968190e+04,1.629847816375396974e+02
1.013184281932143494e+04,1.629842507132798914e+02
1.013184284009318799e+04,1.629837198908964240e+02
1.013184286086494103e+04,1.629831891703908866e+02
1.013184288163669407e+04,1.629826585517647004e+02
1.013184290240844712e+04,1.629821280350192580e+02
1.013184292318020016e+04,1.629815976201562080e+02
1.013184294395195320e+04,1.629810673071769429e+02
1.013184296472370625e+04,1.629805370960829123e+02
1.013184298549545929e+04,1.629800069868757646e+02
1.013184300626721233e+04,1.629794769795567504e+02
1.013184302703896537e+04,1.629789470741275181e+02
1.013184304781071842e+04,1.629784172705895173e+02
1.013184306858247146e+04,1.629778875689441975e+02
1.013184308935422450e+04,1.629773579691930365e+02
1.013184311012597936e+04,1.629768284712911850e+02
1.013184313089773241e+04,1.629762990753328609e+02
1.013184315166948545e+04,1.629757697812731578e+02
1.013184317244123849e+04,1.629752405891135822e+02
1.013184319321299154e+04,1.629747114988555836e+02
1.013184321398474458e+04,1.629741825105006399e+02
1.013184323475649762e+04,1.629736536240502573e+02
1.013184325552825067e+04,1.629731248395059140e+02
1.013184327630000371e+04,1.629725961568690593e+02
1.013184329707175675e+04,1.629720675761412281e+02
1.013184331784350979e+04,1.629715390973238414e+02
1.013184333861526284e+04,1.629710107204184908e+02
1.013184335938701588e+04,1.629704824454265690e+02
1.013184338015876892e+04,1.629699542723495256e+02
1.013184340093052197e+04,1.629694262011889236e+02
1.013184342170227501e+04,1.629688982319461559e+02
1.013184344247402805e+04,1.629683703646227855e+02
1.013184346324578109e+04,1.629678425992202619e+02
1.013184348401753414e+04,1.629673149357400632e+02
1.013184350478928718e+04,1.629667873741836104e+02
1.013184352556104022e+04,1.629662599145524950e+02
1.013184354633279327e+04,1.629657325568482236e+02
1.013184356710454631e+04,1.629652053010721033e+02
1.013184358787629935e+04,1.629646781472257260e+02
1.013184360864805240e+04,1.629641510953105694e+02
1.013184362941980544e+04,1.629636241453280547e+02
1.013184365019155848e+04,1.629630972972797736e+02
1.013184367096331152e+04,1.629625705511670901e+02
1.013184369173506457e+04,1.629620439069915392e+02
1.013184371250681761e+04,1.629615173647545987e+02
1.013184373327857065e+04,1.629609909244577182e+02
1.013184375405032551e+04,1.629604645860563323e+02
1.013184377482207856e+04,1.629599383496441192e+02
1.013184379559383160e+04,1.629594122151763713e+02
1.013184381636558464e+04,1.629588861826546804e+02
1.013184383713733769e+04,1.629583602520804106e+02
1.013184385790909073e+04,1.629578344234551253e+02
1.013184387868084377e+04,1.629573086967802453e+02
1.013184389945259682e+04,1.629567830720573340e+02
1.013184392022434986e+04,1.629562575492877841e+02
1.013184394099610290e+04,1.629557321284731302e+02
1.013184396176785594e+04,1.629552068096147934e+02
1.013184398253960899e+04,1.629546815927142234e+02
1.013184400331136203e+04,1.629541564777730684e+02
1.013184402408311507e+04,1.629536314647926645e+02
1.013184404485486812e+04,1.629531065537744894e+02
1.013184406562662116e+04,1.629525817447200779e+02
1.013184408639837420e+04,1.629520570376308797e+02
1.013184410717012724e+04,1.629515324325083441e+02
1.013184412794188029e+04,1.629510079293539775e+02
1.013184414871363333e+04,1.629504835281692863e+02
1.013184416948538637e+04,1.629499592289556915e+02
1.013184419025713942e+04,1.629494350317147564e+02
1.013184421102889246e+04,1.629489109364478168e+02
1.013184423180064550e+04,1.629483869431564642e+02
1.013184425257239855e+04,1.629478630518421767e+02
1.013184427334415159e+04,1.629473392625063752e+02
1.013184429411590463e+04,1.629468155751505378e+02
1.013184431488765767e+04,1.629462919897762276e+02
1.013184433565941072e+04,1.629457685063847521e+02
1.013184435643116376e+04,1.629452451249777596e+02
1.013184437720291680e+04,1.629447218455566428e+02
1.013184439797466985e+04,1.629441986681229082e+02
