Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.027127336805546656e+04,2.558194297365638192e+00
1.027127353332662278e+04,2.558194297365638192e+00
1.027127369859778082e+04,2.558194297365638192e+00
1.027127386386893704e+04,2.558194297365638192e+00
1.027127402914009326e+04,2.558194297365638192e+00
1.027127419441124948e+04,2.558194297365638192e+00
1.027127435968240752e+04,2.558194297365638192e+00
1.027127452495356374e+04,2.558194297365638192e+00
1.027127469022471996e+04,2.558194297365638192e+00
1.027127485549587800e+04,2.558194297365638192e+00
1.027127502076703422e+04,2.558194297365638192e+00
1.027127518603819044e+04,2.558194297365638192e+00
1.027127535130934666e+04,2.558194297365638192e+00
1.027127551658050470e+04,2.558194297365638192e+00
1.027127568185166092e+04,2.558194297365638192e+00
1.027127584712281714e+04,2.558194297365638192e+00
1.027127601239397518e+04,2.558194297365638192e+00
1.027127617766513140e+04,2.558194297365638192e+00
1.027127634293628762e+04,2.558194297365638192e+00
1.027127650820744384e+04,2.558194297365638192e+00
1.027127667347860188e+04,2.558194297365638192e+00
1.027127683874975810e+04,2.558194297365638192e+00
1.027127700402091432e+04,2.558194297365638192e+00
1.027127716929207236e+04,2.558194297365638192e+00
1.027127733456322858e+04,2.558194297365638192e+00
1.027127749983438480e+04,2.558194297365638192e+00
1.027127766510554284e+04,2.558194297365638192e+00
1.027127783037669906e+04,2.558194297365638192e+00
1.027127799564785528e+04,2.558194297365638192e+00
1.027127816091901150e+04,2.558194297365638192e+00
1.027127832619016954e+04,2.558194297365638192e+00
1.027127849146132576e+04,2.558194297365638192e+00
1.027127865673248198e+04,2.558194297365638192e+00
1.027127882200364002e+04,2.558194297365638192e+00
1.027127898727479624e+04,2.558194297365638192e+00
1.027127915254595246e+04,2.558194297365638192e+00
1.027127931781710868e+04,2.558194297365638192e+00
1.027127948308826672e+04,2.558194297365638192e+00
1.027127964835942294e+04,2.558194297365638192e+00
1.027127981363057916e+04,2.558194297365638192e+00
1.027127997890173719e+04,2.558194297365638192e+00
1.027128014417289342e+04,2.558194297365638192e+00
1.027128030944404964e+04,2.558194297365638192e+00
1.027128047471520586e+04,2.558194297365638192e+00
1.027128063998636389e+04,2.558194297365638192e+00
1.027128080525752011e+04,2.558194297365638192e+00
1.027128097052867633e+04,2.558194297365638192e+00
1.027128113579983437e+04,2.558194297365638192e+00
1.027128130107099059e+04,2.558194297365638192e+00
1.027128146634214681e+04,2.558194297365638192e+00
