Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.027292596064833924e+04,2.865143251604172292e+02
1.027292604692779969e+04,2.865045309363061392e+02
1.027292613320726196e+04,2.864947362941587699e+02
1.027292621948672240e+04,2.864849412346141548e+02
1.027292630576618467e+04,2.864751457574852793e+02
1.027292639204564512e+04,2.864653498634108928e+02
1.027292647832510738e+04,2.864555535522043215e+02
1.027292656460456783e+04,2.864457568245043717e+02
1.027292665088403010e+04,2.864359596801241423e+02
1.027292673716349054e+04,2.864261621197026102e+02
1.027292682344295281e+04,2.864163641430524763e+02
1.027292690972241326e+04,2.864065657508133427e+02
1.027292699600187370e+04,2.863967669430045362e+02
1.027292708228133597e+04,2.863869677196451562e+02
1.027292716856079642e+04,2.863771680813746912e+02
1.027292725484025868e+04,2.863673680280058420e+02
1.027292734111971913e+04,2.863575675601780404e+02
1.027292742739918140e+04,2.863477666777038735e+02
1.027292751367864184e+04,2.863379653812229435e+02
1.027292759995810411e+04,2.863281636705476672e+02
1.027292768623756456e+04,2.863183615463175897e+02
1.027292777251702682e+04,2.863085590083454690e+02
1.027292785879648727e+04,2.862987560572706798e+02
1.027292794507594954e+04,2.862889526929058093e+02
1.027292803135540998e+04,2.862791489158903460e+02
1.027292811763487043e+04,2.862693447262439577e+02
1.027292820391433270e+04,2.862595401239855732e+02
1.027292829019379315e+04,2.862497351097550222e+02
1.027292837647325541e+04,2.862399296833647782e+02
1.027292846275271586e+04,2.862301238454544432e+02
1.027292854903217813e+04,2.862203175958366614e+02
1.027292863531163857e+04,2.862105109351510350e+02
1.027292872159110084e+04,2.862007038632101512e+02
1.027292880787056129e+04,2.861908963806535553e+02
1.027292889415002355e+04,2.861810884872938914e+02
1.027292898042948400e+04,2.861712801837709890e+02
1.027292906670894445e+04,2.861614714701038906e+02
1.027292915298840671e+04,2.861516623463120936e+02
1.027292923926786716e+04,2.861418528130352570e+02
1.027292932554732943e+04,2.861320428700859111e+02
1.027292941182678987e+04,2.861222325181038855e+02
1.027292949810625214e+04,2.861124217569017105e+02
1.027292958438571259e+04,2.861026105871190452e+02
1.027292967066517485e+04,2.860927990085684769e+02
1.027292975694463530e+04,2.860829870218897781e+02
1.027292984322409757e+04,2.860731746268954794e+02
1.027292992950355801e+04,2.860633618242253533e+02
1.027293001578302028e+04,2.860535486136920440e+02
1.027293010206248073e+04,2.860437349959352105e+02
1.027293018834194118e+04,2.860339209709742363e+02
1.027293027462140344e+04,2.860241065388286188e+02
1.027293036090086389e+04,2.860142917001381306e+02
1.027293044718032615e+04,2.860044764547151317e+02
1.027293053345978660e+04,2.859946608031996789e+02
1.027293061973924887e+04,2.859848447454041320e+02
1.027293070601870932e+04,2.859750282819686049e+02
1.027293079229817158e+04,2.859652114127053437e+02
1.027293087857763203e+04,2.859553941382544053e+02
1.027293096485709430e+04,2.859455764584282633e+02
1.027293105113655474e+04,2.859357583738669746e+02
1.027293113741601519e+04,2.859259398845897522e+02
1.027293122369547746e+04,2.859161209906159229e+02
1.027293130997493790e+04,2.859063016925856004e+02
1.027293139625440017e+04,2.858964819903111447e+02
1.027293148253386062e+04,2.858866618844326126e+02
1.027293156881332288e+04,2.858768413747623640e+02
1.027293165509278333e+04,2.858670204619406832e+02
1.027293174137224560e+04,2.858571991457797026e+02
1.027293182765170604e+04,2.858473774269198202e+02
1.027293191393116831e+04,2.858375553051731117e+02
1.027293200021062876e+04,2.858277327811800319e+02
1.027293208649008920e+04,2.858179098549598507e+02
1.027293217276955147e+04,2.858080865265314969e+02
1.027293225904901192e+04,2.857982627965357096e+02
1.027293234532847418e+04,2.857884386647843371e+02
1.027293243160793463e+04,2.857786141319181752e+02
1.027293251788739690e+04,2.857687891977489585e+02
1.027293260416685735e+04,2.857589638629174260e+02
1.027293269044631961e+04,2.857491381272354261e+02
1.027293277672578006e+04,2.857393119913436976e+02
1.027293286300524233e+04,2.857294854550541459e+02
1.027293294928470277e+04,2.857196585190076235e+02
1.027293303556416504e+04,2.857098311830156945e+02
1.027293312184362549e+04,2.857000034477194390e+02
1.027293320812308593e+04,2.856901753131377291e+02
1.027293329440254820e+04,2.856803467792898914e+02
1.027293338068200865e+04,2.856705178468164377e+02
1.027293346696147091e+04,2.856606885155293867e+02
1.027293355324093136e+04,2.856508587860694774e+02
1.027293363952039363e+04,2.856410286582487288e+02
1.027293372579985407e+04,2.856311981327078797e+02
1.027293381207931634e+04,2.856213672092586648e+02
1.027293389835877679e+04,2.856115358885420505e+02
1.027293398463823905e+04,2.856017041703698851e+02
1.027293407091769950e+04,2.855918720553830212e+02
1.027293415719715995e+04,2.855820395436005015e+02
1.027293424347662221e+04,2.855722066350415389e+02
1.027293432975608266e+04,2.855623733303470999e+02
1.027293441603554493e+04,2.855525396293286349e+02
1.027293450231500537e+04,2.855427055326276218e+02
1.027293458859446764e+04,2.855328710400553973e+02
1.027293467487392809e+04,2.855230361522532689e+02
1.027293476115339035e+04,2.855132008690328576e+02
1.027293484743285080e+04,2.855033651910350727e+02
1.027293493371231307e+04,2.854935291180719332e+02
1.027293501999177352e+04,2.854836926507843486e+02
1.027293510627123396e+04,2.854738557891914752e+02
1.027293519255069623e+04,2.854640185333122417e+02
1.027293527883015668e+04,2.854541808837878989e+02
1.027293536510961894e+04,2.854443428404300676e+02
1.027293545138907939e+04,2.854345044038798846e+02
1.027293553766854166e+04,2.854246655739490848e+02
1.027293562394800210e+04,2.854148263512789754e+02
